Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 252 | Elder Law (jp:252,idx:69)
Class Probability,Ex Count at BMU,BMU Map Loc
1.000000,1.0,(7|19)
1.000000,1175.0,(17|34)
1.000000,1.0,(18|35)
0.9904762,104.0,(16|34)
0.9545454,21.0,(17|35)
0.8899083,97.0,(16|33)
0.8293651,209.0,(15|34)
0.8160920,71.0,(16|35)
0.7784431,130.0,(17|33)
0.7280702,83.0,(17|36)
0.6885246,84.0,(16|32)
0.6666667,2.0,(18|34)
0.6315789,12.0,(17|32)
0.6307693,41.0,(15|35)
0.6149732,115.0,(13|33)
0.5629629,76.0,(15|33)
0.5217391,12.0,(18|33)
0.5194805,40.0,(14|35)
0.5000000,1.0,(3|6)
0.5000000,49.0,(13|34)
0.4901961,100.0,(13|35)
0.4464286,25.0,(14|34)
0.4312500,69.0,(12|33)
0.4137931,12.0,(12|34)
0.4062500,65.0,(14|33)
0.3958333,57.0,(15|32)
0.3854167,37.0,(16|36)
0.3448276,30.0,(15|36)
0.3282443,43.0,(15|30)
0.3253968,41.0,(15|31)
0.3157895,30.0,(17|37)
0.3125000,25.0,(13|32)
0.2812500,9.0,(16|31)
0.1914894,9.0,(13|36)
0.1884058,13.0,(12|32)
0.1794872,7.0,(17|38)
0.1637011,46.0,(14|32)
0.1518987,12.0,(8|24)
0.1256831,23.0,(14|31)
0.1111111,1.0,(41|11)
0.1052632,4.0,(16|37)
0.09947644,19.0,(25|28)
0.08450704,6.0,(11|33)
0.08333334,1.0,(30|38)
0.08215298,29.0,(24|27)
0.07746479,11.0,(24|6)
0.07692308,3.0,(39|23)
0.07534247,22.0,(12|36)
0.06896552,2.0,(14|44)
0.06779661,4.0,(10|24)
0.06122449,21.0,(32|21)
0.05645161,7.0,(8|26)
0.05597015,15.0,(8|27)
0.05063291,4.0,(9|26)
0.04958678,6.0,(6|12)
0.04878049,2.0,(45|1)
0.04848485,8.0,(16|28)
0.04705882,12.0,(7|13)
0.04672897,5.0,(8|23)
0.04545455,18.0,(9|29)
0.04301075,8.0,(14|36)
0.04255319,2.0,(38|26)
0.04147466,9.0,(32|22)
0.03913043,9.0,(11|25)
0.03896104,3.0,(12|47)
0.03773585,2.0,(13|31)
0.03745318,10.0,(8|30)
0.03571429,5.0,(24|31)
0.03508772,2.0,(34|36)
0.03191489,6.0,(27|26)
0.03125000,2.0,(14|29)
0.03037383,13.0,(9|30)
0.02919708,4.0,(13|37)
0.02857143,5.0,(41|45)
0.02842377,11.0,(15|26)
0.02816901,2.0,(14|22)
0.02739726,4.0,(32|32)
0.02721088,4.0,(10|25)
0.02643172,6.0,(28|26)
0.02531646,4.0,(10|35)
0.02403846,5.0,(31|21)
0.02380952,1.0,(28|49)
0.02380952,1.0,(29|0)
0.02352941,2.0,(9|27)
0.02343750,3.0,(40|15)
0.02272727,4.0,(11|2)
0.02272727,3.0,(16|13)
0.02247191,2.0,(24|5)
0.02222222,3.0,(10|30)
0.02173913,1.0,(34|2)
0.02150538,2.0,(48|37)
0.02078522,9.0,(40|45)
0.02040816,1.0,(14|25)
0.02013423,3.0,(12|26)
0.02010050,4.0,(19|19)
0.01941748,4.0,(8|29)
0.01941748,2.0,(14|30)
0.01923077,2.0,(0|7)
0.01910828,3.0,(10|29)
0.01886792,4.0,(7|26)
0.01863354,3.0,(6|27)
0.01845018,5.0,(9|28)
0.01818182,1.0,(42|37)
0.01785714,2.0,(45|47)
0.01600000,2.0,(7|48)
0.01534527,6.0,(16|27)
0.01526718,4.0,(15|27)
0.01515152,2.0,(13|38)
0.01503759,2.0,(9|1)
0.01485149,3.0,(43|6)
0.01481481,2.0,(43|32)
0.01470588,1.0,(13|26)
0.01463415,3.0,(9|7)
0.01449275,1.0,(11|32)
0.01379310,2.0,(44|6)
0.01369863,3.0,(24|28)
0.01351351,1.0,(34|12)
0.01333333,4.0,(14|39)
0.01328904,4.0,(6|13)
0.01298701,3.0,(25|24)
0.01269841,4.0,(16|12)
0.01265823,1.0,(9|23)
0.01242236,2.0,(8|2)
0.01239669,3.0,(47|43)
0.01223242,4.0,(25|20)
0.01207729,5.0,(17|27)
0.01190476,1.0,(12|37)
0.01190476,1.0,(21|6)
0.01176471,1.0,(8|25)
0.01169591,2.0,(7|32)
0.01162791,2.0,(35|43)
0.01119403,3.0,(25|23)
0.01111111,7.0,(16|26)
0.01086957,2.0,(10|26)
0.01081081,2.0,(37|1)
0.01063830,1.0,(9|25)
0.01063830,1.0,(37|6)
0.01030928,1.0,(38|13)
0.01030928,2.0,(39|48)
0.01020408,2.0,(10|31)
0.01015228,2.0,(9|35)
0.01010101,1.0,(8|36)
0.009803922,1.0,(20|20)
0.009756098,2.0,(14|12)
0.009615385,2.0,(31|22)
0.009478673,2.0,(14|24)
0.009345794,2.0,(25|2)
0.009174312,1.0,(16|38)
0.009132420,2.0,(34|41)
0.008695652,1.0,(7|12)
0.008695652,1.0,(9|48)
0.008695652,1.0,(36|35)
0.008658009,2.0,(42|40)
0.008474576,1.0,(42|5)
0.008403362,4.0,(40|14)
0.008368201,2.0,(1|16)
0.008368201,2.0,(36|15)
0.008196721,1.0,(22|26)
0.008196721,1.0,(23|43)
0.008196721,1.0,(42|44)
0.008097166,2.0,(36|48)
0.008032128,2.0,(1|7)
0.008000000,2.0,(41|36)
0.007957560,3.0,(49|44)
0.007936508,1.0,(9|24)
0.007905139,2.0,(36|22)
0.007633588,2.0,(34|4)
0.007633588,1.0,(35|37)
0.007604563,2.0,(8|28)
0.007604563,2.0,(42|38)
0.007518797,1.0,(38|10)
0.007462686,1.0,(24|8)
0.007434944,2.0,(22|21)
0.007326007,2.0,(7|30)
0.007246377,1.0,(46|0)
0.007142857,1.0,(8|38)
0.007117438,2.0,(23|8)
0.007092198,1.0,(18|14)
0.006802721,1.0,(46|42)
0.006451613,1.0,(13|16)
0.006329114,1.0,(10|18)
0.006211180,3.0,(39|8)
0.006134969,1.0,(41|24)
0.005952381,1.0,(9|2)
0.005952381,1.0,(38|14)
0.005917160,2.0,(43|37)
0.005681818,1.0,(17|13)
0.005649718,1.0,(12|35)
0.005464481,1.0,(37|10)
0.005434783,1.0,(33|13)
0.005366726,3.0,(29|20)
0.005347594,1.0,(36|4)
0.005319149,1.0,(34|26)
0.005235602,2.0,(30|46)
0.005181347,1.0,(14|1)
0.005102041,1.0,(12|3)
0.005000000,1.0,(13|21)
0.004830918,3.0,(30|1)
0.004807692,1.0,(22|4)
0.004784689,1.0,(11|48)
0.004608295,1.0,(10|1)
0.004587156,1.0,(43|49)
0.004566210,1.0,(14|38)
0.004366812,1.0,(11|14)
0.004366812,1.0,(40|1)
0.004237288,2.0,(31|48)
0.004115226,1.0,(6|20)
0.004098360,1.0,(20|9)
0.004000000,1.0,(2|6)
0.003894839,4.0,(32|23)
0.003861004,1.0,(8|8)
0.003787879,1.0,(25|27)
0.003703704,1.0,(27|2)
0.003676471,1.0,(24|1)
0.003663004,1.0,(48|20)
0.003629764,2.0,(8|1)
0.003367003,1.0,(45|14)
0.003225806,1.0,(24|22)
0.002915452,1.0,(11|6)
0.002906977,1.0,(48|17)
0.002849003,1.0,(8|31)
0.002824859,1.0,(11|1)
0.002824859,1.0,(22|23)
0.002610966,1.0,(10|28)
0.002583979,1.0,(23|20)
0.002538071,1.0,(30|2)
0.002512563,1.0,(20|23)
0.002398082,1.0,(44|43)
0.002237136,1.0,(30|5)
0.002114165,1.0,(14|28)
0.002053388,1.0,(35|44)
0.002020202,1.0,(38|35)
0.001883239,1.0,(28|0)
0.001848429,1.0,(29|21)
0.001459854,1.0,(38|6)
0.001083424,1.0,(48|42)
0.001013171,1.0,(23|27)
0.0007012623,1.0,(10|33)
