Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 262 | Estate Planning-Trusts & Estates (jp:262,idx:77)
Class Probability,Ex Count at BMU,BMU Map Loc
0.01648352,3.0,(44|19)
0.01639344,4.0,(20|9)
0.01639344,2.0,(42|44)
0.01612903,1.0,(10|11)
0.01606426,4.0,(45|18)
0.01570681,3.0,(25|28)
0.01565558,8.0,(8|48)
0.01562500,2.0,(40|28)
0.01526718,2.0,(35|37)
0.01522843,3.0,(9|35)
0.01515152,1.0,(31|38)
0.01503759,2.0,(9|1)
0.01492537,2.0,(26|19)
0.01485149,3.0,(41|21)
0.01483680,5.0,(12|1)
0.01481481,2.0,(43|32)
0.01470588,4.0,(35|40)
0.01459854,2.0,(48|45)
0.01442308,6.0,(27|25)
0.01428571,2.0,(22|0)
0.01428571,4.0,(43|14)
0.01412429,5.0,(11|1)
0.01408451,2.0,(24|6)
0.01408451,1.0,(31|46)
0.01360544,2.0,(29|32)
0.01351351,1.0,(34|12)
0.01348748,7.0,(23|5)
0.01329787,5.0,(1|12)
0.01328904,4.0,(45|16)
0.01310044,3.0,(45|13)
0.01298701,1.0,(47|42)
0.01287554,3.0,(2|32)
0.01282051,1.0,(23|49)
0.01282051,2.0,(43|26)
0.01273885,2.0,(49|10)
0.01265823,1.0,(37|2)
0.01242236,2.0,(8|2)
0.01242236,2.0,(13|44)
0.01226994,2.0,(19|2)
0.01219512,1.0,(10|40)
0.01204819,1.0,(29|19)
0.01183432,2.0,(1|23)
0.01183432,2.0,(30|32)
0.01176471,1.0,(7|2)
0.01169591,2.0,(9|46)
0.01162791,2.0,(37|42)
0.01149425,2.0,(3|7)
0.01149425,2.0,(46|5)
0.01149425,2.0,(47|6)
0.01123596,1.0,(24|5)
0.01123596,1.0,(48|31)
0.01094092,5.0,(23|23)
0.01063830,2.0,(41|32)
0.01052632,1.0,(17|37)
0.01036269,4.0,(25|26)
0.01030928,1.0,(38|13)
0.01030928,2.0,(40|21)
0.01020408,1.0,(13|12)
0.01016949,3.0,(43|13)
0.009966778,3.0,(6|13)
0.009852217,2.0,(47|15)
0.009708738,1.0,(16|3)
0.009615385,2.0,(44|13)
0.009523810,1.0,(19|33)
0.009463723,3.0,(43|17)
0.009380863,5.0,(6|36)
0.009345794,2.0,(18|12)
0.009302326,2.0,(15|37)
0.009302326,2.0,(49|13)
0.009259259,1.0,(23|0)
0.009259259,1.0,(28|33)
0.009259259,1.0,(42|45)
0.009174312,1.0,(22|31)
0.009174312,5.0,(28|23)
0.009174312,2.0,(41|20)
0.009174312,2.0,(44|2)
0.009009009,1.0,(20|21)
0.008849557,2.0,(15|44)
0.008771930,1.0,(9|45)
0.008733625,2.0,(46|21)
0.008714597,4.0,(45|17)
0.008620690,1.0,(38|0)
0.008510638,2.0,(49|19)
0.008474576,2.0,(0|33)
0.008474576,2.0,(36|16)
0.008474576,2.0,(37|21)
0.008474576,1.0,(42|5)
0.008403362,1.0,(43|21)
0.008264462,2.0,(47|43)
0.008000000,2.0,(3|18)
0.007978723,3.0,(20|25)
0.007874016,2.0,(34|24)
0.007843138,2.0,(43|19)
0.007812500,1.0,(12|41)
0.007812500,1.0,(34|35)
0.007772021,3.0,(38|37)
0.007751938,3.0,(23|20)
0.007722008,2.0,(8|8)
0.007518797,1.0,(17|20)
0.007518797,2.0,(23|24)
0.007518797,2.0,(38|20)
0.007393715,4.0,(29|21)
0.007380074,2.0,(40|29)
0.007272727,2.0,(32|45)
0.007272727,2.0,(42|34)
0.007259528,4.0,(8|1)
0.007194245,1.0,(21|29)
0.007194245,2.0,(44|20)
0.007194245,3.0,(44|43)
0.007142857,1.0,(24|31)
0.007142857,1.0,(28|13)
0.007092198,1.0,(4|18)
0.007092198,1.0,(18|11)
0.007092198,1.0,(45|7)
0.006993007,1.0,(5|42)
0.006993007,1.0,(43|40)
0.006896552,1.0,(0|38)
0.006896552,1.0,(10|2)
0.006896552,1.0,(10|48)
0.006849315,1.0,(10|47)
0.006849315,1.0,(20|10)
0.006849315,1.0,(32|32)
0.006802721,2.0,(44|12)
0.006666667,2.0,(14|39)
0.006578947,2.0,(34|27)
0.006535948,2.0,(7|35)
0.006535948,1.0,(18|0)
0.006430868,2.0,(16|23)
0.006369427,1.0,(11|34)
0.006329114,1.0,(10|35)
0.006269592,4.0,(17|23)
0.006250000,1.0,(12|33)
0.006250000,1.0,(43|27)
0.006211180,1.0,(10|3)
0.006211180,1.0,(20|31)
0.006172840,1.0,(29|33)
0.006172840,1.0,(41|14)
0.005899705,2.0,(44|30)
0.005805515,4.0,(20|24)
0.005725191,3.0,(46|14)
0.005714286,1.0,(15|22)
0.005714286,1.0,(41|43)
0.005714286,1.0,(41|45)
0.005617978,1.0,(3|19)
0.005555556,1.0,(35|10)
0.005555556,1.0,(42|32)
0.005514706,3.0,(25|22)
0.005509642,2.0,(42|29)
0.005434783,1.0,(33|13)
0.005319149,1.0,(21|48)
0.005291005,1.0,(44|1)
0.005208333,1.0,(31|32)
0.005167959,2.0,(31|14)
0.005154639,1.0,(1|44)
0.005025126,1.0,(16|42)
0.005012531,2.0,(42|18)
0.004878049,1.0,(5|36)
0.004854369,2.0,(39|45)
0.004830918,1.0,(14|45)
0.004807692,1.0,(31|22)
0.004807692,1.0,(49|31)
0.004784689,1.0,(11|48)
0.004784689,1.0,(26|7)
0.004716981,1.0,(23|21)
0.004716981,1.0,(43|18)
0.004705882,2.0,(18|23)
0.004694836,1.0,(11|0)
0.004672897,1.0,(25|2)
0.004629630,1.0,(4|36)
0.004601227,3.0,(24|25)
0.004504505,1.0,(0|16)
0.004424779,1.0,(46|7)
0.004366812,1.0,(40|1)
0.004273504,1.0,(9|34)
0.004273504,1.0,(11|44)
0.004237288,2.0,(31|48)
0.004228330,2.0,(46|17)
0.004219409,1.0,(21|27)
0.004115226,1.0,(6|20)
0.004115226,1.0,(47|16)
0.003984064,2.0,(31|12)
0.003937008,1.0,(33|12)
0.003731343,1.0,(25|23)
0.003690037,1.0,(9|0)
0.003663004,1.0,(5|11)
0.003616637,2.0,(19|23)
0.003508772,1.0,(18|28)
0.003460208,2.0,(19|25)
0.003424658,1.0,(29|49)
0.003389830,1.0,(42|20)
0.003367003,1.0,(45|14)
0.003267974,1.0,(37|18)
0.003252032,2.0,(22|24)
0.003225806,1.0,(24|22)
0.003194888,1.0,(22|30)
0.003164557,1.0,(31|9)
0.003144654,1.0,(28|43)
0.003058104,1.0,(25|20)
0.003012048,1.0,(34|25)
0.003003003,1.0,(4|27)
0.002958580,1.0,(44|24)
0.002919708,2.0,(38|6)
0.002915452,1.0,(6|32)
0.002824859,1.0,(17|21)
0.002739726,1.0,(9|42)
0.002684564,2.0,(28|2)
0.002659574,1.0,(10|0)
0.002659574,1.0,(17|25)
0.002652520,2.0,(24|0)
0.002652520,1.0,(49|44)
0.002617801,1.0,(7|41)
0.002577320,1.0,(6|1)
0.002570694,1.0,(11|5)
0.002433090,1.0,(20|22)
0.002309469,1.0,(31|44)
0.002288329,1.0,(30|12)
0.002242153,1.0,(41|48)
0.002100840,1.0,(46|24)
0.002083333,1.0,(14|2)
0.002083333,1.0,(25|3)
0.002040816,1.0,(38|45)
0.002026343,2.0,(23|27)
0.001872659,1.0,(42|6)
0.001821494,1.0,(19|26)
0.001689189,1.0,(26|46)
0.001610306,1.0,(30|1)
0.001579779,1.0,(5|35)
0.001555210,1.0,(4|35)
0.001552795,1.0,(8|45)
0.001424501,1.0,(25|46)
0.001406470,1.0,(37|32)
0.001312336,1.0,(23|2)
0.001135074,1.0,(37|46)
0.0009737099,1.0,(32|23)
0.0009363296,1.0,(21|22)
0.0009082652,1.0,(12|0)
