Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 190 | Accounting-Valuation Services (jp:190,idx:34)
Class Probability,Ex Count at BMU,BMU Map Loc
0.8123752,407.0,(26|44)
0.2747253,25.0,(27|43)
0.2583333,31.0,(26|43)
0.08433735,7.0,(27|35)
0.06250000,3.0,(22|35)
0.04878049,2.0,(25|40)
0.04878049,4.0,(27|39)
0.04615385,3.0,(26|38)
0.03571429,5.0,(24|31)
0.02898551,4.0,(44|33)
0.02873563,5.0,(26|39)
0.02380952,2.0,(26|35)
0.02000000,2.0,(25|33)
0.01971831,7.0,(42|31)
0.01904762,2.0,(19|33)
0.01834862,4.0,(27|36)
0.01724138,2.0,(25|31)
0.01694915,2.0,(48|43)
0.01538462,1.0,(21|35)
0.01515152,1.0,(28|37)
0.01454545,4.0,(42|34)
0.01438849,2.0,(25|29)
0.01428571,1.0,(27|37)
0.01388889,1.0,(25|36)
0.01342282,2.0,(43|34)
0.01282051,2.0,(28|35)
0.01250000,1.0,(24|29)
0.01234568,2.0,(3|11)
0.01030928,1.0,(2|40)
0.009259259,1.0,(28|33)
0.009132420,2.0,(27|33)
0.009090909,1.0,(29|37)
0.009049774,2.0,(27|32)
0.008928572,1.0,(23|31)
0.008264462,1.0,(28|34)
0.007272727,2.0,(29|38)
0.007194245,1.0,(47|9)
0.007092198,1.0,(23|28)
0.007092198,1.0,(23|33)
0.006944444,1.0,(27|40)
0.006802721,2.0,(44|12)
0.005780347,1.0,(0|41)
0.005464481,1.0,(29|41)
0.005263158,1.0,(5|45)
0.004926108,1.0,(27|34)
0.004587156,1.0,(41|20)
0.004184100,1.0,(2|43)
0.004132231,1.0,(47|43)
0.003731343,1.0,(25|23)
0.003597122,1.0,(44|20)
0.003584229,1.0,(44|34)
0.003472222,1.0,(41|34)
0.002849003,1.0,(40|18)
0.002754821,1.0,(42|29)
0.002237136,1.0,(30|5)
0.001808318,1.0,(19|23)
0.001083424,1.0,(48|42)
