Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 285 | Bankruptcy Consumer (jp:285,idx:92)
Class Probability,Ex Count at BMU,BMU Map Loc
0.4625850,68.0,(46|42)
0.1250000,1.0,(7|31)
0.08000000,4.0,(45|42)
0.06493507,5.0,(47|42)
0.05263158,1.0,(13|39)
0.05263158,1.0,(17|32)
0.05117707,50.0,(28|46)
0.03636364,2.0,(45|41)
0.02985075,2.0,(45|36)
0.02380952,3.0,(45|39)
0.02222222,2.0,(17|17)
0.02000000,1.0,(6|33)
0.01731602,4.0,(42|40)
0.01694915,3.0,(44|41)
0.01369863,2.0,(46|37)
0.01250000,1.0,(20|6)
0.01200000,3.0,(2|6)
0.01169591,2.0,(45|35)
0.01136364,1.0,(47|41)
0.01111111,1.0,(26|41)
0.01052632,1.0,(17|37)
0.009900990,1.0,(46|41)
0.009615385,1.0,(44|37)
0.009174312,1.0,(11|36)
0.009009009,1.0,(31|37)
0.007812500,1.0,(43|39)
0.007575758,1.0,(13|38)
0.006993007,1.0,(43|40)
0.006802721,1.0,(49|40)
0.006756757,3.0,(42|39)
0.006756757,1.0,(46|38)
0.005917160,2.0,(43|37)
0.005847953,1.0,(7|32)
0.005813953,1.0,(35|43)
0.005291005,1.0,(44|1)
0.005291005,1.0,(46|4)
0.005208333,2.0,(49|39)
0.004618938,2.0,(40|45)
0.004405286,1.0,(28|26)
0.004347826,1.0,(11|25)
0.003913894,2.0,(8|48)
0.003424658,1.0,(6|34)
0.002932551,1.0,(48|40)
0.002915452,1.0,(6|32)
0.002849003,1.0,(8|31)
0.002617801,1.0,(30|46)
0.002409639,1.0,(46|40)
0.002237136,1.0,(30|5)
0.002100840,1.0,(44|40)
0.002000000,1.0,(4|32)
