Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 404 | Tax Law-M&A (jp:404,idx:165)
Class Probability,Ex Count at BMU,BMU Map Loc
0.009900990,2.0,(22|38)
0.009803922,1.0,(20|20)
0.009756098,2.0,(5|36)
0.009646302,3.0,(16|23)
0.009615385,2.0,(21|25)
0.009615385,2.0,(22|22)
0.009569378,2.0,(18|21)
0.009433962,1.0,(5|9)
0.009375000,3.0,(17|28)
0.009216590,2.0,(4|40)
0.009174312,1.0,(11|36)
0.009090909,2.0,(4|12)
0.008968610,2.0,(46|19)
0.008928572,2.0,(10|45)
0.008902078,3.0,(46|20)
0.008695652,2.0,(7|47)
0.008510638,2.0,(45|19)
0.008403362,1.0,(12|43)
0.008264462,1.0,(0|44)
0.008264462,1.0,(28|34)
0.008196721,2.0,(6|2)
0.008000000,2.0,(2|6)
0.008000000,1.0,(26|28)
0.007968128,2.0,(21|30)
0.007843138,2.0,(46|13)
0.007812500,1.0,(12|42)
0.007812500,1.0,(12|49)
0.007692308,1.0,(30|23)
0.007662835,4.0,(46|16)
0.007633588,1.0,(10|39)
0.007633588,2.0,(15|27)
0.007575758,2.0,(49|20)
0.007518797,1.0,(9|1)
0.007504690,4.0,(6|36)
0.007490637,4.0,(19|27)
0.007462686,1.0,(26|19)
0.007462686,2.0,(29|25)
0.007434944,2.0,(21|4)
0.007194245,1.0,(47|9)
0.007142857,1.0,(22|0)
0.007142857,1.0,(24|31)
0.007092198,2.0,(8|40)
0.007042253,1.0,(15|41)
0.007042253,1.0,(24|6)
0.006993007,1.0,(48|32)
0.006896552,1.0,(10|2)
0.006896552,1.0,(10|48)
0.006872852,2.0,(21|32)
0.006872852,2.0,(47|17)
0.006849315,1.0,(7|36)
0.006849315,1.0,(23|22)
0.006802721,1.0,(10|25)
0.006711409,1.0,(6|31)
0.006622517,2.0,(33|27)
0.006578947,1.0,(10|37)
0.006451613,1.0,(21|18)
0.006451613,2.0,(24|22)
0.006289308,1.0,(23|3)
0.006211180,1.0,(10|3)
0.006097561,1.0,(33|6)
0.005917160,1.0,(5|10)
0.005882353,1.0,(7|40)
0.005780347,1.0,(6|42)
0.005714286,2.0,(42|14)
0.005681818,1.0,(8|42)
0.005649718,2.0,(17|21)
0.005633803,2.0,(47|14)
0.005586592,1.0,(45|23)
0.005524862,1.0,(9|40)
0.005479452,2.0,(9|42)
0.005464481,1.0,(6|21)
0.005405406,2.0,(3|10)
0.005405406,1.0,(9|49)
0.005376344,1.0,(18|27)
0.005319149,1.0,(21|48)
0.005291005,1.0,(44|38)
0.005208333,2.0,(49|39)
0.005154639,1.0,(1|44)
0.005154639,1.0,(28|20)
0.005076142,1.0,(9|35)
0.005076142,1.0,(17|30)
0.005025126,1.0,(19|19)
0.004950495,1.0,(3|44)
0.004950495,1.0,(26|20)
0.004807692,1.0,(19|22)
0.004807692,1.0,(31|21)
0.004784689,1.0,(11|48)
0.004784689,2.0,(18|24)
0.004784689,1.0,(48|19)
0.004761905,1.0,(8|41)
0.004716981,1.0,(43|18)
0.004705882,2.0,(35|9)
0.004672897,2.0,(9|30)
0.004629630,1.0,(4|36)
0.004566210,1.0,(30|34)
0.004566210,1.0,(34|41)
0.004524887,1.0,(27|32)
0.004444445,1.0,(45|29)
0.004366812,1.0,(6|39)
0.004329004,1.0,(49|25)
0.004310345,1.0,(6|48)
0.004310345,1.0,(46|26)
0.004273504,2.0,(23|45)
0.004228330,2.0,(46|17)
0.004219409,1.0,(40|7)
