Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 379 | M&A-Front End Contracts (jp:379,idx:143)
Class Probability,Ex Count at BMU,BMU Map Loc
0.03125000,5.0,(0|32)
0.02957486,16.0,(29|21)
0.02890173,5.0,(27|19)
0.02884615,3.0,(0|40)
0.02884615,6.0,(22|4)
0.02884615,3.0,(31|43)
0.02857143,3.0,(6|35)
0.02857143,2.0,(14|49)
0.02836879,4.0,(36|34)
0.02836879,4.0,(37|44)
0.02830189,3.0,(35|38)
0.02739726,4.0,(32|32)
0.02631579,1.0,(20|18)
0.02631579,11.0,(24|23)
0.02620087,6.0,(6|39)
0.02482270,7.0,(8|40)
0.02469136,2.0,(16|2)
0.02459016,6.0,(6|2)
0.02439024,1.0,(45|1)
0.02415459,5.0,(21|43)
0.02409638,2.0,(16|0)
0.02380952,2.0,(13|48)
0.02380952,2.0,(18|47)
0.02366864,4.0,(6|41)
0.02325581,4.0,(1|41)
0.02316602,6.0,(0|36)
0.02290076,3.0,(32|30)
0.02234637,4.0,(48|35)
0.02230483,6.0,(21|4)
0.02222222,1.0,(13|49)
0.02173913,1.0,(0|39)
0.02150538,2.0,(28|41)
0.02112676,3.0,(24|6)
0.02105263,2.0,(1|29)
0.02061856,4.0,(1|44)
0.02054795,3.0,(7|36)
0.02051282,8.0,(33|39)
0.02020202,2.0,(38|33)
0.01986755,3.0,(16|1)
0.01983003,7.0,(21|3)
0.01951220,4.0,(5|36)
0.01941748,4.0,(8|35)
0.01932367,4.0,(14|45)
0.01923077,2.0,(0|37)
0.01895735,4.0,(14|24)
0.01893939,5.0,(30|24)
0.01865672,5.0,(29|25)
0.01851852,2.0,(30|49)
0.01851852,2.0,(49|34)
0.01831502,5.0,(5|11)
0.01807229,3.0,(8|49)
0.01801802,2.0,(14|15)
0.01796407,3.0,(10|17)
0.01785714,2.0,(23|30)
0.01754386,1.0,(4|44)
0.01734104,3.0,(23|10)
0.01709402,2.0,(2|45)
0.01694915,1.0,(8|13)
0.01694915,1.0,(10|24)
0.01694915,2.0,(24|19)
0.01647059,7.0,(35|9)
0.01633987,5.0,(7|35)
0.01626016,2.0,(7|49)
0.01612903,1.0,(17|48)
0.01600000,2.0,(11|20)
0.01587302,1.0,(48|6)
0.01572327,5.0,(18|1)
0.01570681,3.0,(25|28)
0.01562500,1.0,(14|3)
0.01562500,1.0,(37|31)
0.01522843,3.0,(47|35)
0.01515152,1.0,(47|39)
0.01503759,4.0,(23|24)
0.01500938,8.0,(6|36)
0.01492537,1.0,(2|44)
0.01492537,2.0,(7|44)
0.01492537,1.0,(31|2)
0.01472557,11.0,(8|3)
0.01470588,1.0,(9|16)
0.01470588,1.0,(14|21)
0.01470588,4.0,(24|1)
0.01470588,1.0,(48|41)
0.01467890,8.0,(28|23)
0.01463415,3.0,(14|12)
0.01449275,1.0,(28|30)
0.01438849,2.0,(17|26)
0.01408451,2.0,(23|6)
0.01403509,4.0,(26|24)
0.01388889,1.0,(22|5)
0.01369863,2.0,(10|47)
0.01369863,2.0,(11|49)
0.01369863,3.0,(34|41)
0.01351351,1.0,(1|36)
0.01342282,2.0,(6|31)
0.01342282,2.0,(6|43)
0.01324503,2.0,(31|6)
0.01315789,2.0,(10|37)
0.01307190,2.0,(18|0)
0.01300813,8.0,(22|24)
0.01298701,1.0,(27|23)
0.01290323,2.0,(21|18)
0.01282051,1.0,(49|37)
0.01265823,1.0,(12|45)
0.01265823,3.0,(21|27)
0.01261830,4.0,(21|28)
0.01257862,2.0,(23|3)
0.01257862,2.0,(37|34)
0.01252236,7.0,(29|20)
0.01250000,3.0,(43|38)
