Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 50 | Federal (jp:50,idx:0)
Class Probability,Ex Count at BMU,BMU Map Loc
0.008849557,1.0,(44|23)
0.008333334,1.0,(2|21)
0.008333334,2.0,(41|13)
0.008333334,2.0,(43|11)
0.008021390,3.0,(6|10)
0.007984032,4.0,(26|44)
0.007751938,1.0,(46|23)
0.007692308,1.0,(40|26)
0.007272727,2.0,(29|38)
0.007220217,2.0,(43|12)
0.007194245,2.0,(42|30)
0.007194245,1.0,(47|9)
0.007042253,1.0,(43|31)
0.006944444,2.0,(47|19)
0.006849315,2.0,(45|12)
0.006772009,3.0,(19|24)
0.006756757,1.0,(1|14)
0.006711409,3.0,(24|44)
0.006711409,2.0,(43|33)
0.006535948,1.0,(5|8)
0.006535948,2.0,(37|18)
0.006369427,1.0,(49|22)
0.006289308,2.0,(28|43)
0.006250000,1.0,(3|27)
0.006211180,1.0,(10|3)
0.006172840,1.0,(29|33)
0.006134969,1.0,(24|35)
0.005988024,1.0,(0|19)
0.005725191,3.0,(46|14)
0.005649718,1.0,(22|20)
0.005602241,2.0,(7|39)
0.005586592,1.0,(45|23)
0.005555556,1.0,(42|32)
0.005319149,2.0,(1|12)
0.005319149,1.0,(2|14)
0.005154639,1.0,(1|44)
0.005128205,1.0,(37|15)
0.004926108,1.0,(6|9)
0.004807692,1.0,(44|13)
0.004784689,1.0,(18|21)
0.004784689,2.0,(18|24)
0.004784689,1.0,(48|19)
0.004705882,2.0,(18|23)
0.004618938,2.0,(40|45)
0.004587156,1.0,(27|36)
0.004444445,1.0,(23|29)
0.004424779,1.0,(46|7)
0.004329004,1.0,(49|25)
0.004310345,1.0,(21|31)
0.004310345,1.0,(46|26)
0.004237288,1.0,(48|13)
0.004228330,2.0,(46|17)
0.004184100,1.0,(2|43)
0.004081632,1.0,(1|13)
0.003978780,3.0,(24|0)
0.003913894,2.0,(20|26)
0.003891051,1.0,(47|20)
0.003831418,2.0,(46|16)
0.003787879,1.0,(30|24)
0.003703704,1.0,(41|18)
0.003690037,1.0,(40|29)
0.003584229,1.0,(44|34)
0.003508772,1.0,(44|21)
0.003322259,1.0,(45|16)
0.003311258,1.0,(8|7)
0.003105590,1.0,(48|18)
0.003039514,1.0,(15|10)
0.003039514,3.0,(23|27)
0.002985075,1.0,(46|15)
0.002949852,1.0,(41|12)
0.002902758,2.0,(20|24)
0.002873563,1.0,(41|27)
