Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 464 | Corporate D&O Issues (jp:464,idx:199)
Class Probability,Ex Count at BMU,BMU Map Loc
0.2307692,9.0,(13|1)
0.03409091,3.0,(2|1)
0.02000000,1.0,(45|42)
0.01785714,1.0,(3|49)
0.01694915,1.0,(8|13)
0.01587302,1.0,(48|6)
0.01562500,1.0,(14|3)
0.01329787,5.0,(10|0)
0.01250000,1.0,(44|49)
0.01204819,1.0,(16|0)
0.01136364,2.0,(11|2)
0.01098901,1.0,(40|49)
0.01036269,2.0,(14|1)
0.01025641,2.0,(27|24)
0.009803922,1.0,(48|1)
0.008695652,1.0,(9|48)
0.008333334,2.0,(6|49)
0.008333334,1.0,(17|7)
0.008196721,1.0,(15|1)
0.007812500,1.0,(14|0)
0.007246377,1.0,(0|0)
0.007142857,1.0,(5|0)
0.007142857,1.0,(49|0)
0.006896552,1.0,(10|48)
0.006622517,1.0,(48|46)
0.006289308,1.0,(0|1)
0.006250000,3.0,(14|2)
0.006024096,1.0,(19|44)
0.005681818,1.0,(8|42)
0.005076142,2.0,(30|2)
0.004926108,1.0,(6|0)
0.004830918,1.0,(4|49)
0.004608295,1.0,(10|1)
0.004587156,1.0,(44|2)
0.004094166,4.0,(28|46)
0.004081632,1.0,(15|0)
0.004000000,1.0,(41|36)
0.003690037,1.0,(9|0)
0.003401360,2.0,(26|48)
0.003144654,1.0,(18|1)
0.002824859,1.0,(11|1)
0.002739726,1.0,(9|42)
0.002564103,1.0,(33|39)
0.002352941,1.0,(35|9)
0.002309469,1.0,(31|44)
0.002309469,1.0,(40|45)
0.002288329,1.0,(30|12)
0.001956947,1.0,(8|48)
0.001876173,1.0,(6|36)
