Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 215 | Accounting-Compilation & Review (jp:215,idx:42)
Class Probability,Ex Count at BMU,BMU Map Loc
0.1444445,13.0,(26|41)
0.09713376,61.0,(28|45)
0.07594936,6.0,(26|40)
0.07352941,5.0,(27|41)
0.04687500,3.0,(26|36)
0.02439024,2.0,(31|41)
0.02272727,2.0,(24|30)
0.01818182,2.0,(29|37)
0.01694915,3.0,(28|36)
0.01562500,2.0,(25|38)
0.01433692,4.0,(44|34)
0.01226994,2.0,(24|35)
0.01219512,1.0,(27|39)
0.01204819,1.0,(27|35)
0.01098901,1.0,(27|43)
0.01092896,2.0,(23|35)
0.006944444,1.0,(27|40)
0.005747126,1.0,(26|39)
0.004587156,1.0,(27|36)
0.002816901,1.0,(42|31)
0.002092050,1.0,(18|25)
0.001996008,1.0,(26|44)
