Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 91 | ERISA (jp:91,idx:15)
Class Probability,Ex Count at BMU,BMU Map Loc
0.01500000,3.0,(8|17)
0.01492537,2.0,(24|8)
0.01470588,1.0,(13|26)
0.01456311,3.0,(49|12)
0.01453488,5.0,(48|17)
0.01449275,2.0,(10|38)
0.01449275,2.0,(26|25)
0.01449275,1.0,(28|30)
0.01438849,2.0,(17|26)
0.01428571,1.0,(14|49)
0.01428571,2.0,(22|0)
0.01428571,1.0,(44|5)
0.01418440,2.0,(18|11)
0.01415094,3.0,(23|21)
0.01415094,3.0,(43|18)
0.01408451,2.0,(3|36)
0.01408451,1.0,(19|45)
0.01388889,1.0,(42|46)
0.01382488,3.0,(4|40)
0.01369863,4.0,(29|49)
0.01364522,7.0,(29|23)
0.01360544,4.0,(13|6)
0.01357466,3.0,(9|31)
0.01351351,2.0,(9|3)
0.01345291,3.0,(46|19)
0.01342282,2.0,(43|0)
0.01339286,3.0,(10|45)
0.01333333,1.0,(27|49)
0.01306241,9.0,(20|24)
0.01291990,5.0,(15|26)
0.01290323,2.0,(18|18)
0.01265823,1.0,(6|26)
0.01265823,1.0,(9|23)
0.01265823,1.0,(16|19)
0.01265823,7.0,(19|23)
0.01265823,1.0,(37|2)
0.01263823,8.0,(5|35)
0.01250000,1.0,(10|6)
0.01242236,2.0,(10|3)
0.01242236,2.0,(20|31)
0.01234568,1.0,(0|49)
0.01234568,2.0,(3|11)
0.01234568,1.0,(10|27)
0.01214575,3.0,(36|48)
0.01208459,4.0,(2|11)
0.01204819,3.0,(1|7)
0.01204819,1.0,(11|26)
0.01204819,1.0,(44|42)
0.01196172,5.0,(24|23)
0.01194030,4.0,(46|15)
0.01176471,1.0,(1|43)
0.01176471,1.0,(8|25)
0.01176471,1.0,(9|27)
0.01171875,3.0,(33|38)
0.01169591,2.0,(15|6)
0.01168224,5.0,(9|30)
0.01162791,2.0,(1|19)
0.01156069,2.0,(44|22)
0.01136364,2.0,(11|2)
0.01136364,2.0,(27|30)
0.01123596,1.0,(16|21)
0.01119403,3.0,(25|23)
0.01098901,3.0,(7|30)
0.01098901,1.0,(40|49)
0.01098901,1.0,(41|4)
0.01098901,2.0,(44|19)
0.01094092,5.0,(23|23)
0.01081081,2.0,(1|17)
0.01081081,2.0,(37|1)
0.01075269,1.0,(34|31)
0.01063830,4.0,(1|12)
0.01063830,1.0,(9|25)
0.01052632,2.0,(5|45)
0.01052632,1.0,(13|43)
0.01050420,5.0,(9|14)
0.01047120,4.0,(7|41)
0.01047120,4.0,(27|21)
0.01041667,1.0,(39|0)
0.01036269,2.0,(14|1)
0.01023891,3.0,(7|37)
0.01023891,3.0,(44|14)
0.01023018,4.0,(16|27)
0.01020408,1.0,(18|5)
0.01015228,4.0,(30|2)
0.01010101,1.0,(28|38)
0.01010101,1.0,(38|33)
0.01005025,4.0,(21|24)
0.009900990,3.0,(7|4)
0.009900990,1.0,(18|9)
0.009900990,2.0,(20|32)
0.009900990,2.0,(43|6)
0.009803922,1.0,(14|27)
0.009803922,1.0,(16|9)
0.009803922,1.0,(19|30)
0.009756098,2.0,(5|36)
0.009708738,1.0,(22|29)
0.009646302,3.0,(42|17)
0.009615385,2.0,(31|21)
0.009615385,1.0,(31|43)
0.009615385,1.0,(34|32)
0.009569378,2.0,(7|43)
0.009569378,2.0,(11|48)
0.009345794,2.0,(13|7)
0.009259259,2.0,(4|36)
0.009259259,1.0,(23|0)
0.009216590,2.0,(32|22)
0.009174312,2.0,(43|49)
0.009029346,4.0,(19|24)
0.008849557,1.0,(22|49)
0.008810572,2.0,(28|26)
0.008733625,2.0,(45|13)
0.008620690,1.0,(9|39)
0.008620690,1.0,(17|4)
0.008620690,2.0,(46|26)
0.008456660,4.0,(46|17)
0.008368201,2.0,(2|43)
0.008333334,2.0,(43|38)
0.008287293,3.0,(9|37)
