Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 56 | Sales/Use (jp:56,idx:2)
Class Probability,Ex Count at BMU,BMU Map Loc
0.008695652,1.0,(9|44)
0.008403362,1.0,(25|35)
0.008403362,1.0,(44|32)
0.008333334,1.0,(26|43)
0.008108108,3.0,(3|10)
0.007936508,3.0,(46|12)
0.007843138,2.0,(4|13)
0.007782101,2.0,(47|20)
0.007668712,5.0,(24|25)
0.007575758,2.0,(49|20)
0.007575758,1.0,(49|43)
0.007462686,1.0,(25|34)
0.007407407,1.0,(43|32)
0.007326007,2.0,(5|11)
0.007326007,2.0,(48|20)
0.007285974,4.0,(19|26)
0.007272727,2.0,(42|34)
0.007194245,1.0,(17|26)
0.007194245,1.0,(47|9)
0.007058823,3.0,(18|23)
0.006872852,2.0,(21|32)
0.006779661,2.0,(42|20)
0.006779661,2.0,(43|13)
0.006711409,3.0,(24|44)
0.006622517,1.0,(33|32)
0.006535948,2.0,(37|18)
0.006410256,1.0,(28|35)
0.006389776,2.0,(22|30)
0.006250000,1.0,(43|27)
0.006172840,1.0,(3|11)
0.006024096,1.0,(41|17)
0.006006006,2.0,(4|27)
0.005917160,1.0,(1|23)
0.005917160,1.0,(5|10)
0.005917160,1.0,(43|29)
0.005882353,1.0,(44|29)
0.005780347,1.0,(4|11)
0.005780347,1.0,(44|22)
0.005747126,1.0,(41|26)
0.005714286,2.0,(42|14)
0.005649718,1.0,(14|48)
0.005633803,2.0,(47|14)
0.005617978,3.0,(19|27)
0.005571031,2.0,(48|14)
0.005464481,1.0,(23|35)
0.005361930,2.0,(49|16)
0.005319149,2.0,(17|25)
0.005319149,2.0,(20|25)
0.005263158,1.0,(5|21)
0.005235602,2.0,(7|41)
0.005154639,1.0,(1|44)
0.005154639,1.0,(8|39)
0.005102041,2.0,(44|17)
0.005025126,2.0,(21|24)
0.004975124,1.0,(45|26)
0.004950495,1.0,(26|20)
0.004761905,1.0,(49|15)
0.004739337,1.0,(46|10)
0.004702194,3.0,(17|23)
0.004651163,1.0,(49|8)
0.004566210,1.0,(27|33)
0.004545454,1.0,(5|22)
0.004376368,2.0,(23|23)
0.004357298,2.0,(16|24)
0.004255319,1.0,(45|19)
0.004201681,2.0,(40|14)
0.004184100,1.0,(2|43)
0.004184100,1.0,(40|13)
0.004081632,1.0,(1|13)
0.004016064,1.0,(45|18)
0.004000000,1.0,(3|18)
0.003906250,1.0,(47|21)
0.003731343,1.0,(25|23)
0.003717472,1.0,(42|19)
0.003571429,1.0,(21|33)
0.003252032,2.0,(22|24)
0.003236246,1.0,(45|15)
0.003184713,1.0,(48|8)
0.002923977,1.0,(21|23)
0.002902758,2.0,(20|24)
0.002583979,1.0,(23|20)
0.002506266,1.0,(42|18)
0.002309469,1.0,(40|45)
0.002026343,2.0,(23|27)
0.001949318,1.0,(24|46)
0.001277139,1.0,(3|4)
0.0009737099,1.0,(32|23)
