Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 299 | Municipal Litigation (jp:299,idx:105)
Class Probability,Ex Count at BMU,BMU Map Loc
0.1388889,15.0,(35|45)
0.1111111,1.0,(36|12)
0.1111111,1.0,(40|11)
0.1000000,2.0,(8|9)
0.01379310,2.0,(44|6)
0.01149425,1.0,(6|25)
0.01030928,1.0,(40|36)
0.009174312,1.0,(34|45)
0.007407407,2.0,(27|2)
0.006160164,3.0,(35|44)
0.006060606,1.0,(40|44)
0.005434783,1.0,(1|6)
0.004366812,1.0,(40|1)
0.004000000,1.0,(41|36)
0.002932551,1.0,(36|45)
0.001555210,1.0,(4|35)
0.001406470,1.0,(37|32)
0.001095290,1.0,(34|44)
