Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 220 | Accounting-Individual Tax (jp:220,idx:45)
Class Probability,Ex Count at BMU,BMU Map Loc
0.05882353,3.0,(28|32)
0.03333334,4.0,(26|43)
0.02857143,1.0,(30|36)
0.02531646,2.0,(26|40)
0.02354145,23.0,(28|46)
0.01481481,2.0,(43|32)
0.01428571,2.0,(25|37)
0.01129944,2.0,(28|36)
0.008547009,1.0,(41|31)
0.004566210,1.0,(30|34)
0.004405286,1.0,(28|26)
0.002754821,1.0,(42|29)
0.002415459,1.0,(17|27)
