Product ID : 100 # of JPs covered : 1 : 54 : Property / Excise, 
OID,Confidence at Map Node,Error at Map Node
us_000478738,0.649963, 0.244877
us_000524191,0.649963, 0.246796
us_000523868,0.649963, 0.248831
us_000494458,0.649963, 0.248831
us_000505009,0.649963, 0.250983
us_000574403,0.649963, 0.250983
us_000495897,0.649963, 0.253252
us_000481118,0.649963, 0.253252
us_000500808,0.649963, 0.255637
us_000533622,0.649963, 0.263491
us_000484448,0.649963, 0.266343
us_000535093,0.649963, 0.269310
us_000483661,0.649963, 0.272395
us_000523677,0.649963, 0.272395
us_000528055,0.649963, 0.272395
us_000494373,0.649963, 0.409125
pr_000432508,0.612217, 0.000000
pr_000432547,0.612217, 0.000000
pr_001142610,0.612217, 0.000113
pr_001671953,0.612217, 0.000193
us_000380360,0.612217, 0.152820
us_000583819,0.612217, 0.158655
us_000484692,0.612217, 0.166972
us_000533894,0.612217, 0.178257
us_000550644,0.612217, 0.189491
us_000586255,0.612217, 0.195003
us_000483756,0.612217, 0.206374
us_000550117,0.612217, 0.212900
us_000521307,0.612217, 0.213489
us_000428351,0.612217, 0.218548
us_000209960,0.612217, 0.222909
us_000479534,0.612217, 0.232445
us_000505042,0.612217, 0.238165
us_000485337,0.612217, 0.247293
us_000516858,0.612217, 0.247293
us_000533825,0.612217, 0.247293
us_000482831,0.612217, 0.250243
us_000533844,0.612217, 0.250243
us_000472402,0.612217, 0.250243
us_000505702,0.612217, 0.250243
us_000528717,0.612217, 0.250243
us_000522960,0.612217, 0.253309
us_000516305,0.612217, 0.253309
us_000460046,0.612217, 0.253309
us_000293144,0.612217, 0.253309
us_000522269,0.612217, 0.253309
us_000499887,0.612217, 0.253309
us_000523635,0.612217, 0.253309
us_000521539,0.612217, 0.253309
us_000522081,0.612217, 0.254423
us_000466881,0.612217, 0.256492
us_000474012,0.612217, 0.259792
us_000574572,0.612217, 0.263208
us_000574622,0.612217, 0.263208
us_000546728,0.433813, 0.000000
us_000539503,0.433813, 0.000000
pr_001891432,0.433813, 0.000000
pr_001787374,0.433813, 0.000000
pr_001773619,0.433813, 0.000000
pr_001892018,0.433813, 0.000000
us_000280299,0.433813, 0.916396
us_000012856,0.433813, 0.957611
us_000013507,0.433813, 1.131725
us_000554195,0.433813, 1.156728
us_000529911,0.433813, 1.196600
us_000519794,0.433813, 1.322831
us_000497648,0.433813, 1.346013
us_000469107,0.433813, 1.361186
us_000300352,0.433813, 1.372901
us_000296439,0.433813, 1.373197
us_000484495,0.433813, 1.435567
us_000472482,0.433813, 1.449647
us_000472118,0.433813, 1.456075
us_000473916,0.433813, 1.458196
us_000471894,0.433813, 1.464792
us_000501307,0.433813, 1.470856
us_000478445,0.433813, 1.476373
us_000506282,0.433813, 1.485404
us_000466831,0.433813, 1.485979
us_000022713,0.433813, 1.522879
us_000426466,0.433813, 1.524853
us_000107482,0.433813, 1.536232
us_000521825,0.433813, 1.536739
us_000501553,0.433813, 1.549692
us_000493375,0.433813, 1.550795
us_000557080,0.433813, 1.553958
us_000513627,0.433813, 1.557913
us_000494478,0.433813, 1.564699
us_000444611,0.433813, 1.587164
us_000467345,0.433813, 1.591710
us_000355547,0.433813, 1.596551
us_000232499,0.433813, 1.596613
us_000472083,0.433813, 1.603140
us_000504143,0.433813, 1.610733
us_000527884,0.433813, 1.612954
us_000232458,0.433813, 1.614371
us_000347003,0.433813, 1.614392
us_000498463,0.433813, 1.618664
us_000472411,0.433813, 1.640933
us_000112543,0.433813, 1.643959
us_000465321,0.433813, 1.652017
us_000296784,0.433813, 1.653254
us_000488897,0.433813, 1.664055
us_000478407,0.433813, 1.702047
us_000472074,0.433813, 1.703437
us_000479838,0.433813, 1.708996
us_000468971,0.433813, 1.727351
us_000584802,0.398418, 0.000000
pr_000638804,0.398418, 0.000000
pr_001152326,0.398418, 0.000000
us_000476056,0.398418, 0.000117
us_000476325,0.398418, 0.000120
us_000487861,0.398418, 0.000303
us_000561039,0.398418, 0.000316
us_000552516,0.398418, 0.000702
us_000495836,0.398418, 0.030969
us_000215466,0.398418, 0.455335
us_000506319,0.398418, 0.513743
us_000472092,0.398418, 0.514113
us_000525217,0.398418, 0.566189
us_000520138,0.398418, 0.584594
us_000494927,0.398418, 0.594740
us_000489429,0.398418, 0.607298
us_000526515,0.398418, 0.629164
us_000447424,0.398418, 0.631369
us_000481712,0.398418, 0.634680
us_000517644,0.398418, 0.641647
us_000553243,0.398418, 0.645474
us_000464625,0.398418, 0.651080
us_000471991,0.398418, 0.662943
us_000525042,0.398418, 0.666736
us_000466867,0.398418, 0.668717
us_000466859,0.398418, 0.673731
us_000479886,0.398418, 0.676656
us_000468359,0.398418, 0.680078
us_000234120,0.398418, 0.681381
us_000482803,0.398418, 0.694226
us_000468264,0.398418, 0.701774
us_000492974,0.398418, 0.704467
us_000533941,0.398418, 0.708521
us_000472222,0.398418, 0.709125
us_000497897,0.398418, 0.709980
us_000489043,0.398418, 0.713110
us_000560392,0.398418, 0.716245
us_000534047,0.398418, 0.716837
us_000508712,0.398418, 0.721491
us_000238869,0.398418, 0.722175
us_000243248,0.398418, 0.722552
us_000517409,0.398418, 0.724667
us_000301543,0.398418, 0.725661
us_000526950,0.398418, 0.728152
us_000482900,0.398418, 0.730089
us_000526953,0.398418, 0.730577
us_000533619,0.398418, 0.730660
us_000116809,0.398418, 0.730906
us_000517068,0.398418, 0.731451
us_000484087,0.398418, 0.733353
us_000480358,0.398418, 0.738364
us_000524216,0.398418, 0.738364
us_000465014,0.398418, 0.738364
us_000554477,0.398418, 0.738980
us_000480357,0.398418, 0.740788
us_000506790,0.398418, 0.744732
us_000528663,0.398418, 0.747058
us_000487907,0.398418, 0.747706
us_000517942,0.398418, 0.753199
us_000506406,0.398418, 0.756492
us_000525957,0.398418, 0.765315
us_000511356,0.398418, 0.769963
us_000487003,0.398418, 0.784316
us_000524622,0.398418, 0.785773
us_000484588,0.398418, 0.786353
us_000531073,0.398418, 0.811787
us_000540524,0.398418, 0.902362
us_000086581,0.354373, 0.001482
us_000000533,0.354373, 0.008817
pr_001050205,0.354373, 0.030668
us_000513497,0.354373, 0.031785
us_000473819,0.354373, 0.034637
us_000485301,0.354373, 0.036409
us_000517230,0.354373, 0.036666
us_000529016,0.354373, 0.037032
us_000416446,0.354373, 0.037440
us_000506733,0.354373, 0.038120
us_000479234,0.354373, 0.038209
us_000562398,0.354373, 0.038623
us_000560337,0.354373, 0.038695
us_000482877,0.354373, 0.038873
us_000498828,0.354373, 0.038873
us_000229542,0.354373, 0.039533
us_000497686,0.354373, 0.040966
us_000488036,0.354373, 0.040966
us_000507163,0.354373, 0.040966
us_000478947,0.354373, 0.040966
us_000482733,0.354373, 0.041360
us_000535578,0.354373, 0.041967
us_000517066,0.354373, 0.042533
us_000504110,0.354373, 0.043536
us_000239406,0.354373, 0.044077
us_000242744,0.354373, 0.044077
us_000466341,0.354373, 0.044238
us_000506886,0.354373, 0.044238
us_000482587,0.354373, 0.044627
us_000501427,0.354373, 0.045449
us_000486272,0.354373, 0.045754
us_000531183,0.354373, 0.046332
us_000560191,0.354373, 0.046332
us_000559850,0.354373, 0.046332
us_000527146,0.354373, 0.046332
us_000481588,0.354373, 0.046332
us_000474000,0.354373, 0.046332
us_000501390,0.354373, 0.048158
us_000491775,0.354373, 0.048637
us_000356721,0.354373, 0.049324
us_000478970,0.354373, 0.049731
us_000505123,0.354373, 0.049731
us_000479543,0.354373, 0.051242
us_000479541,0.354373, 0.051242
us_000508469,0.354373, 0.051631
us_000506246,0.354373, 0.052584
us_000500441,0.354373, 0.052869
us_000499429,0.354373, 0.052869
us_000533671,0.354373, 0.052869
us_000425031,0.354373, 0.052869
us_000501284,0.354373, 0.052869
us_000500887,0.354373, 0.052869
us_000501278,0.354373, 0.052869
us_000482893,0.354373, 0.052869
pr_001101246,0.354373, 0.054138
us_000508411,0.354373, 0.054569
us_000505469,0.354373, 0.054614
us_000499875,0.354373, 0.054614
us_000544513,0.354373, 0.054614
us_000527900,0.354373, 0.054614
us_000479636,0.354373, 0.054614
us_000528094,0.354373, 0.054614
us_000534671,0.354373, 0.054614
us_000472130,0.354373, 0.054614
us_000490547,0.354373, 0.054614
us_000498261,0.354373, 0.054620
us_000472596,0.354373, 0.055714
us_000481900,0.354373, 0.056474
us_000487297,0.354373, 0.056474
us_000466814,0.354373, 0.056474
us_000464809,0.354373, 0.056474
us_000533761,0.354373, 0.056474
