Product ID : 2074 # of JPs covered : 1 : 398 : RP Finance-Lending, 
us_000536638,1.000000, 9.885546
us_000536392,1.000000, 10.219716
us_000556005,0.973896, 0.000000
us_000561867,0.973896, 0.000000
us_000583571,0.973896, 0.000000
us_000609869,0.973896, 0.000000
us_000587702,0.973896, 0.000000
us_000614230,0.973896, 0.000000
us_000594589,0.973896, 0.000000
us_000564486,0.973896, 0.000000
us_000608585,0.973896, 0.000000
us_000571941,0.973896, 0.000000
us_000526673,0.973896, 0.000000
us_000514465,0.973896, 0.000000
us_000615324,0.973896, 0.000000
us_000520659,0.973896, 0.000000
us_000518872,0.973896, 0.000000
us_000510383,0.973896, 0.000000
us_000557045,0.973896, 0.000000
us_000483302,0.973896, 0.000000
us_000566511,0.973896, 0.000000
us_000480554,0.973896, 0.000000
us_000484897,0.973896, 0.000000
us_000568936,0.973896, 0.000000
us_000481478,0.973896, 0.000000
pr_001198356,0.973896, 0.000000
us_000459965,0.973896, 0.000000
us_000561609,0.973896, 0.000000
pr_000512936,0.973896, 0.000001
pr_000553708,0.973896, 0.000001
pr_000525022,0.973896, 0.000001
us_000566717,0.973896, 0.000005
us_000488177,0.973896, 0.000005
us_000555845,0.973896, 0.000005
pr_000547930,0.973896, 0.000006
pr_001159357,0.973896, 0.000006
us_000590277,0.973896, 0.000007
us_000566916,0.973896, 0.000008
us_000558506,0.973896, 0.000008
us_000589284,0.973896, 0.000015
us_000582837,0.973896, 0.000240
us_000596575,0.973896, 0.000686
us_000609144,0.973896, 0.000794
us_000584686,0.973896, 0.000828
us_000617081,0.973896, 0.000863
us_000579349,0.973896, 0.001431
us_000599987,0.973896, 0.001849
us_000599695,0.973896, 0.001849
us_000572177,0.973896, 0.002521
us_000549376,0.973896, 0.003183
us_000598769,0.973896, 0.003353
us_000584434,0.973896, 0.004975
us_000501268,0.973896, 0.007158
us_000523697,0.973896, 0.016723
us_000580430,0.973896, 0.030038
us_000496334,0.973896, 0.048682
us_000468274,0.973896, 4.406743
us_000553362,0.973896, 4.538523
us_000523992,0.973896, 5.194504
us_000547588,0.973896, 5.391441
us_000539626,0.973896, 6.676672
us_000535163,0.973896, 6.939778
us_000460249,0.973896, 7.183022
us_000524201,0.973896, 7.585209
us_000553375,0.973896, 8.848219
us_000500796,0.512615, 0.000000
pr_001708016,0.512615, 0.000000
pr_000347321,0.512615, 0.000025
us_000554989,0.512615, 0.000055
us_000474038,0.512615, 0.000081
pr_000992116,0.512615, 0.000101
us_000562351,0.512615, 0.000109
us_000484459,0.512615, 0.000131
us_000035002,0.512615, 0.000131
us_000468571,0.512615, 0.000607
us_000477177,0.512615, 0.000757
us_000467797,0.512615, 0.002155
us_000470665,0.512615, 0.049782
us_000536363,0.512615, 0.237095
us_000563610,0.512615, 1.603246
us_000484144,0.512615, 1.930516
us_000588435,0.512615, 1.940181
us_000491353,0.512615, 2.108172
us_000583568,0.512615, 2.136757
us_000519538,0.512615, 2.187341
us_000597181,0.512615, 2.187347
us_000577725,0.512615, 2.209202
us_000483238,0.512615, 2.254474
us_000531831,0.512615, 2.269098
us_000535150,0.512615, 2.316240
us_000569917,0.512615, 2.476861
us_000543551,0.512615, 2.519060
us_000597203,0.512615, 2.544502
us_000541636,0.512615, 2.550375
us_000541637,0.512615, 2.571108
us_000482021,0.512615, 2.702424
us_000483167,0.512615, 2.715072
us_000572133,0.512615, 2.755579
us_000143088,0.512615, 2.763723
us_000472338,0.447168, 0.000000
us_000471243,0.447168, 0.000000
us_000515758,0.447168, 0.000000
pr_000735974,0.447168, 0.000001
pr_002006777,0.447168, 0.000001
us_000525240,0.447168, 0.000001
us_000464409,0.447168, 0.000002
us_000539301,0.447168, 0.000002
us_000541449,0.447168, 0.000002
pr_000750203,0.447168, 0.000004
pr_001894874,0.447168, 0.000006
us_000537888,0.447168, 0.000009
pr_002066217,0.447168, 0.000014
us_000510426,0.447168, 0.000023
us_000518842,0.447168, 0.000030
pr_001963351,0.447168, 0.000036
pr_001930435,0.447168, 0.000036
us_000537897,0.447168, 0.000061
us_000537922,0.447168, 0.000061
pr_001884506,0.447168, 0.000087
us_000503686,0.447168, 0.000159
us_000519328,0.447168, 0.000248
us_000441576,0.447168, 0.000263
us_000508831,0.447168, 0.000349
us_000512067,0.447168, 0.000349
us_000508799,0.447168, 0.000349
pr_001021085,0.447168, 0.000371
us_000521577,0.447168, 0.000510
us_000550742,0.447168, 0.000547
pr_000791139,0.447168, 0.000562
pr_001089198,0.447168, 0.000562
pr_000822658,0.447168, 0.000562
pr_000744957,0.447168, 0.000610
us_000484930,0.447168, 0.000615
pr_000886452,0.447168, 0.000629
pr_000880013,0.447168, 0.000629
us_000463914,0.447168, 0.000642
pr_000274758,0.447168, 0.000660
us_000542656,0.447168, 0.000807
pr_000289167,0.447168, 0.000914
pr_001611410,0.447168, 0.000931
us_000466827,0.447168, 0.000948
us_000539375,0.447168, 0.000987
pr_000562899,0.447168, 0.001170
us_000467129,0.447168, 0.001461
us_000599052,0.447168, 0.002507
us_000509297,0.447168, 0.003076
us_000486085,0.447168, 0.003112
us_000520640,0.447168, 0.003294
us_000492918,0.447168, 0.003344
us_000543433,0.447168, 0.003416
pr_001018053,0.447168, 0.003455
us_000535835,0.447168, 0.003694
us_000537949,0.447168, 0.005143
us_000106058,0.447168, 0.005842
us_000580820,0.447168, 0.007428
us_000559191,0.447168, 0.007515
us_000515699,0.447168, 0.007522
us_000542328,0.447168, 0.007790
us_000598055,0.447168, 0.008061
us_000506858,0.447168, 0.008871
us_000568739,0.447168, 0.010266
us_000567553,0.447168, 0.010913
us_000568680,0.447168, 0.011957
us_000470418,0.447168, 0.012760
us_000533657,0.447168, 0.012852
us_000542961,0.447168, 0.014734
us_000487783,0.447168, 0.017237
us_000498982,0.447168, 0.017759
us_000557514,0.447168, 0.017989
us_000566715,0.447168, 0.019626
us_000575454,0.447168, 0.020177
us_000163426,0.447168, 0.023441
us_000480432,0.447168, 0.026936
us_000472790,0.447168, 0.035748
us_000589732,0.447168, 0.043366
us_000525393,0.447168, 0.044941
us_000568938,0.447168, 0.050226
us_000480335,0.447168, 0.050962
us_000495291,0.447168, 0.056536
us_000589275,0.447168, 0.073321
us_000579268,0.447168, 0.081077
us_000494628,0.447168, 0.103556
us_000495488,0.447168, 0.162111
us_000482659,0.447168, 0.169227
us_000553948,0.447168, 0.228592
us_000554548,0.287772, 0.000000
us_000512893,0.287772, 0.000000
us_000514144,0.287772, 0.000000
us_000569176,0.287772, 0.000000
us_000540248,0.287772, 0.000000
us_000556752,0.287772, 0.000000
us_000508752,0.287772, 0.000000
us_000541197,0.287772, 0.000000
us_000520191,0.287772, 0.000000
us_000547211,0.287772, 0.000000
us_000513104,0.287772, 0.000000
us_000548735,0.287772, 0.000000
us_000520571,0.287772, 0.000000
us_000513150,0.287772, 0.000000
us_000563527,0.287772, 0.000000
us_000565803,0.287772, 0.000000
us_000566392,0.287772, 0.000000
us_000594032,0.287772, 0.000000
us_000584807,0.287772, 0.000000
us_000472443,0.287772, 0.000000
us_000468096,0.287772, 0.000000
us_000538281,0.287772, 0.000000
us_000541285,0.287772, 0.000000
us_000531792,0.287772, 0.000000
us_000512765,0.287772, 0.000000
us_000513749,0.287772, 0.000000
us_000597981,0.287772, 0.000000
us_000586165,0.287772, 0.000000
us_000521149,0.287772, 0.000000
us_000575964,0.287772, 0.000000
us_000531826,0.287772, 0.000000
us_000588165,0.287772, 0.000000
pr_001146805,0.287772, 0.000000
pr_000910415,0.287772, 0.000000
pr_001155516,0.287772, 0.000000
us_000510892,0.287772, 0.000000
us_000542756,0.287772, 0.000000
us_000581299,0.287772, 0.000009
pr_001050845,0.287772, 0.000009
us_000583522,0.287772, 0.000011
us_000595472,0.287772, 0.000011
us_000569882,0.287772, 0.000014
us_000569805,0.287772, 0.000014
us_000509150,0.287772, 0.000014
us_000565590,0.287772, 0.000014
pr_001673484,0.287772, 0.000015
us_000547831,0.287772, 0.000031
us_000597560,0.287772, 0.000038
us_000598293,0.287772, 0.000041
pr_000941310,0.287772, 0.000043
pr_000958077,0.287772, 0.000076
pr_001800144,0.287772, 0.000093
us_000040060,0.287772, 0.000109
pr_000882501,0.287772, 0.000156
pr_000820095,0.287772, 0.000156
pr_000816738,0.287772, 0.000160
pr_001150673,0.287772, 0.000204
us_000608611,0.287772, 0.000241
us_000478689,0.287772, 0.000292
us_000587766,0.287772, 0.000296
us_000484245,0.287772, 0.000478
pr_002095206,0.287772, 0.000568
us_000538248,0.287772, 0.000646
us_000509763,0.287772, 0.000936
us_000574346,0.287772, 0.001978
us_000544973,0.287772, 0.002947
us_000616713,0.287772, 0.003863
us_000518302,0.287772, 0.003906
us_000501962,0.287772, 0.003943
us_000542153,0.287772, 0.004854
us_000488166,0.287772, 0.010519
us_000510710,0.287772, 0.015015
us_000514395,0.287772, 0.016266
us_000585792,0.287772, 0.027209
us_000568275,0.287772, 0.032085
us_000480771,0.287772, 0.037798
us_000579485,0.287772, 0.050068
us_000097887,0.287772, 0.055109
us_000545568,0.287772, 0.179087
us_000475597,0.287772, 3.276980
us_000474913,0.287772, 3.679645
us_000485572,0.287772, 3.749323
us_000474853,0.287772, 3.953918
pr_000815375,0.277491, 0.000000
us_000222681,0.277491, 0.000001
us_000464555,0.277491, 0.000001
us_000459719,0.277491, 0.000001
us_000476950,0.277491, 0.000001
us_000550551,0.277491, 0.000001
us_000503609,0.277491, 0.000001
us_000118389,0.277491, 0.000001
us_000458996,0.277491, 0.000001
us_000483211,0.277491, 0.000001
us_000458557,0.277491, 0.000001
us_000564950,0.277491, 0.000001
us_000127683,0.277491, 0.000001
us_000485510,0.277491, 0.000001
us_000477716,0.277491, 0.000001
us_000498262,0.277491, 0.000001
us_000459865,0.277491, 0.000001
us_000472371,0.277491, 0.000001
us_000458766,0.277491, 0.000001
us_000478674,0.277491, 0.000001
us_000474761,0.277491, 0.000001
us_000488997,0.277491, 0.000001
us_000458685,0.277491, 0.000001
us_000474263,0.277491, 0.000001
us_000051293,0.277491, 0.000001
us_000493164,0.277491, 0.000001
us_000500533,0.277491, 0.000001
us_000259105,0.277491, 0.000001
us_000563890,0.277491, 0.000001
us_000506662,0.277491, 0.000001
us_000506035,0.277491, 0.000002
pr_000762444,0.277491, 0.000003
pr_000765291,0.277491, 0.000006
us_000555788,0.277491, 0.000014
us_000481970,0.277491, 0.000014
us_000492365,0.277491, 0.000014
us_000564083,0.277491, 0.000014
us_000533126,0.277491, 0.000015
us_000613819,0.277491, 0.000027
us_000452165,0.277491, 0.000030
pr_001875570,0.277491, 0.000037
us_000550195,0.277491, 0.000038
us_000591898,0.277491, 0.000060
pr_000290742,0.277491, 0.000121
us_000480138,0.277491, 0.000397
pr_002081041,0.277491, 0.000433
us_000562944,0.277491, 0.001115
us_000471675,0.277491, 0.001117
us_000493938,0.277491, 0.001642
us_000230803,0.277491, 0.002455
us_000481214,0.277491, 0.002467
us_000589824,0.277491, 0.003105
us_000590075,0.277491, 0.006217
us_000591738,0.277491, 0.008062
us_000528381,0.277491, 0.008178
us_000564004,0.277491, 0.011864
us_000581121,0.277491, 0.016336
us_000518874,0.277491, 0.017066
us_000529065,0.277491, 0.017811
us_000529401,0.277491, 0.019960
us_000563683,0.277491, 0.022533
us_000530869,0.277491, 0.031560
us_000512515,0.277491, 0.076988
us_000504308,0.277491, 0.096200
us_000458943,0.277491, 8.278928
us_000553041,0.243795, 0.000000
us_000552308,0.243795, 0.000000
pr_001644419,0.243795, 0.000000
us_000567686,0.243795, 0.000000
us_000534668,0.243795, 0.000000
us_000567680,0.243795, 0.000000
us_000571706,0.243795, 0.000000
us_000553099,0.243795, 0.000000
us_000552105,0.243795, 0.000000
us_000552103,0.243795, 0.000000
us_000534696,0.243795, 0.000000
us_000503598,0.243795, 0.000000
us_000498930,0.243795, 0.000000
us_000523009,0.243795, 0.000000
us_000528890,0.243795, 0.000000
us_000504446,0.243795, 0.000000
us_000555385,0.243795, 0.000000
us_000489506,0.243795, 0.000000
us_000498541,0.243795, 0.000000
us_000498444,0.243795, 0.000000
pr_000594926,0.243795, 0.000002
pr_000888948,0.243795, 0.000002
pr_001071050,0.243795, 0.000003
pr_000837717,0.243795, 0.000004
pr_001070843,0.243795, 0.000007
pr_001111011,0.243795, 0.000010
pr_001816886,0.243795, 0.000010
pr_000945480,0.243795, 0.000017
pr_000737528,0.243795, 0.000019
pr_001671998,0.243795, 0.000020
pr_000563130,0.243795, 0.000028
pr_001705915,0.243795, 0.000039
us_000606569,0.243795, 0.000044
us_000599477,0.243795, 0.000112
us_000460541,0.243795, 0.000675
us_000478077,0.243795, 0.000705
us_000536994,0.243795, 0.000879
us_000542906,0.243795, 0.000909
us_000503156,0.243795, 0.001068
us_000475086,0.243795, 0.001075
us_000514786,0.243795, 0.001088
us_000496794,0.243795, 0.001132
us_000594844,0.243795, 0.001325
us_000550677,0.243795, 0.001611
us_000498933,0.243795, 0.001893
us_000478617,0.243795, 0.001925
us_000577298,0.243795, 0.002137
us_000497079,0.243795, 0.002565
us_000516751,0.243795, 0.002677
us_000478183,0.243795, 0.003127
us_000542089,0.243795, 0.003305
us_000501803,0.243795, 0.003769
us_000614369,0.243795, 0.004512
us_000505246,0.243795, 0.006259
us_000499614,0.243795, 0.007320
us_000542579,0.243795, 0.009862
us_000483650,0.243795, 0.010035
us_000477095,0.243795, 0.010301
us_000566346,0.243795, 0.010845
us_000562589,0.243795, 0.015323
us_000475890,0.243795, 0.015475
us_000565017,0.243795, 0.017221
us_000582549,0.243795, 0.018585
us_000546377,0.243795, 0.021337
us_000575308,0.243795, 0.026354
us_000469801,0.243795, 0.030733
us_000538390,0.243795, 0.031518
us_000463636,0.243795, 0.034271
us_000587536,0.243795, 0.065471
us_000314503,0.243795, 0.127623
us_000529455,0.243795, 6.773587
us_000587547,0.243795, 8.514680
pr_000126181,0.184007, 0.000000
pr_001897446,0.184007, 0.000000
pr_001814224,0.184007, 0.000000
us_000492258,0.184007, 0.000000
us_000517469,0.184007, 0.000000
us_000540698,0.184007, 0.000000
us_000534258,0.184007, 0.000000
pr_001015782,0.184007, 0.000007
pr_000586966,0.184007, 0.000008
us_000535800,0.184007, 0.000009
us_000502683,0.184007, 0.000009
pr_000092802,0.184007, 0.000015
pr_000940761,0.184007, 0.000019
pr_002194887,0.184007, 0.000084
us_000616796,0.184007, 0.000123
pr_002000658,0.184007, 0.000156
us_000500634,0.184007, 0.000731
us_000522820,0.184007, 0.001117
us_000570218,0.184007, 0.003637
us_000474631,0.184007, 0.005417
us_000488246,0.184007, 0.006335
us_000478609,0.184007, 0.008827
us_000518504,0.184007, 0.010181
us_000585626,0.184007, 0.042574
us_000481008,0.184007, 0.059249
us_000503723,0.184007, 3.209715
us_000503569,0.184007, 3.334985
us_000513935,0.184007, 3.351085
us_000475720,0.184007, 3.354909
us_000514647,0.184007, 3.386618
us_000510238,0.184007, 3.396344
us_000483894,0.184007, 3.413551
us_000478547,0.184007, 3.419238
us_000503612,0.184007, 3.420614
us_000503722,0.184007, 3.463832
us_000460216,0.184007, 3.485619
us_000169563,0.184007, 3.486275
us_000491930,0.184007, 3.486275
us_000510776,0.184007, 3.486549
us_000492372,0.184007, 3.486549
us_000483945,0.184007, 3.490046
us_000491939,0.184007, 3.494789
us_000496605,0.184007, 3.497142
us_000497014,0.184007, 3.497142
us_000511716,0.184007, 3.497142
us_000503743,0.184007, 3.504153
us_000510172,0.184007, 3.515334
us_000141268,0.184007, 4.588162
us_000460208,0.184007, 5.905212
us_000540928,0.149336, 0.000000
us_000521021,0.149336, 0.000000
pr_001397469,0.149336, 0.000007
us_000571770,0.149336, 0.002450
us_000570834,0.149336, 0.006052
us_000494338,0.149336, 0.011881
us_000571609,0.149336, 0.652826
us_000540495,0.149336, 0.712723
us_000478683,0.149336, 0.727940
us_000572521,0.149336, 0.749617
us_000576379,0.149336, 0.797752
us_000567970,0.149336, 0.804625
us_000484971,0.149336, 0.805366
us_000514862,0.149336, 0.813742
us_000590097,0.149336, 0.817861
us_000584311,0.149336, 0.820591
us_000569130,0.149336, 0.825349
us_000561413,0.149336, 0.831000
us_000597062,0.149336, 0.846189
us_000485576,0.149336, 0.851613
us_000127336,0.149336, 0.856402
us_000592116,0.149336, 0.861012
us_000579680,0.149336, 0.862523
us_000570492,0.149336, 0.862605
us_000492232,0.149336, 0.863010
us_000537765,0.149336, 0.867697
us_000519382,0.149336, 0.873375
us_000526042,0.149336, 0.874355
us_000572652,0.149336, 0.881962
us_000539947,0.149336, 0.883693
us_000493003,0.149336, 0.883968
us_000529747,0.149336, 0.888523
us_000526121,0.149336, 0.891908
us_000564600,0.149336, 0.894713
us_000527775,0.149336, 0.896485
us_000525630,0.149336, 0.897318
us_000535465,0.149336, 0.900271
us_000558371,0.149336, 0.900814
us_000514586,0.149336, 0.904613
us_000549894,0.149336, 0.905797
us_000006011,0.149336, 0.906729
us_000548556,0.149336, 0.911165
us_000599391,0.149336, 0.916386
us_000522019,0.149336, 0.917685
us_000068325,0.149336, 0.920290
us_000595864,0.149336, 0.920659
us_000582446,0.149336, 0.924958
us_000496396,0.149336, 1.329364
pr_000091335,0.134304, 0.000000
pr_000172255,0.134304, 0.000000
pr_000172701,0.134304, 0.000000
pr_000181349,0.134304, 0.000000
pr_000106847,0.134304, 0.000000
pr_000187056,0.134304, 0.000000
pr_000187147,0.134304, 0.000000
pr_000187423,0.134304, 0.000000
pr_000981686,0.134304, 0.000000
pr_001405255,0.134304, 0.000000
us_000483929,0.134304, 0.000000
pr_000622317,0.134304, 0.000001
pr_001139688,0.134304, 0.000001
pr_001034193,0.134304, 0.000001
pr_001621824,0.134304, 0.000001
pr_001671979,0.134304, 0.000001
pr_000653136,0.134304, 0.000001
pr_001872686,0.134304, 0.000008
pr_001614152,0.134304, 0.000010
pr_001165736,0.134304, 0.000010
pr_001147835,0.134304, 0.000010
pr_000691527,0.134304, 0.000016
pr_000783823,0.134304, 0.000016
us_000035173,0.134304, 0.000024
us_000487683,0.134304, 0.000111
pr_000634782,0.134304, 0.000167
pr_000830038,0.134304, 0.000211
pr_000859311,0.134304, 0.000214
pr_000927804,0.134304, 0.000214
pr_001734011,0.134304, 0.000214
pr_000901096,0.134304, 0.000220
pr_000853500,0.134304, 0.000232
pr_001062537,0.134304, 0.000234
pr_001932440,0.134304, 0.000234
pr_000785154,0.134304, 0.000331
pr_000986717,0.134304, 0.000490
pr_000721458,0.134304, 0.000857
pr_001605667,0.134304, 0.001215
us_000479834,0.134304, 0.001356
us_000592592,0.134304, 0.004274
us_000499813,0.134304, 0.007693
us_000497010,0.134304, 0.890752
us_000496869,0.134304, 1.043329
us_000556391,0.134304, 1.076110
us_000518125,0.134304, 1.148308
us_000554420,0.019580, 0.000000
us_000580571,0.019580, 0.000000
us_000549425,0.019580, 0.002148
us_000020682,0.019580, 0.075571
us_000509102,0.019580, 0.224742
us_000019224,0.019580, 0.258403
us_000556381,0.019580, 0.268855
us_000544515,0.019580, 0.281502
us_000535708,0.019580, 0.295781
us_000594453,0.019580, 0.307565
us_000522016,0.019580, 0.311107
us_000461512,0.019580, 0.325707
us_000559381,0.019580, 0.331916
us_000578665,0.019580, 0.356939
us_000412547,0.019580, 0.368861
us_000476013,0.019580, 0.369647
us_000517118,0.019580, 0.374404
us_000556897,0.019580, 0.376182
us_000593993,0.019580, 0.380750
us_000559611,0.019580, 0.384047
us_000560422,0.019580, 0.388127
us_000574372,0.019580, 0.397874
us_000567895,0.019580, 0.401285
us_000558489,0.019580, 0.405908
us_000559622,0.019580, 0.407178
us_000509410,0.019580, 0.409453
us_000560492,0.019580, 0.415833
us_000593174,0.019580, 0.418901
us_000589300,0.019580, 0.420653
us_000580093,0.019580, 0.420732
us_000497049,0.019580, 0.420832
us_000465951,0.019580, 0.422531
us_000509374,0.019580, 0.424863
us_000517128,0.019580, 0.425522
us_000509375,0.019580, 0.429530
us_000151600,0.019580, 0.436062
us_000462093,0.019580, 0.438284
us_000569119,0.019580, 0.441589
us_000020074,0.019580, 0.443634
us_000483295,0.019580, 0.445809
us_000560491,0.019580, 0.447063
us_000536753,0.019580, 0.448663
us_000541763,0.019580, 0.453237
us_000614208,0.019580, 0.453666
us_000589384,0.019580, 0.454673
us_000519574,0.019580, 0.454950
us_000473810,0.019580, 0.455257
us_000583558,0.019580, 0.455500
us_000537696,0.019580, 0.456902
us_000580536,0.019580, 0.463276
us_000499378,0.019580, 0.464263
us_000588783,0.019580, 0.467610
us_000605900,0.019580, 0.468074
us_000585625,0.019580, 0.468358
us_000582052,0.019580, 0.468966
us_000498861,0.019580, 0.470036
us_000605912,0.019580, 0.470405
us_000589095,0.019580, 0.472432
us_000537740,0.019580, 0.473875
us_000556918,0.019580, 0.478648
us_000556404,0.019580, 0.483161
us_000465328,0.019580, 0.483221
us_000581578,0.019580, 0.484733
us_000529317,0.019580, 0.491731
us_000417805,0.019580, 0.492374
us_000474199,0.019580, 0.494806
us_000496973,0.019580, 0.494848
us_000461527,0.019580, 0.497517
us_000517126,0.019580, 0.504100
us_000522012,0.019580, 0.504886
us_000019377,0.019580, 0.506338
us_000600560,0.019580, 0.506749
us_000588818,0.019580, 0.508652
us_000020314,0.019580, 0.514201
us_000099990,0.019580, 0.517912
us_000545896,0.019580, 0.524297
us_000223062,0.019580, 0.527335
us_000564467,0.019580, 0.529466
us_000213254,0.019580, 0.530490
us_000541178,0.019580, 0.532734
us_000598751,0.019580, 0.536732
us_000458746,0.019580, 0.539389
us_000418382,0.019580, 0.550403
us_000548825,0.019580, 0.559565
us_000020533,0.019580, 0.569527
us_000543606,0.019580, 0.575556
us_000529341,0.019580, 0.576321
us_000564446,0.019580, 0.597805
us_000566704,0.019580, 0.609516
us_000541707,0.019580, 0.625089
us_000478857,0.019580, 0.653716
us_000548836,0.019580, 0.694516
us_000539667,0.019580, 0.766123
us_000564476,0.019580, 0.788357
us_000560773,0.019580, 0.791134
us_000483355,0.019580, 0.856323
us_000467858,0.019580, 0.917664
us_000172847,0.019580, 1.006904
us_000553018,0.019580, 1.098259
us_000537724,0.019580, 1.214966
us_000222144,0.019580, 1.221652
us_000020348,0.019580, 1.304176
us_000473716,0.019580, 1.815820
us_000458584,0.019580, 2.688638
us_000458662,0.019580, 3.810843
