Product ID : 7834 # of JPs covered : 1 : 433 : Personal Injury-Trial-Strategies, 
OID,Confidence at Map Node,Error at Map Node
pr_000176505,1.000000,0.000000
pr_000727595,1.000000,0.000000
pr_000187646,1.000000,0.000000
pr_000846748,1.000000,0.000000
pr_000604328,1.000000,0.000000
pr_001640791,1.000000,0.000000
pr_001595348,1.000000,0.000002
us_000585502,1.000000,0.000006
us_000574922,1.000000,0.000017
us_000496568,1.000000,0.000017
us_000568022,1.000000,0.000590
us_000621047,1.000000,0.005283
us_000621034,1.000000,0.007936
us_000518257,1.000000,0.050744
us_000621868,1.000000,0.089814
us_000621128,1.000000,0.215781
us_000495663,1.000000,0.505977
us_000494890,1.000000,3.424582
us_000549382,1.000000,3.735527
us_000480668,1.000000,4.343014
us_000587892,1.000000,4.491929
us_000567033,1.000000,4.505597
us_000506559,1.000000,4.506074
us_000622073,1.000000,4.508338
us_000487472,1.000000,4.545301
us_000494914,1.000000,4.551448
us_000620937,1.000000,4.599422
us_000621278,1.000000,4.613835
us_000619848,1.000000,4.634797
us_000567136,1.000000,4.676082
us_000614367,1.000000,4.688221
us_000599315,1.000000,4.693990
us_000606019,1.000000,4.699902
us_000558216,1.000000,4.702154
us_000536443,1.000000,4.702495
us_000489748,1.000000,4.705862
us_000617558,1.000000,4.713566
us_000544333,1.000000,4.723478
us_000617862,1.000000,4.724051
us_000545305,1.000000,4.737276
us_000549295,1.000000,4.751337
us_000558937,1.000000,4.768915
us_000614289,1.000000,4.777466
us_000615743,1.000000,4.780153
us_000537085,1.000000,4.782664
us_000605091,1.000000,4.783487
us_000615708,1.000000,4.795588
us_000513319,1.000000,4.806195
us_000614412,1.000000,4.810854
us_000530986,1.000000,4.811646
us_000613937,1.000000,4.813048
us_000620867,1.000000,4.813068
us_000474216,1.000000,4.814608
us_000620072,1.000000,4.821315
us_000597183,1.000000,4.821833
us_000620420,1.000000,4.823517
us_000495533,1.000000,4.823826
us_000620377,1.000000,4.825733
us_000620632,1.000000,4.827433
us_000620064,1.000000,4.827899
us_000620760,1.000000,4.828917
us_000558644,1.000000,4.829975
us_000620073,1.000000,4.833053
us_000620005,1.000000,4.833321
us_000620068,1.000000,4.833331
us_000619981,1.000000,4.833522
us_000593256,1.000000,4.834314
us_000620063,1.000000,4.834314
us_000531037,1.000000,4.836684
us_000471770,1.000000,4.839095
us_000606910,1.000000,4.847624
us_000621578,1.000000,4.848429
us_000487529,1.000000,4.848921
us_000620046,1.000000,4.849550
us_000619730,1.000000,4.849750
us_000616136,1.000000,4.854363
us_000609349,1.000000,4.856136
us_000525906,1.000000,4.856381
us_000607579,1.000000,4.856933
us_000606946,1.000000,4.858791
us_000572864,1.000000,4.861104
us_000609371,1.000000,4.862922
us_000609095,1.000000,4.865454
us_000614322,1.000000,4.873898
us_000606173,1.000000,4.874565
us_000608548,1.000000,4.884631
us_000554790,1.000000,4.897872
us_000615348,1.000000,4.907378
us_000554570,1.000000,4.913994
us_000471703,1.000000,4.923605
us_000518853,1.000000,4.929304
us_000608655,1.000000,4.931784
us_000495494,1.000000,4.936500
us_000531301,1.000000,4.939115
us_000478997,1.000000,4.940501
us_000554745,1.000000,4.990287
us_000620761,1.000000,5.027781
us_000617658,1.000000,5.033951
us_000513248,1.000000,5.035693
us_000536804,1.000000,5.107152
us_000513704,1.000000,5.130446
us_000605714,1.000000,5.164661
us_000567580,1.000000,5.179121
us_000615506,1.000000,5.205178
us_000549140,1.000000,5.213097
us_000560970,1.000000,5.269037
us_000536722,1.000000,5.328392
us_000619672,1.000000,5.418213
us_000614116,1.000000,5.650556
us_000606158,1.000000,5.656413
us_000620766,1.000000,5.708584
us_000619360,1.000000,6.970594
us_000489520,1.000000,7.456631
pr_000992080,0.930471,0.000000
pr_001676777,0.930471,0.000000
pr_000618926,0.930471,0.000000
us_000524395,0.930471,0.000000
pr_000765951,0.930471,0.000000
pr_001667576,0.930471,0.000001
us_000622521,0.930471,0.000106
us_000589054,0.930471,0.000134
us_000532796,0.930471,0.000220
us_000620817,0.930471,0.000397
us_000617994,0.930471,0.000448
us_000611886,0.930471,0.000474
us_000597030,0.930471,0.000642
us_000595480,0.930471,0.000653
us_000615374,0.930471,0.000703
us_000612113,0.930471,0.000788
us_000613505,0.930471,0.001042
us_000612378,0.930471,0.001389
pr_001798400,0.930471,0.001628
pr_001790756,0.930471,0.001714
us_000579298,0.930471,0.002171
us_000500328,0.930471,0.002432
us_000545932,0.930471,0.004129
us_000485362,0.930471,0.006109
us_000581313,0.930471,0.839217
us_000621269,0.930471,2.392639
us_000621145,0.930471,2.410830
us_000618909,0.930471,2.575911
us_000582027,0.930471,2.579456
us_000619209,0.930471,2.637980
us_000592736,0.930471,2.638028
us_000586855,0.930471,2.644941
us_000556173,0.930471,2.645778
us_000592869,0.930471,2.647251
us_000619029,0.930471,2.648031
us_000557073,0.930471,2.648256
us_000618899,0.930471,2.648796
us_000556240,0.930471,2.650481
us_000618096,0.930471,2.652242
us_000617230,0.930471,2.657446
us_000621058,0.930471,2.660652
us_000612287,0.930471,2.661186
us_000617528,0.930471,2.662290
us_000617526,0.930471,2.662291
us_000617525,0.930471,2.662292
us_000617524,0.930471,2.662292
us_000618208,0.930471,2.662511
us_000618207,0.930471,2.662512
us_000618206,0.930471,2.662513
us_000618902,0.930471,2.662563
us_000617495,0.930471,2.662795
us_000504531,0.930471,2.663204
us_000617365,0.930471,2.666478
us_000617870,0.930471,2.666516
us_000188772,0.930471,2.667477
us_000618012,0.930471,2.668009
us_000617363,0.930471,2.668047
us_000612269,0.930471,2.668093
us_000617851,0.930471,2.668683
us_000583379,0.930471,2.669372
us_000617874,0.930471,2.669994
us_000132603,0.930471,2.670296
us_000165185,0.930471,2.673204
us_000543729,0.930471,2.674305
us_000543621,0.930471,2.676883
us_000616975,0.930471,2.677181
us_000616974,0.930471,2.677185
us_000616536,0.930471,2.678215
us_000616439,0.930471,2.678298
us_000616435,0.930471,2.678587
us_000616413,0.930471,2.678889
us_000562533,0.930471,2.680062
us_000617364,0.930471,2.680440
us_000581045,0.930471,2.681418
us_000544057,0.930471,2.682357
us_000615988,0.930471,2.685503
us_000516912,0.930471,2.687708
us_000546851,0.930471,2.689010
us_000557466,0.930471,2.689841
us_000562535,0.930471,2.698521
us_000618494,0.930471,2.708762
us_000616775,0.930471,2.713380
us_000609447,0.930471,2.727485
us_000616313,0.930471,2.732655
us_000616312,0.930471,2.732657
us_000616173,0.930471,2.734053
us_000616171,0.930471,2.734054
us_000616170,0.930471,2.734055
us_000616027,0.930471,2.736632
us_000587690,0.930471,2.741766
us_000358828,0.930471,2.761371
us_000612838,0.930471,2.763734
us_000562335,0.930471,3.078930
us_000617399,0.930471,3.086512
us_000616882,0.930471,3.131448
us_000587234,0.930471,3.174661
us_000616928,0.930471,3.707996
us_000615822,0.930471,4.076096
us_000620991,0.930471,4.244925
us_000524981,0.830582,0.000000
us_000462487,0.830582,0.000000
us_000551718,0.830582,0.000001
pr_002072108,0.830582,0.000028
pr_002238718,0.830582,0.000031
pr_002164825,0.830582,0.000031
pr_002231070,0.830582,0.000031
pr_001874717,0.830582,0.000031
pr_001953629,0.830582,0.000031
pr_000984075,0.830582,0.000032
pr_000736167,0.830582,0.000032
pr_002143298,0.830582,0.000032
pr_002075868,0.830582,0.000034
pr_002099185,0.830582,0.000035
pr_002173050,0.830582,0.000036
pr_001007552,0.830582,0.000036
pr_000712221,0.830582,0.000036
pr_001113275,0.830582,0.000037
pr_002110449,0.830582,0.000037
pr_001857297,0.830582,0.000040
pr_001921716,0.830582,0.000040
pr_002076861,0.830582,0.000041
pr_001921354,0.830582,0.000044
pr_001873327,0.830582,0.000044
pr_001707506,0.830582,0.000045
pr_000858982,0.830582,0.000046
pr_002062695,0.830582,0.000046
pr_001817762,0.830582,0.000051
pr_001662951,0.830582,0.000051
pr_000713782,0.830582,0.000051
pr_001749996,0.830582,0.000056
pr_001415297,0.830582,0.000069
pr_000912380,0.830582,0.000094
pr_002099133,0.830582,0.000097
pr_001951833,0.830582,0.000106
pr_000783963,0.830582,0.000119
pr_000604756,0.830582,0.000119
us_000511713,0.830582,0.000133
pr_000940460,0.830582,0.000133
pr_001820535,0.830582,0.000136
pr_000756035,0.830582,0.000136
pr_000764913,0.830582,0.000137
pr_000762942,0.830582,0.000137
pr_000742416,0.830582,0.000137
pr_000954923,0.830582,0.000137
pr_001016137,0.830582,0.000138
pr_001014265,0.830582,0.000139
pr_001065274,0.830582,0.000139
pr_000640183,0.830582,0.000142
pr_000954725,0.830582,0.000142
pr_000908242,0.830582,0.000142
pr_000998108,0.830582,0.000143
pr_000760780,0.830582,0.000143
pr_000846888,0.830582,0.000144
pr_000223741,0.830582,0.000147
pr_000903863,0.830582,0.000151
pr_002106142,0.830582,0.000165
pr_001019651,0.830582,0.000167
pr_000595812,0.830582,0.000167
pr_000918027,0.830582,0.000170
pr_000928903,0.830582,0.000172
pr_001601831,0.830582,0.000172
pr_001637919,0.830582,0.000188
pr_001074546,0.830582,0.000196
pr_001702350,0.830582,0.000207
pr_000939731,0.830582,0.000209
pr_000967025,0.830582,0.000231
pr_000835097,0.830582,0.000251
us_000484418,0.830582,0.000285
us_000534373,0.830582,0.000288
us_000296592,0.830582,0.000295
pr_000224202,0.830582,0.000325
pr_002274009,0.830582,0.000382
pr_001068801,0.830582,0.000386
us_000270966,0.830582,0.000439
pr_001662292,0.830582,0.000462
pr_001764165,0.830582,0.000466
pr_001976533,0.830582,0.000474
pr_001025927,0.830582,0.000484
us_000620791,0.830582,0.000503
pr_000924301,0.830582,0.000622
pr_000958317,0.830582,0.000622
pr_001050970,0.830582,0.000622
pr_000931311,0.830582,0.000626
pr_000944817,0.830582,0.000628
pr_000956513,0.830582,0.000629
pr_001048915,0.830582,0.000632
pr_000957281,0.830582,0.000633
pr_000887942,0.830582,0.000638
us_000038094,0.830582,0.000642
pr_000763940,0.830582,0.000657
pr_000958007,0.830582,0.000661
us_000497401,0.830582,0.000933
pr_001010173,0.830582,0.000955
us_000556276,0.830582,0.000955
us_000210425,0.830582,0.000984
pr_001036347,0.830582,0.001012
us_000474923,0.830582,0.001039
pr_000891368,0.830582,0.001090
us_000603898,0.830582,0.001170
pr_000920742,0.830582,0.001188
pr_000760273,0.830582,0.001197
us_000607052,0.830582,0.001527
pr_002284755,0.830582,0.001735
pr_001765126,0.830582,0.001768
