Product ID : 2093 # of JPs covered : 1 : 122 : Municipal Law/Eminent Domain, 
us_000597469,1.000000, 2.151967
us_000597856,1.000000, 2.151967
us_000598936,1.000000, 2.160802
us_000598203,1.000000, 2.162384
us_000477312,1.000000, 2.176216
us_000507016,1.000000, 2.177412
us_000484012,1.000000, 2.193366
us_000508847,1.000000, 2.202819
us_000485188,1.000000, 2.203598
us_000485059,1.000000, 2.204029
us_000597383,1.000000, 2.204725
us_000614326,1.000000, 2.214453
us_000565694,1.000000, 2.214474
us_000592674,1.000000, 2.214791
us_000596234,1.000000, 2.217741
us_000559613,1.000000, 2.226227
us_000485487,1.000000, 2.230005
us_000508460,1.000000, 2.238080
us_000585270,1.000000, 2.249118
us_000506943,1.000000, 2.254953
us_000528596,1.000000, 2.255072
us_000560943,1.000000, 2.255072
us_000561400,1.000000, 2.255072
us_000566443,1.000000, 2.262597
us_000596961,1.000000, 2.267024
us_000564070,1.000000, 2.267024
us_000566374,1.000000, 2.267024
us_000498286,1.000000, 2.267024
us_000560924,1.000000, 2.267024
us_000482946,1.000000, 2.276045
us_000567817,1.000000, 2.292711
us_000581374,1.000000, 2.300294
us_000597065,1.000000, 2.310014
us_000493059,1.000000, 2.335544
us_000512954,0.956947, 0.777701
us_000551706,0.956947, 0.790734
us_000581673,0.956947, 1.011988
us_000498422,0.956947, 1.031712
us_000588235,0.956947, 1.034507
us_000595709,0.956947, 1.049358
us_000595076,0.956947, 1.075871
us_000531128,0.956947, 1.105130
us_000582593,0.956947, 1.127668
us_000556996,0.956947, 1.129010
us_000582608,0.956947, 1.137366
us_000563883,0.956947, 1.153041
us_000560136,0.956947, 1.155263
us_000508163,0.956947, 1.172120
us_000605757,0.956947, 1.175896
us_000582654,0.956947, 1.184816
us_000586927,0.956947, 1.184985
us_000615074,0.956947, 1.184985
us_000583780,0.956947, 1.203668
us_000583783,0.956947, 1.203668
us_000583782,0.956947, 1.203668
us_000583779,0.956947, 1.203668
us_000581266,0.956947, 1.206856
us_000589687,0.956947, 1.232435
us_000588516,0.956947, 1.232435
us_000582553,0.956947, 1.232435
us_000588194,0.956947, 1.232435
us_000592949,0.956947, 1.232435
us_000594597,0.956947, 1.232435
us_000586015,0.956947, 1.232435
us_000582576,0.956947, 1.232435
us_000587595,0.956947, 1.246682
us_000557026,0.956947, 1.458802
us_000594451,0.956947, 1.517931
us_000541320,0.956947, 1.566242
us_000480608,0.956947, 1.589805
us_000550116,0.956947, 1.611852
us_000493261,0.956947, 1.631048
us_000484914,0.956947, 1.697229
us_000483898,0.956947, 1.697229
us_000486365,0.956947, 1.703843
us_000493358,0.956947, 1.707868
us_000548946,0.956947, 1.708186
us_000514026,0.956947, 1.710556
us_000513203,0.956947, 1.710556
us_000492305,0.956947, 1.712411
us_000587694,0.956947, 1.717875
us_000471325,0.956947, 1.720641
us_000496238,0.956947, 1.730238
us_000603040,0.956947, 1.730571
us_000582747,0.956947, 1.745340
us_000597143,0.956947, 1.768119
us_000581019,0.956947, 1.773733
us_000593775,0.956947, 1.779618
us_000592313,0.956947, 1.783228
us_000592332,0.956947, 1.786999
us_000560929,0.956947, 1.787004
us_000595140,0.956947, 1.796588
us_000584590,0.956947, 1.796588
us_000592316,0.956947, 1.796588
us_000602077,0.956947, 1.796588
us_000503296,0.956947, 1.806277
us_000483140,0.956947, 1.810092
us_000564695,0.956947, 1.810092
us_000581911,0.956947, 1.810092
us_000604679,0.956947, 1.810119
us_000485035,0.956947, 1.815012
us_000597108,0.956947, 1.818788
us_000577890,0.956947, 1.818788
us_000596281,0.956947, 1.818788
us_000567493,0.956947, 1.818788
us_000552758,0.956947, 1.818788
us_000596730,0.956947, 1.818788
us_000568876,0.956947, 1.818788
us_000568923,0.956947, 1.818788
us_000508930,0.956947, 1.831706
us_000581701,0.956947, 1.841697
us_000528131,0.956947, 1.845183
us_000584499,0.956947, 1.855327
us_000588333,0.956947, 1.856372
us_000615120,0.956947, 1.856372
us_000582815,0.956947, 1.869274
us_000592331,0.956947, 1.869274
us_000589296,0.956947, 1.871609
us_000584851,0.956947, 1.871609
us_000582704,0.956947, 1.871609
us_000582672,0.956947, 1.871609
us_000584921,0.956947, 1.871609
us_000589482,0.956947, 1.871609
us_000581452,0.956947, 1.871609
us_000581255,0.956947, 1.871609
us_000582706,0.956947, 1.871609
us_000582674,0.956947, 1.871609
us_000599032,0.956947, 1.875054
us_000611039,0.956947, 1.875054
us_000610846,0.956947, 1.875054
us_000598434,0.956947, 1.875054
us_000599024,0.956947, 1.875054
us_000582669,0.956947, 1.878665
us_000582114,0.956947, 1.881099
us_000583565,0.956947, 1.882441
us_000610597,0.956947, 1.882441
us_000615995,0.956947, 1.884544
us_000615010,0.956947, 1.884544
us_000578062,0.956947, 1.884544
us_000598474,0.956947, 1.884544
us_000616426,0.956947, 1.884544
us_000579285,0.956947, 1.885856
us_000507798,0.956947, 1.887655
us_000585342,0.956947, 1.888155
us_000614829,0.956947, 1.888155
us_000585341,0.956947, 1.888155
us_000592327,0.956947, 1.891931
us_000592333,0.956947, 1.891931
us_000592330,0.956947, 1.891931
us_000592326,0.956947, 1.891931
us_000582255,0.956947, 1.891931
us_000511033,0.956947, 1.894133
us_000486312,0.956947, 1.895204
us_000587325,0.956947, 1.897096
us_000592315,0.956947, 1.897744
us_000598575,0.956947, 1.897744
us_000604385,0.956947, 1.897744
us_000598578,0.956947, 1.897744
us_000589480,0.956947, 1.897744
us_000615208,0.956947, 1.897744
us_000598577,0.956947, 1.897744
us_000598574,0.956947, 1.897744
us_000591589,0.956947, 1.897744
us_000577316,0.956947, 1.897744
us_000492048,0.956947, 1.897744
us_000580981,0.956947, 1.897744
us_000615309,0.956947, 1.897744
us_000508205,0.956947, 1.897744
us_000610027,0.956947, 1.897744
us_000580919,0.956947, 1.897744
us_000585327,0.956947, 1.897744
us_000580992,0.956947, 1.897744
us_000597146,0.956947, 1.897744
us_000598576,0.956947, 1.897744
us_000581528,0.956947, 1.897744
us_000603080,0.956947, 1.897744
us_000605219,0.956947, 1.897744
us_000579320,0.956947, 1.900376
us_000581722,0.956947, 1.900911
us_000600425,0.956947, 1.901520
us_000580436,0.956947, 1.901520
us_000473047,0.956947, 1.901520
us_000591961,0.956947, 1.901520
us_000600597,0.956947, 1.901520
us_000592587,0.956947, 1.901520
us_000584560,0.956947, 1.901520
us_000600604,0.956947, 1.901520
us_000600607,0.956947, 1.901520
us_000600183,0.956947, 1.901520
us_000600606,0.956947, 1.901520
us_000600603,0.956947, 1.901520
us_000582061,0.956947, 1.901520
us_000580435,0.956947, 1.901520
us_000600598,0.956947, 1.901520
us_000579841,0.956947, 1.901520
us_000600185,0.956947, 1.901520
us_000600602,0.956947, 1.901520
us_000615865,0.956947, 1.901520
us_000581950,0.956947, 1.901520
us_000600599,0.956947, 1.901520
us_000610080,0.956947, 1.901520
us_000592317,0.956947, 1.901520
us_000600184,0.956947, 1.901520
us_000588955,0.956947, 1.903821
us_000612150,0.956947, 1.903821
us_000612076,0.956947, 1.903821
us_000566641,0.956947, 1.906734
us_000598193,0.956947, 1.907432
us_000598196,0.956947, 1.907432
us_000598199,0.956947, 1.907432
us_000598192,0.956947, 1.907432
us_000598198,0.956947, 1.907432
us_000598200,0.956947, 1.907432
us_000598026,0.956947, 1.907432
us_000581589,0.956947, 1.907432
us_000598197,0.956947, 1.907432
us_000598194,0.956947, 1.907432
us_000598039,0.956947, 1.907432
us_000585338,0.956947, 1.907432
us_000582468,0.956947, 1.908297
us_000598195,0.956947, 1.909237
us_000590894,0.956947, 1.911208
us_000581071,0.956947, 1.911208
us_000598450,0.956947, 1.911208
us_000582736,0.956947, 1.911208
us_000600904,0.956947, 1.911208
us_000592606,0.956947, 1.911208
us_000586781,0.956947, 1.911208
us_000584347,0.956947, 1.911208
us_000609457,0.956947, 1.911208
us_000589225,0.956947, 1.911208
us_000570068,0.956947, 1.911208
us_000601072,0.956947, 1.911208
us_000597780,0.956947, 1.911208
us_000591235,0.956947, 1.911208
us_000602358,0.956947, 1.911208
us_000579786,0.956947, 1.911208
us_000592318,0.956947, 1.911208
us_000592321,0.956947, 1.911208
us_000584375,0.956947, 1.911208
us_000592324,0.956947, 1.911208
us_000606963,0.956947, 1.911208
us_000616924,0.956947, 1.911208
us_000601081,0.956947, 1.911208
us_000597517,0.956947, 1.911208
us_000597431,0.956947, 1.911208
us_000472801,0.956947, 1.911208
us_000582627,0.956947, 1.911208
us_000582613,0.956947, 1.911208
us_000601073,0.956947, 1.911208
us_000591117,0.956947, 1.911208
us_000584370,0.956947, 1.911208
us_000585343,0.956947, 1.911208
us_000598316,0.956947, 1.911208
us_000588993,0.956947, 1.911208
us_000615719,0.956947, 1.911208
us_000584782,0.956947, 1.911208
us_000597141,0.956947, 1.911208
us_000581195,0.956947, 1.911208
us_000584328,0.956947, 1.911208
us_000584325,0.956947, 1.911208
us_000576993,0.956947, 1.911208
us_000584319,0.956947, 1.911208
us_000584224,0.956947, 1.911208
us_000585307,0.956947, 1.911208
us_000584330,0.956947, 1.911208
us_000602078,0.956947, 1.911208
us_000616751,0.956947, 1.911208
us_000615027,0.956947, 1.911208
us_000584658,0.956947, 1.911208
us_000617073,0.956947, 1.911208
us_000616885,0.956947, 1.911208
us_000592320,0.956947, 1.911208
us_000616823,0.956947, 1.911208
us_000580084,0.956947, 1.911208
us_000597125,0.956947, 1.911208
us_000582622,0.956947, 1.911208
us_000591500,0.956947, 1.911208
us_000582619,0.956947, 1.911208
us_000582710,0.956947, 1.911208
us_000508527,0.956947, 1.911208
us_000584324,0.956947, 1.911208
us_000584327,0.956947, 1.911208
us_000584321,0.956947, 1.911208
us_000582559,0.956947, 1.911208
us_000598202,0.956947, 1.911208
us_000586783,0.956947, 1.911208
us_000600846,0.956947, 1.911208
us_000598711,0.956947, 1.911208
us_000584326,0.956947, 1.911208
us_000588992,0.956947, 1.911208
us_000584291,0.956947, 1.911208
us_000584377,0.956947, 1.911208
us_000592789,0.956947, 1.911208
us_000584191,0.956947, 1.911208
us_000597864,0.956947, 1.911208
us_000593932,0.956947, 1.911208
us_000610008,0.956947, 1.911208
us_000615513,0.956947, 1.911208
us_000584320,0.956947, 1.911208
us_000598201,0.956947, 1.911208
us_000584323,0.956947, 1.911208
us_000598210,0.956947, 1.911208
us_000599683,0.956947, 1.911208
us_000582620,0.956947, 1.911208
us_000600982,0.956947, 1.911208
us_000506369,0.956947, 1.912926
us_000603474,0.956947, 1.913131
us_000565942,0.956947, 1.917608
us_000574126,0.956947, 1.919575
us_000605805,0.956947, 1.934085
us_000556329,0.884422, 0.000000
us_000568180,0.884422, 0.000000
us_000602848,0.884422, 0.000000
us_000566498,0.884422, 0.000000
us_000568156,0.884422, 0.000000
us_000525767,0.884422, 0.000000
us_000538518,0.884422, 0.000000
us_000617502,0.884422, 0.000000
us_000575644,0.884422, 0.000000
us_000616491,0.884422, 0.000000
us_000616489,0.884422, 0.000000
us_000616486,0.884422, 0.000000
us_000597002,0.884422, 0.000000
us_000601271,0.884422, 0.000000
us_000581070,0.884422, 0.000001
us_000610511,0.884422, 0.000001
us_000567564,0.884422, 0.000001
us_000583624,0.884422, 0.000002
us_000573375,0.884422, 0.000003
us_000573416,0.884422, 0.000003
us_000617068,0.884422, 0.000003
us_000608506,0.884422, 0.000005
us_000612428,0.884422, 0.000073
pr_001663565,0.884422, 0.000137
pr_001667677,0.884422, 0.000239
us_000488450,0.884422, 0.307047
us_000485049,0.884422, 0.333240
us_000541255,0.884422, 0.349038
us_000595102,0.884422, 0.361558
us_000595136,0.884422, 0.361558
us_000572746,0.884422, 0.363694
us_000572932,0.884422, 0.363694
us_000593797,0.884422, 0.370945
us_000594783,0.884422, 0.375961
us_000594050,0.884422, 0.375961
us_000536508,0.884422, 0.375961
us_000588487,0.884422, 0.375961
us_000573927,0.884422, 0.383215
us_000512852,0.884422, 0.413756
us_000532317,0.884422, 0.420809
us_000594584,0.884422, 0.427961
us_000585221,0.884422, 0.435212
us_000585875,0.884422, 0.435212
us_000487287,0.884422, 0.436862
us_000576912,0.884422, 0.442944
us_000473303,0.884422, 0.442944
us_000496321,0.884422, 0.442944
us_000473427,0.884422, 0.442944
us_000484708,0.884422, 0.442944
us_000554758,0.884422, 0.449302
us_000487343,0.884422, 0.452173
us_000503738,0.884422, 0.453928
us_000514286,0.884422, 0.454120
us_000584714,0.884422, 0.488747
us_000512873,0.884422, 0.489536
us_000585447,0.884422, 0.489536
us_000481897,0.884422, 0.489536
us_000485068,0.884422, 0.489536
us_000481618,0.884422, 0.489536
us_000512779,0.884422, 0.489536
us_000486509,0.884422, 0.496589
us_000578087,0.884422, 0.496589
us_000514537,0.884422, 0.496589
us_000481256,0.884422, 0.496589
us_000532424,0.884422, 0.496589
us_000472585,0.884422, 0.496589
us_000499826,0.884422, 0.496589
us_000499898,0.884422, 0.496589
us_000595139,0.884422, 0.496792
us_000594561,0.884422, 0.498267
us_000604489,0.884422, 0.498267
us_000593776,0.884422, 0.498267
us_000573150,0.884422, 0.498267
us_000573509,0.884422, 0.498267
us_000573559,0.884422, 0.498267
us_000573602,0.884422, 0.498267
us_000571458,0.884422, 0.500006
us_000571461,0.884422, 0.500006
us_000495058,0.884422, 0.503741
us_000595796,0.884422, 0.503741
us_000483060,0.884422, 0.503741
us_000500674,0.884422, 0.503741
us_000513762,0.884422, 0.503741
us_000585957,0.884422, 0.503741
us_000484146,0.884422, 0.503741
us_000495009,0.884422, 0.503741
us_000482760,0.884422, 0.503741
us_000482754,0.884422, 0.503741
us_000483291,0.884422, 0.503741
us_000500673,0.884422, 0.503741
us_000483225,0.884422, 0.503741
us_000470083,0.884422, 0.503741
us_000472780,0.884422, 0.503741
us_000496310,0.884422, 0.503741
us_000571903,0.884422, 0.504936
us_000487396,0.884422, 0.504936
us_000505252,0.884422, 0.504936
us_000595148,0.884422, 0.504936
us_000572148,0.884422, 0.504936
us_000596204,0.884422, 0.510992
us_000555122,0.884422, 0.510992
us_000554183,0.884422, 0.510992
us_000576927,0.884422, 0.510992
us_000484725,0.884422, 0.510992
us_000488950,0.884422, 0.510992
us_000483348,0.884422, 0.510992
us_000596553,0.884422, 0.510992
us_000483825,0.884422, 0.510992
us_000489769,0.884422, 0.510992
us_000484683,0.884422, 0.510992
us_000481048,0.884422, 0.510992
us_000486742,0.884422, 0.510992
us_000554216,0.884422, 0.510992
us_000488093,0.884422, 0.510992
us_000481182,0.884422, 0.510992
us_000489758,0.884422, 0.510992
us_000532562,0.884422, 0.510992
us_000499957,0.884422, 0.510992
us_000555733,0.884422, 0.510992
us_000493391,0.884422, 0.510992
us_000493397,0.884422, 0.510992
us_000500129,0.884422, 0.510992
us_000492957,0.884422, 0.510992
us_000555879,0.884422, 0.510992
us_000465553,0.884422, 0.511560
us_000486421,0.884422, 0.511581
us_000584655,0.884422, 0.512444
us_000503322,0.884422, 0.512973
us_000475461,0.884422, 0.513151
us_000594498,0.884422, 0.513179
us_000593926,0.884422, 0.513179
us_000572425,0.884422, 0.513179
us_000594655,0.884422, 0.513179
us_000594394,0.884422, 0.513179
us_000611099,0.884422, 0.513179
us_000609945,0.884422, 0.513179
us_000610025,0.884422, 0.513179
us_000572426,0.884422, 0.513179
us_000593859,0.884422, 0.513179
us_000535865,0.884422, 0.513179
us_000593840,0.884422, 0.513179
us_000594396,0.884422, 0.513179
us_000572717,0.884422, 0.513179
us_000573406,0.884422, 0.513179
us_000593858,0.884422, 0.513179
us_000586929,0.884422, 0.513179
us_000488638,0.884422, 0.513725
us_000561796,0.884422, 0.517752
us_000609455,0.884422, 0.524548
us_000577790,0.884422, 0.534840
us_000484582,0.884422, 0.540988
us_000486522,0.884422, 0.548735
pr_000294436,0.884422, 0.556581
us_000597145,0.884422, 0.556582
us_000597144,0.884422, 0.556582
us_000514713,0.884422, 0.556582
us_000532794,0.884422, 0.564527
us_000481587,0.884422, 0.564527
us_000596263,0.884422, 0.564527
us_000485066,0.884422, 0.564527
us_000577740,0.884422, 0.564527
us_000481922,0.884422, 0.564527
us_000577702,0.884422, 0.564527
us_000580539,0.884422, 0.564527
us_000589895,0.884422, 0.564527
us_000484786,0.884422, 0.564527
us_000481649,0.884422, 0.564527
us_000596261,0.884422, 0.564527
us_000491066,0.884422, 0.572572
us_000491279,0.884422, 0.572572
us_000489424,0.884422, 0.572572
us_000514552,0.884422, 0.572572
us_000489727,0.884422, 0.572572
us_000501098,0.884422, 0.572572
us_000491057,0.884422, 0.572572
us_000532524,0.884422, 0.572572
us_000489123,0.884422, 0.572572
us_000578170,0.884422, 0.572572
us_000499571,0.884422, 0.572572
us_000486492,0.884422, 0.572572
us_000597403,0.884422, 0.572572
us_000489658,0.884422, 0.572572
us_000481260,0.884422, 0.572572
us_000514488,0.884422, 0.572572
us_000597386,0.884422, 0.572572
us_000472784,0.884422, 0.580715
us_000494698,0.884422, 0.580715
us_000495822,0.884422, 0.580715
us_000513883,0.884422, 0.580715
us_000484156,0.884422, 0.580715
us_000495046,0.884422, 0.580715
us_000597312,0.884422, 0.580715
us_000481231,0.884422, 0.580715
us_000486308,0.884422, 0.580715
us_000491173,0.884422, 0.580715
us_000500822,0.884422, 0.580715
us_000597343,0.884422, 0.580715
us_000485321,0.884422, 0.580715
us_000481537,0.884422, 0.580715
us_000596138,0.884422, 0.580715
us_000577340,0.884422, 0.580715
us_000483253,0.884422, 0.580715
us_000487339,0.884422, 0.580715
us_000562200,0.884422, 0.580715
us_000595342,0.884422, 0.580715
us_000472639,0.884422, 0.580715
us_000493853,0.884422, 0.580715
pr_001985764,0.884422, 0.580715
us_000499307,0.884422, 0.580715
us_000533117,0.884422, 0.580907
us_000597066,0.884422, 0.582244
us_000484693,0.884422, 0.582462
us_000513207,0.884422, 0.587872
us_000495434,0.884422, 0.588958
us_000486793,0.884422, 0.588958
us_000472853,0.884422, 0.588958
us_000578419,0.884422, 0.588958
us_000567814,0.884422, 0.588958
us_000478578,0.884422, 0.588958
us_000485029,0.884422, 0.588958
us_000597893,0.884422, 0.588958
us_000482357,0.884422, 0.588958
us_000485023,0.884422, 0.588958
us_000578466,0.884422, 0.588958
us_000473936,0.884422, 0.588958
us_000554049,0.884422, 0.588958
us_000577887,0.884422, 0.588958
us_000578050,0.884422, 0.588958
us_000596998,0.884422, 0.588958
us_000586750,0.884422, 0.588958
us_000586753,0.884422, 0.588958
us_000490077,0.884422, 0.588958
us_000500306,0.884422, 0.588958
us_000532759,0.884422, 0.588958
us_000458810,0.884422, 0.588958
us_000609458,0.884422, 0.588958
us_000482276,0.884422, 0.588958
us_000586752,0.884422, 0.588958
us_000596999,0.884422, 0.588958
us_000587052,0.884422, 0.588958
us_000482069,0.884422, 0.588958
us_000586987,0.884422, 0.588958
us_000484057,0.884422, 0.588958
us_000439319,0.884422, 0.588958
us_000557423,0.884422, 0.588958
us_000596703,0.884422, 0.588958
us_000492178,0.884422, 0.588958
us_000488575,0.884422, 0.588958
us_000555777,0.884422, 0.588958
us_000597216,0.884422, 0.588958
us_000577344,0.884422, 0.588958
us_000513084,0.884422, 0.588958
us_000597894,0.884422, 0.588958
us_000586792,0.884422, 0.588958
us_000586989,0.884422, 0.588958
us_000513597,0.884422, 0.588958
us_000596143,0.884422, 0.588958
us_000473052,0.884422, 0.588958
us_000491136,0.884422, 0.588958
us_000473043,0.884422, 0.588958
us_000578060,0.884422, 0.588958
us_000472815,0.884422, 0.588958
us_000586988,0.884422, 0.588958
us_000588790,0.884422, 0.588958
us_000513945,0.884422, 0.588958
us_000615821,0.884422, 0.588958
us_000596594,0.884422, 0.588958
us_000491147,0.884422, 0.588958
us_000487245,0.884422, 0.588958
us_000559965,0.884422, 0.588958
us_000555929,0.884422, 0.589150
us_000492124,0.884422, 0.589346
us_000488813,0.884422, 0.592407
us_000012416,0.884422, 0.593692
us_000493593,0.884422, 0.595446
us_000556155,0.884422, 0.596514
us_000509298,0.884422, 0.601836
us_000517304,0.697069, 0.018363
pr_000749254,0.697069, 0.258029
pr_001064905,0.697069, 0.263201
pr_000720646,0.697069, 0.278050
pr_000734680,0.697069, 0.280137
pr_000939442,0.697069, 0.281016
pr_001061054,0.697069, 0.286941
pr_000294470,0.697069, 0.290505
pr_000618142,0.697069, 0.290837
pr_000444755,0.697069, 0.290897
pr_000298892,0.697069, 0.294078
pr_000749765,0.697069, 0.294884
pr_000295118,0.697069, 0.294884
pr_000624752,0.697069, 0.295674
pr_001956851,0.697069, 0.295674
pr_001107506,0.697069, 0.295674
pr_000295233,0.697069, 0.296945
pr_000294905,0.697069, 0.301287
pr_001610473,0.697069, 0.301287
pr_002066468,0.697069, 0.301287
pr_001988819,0.697069, 0.301525
pr_001057094,0.697069, 0.303488
pr_000942959,0.697069, 0.303488
pr_001061828,0.697069, 0.303488
pr_000622558,0.697069, 0.303488
pr_001059684,0.697069, 0.303488
pr_001059133,0.697069, 0.303488
pr_000619623,0.697069, 0.304017
pr_002223126,0.697069, 0.304021
pr_001062504,0.697069, 0.304021
pr_001627566,0.697069, 0.304021
pr_002183391,0.697069, 0.304021
pr_000627173,0.697069, 0.305892
pr_000998093,0.697069, 0.305892
pr_000749014,0.697069, 0.306141
pr_000886595,0.697069, 0.307928
pr_000978707,0.697069, 0.307928
pr_001013608,0.697069, 0.307928
pr_000627177,0.697069, 0.307928
pr_000164214,0.697069, 0.309057
pr_001642068,0.697069, 0.310762
pr_001102255,0.697069, 0.314885
pr_001655494,0.697069, 0.315897
us_000228095,0.485186, 0.000000
us_000429476,0.485186, 0.000000
us_000475053,0.485186, 0.000000
us_000473054,0.485186, 0.000000
pr_000771439,0.485186, 0.000000
pr_000861187,0.485186, 0.000000
pr_001011020,0.485186, 0.000000
pr_000883019,0.485186, 0.000000
pr_001029941,0.485186, 0.000000
pr_000857274,0.485186, 0.000000
pr_001006406,0.485186, 0.000000
pr_000731172,0.485186, 0.000000
pr_001018943,0.485186, 0.000000
pr_000842513,0.485186, 0.000000
pr_000658697,0.485186, 0.000000
pr_001619047,0.485186, 0.000000
pr_000785733,0.485186, 0.000000
pr_001642772,0.485186, 0.000000
pr_000730083,0.485186, 0.000000
pr_000876969,0.485186, 0.000000
pr_000978959,0.485186, 0.000000
pr_000664250,0.485186, 0.000000
pr_000842935,0.485186, 0.000000
pr_000971350,0.485186, 0.000000
pr_000904026,0.485186, 0.000000
pr_000744681,0.485186, 0.000000
pr_000765535,0.485186, 0.000000
pr_000879968,0.485186, 0.000000
pr_000968650,0.485186, 0.000000
pr_000691342,0.485186, 0.000000
pr_002081867,0.485186, 0.000000
pr_001606439,0.485186, 0.000000
pr_000667618,0.485186, 0.000000
pr_000629398,0.485186, 0.000000
pr_000603468,0.485186, 0.000000
pr_000820734,0.485186, 0.000000
pr_000847002,0.485186, 0.000000
pr_001006399,0.485186, 0.000000
pr_000989484,0.485186, 0.000000
pr_000847351,0.485186, 0.000000
pr_001013966,0.485186, 0.000000
pr_000880257,0.485186, 0.000000
pr_000569247,0.485186, 0.000000
pr_000970085,0.485186, 0.000000
pr_000781973,0.485186, 0.000000
pr_000989773,0.485186, 0.000000
pr_000745396,0.485186, 0.000000
pr_000858384,0.485186, 0.000000
pr_000775911,0.485186, 0.000000
pr_000716802,0.485186, 0.000000
pr_000976612,0.485186, 0.000000
pr_001897448,0.485186, 0.000000
pr_000894767,0.485186, 0.000000
pr_001748425,0.485186, 0.000000
pr_000906458,0.485186, 0.000000
pr_001015158,0.485186, 0.000000
pr_000859337,0.485186, 0.000000
pr_000898140,0.485186, 0.000000
pr_000785809,0.485186, 0.000000
pr_000711589,0.485186, 0.000000
pr_000860795,0.485186, 0.000000
pr_001749342,0.485186, 0.000000
pr_000817440,0.485186, 0.000000
pr_000604860,0.485186, 0.000000
pr_000890262,0.485186, 0.000000
pr_000601043,0.485186, 0.000000
pr_001047424,0.485186, 0.000000
pr_000976160,0.485186, 0.000000
pr_000813634,0.485186, 0.000000
pr_000873004,0.485186, 0.000000
pr_001035510,0.485186, 0.000000
pr_000760070,0.485186, 0.000000
