Product ID : 2122 JPs covered : 364 : Class Action-Pre-Certification, 
us_000466322,0.820264, 0.000001
us_000493408,0.820264, 0.000008
us_000572959,0.820264, 0.000013
us_000582866,0.820264, 0.000041
us_000582867,0.820264, 0.000041
us_000574892,0.820264, 0.000100
us_000507228,0.820264, 0.000112
us_000575855,0.820264, 0.000114
us_000583508,0.820264, 0.000114
us_000583983,0.820264, 0.000114
us_000583423,0.820264, 0.000114
us_000583514,0.820264, 0.000114
us_000594548,0.820264, 0.000590
us_000560429,0.820264, 0.002026
us_000543272,0.820264, 0.003350
us_000557013,0.820264, 0.016690
us_000505991,0.820264, 1.439120
us_000483385,0.820264, 1.569893
us_000038941,0.820264, 1.578385
pr_000110180,0.775273, 0.000000
us_000520277,0.775273, 0.000003
us_000481526,0.775273, 0.000003
pr_002066341,0.775273, 0.000022
pr_001678461,0.775273, 0.000060
pr_001035698,0.775273, 0.000137
us_000548554,0.775273, 1.168495
pr_000333523,0.585923, 0.000000
pr_000376240,0.585923, 0.000000
pr_000468785,0.585923, 0.000000
pr_000135423,0.585923, 0.000000
pr_001084905,0.585923, 0.000000
pr_000502105,0.585923, 0.000000
us_000569110,0.585923, 0.000000
us_000569111,0.585923, 0.000000
us_000508798,0.585923, 0.000002
us_000525405,0.585923, 0.000002
us_000049809,0.585923, 0.000010
us_000505906,0.585923, 0.000021
us_000418790,0.585923, 0.000055
us_000181952,0.585923, 0.000061
us_000601092,0.585923, 0.000087
us_000611126,0.585923, 0.000114
us_000553275,0.585923, 0.000174
pr_000908598,0.585923, 0.000207
us_000570352,0.585923, 0.000264
us_000592368,0.585923, 0.000366
us_000592398,0.585923, 0.000366
us_000593588,0.585923, 0.000366
us_000574656,0.585923, 0.000366
us_000593596,0.585923, 0.000366
us_000616225,0.585923, 0.000367
us_000616227,0.585923, 0.000367
us_000616308,0.585923, 0.000367
us_000616309,0.585923, 0.000367
us_000598944,0.585923, 0.000371
us_000574215,0.585923, 0.000382
us_000585094,0.585923, 0.000387
us_000614495,0.585923, 0.000404
us_000573554,0.585923, 0.000409
us_000592839,0.585923, 0.000409
us_000596777,0.585923, 0.000409
us_000593537,0.585923, 0.000409
us_000598150,0.585923, 0.000409
us_000582087,0.585923, 0.000409
us_000617352,0.585923, 0.000409
us_000598156,0.585923, 0.000409
us_000574713,0.585923, 0.000409
us_000604449,0.585923, 0.000409
us_000608359,0.585923, 0.000409
us_000609656,0.585923, 0.000409
us_000597033,0.585923, 0.000409
us_000598298,0.585923, 0.000412
us_000611186,0.585923, 0.000414
us_000522812,0.585923, 0.000427
us_000601343,0.585923, 0.000427
us_000573260,0.585923, 0.000443
us_000493626,0.585923, 0.000451
us_000586717,0.585923, 0.000470
us_000480597,0.585923, 0.000472
us_000588465,0.585923, 0.000496
us_000531877,0.585923, 0.000560
us_000579719,0.585923, 0.000585
us_000584020,0.585923, 0.000621
us_000616633,0.585923, 0.000637
us_000541083,0.585923, 0.000637
us_000574649,0.585923, 0.000637
us_000574767,0.585923, 0.000664
us_000594082,0.585923, 0.000664
us_000582005,0.585923, 0.000698
us_000564686,0.585923, 0.000725
us_000596273,0.585923, 0.000751
us_000561237,0.585923, 0.000766
us_000563190,0.585923, 0.000788
us_000585044,0.585923, 0.000885
us_000586780,0.585923, 0.001062
us_000599851,0.585923, 0.001224
us_000526461,0.585923, 0.001285
us_000579763,0.585923, 0.001573
us_000613811,0.585923, 0.002070
us_000541291,0.585923, 0.002109
us_000593900,0.585923, 0.002308
us_000480805,0.585923, 0.002342
us_000577870,0.585923, 0.002546
us_000579060,0.585923, 0.002552
us_000593947,0.585923, 0.002552
us_000530371,0.585923, 0.002565
us_000546127,0.585923, 0.002581
pr_000348705,0.585923, 0.002786
us_000574984,0.585923, 0.002823
us_000598137,0.585923, 0.002838
us_000570311,0.585923, 0.002922
us_000583957,0.585923, 0.002927
us_000523861,0.585923, 0.002990
us_000602818,0.585923, 0.003008
us_000491815,0.585923, 0.003041
us_000520273,0.585923, 0.003349
us_000591168,0.585923, 0.003459
us_000522356,0.585923, 0.003470
us_000594144,0.585923, 0.003828
us_000614729,0.585923, 0.003866
us_000519826,0.585923, 0.004046
us_000564844,0.585923, 0.004483
us_000581351,0.585923, 0.004666
us_000507429,0.585923, 0.004849
us_000566772,0.585923, 0.005177
us_000554094,0.585923, 0.005326
us_000480842,0.585923, 0.005591
us_000534158,0.585923, 0.005597
us_000549941,0.585923, 0.005751
us_000550789,0.585923, 0.005806
us_000550818,0.585923, 0.005832
us_000572449,0.585923, 0.006227
us_000496229,0.585923, 0.006269
us_000539942,0.585923, 0.006673
us_000588370,0.585923, 0.007017
us_000512393,0.585923, 0.007076
us_000566535,0.585923, 0.007348
us_000510275,0.585923, 0.007817
us_000565264,0.585923, 0.008080
pr_000432748,0.585923, 0.008454
us_000568324,0.585923, 0.008940
us_000532362,0.585923, 0.009665
us_000597126,0.585923, 0.009705
us_000598746,0.585923, 0.011119
us_000486196,0.585923, 0.011535
us_000485285,0.585923, 0.012843
us_000565634,0.585923, 0.013480
us_000544068,0.585923, 0.013788
us_000579145,0.585923, 0.017499
us_000496835,0.585923, 0.021392
us_000528056,0.585923, 0.021627
us_000534969,0.585923, 0.048429
us_000129824,0.585923, 0.778690
us_000518869,0.585923, 0.901299
us_000461951,0.585923, 0.908615
us_000519052,0.585923, 1.017459
us_000493722,0.585923, 1.258859
us_000484329,0.585923, 1.286924
us_000562322,0.585923, 1.287114
us_000493132,0.585923, 1.336021
us_000561877,0.585923, 1.374107
us_000539924,0.585923, 1.377918
us_000562134,0.585923, 1.380634
us_000484071,0.585923, 1.408439
us_000475061,0.585923, 1.425955
us_000571585,0.585923, 1.433946
us_000135500,0.585923, 1.440180
us_000513275,0.585923, 1.448588
us_000488706,0.585923, 1.503869
us_000497940,0.585923, 1.505376
us_000491187,0.585923, 1.522211
us_000492648,0.585923, 1.536281
us_000550270,0.585923, 1.557714
us_000520890,0.585923, 1.574072
us_000491800,0.585923, 1.582178
us_000516004,0.585923, 1.598665
us_000533661,0.585923, 1.606265
us_000525732,0.585923, 1.617324
us_000566418,0.585923, 1.624864
us_000484525,0.585923, 1.625417
us_000543455,0.585923, 1.629223
us_000520477,0.585923, 1.636063
us_000557271,0.585923, 1.636320
us_000544156,0.585923, 1.639219
us_000540545,0.585923, 1.641943
us_000557220,0.585923, 1.652118
us_000523526,0.585923, 1.653387
us_000534147,0.585923, 1.654729
us_000534093,0.585923, 1.655909
us_000533773,0.585923, 1.667670
us_000513264,0.585923, 1.672540
us_000521637,0.585923, 1.685001
us_000513257,0.585923, 1.709833
us_000516788,0.585923, 1.742413
us_000488403,0.585923, 1.744674
us_000509455,0.585923, 1.761822
us_000521089,0.585923, 1.765147
us_000459953,0.585923, 1.766179
us_000491508,0.585923, 1.774064
us_000525419,0.585923, 1.776103
us_000509327,0.585923, 1.776420
us_000557069,0.585923, 1.776753
us_000511805,0.585923, 1.776753
us_000525330,0.585923, 1.776753
us_000506244,0.585923, 1.785383
us_000468869,0.585923, 1.795760
us_000493920,0.585923, 1.840483
us_000525739,0.585923, 1.849647
us_000498131,0.585923, 1.851550
us_000505815,0.585923, 1.852600
us_000484385,0.585923, 1.856449
us_000533310,0.585923, 1.908320
us_000491781,0.585923, 1.963691
us_000534304,0.585923, 1.965883
us_000493116,0.585923, 1.998757
us_000484874,0.585923, 2.080943
pr_000534988,0.408557, 0.000030
pr_000803327,0.408557, 0.000085
pr_001833977,0.408557, 0.000318
pr_002164587,0.408557, 0.000398
us_000541091,0.408557, 0.003289
us_000471601,0.408557, 0.005466
us_000538364,0.408557, 0.006763
us_000476724,0.408557, 0.007391
us_000551674,0.408557, 0.008028
us_000613293,0.408557, 0.012137
us_000552936,0.408557, 0.012998
us_000503600,0.408557, 0.016472
us_000596010,0.408557, 0.019731
us_000503764,0.408557, 0.023890
us_000533045,0.408557, 0.746034
us_000473756,0.408557, 1.005384
us_000119419,0.408557, 1.062722
us_000502987,0.408557, 1.070606
us_000546489,0.408557, 1.072249
us_000527590,0.408557, 1.080622
us_000483121,0.408557, 1.134577
us_000522571,0.408557, 1.157182
us_000481723,0.408557, 1.168515
us_000541684,0.408557, 1.185110
us_000559244,0.408557, 1.186267
us_000127641,0.408557, 1.193122
us_000593383,0.408557, 1.202378
us_000464418,0.408557, 1.212904
us_000494933,0.408557, 1.226475
us_000236329,0.408557, 1.236041
us_000594205,0.408557, 1.248364
us_000505890,0.408557, 1.261992
us_000555104,0.408557, 1.266185
us_000516874,0.408557, 1.266813
us_000531325,0.408557, 1.276054
us_000034358,0.408557, 1.285208
us_000545269,0.408557, 1.285643
us_000547547,0.408557, 1.288694
us_000544734,0.408557, 1.303379
us_000464735,0.408557, 1.313402
us_000473265,0.408557, 1.318749
us_000153295,0.408557, 1.332590
us_000519086,0.408557, 1.332881
us_000527662,0.408557, 1.345808
us_000198267,0.408557, 1.349446
us_000530400,0.408557, 1.355307
us_000216143,0.408557, 1.357304
us_000528528,0.408557, 1.357306
us_000529419,0.408557, 1.358146
us_000534436,0.408557, 1.368778
us_000544554,0.408557, 1.370440
us_000529466,0.408557, 1.377050
us_000527895,0.408557, 1.380507
us_000512741,0.408557, 1.384593
us_000529526,0.408557, 1.391563
us_000517385,0.408557, 1.395919
us_000530187,0.408557, 1.400031
us_000477897,0.408557, 1.401753
us_000515745,0.408557, 1.402892
us_000517776,0.408557, 1.402892
us_000531327,0.408557, 1.402892
us_000516188,0.408557, 1.402892
us_000593912,0.408557, 1.422016
us_000544795,0.408557, 1.423161
us_000463858,0.408557, 1.426075
us_000544855,0.408557, 1.427898
us_000533940,0.408557, 1.564452
us_000505615,0.408557, 1.729758
us_000473922,0.408557, 1.969734
pr_001074778,0.345309, 0.000000
pr_001004091,0.345309, 0.000000
pr_000810191,0.345309, 0.000000
pr_001689745,0.345309, 0.000000
pr_000469452,0.345309, 0.000000
pr_001584498,0.345309, 0.000000
pr_000575633,0.345309, 0.000002
us_000510736,0.345309, 0.000010
us_000511742,0.345309, 0.000010
us_000529416,0.345309, 0.000010
us_000516606,0.345309, 0.000010
us_000517778,0.345309, 0.000010
us_000559148,0.345309, 0.000010
us_000529305,0.345309, 0.000238
us_000535492,0.345309, 0.000500
us_000510935,0.345309, 0.004718
us_000517697,0.345309, 0.024080
us_000575512,0.345309, 0.579826
us_000577354,0.345309, 0.623851
us_000578063,0.345309, 0.660020
us_000572945,0.345309, 0.683264
us_000601709,0.345309, 0.692320
us_000594371,0.345309, 0.720367
us_000581781,0.345309, 0.726800
us_000547459,0.345309, 0.728436
us_000566320,0.345309, 0.730211
us_000535272,0.345309, 0.743176
us_000573156,0.345309, 0.752728
us_000531636,0.345309, 0.753905
us_000572171,0.345309, 0.754103
us_000563996,0.345309, 0.755459
us_000549707,0.345309, 0.766752
us_000508065,0.345309, 0.766778
us_000513702,0.345309, 0.773584
us_000511738,0.345309, 0.774166
us_000607006,0.345309, 0.790569
us_000570345,0.345309, 0.792162
us_000600359,0.345309, 0.793337
us_000465103,0.345309, 0.802304
us_000588788,0.345309, 0.807433
us_000529926,0.345309, 0.813334
us_000486729,0.345309, 0.818271
us_000507532,0.345309, 0.818956
us_000546355,0.345309, 0.821376
us_000572076,0.345309, 0.822641
us_000529882,0.345309, 0.827424
us_000611378,0.345309, 0.846007
us_000547541,0.345309, 0.857860
us_000514125,0.345309, 0.858423
us_000561772,0.345309, 0.859477
us_000532239,0.345309, 0.862782
us_000612285,0.345309, 0.966104
us_000486278,0.263859, 0.000000
us_000485257,0.263859, 0.000000
us_000486904,0.263859, 0.000000
us_000484681,0.263859, 0.000000
us_000463758,0.263859, 0.000004
us_000488991,0.263859, 0.000004
us_000515857,0.263859, 0.000004
us_000563507,0.263859, 0.000038
pr_001814991,0.263859, 0.000047
pr_000998969,0.263859, 0.000047
pr_001734535,0.263859, 0.000047
pr_001993877,0.263859, 0.000047
pr_001020962,0.263859, 0.000047
pr_000996237,0.263859, 0.000047
pr_001075496,0.263859, 0.000047
pr_001603614,0.263859, 0.000047
pr_000448535,0.263859, 0.000047
pr_000984013,0.263859, 0.000047
pr_001399208,0.263859, 0.000047
pr_001956785,0.263859, 0.000047
pr_001118668,0.263859, 0.000047
pr_000597437,0.263859, 0.000047
pr_001080341,0.263859, 0.000047
pr_001080089,0.263859, 0.000047
pr_001083453,0.263859, 0.000047
pr_000328190,0.263859, 0.000061
pr_001086090,0.263859, 0.000083
pr_000760324,0.263859, 0.000109
pr_001748299,0.263859, 0.000434
us_000469073,0.263859, 0.000562
pr_000638942,0.263859, 0.001034
us_000575211,0.263859, 0.002317
us_000575192,0.263859, 0.002426
us_000536033,0.263859, 0.003532
us_000488583,0.263859, 0.003544
us_000499007,0.263859, 0.042980
us_000504527,0.263859, 0.141472
us_000567173,0.263859, 0.856330
us_000475158,0.263859, 0.861790
us_000491636,0.263859, 1.080795
us_000493545,0.263859, 1.120836
us_000544026,0.263859, 1.186916
us_000491894,0.263859, 1.283607
pr_000418401,0.225118, 0.000000
us_000499446,0.225118, 0.000001
pr_001834872,0.225118, 0.000001
pr_002149437,0.225118, 0.000001
pr_001839573,0.225118, 0.000001
pr_000742365,0.225118, 0.000027
pr_001027550,0.225118, 0.000031
pr_001039655,0.225118, 0.000032
pr_000733961,0.225118, 0.000040
pr_001040694,0.225118, 0.000062
pr_001725138,0.225118, 0.000082
pr_001626372,0.225118, 0.000094
pr_000954526,0.225118, 0.000141
pr_000640755,0.225118, 0.000152
pr_000638460,0.225118, 0.000152
pr_000584524,0.225118, 0.000152
pr_000757634,0.225118, 0.000158
pr_001882036,0.225118, 0.000171
pr_001620964,0.225118, 0.000179
pr_000939537,0.225118, 0.000191
pr_000575981,0.225118, 0.000191
pr_001907307,0.225118, 0.000192
pr_000941436,0.225118, 0.000201
pr_000935029,0.225118, 0.000218
pr_001065637,0.225118, 0.000219
pr_000964609,0.225118, 0.000230
pr_000746585,0.225118, 0.000248
pr_001087217,0.225118, 0.000269
pr_001807165,0.225118, 0.000279
pr_000705565,0.225118, 0.000327
pr_000631487,0.225118, 0.000405
pr_001027577,0.225118, 0.000644
pr_000945482,0.225118, 0.000942
pr_002204934,0.225118, 0.001015
pr_001654940,0.225118, 0.001170
pr_001081733,0.225118, 0.001479
pr_001133217,0.225118, 0.001496
us_000572828,0.225118, 0.002344
us_000494222,0.225118, 0.024001
pr_000751836,0.098985, 0.000000
pr_002145687,0.098985, 0.000000
pr_001393004,0.098985, 0.000000
pr_000860612,0.098985, 0.000000
pr_001610500,0.098985, 0.000000
pr_000976744,0.098985, 0.000000
pr_000726508,0.098985, 0.000000
pr_001087284,0.098985, 0.000000
pr_000778608,0.098985, 0.000000
pr_001018538,0.098985, 0.000000
pr_000705570,0.098985, 0.000000
pr_001417515,0.098985, 0.000000
pr_001064089,0.098985, 0.000000
pr_001824890,0.098985, 0.000000
pr_001068019,0.098985, 0.000000
pr_000856317,0.098985, 0.000000
pr_001039563,0.098985, 0.000000
pr_000970318,0.098985, 0.000000
pr_000981857,0.098985, 0.000000
pr_001037513,0.098985, 0.000000
pr_002168278,0.098985, 0.000000
pr_000761107,0.098985, 0.000000
pr_000852115,0.098985, 0.000000
pr_001951791,0.098985, 0.000000
pr_000763023,0.098985, 0.000000
pr_001149098,0.098985, 0.000000
pr_001906507,0.098985, 0.000000
pr_002226191,0.098985, 0.000000
pr_000849144,0.098985, 0.000000
pr_000761505,0.098985, 0.000000
pr_000810360,0.098985, 0.000000
pr_000977379,0.098985, 0.000000
pr_000859774,0.098985, 0.000000
pr_000772908,0.098985, 0.000000
pr_002162764,0.098985, 0.000000
pr_002162702,0.098985, 0.000000
pr_002204806,0.098985, 0.000000
pr_000836751,0.098985, 0.000000
pr_001045934,0.098985, 0.000000
pr_001066274,0.098985, 0.000000
pr_000836437,0.098985, 0.000000
pr_001694616,0.098985, 0.000000
pr_000887765,0.098985, 0.000000
pr_000583560,0.098985, 0.000000
pr_001017906,0.098985, 0.000000
pr_001706990,0.098985, 0.000000
pr_000639721,0.098985, 0.000000
pr_001636385,0.098985, 0.000000
pr_001638629,0.098985, 0.000000
pr_000813892,0.098985, 0.000000
pr_001112932,0.098985, 0.000000
pr_000732735,0.098985, 0.000000
pr_000973657,0.098985, 0.000000
pr_000950234,0.098985, 0.000000
pr_000564268,0.098985, 0.000000
pr_001017796,0.098985, 0.000000
pr_001696229,0.098985, 0.000000
pr_000972000,0.098985, 0.000000
pr_001075752,0.098985, 0.000000
pr_000691365,0.098985, 0.000000
pr_000019617,0.098985, 0.000000
pr_000705600,0.098985, 0.000000
pr_001653263,0.098985, 0.000000
pr_000906249,0.098985, 0.000000
pr_000564392,0.098985, 0.000000
pr_001690268,0.098985, 0.000000
pr_001001672,0.098985, 0.000000
pr_000694777,0.098985, 0.000000
pr_001023359,0.098985, 0.000000
pr_000954578,0.098985, 0.000000
pr_000565962,0.098985, 0.000000
pr_000214528,0.098985, 0.000000
pr_000744029,0.098985, 0.000000
pr_000587942,0.098985, 0.000000
pr_000914246,0.098985, 0.000000
pr_001009120,0.098985, 0.000000
pr_000012035,0.098985, 0.000000
pr_000888910,0.098985, 0.000000
pr_001695385,0.098985, 0.000000
pr_000701448,0.098985, 0.000000
pr_000225918,0.098985, 0.000000
pr_000838044,0.098985, 0.000000
pr_000532015,0.098985, 0.000000
pr_002135419,0.098985, 0.000000
pr_000899360,0.098985, 0.000000
pr_001631383,0.098985, 0.000000
pr_001143083,0.098985, 0.000000
pr_001151378,0.098985, 0.000000
pr_000177529,0.098985, 0.000000
pr_000166419,0.098985, 0.000000
pr_000913997,0.098985, 0.000000
pr_000707683,0.098985, 0.000000
pr_000170302,0.098985, 0.000000
pr_001121130,0.098985, 0.000000
pr_000852977,0.098985, 0.000000
pr_000011672,0.098985, 0.000000
pr_000582181,0.098985, 0.000000
pr_000957582,0.098985, 0.000000
pr_000693875,0.098985, 0.000000
pr_001739369,0.098985, 0.000000
pr_001697256,0.098985, 0.000000
pr_000965113,0.098985, 0.000000
pr_000661076,0.098985, 0.000000
pr_000771255,0.098985, 0.000000
pr_000594723,0.098985, 0.000000
pr_001699199,0.098985, 0.000000
pr_000237935,0.098985, 0.000000
pr_001024847,0.098985, 0.000000
pr_001085490,0.098985, 0.000000
pr_000337828,0.098985, 0.000000
pr_000912872,0.098985, 0.000000
pr_001919732,0.098985, 0.000000
pr_000740075,0.098985, 0.000000
pr_001079578,0.098985, 0.000000
pr_000937178,0.098985, 0.000000
pr_000737079,0.098985, 0.000000
pr_000489088,0.098985, 0.000000
pr_001691179,0.098985, 0.000000
pr_000129082,0.098985, 0.000000
pr_000902005,0.098985, 0.000000
pr_001030880,0.098985, 0.000000
pr_001122345,0.098985, 0.000000
pr_000133648,0.098985, 0.000000
pr_000770905,0.098985, 0.000000
pr_000726795,0.098985, 0.000000
pr_001711310,0.098985, 0.000000
pr_000626260,0.098985, 0.000000
pr_001115142,0.098985, 0.000000
pr_000790601,0.098985, 0.000000
pr_000235445,0.098985, 0.000000
pr_000227971,0.098985, 0.000000
pr_000566671,0.098985, 0.000000
pr_000705714,0.098985, 0.000000
pr_001015178,0.098985, 0.000000
pr_001617467,0.098985, 0.000000
pr_001672367,0.098985, 0.000000
pr_001680170,0.098985, 0.000000
pr_001706826,0.098985, 0.000000
pr_000755664,0.098985, 0.000000
pr_000012728,0.098985, 0.000000
pr_000904162,0.098985, 0.000000
pr_000726038,0.098985, 0.000000
pr_000941828,0.098985, 0.000000
pr_000022713,0.098985, 0.000000
pr_001124297,0.098985, 0.000000
pr_000649926,0.098985, 0.000000
pr_000014514,0.098985, 0.000000
pr_000731270,0.098985, 0.000000
pr_000329158,0.098985, 0.000000
pr_001031015,0.098985, 0.000000
pr_001653213,0.098985, 0.000000
pr_001601868,0.098985, 0.000000
pr_000940990,0.098985, 0.000000
pr_001647266,0.098985, 0.000000
pr_001674030,0.098985, 0.000000
pr_000293885,0.098985, 0.000000
pr_000669988,0.098985, 0.000000
pr_000749180,0.098985, 0.000000
pr_000756519,0.098985, 0.000000
pr_000298629,0.098985, 0.000000
pr_000237444,0.098985, 0.000000
pr_001132036,0.098985, 0.000000
pr_000938637,0.098985, 0.000000
pr_001601796,0.098985, 0.000000
pr_000964419,0.098985, 0.000000
pr_000550727,0.098985, 0.000000
pr_000942747,0.098985, 0.000000
pr_001704409,0.098985, 0.000000
pr_000658750,0.098985, 0.000000
pr_000336928,0.098985, 0.000000
pr_000737464,0.098985, 0.000000
pr_000855498,0.098985, 0.000000
pr_000563350,0.098985, 0.000000
