Product ID : 2104 # of JPs covered : 1 : 397 : RP Transactions-Proj-Dev, 
OID,Confidence at Map Node,Error at Map Node
us_000536643,0.998950, 0.824672
us_000559879,0.998950, 0.971029
us_000578423,0.998950, 0.987815
us_000481951,0.998950, 1.986563
pr_001032561,0.993258, 0.000000
us_000506328,0.993258, 0.000000
pr_000382005,0.993258, 0.000007
pr_000591242,0.993258, 0.000009
us_000596533,0.993258, 0.000745
us_000592946,0.993258, 0.675170
us_000476255,0.993258, 0.675209
us_000583881,0.993258, 0.691279
us_000579169,0.993258, 0.693065
us_000532160,0.993258, 0.693526
us_000571930,0.993258, 0.694992
us_000550075,0.993258, 0.696005
us_000536827,0.993258, 0.696742
pr_000651677,0.993258, 0.698191
us_000534723,0.993258, 0.699066
us_000582793,0.993258, 0.699089
us_000561626,0.993258, 0.701202
us_000520218,0.993258, 0.704918
us_000524811,0.993258, 0.704918
us_000523556,0.993258, 0.704918
us_000531702,0.993258, 0.710217
us_000580276,0.993258, 0.710708
us_000561190,0.993258, 0.712734
us_000506523,0.993258, 0.713891
us_000509363,0.993258, 0.713891
us_000542846,0.993258, 0.713891
us_000524764,0.993258, 0.713891
us_000524761,0.993258, 0.713891
us_000516152,0.993258, 0.713891
us_000551383,0.993258, 0.713891
us_000537339,0.993258, 0.713891
us_000570912,0.993258, 0.713891
us_000504696,0.993258, 0.713891
us_000589128,0.993258, 0.714133
us_000547311,0.993258, 0.714333
us_000568624,0.993258, 0.715809
us_000489985,0.993258, 0.716580
us_000587970,0.993258, 0.718325
us_000580869,0.993258, 0.719568
us_000535878,0.993258, 0.719594
us_000592583,0.993258, 0.719897
us_000586840,0.993258, 0.719925
us_000584115,0.993258, 0.719985
us_000592422,0.993258, 0.720018
us_000550024,0.993258, 0.720322
us_000529177,0.993258, 0.720326
us_000551039,0.993258, 0.721047
us_000514414,0.993258, 0.722270
us_000501115,0.993258, 0.722925
us_000527048,0.993258, 0.722925
us_000521316,0.993258, 0.722925
us_000559213,0.993258, 0.722925
us_000524709,0.993258, 0.722925
us_000501292,0.993258, 0.722925
us_000550012,0.993258, 0.722925
us_000559792,0.993258, 0.722925
us_000536640,0.993258, 0.722925
us_000537083,0.993258, 0.722925
us_000509380,0.993258, 0.722925
us_000550008,0.993258, 0.722925
us_000549986,0.993258, 0.722925
us_000482609,0.993258, 0.723359
us_000544587,0.993258, 0.723369
us_000514027,0.993258, 0.724215
us_000509810,0.993258, 0.724215
us_000536794,0.993258, 0.724300
us_000583142,0.993258, 0.724300
us_000537102,0.993258, 0.724904
us_000527681,0.993258, 0.726169
us_000578688,0.993258, 0.727942
us_000461839,0.993258, 0.728859
us_000560070,0.993258, 0.728891
us_000560812,0.993258, 0.729016
us_000571543,0.993258, 0.729081
us_000614262,0.993258, 0.729113
us_000600020,0.993258, 0.729113
us_000585098,0.993258, 0.729113
us_000587154,0.993258, 0.729113
us_000584169,0.993258, 0.729113
us_000245097,0.993258, 0.729113
us_000550088,0.993258, 0.729417
us_000473028,0.993258, 0.729491
us_000613338,0.993258, 0.729542
us_000473913,0.993258, 0.729612
us_000532846,0.993258, 0.730577
us_000551105,0.993258, 0.731889
us_000544238,0.993258, 0.732021
us_000544699,0.993258, 0.732021
us_000544700,0.993258, 0.732021
us_000561353,0.993258, 0.732021
us_000527855,0.993258, 0.732021
us_000550089,0.993258, 0.732021
us_000528939,0.993258, 0.732021
us_000534149,0.993258, 0.732021
us_000536192,0.993258, 0.732021
us_000509837,0.993258, 0.732021
us_000541668,0.993258, 0.732021
us_000528616,0.993258, 0.732021
us_000527107,0.993258, 0.732021
us_000505283,0.993258, 0.732021
us_000544626,0.993258, 0.732021
us_000515376,0.993258, 0.732021
us_000531094,0.993258, 0.732021
us_000528585,0.993258, 0.732021
us_000544129,0.993258, 0.732021
us_000517332,0.993258, 0.732021
us_000523307,0.993258, 0.732021
us_000528951,0.993258, 0.732021
us_000528501,0.993258, 0.732021
us_000544701,0.993258, 0.732021
us_000516883,0.993258, 0.732021
us_000544627,0.993258, 0.732021
us_000523756,0.993258, 0.732021
us_000526976,0.993258, 0.732021
us_000510946,0.993258, 0.732021
us_000536188,0.993258, 0.732021
us_000531922,0.993258, 0.732021
us_000548649,0.993258, 0.732021
us_000557371,0.993258, 0.733196
us_000531998,0.993258, 0.734730
us_000458714,0.993258, 0.738764
us_000486661,0.993258, 0.744098
us_000530908,0.993258, 0.757525
us_000533253,0.993258, 0.760251
us_000467952,0.993258, 0.763979
us_000487099,0.993258, 0.815031
us_000508700,0.993258, 0.870402
us_000505549,0.993258, 1.050880
us_000508004,0.993258, 1.294342
us_000526673,0.942538, 0.000000
us_000520659,0.942538, 0.000000
us_000583571,0.942538, 0.000000
us_000518872,0.942538, 0.000000
us_000608585,0.942538, 0.000000
us_000564486,0.942538, 0.000000
us_000587702,0.942538, 0.000000
us_000556005,0.942538, 0.000000
us_000594589,0.942538, 0.000000
us_000571941,0.942538, 0.000000
us_000609869,0.942538, 0.000000
us_000615324,0.942538, 0.000000
us_000514465,0.942538, 0.000000
us_000614230,0.942538, 0.000000
us_000561867,0.942538, 0.000000
us_000484897,0.942538, 0.000000
us_000480554,0.942538, 0.000000
us_000566511,0.942538, 0.000000
us_000510383,0.942538, 0.000000
us_000557045,0.942538, 0.000000
us_000481478,0.942538, 0.000000
us_000568936,0.942538, 0.000000
us_000483302,0.942538, 0.000000
pr_001198356,0.942538, 0.000000
us_000459965,0.942538, 0.000000
us_000561609,0.942538, 0.000000
pr_000512936,0.942538, 0.000001
pr_000553708,0.942538, 0.000001
pr_000525022,0.942538, 0.000001
us_000566717,0.942538, 0.000005
us_000488177,0.942538, 0.000005
us_000555845,0.942538, 0.000005
pr_001159357,0.942538, 0.000006
pr_000547930,0.942538, 0.000006
us_000590277,0.942538, 0.000007
us_000566916,0.942538, 0.000008
us_000558506,0.942538, 0.000008
us_000589284,0.942538, 0.000015
us_000582837,0.942538, 0.000240
us_000596575,0.942538, 0.000686
us_000609144,0.942538, 0.000794
us_000584686,0.942538, 0.000828
us_000617081,0.942538, 0.000863
us_000579349,0.942538, 0.001431
us_000599695,0.942538, 0.001849
us_000599987,0.942538, 0.001849
us_000572177,0.942538, 0.002521
us_000549376,0.942538, 0.003183
us_000598769,0.942538, 0.003353
us_000584434,0.942538, 0.004975
us_000501268,0.942538, 0.007158
us_000523697,0.942538, 0.016723
us_000580430,0.942538, 0.030038
us_000496334,0.942538, 0.048682
us_000468274,0.942538, 4.406743
us_000553362,0.942538, 4.538523
us_000523992,0.942538, 5.194504
us_000547588,0.942538, 5.391441
us_000539626,0.942538, 6.676672
us_000535163,0.942538, 6.939778
us_000460249,0.942538, 7.183022
us_000524201,0.942538, 7.585209
us_000553375,0.942538, 8.848219
us_000609107,0.784474, 0.000000
us_000599618,0.784474, 0.260235
us_000250928,0.784474, 0.293413
us_000551775,0.784474, 0.299603
us_000532193,0.784474, 0.314328
us_000547946,0.784474, 0.323366
us_000518389,0.784474, 0.327487
us_000544702,0.784474, 0.327931
us_000494292,0.784474, 0.328479
us_000544592,0.784474, 0.330109
us_000575526,0.784474, 0.330536
us_000541187,0.784474, 0.335963
us_000593928,0.784474, 0.338785
us_000507184,0.784474, 0.338970
us_000345897,0.784474, 0.339567
us_000578949,0.784474, 0.340217
us_000515636,0.784474, 0.340601
us_000523725,0.784474, 0.340902
us_000578993,0.784474, 0.340985
us_000538457,0.784474, 0.341330
us_000527121,0.784474, 0.341424
us_000544726,0.784474, 0.341950
us_000552148,0.784474, 0.341974
us_000500218,0.784474, 0.343679
us_000528551,0.784474, 0.344226
us_000596985,0.784474, 0.344508
us_000583184,0.784474, 0.345133
us_000578687,0.784474, 0.345546
us_000556351,0.784474, 0.347534
us_000537062,0.784474, 0.348742
us_000517541,0.784474, 0.349287
us_000521613,0.784474, 0.349287
us_000521922,0.784474, 0.350317
us_000517554,0.784474, 0.350317
us_000467331,0.784474, 0.350317
us_000505052,0.784474, 0.352050
us_000600992,0.784474, 0.353324
us_000537150,0.784474, 0.354298
us_000575884,0.784474, 0.354400
us_000583644,0.784474, 0.355048
us_000547103,0.784474, 0.355048
us_000615960,0.784474, 0.355593
us_000615771,0.784474, 0.355877
us_000592874,0.784474, 0.355978
us_000519958,0.784474, 0.357089
us_000548914,0.784474, 0.358751
us_000355550,0.784474, 0.360192
us_000561375,0.784474, 0.360957
us_000579304,0.784474, 0.361712
us_000548087,0.784474, 0.362068
us_000583695,0.784474, 0.363722
pr_001114472,0.784474, 0.368619
us_000571823,0.784474, 0.368629
us_000584418,0.784474, 0.368922
us_000574099,0.784474, 0.369099
us_000587277,0.784474, 0.369099
us_000571855,0.784474, 0.371694
us_000494611,0.784474, 0.383384
