Product ID : 7753 # of JPs covered : 1 : 303 : Health Business M&A, 
OID,Confidence at Map Node,Error at Map Node
us_000472441,0.120546,2.646743
us_000496574,0.120546,2.670195
us_000469603,0.120546,2.691877
us_000502599,0.120546,2.739452
us_000513675,0.120546,2.786381
us_000514490,0.120546,2.806206
us_000306644,0.120546,3.243540
us_000458492,0.120546,8.278189
pr_000411934,0.120482,0.000002
pr_001834935,0.120482,0.000028
us_000497231,0.120482,0.000346
us_000496831,0.120482,0.435217
us_000572967,0.120482,0.464866
us_000497574,0.120482,0.472807
us_000496821,0.120482,0.477102
us_000497046,0.120482,0.498664
us_000573782,0.120482,0.510844
us_000496769,0.120482,0.519301
us_000573783,0.120482,0.524478
us_000579457,0.120482,0.525665
us_000580114,0.120482,0.541867
us_000614960,0.120482,0.571093
us_000614610,0.120482,0.573706
us_000571778,0.120482,0.596034
us_000585309,0.120482,0.602034
us_000579621,0.120482,0.610985
us_000550369,0.120482,0.618922
us_000572694,0.120482,0.623435
us_000275660,0.120482,0.626703
us_000615192,0.120482,0.628355
us_000616328,0.120482,0.639727
us_000585392,0.120482,0.691826
us_000554629,0.120482,0.698872
us_000485319,0.120482,0.706959
us_000485604,0.120482,0.727411
us_000319046,0.120482,0.728773
us_000569091,0.120482,0.729731
us_000543405,0.120482,0.746750
us_000324891,0.120482,0.752337
us_000551076,0.120482,0.752529
us_000549578,0.120482,0.753148
us_000568645,0.120482,0.754092
us_000523529,0.120482,0.754650
us_000569154,0.120482,0.758595
us_000478757,0.120482,0.758603
us_000569886,0.120482,0.772267
us_000509447,0.120482,0.775087
us_000520873,0.120482,0.779754
us_000508161,0.120482,0.787659
us_000584430,0.120482,0.791565
us_000499394,0.120482,0.795798
us_000519020,0.120482,0.796168
us_000568130,0.120482,0.800563
us_000517965,0.120482,0.800805
us_000593987,0.120482,0.803281
us_000569933,0.120482,0.805559
us_000517538,0.120482,0.809680
us_000519601,0.120482,0.811617
us_000556751,0.120482,0.812155
us_000246885,0.120482,0.812754
us_000598851,0.120482,0.817191
us_000478386,0.120482,0.817915
us_000556288,0.120482,0.819486
us_000594101,0.120482,0.824617
us_000543593,0.120482,0.831077
us_000550086,0.120482,0.831337
us_000600467,0.120482,0.835626
us_000600476,0.120482,0.844039
us_000519565,0.120482,0.844122
us_000593962,0.120482,0.845002
us_000593203,0.120482,0.845968
us_000594135,0.120482,0.845968
us_000598943,0.120482,0.845968
us_000617052,0.120482,0.845968
us_000598640,0.120482,0.848745
us_000567343,0.120482,0.850950
us_000594108,0.120482,0.851722
us_000598688,0.120482,0.859899
us_000553977,0.120482,0.861163
us_000518385,0.120482,0.865390
us_000593398,0.120482,0.881395
us_000509351,0.120482,1.146324
us_000221970,0.120482,2.299683
us_000581931,0.018096,0.693885
us_000598249,0.018096,0.696549
