Product ID : 1009 # of JPs covered : 1 : 67 : Banking, 
OID,Confidence at Map Node,Error at Map Node
us_000546801,1.000000, 0.948601
us_000584038,1.000000, 0.959448
us_000539844,1.000000, 0.961053
us_000138286,1.000000, 0.962003
us_000286579,1.000000, 0.962287
us_000590091,1.000000, 0.963426
us_000564061,1.000000, 0.964535
us_000196816,1.000000, 0.964926
us_000458461,1.000000, 0.968268
us_000469069,1.000000, 0.969612
us_000546357,1.000000, 0.971989
us_000551272,1.000000, 0.973107
us_000459992,1.000000, 0.974930
us_000469111,1.000000, 0.974930
us_000459970,1.000000, 0.974930
us_000584278,1.000000, 0.976150
us_000203440,1.000000, 0.977032
us_000559919,1.000000, 0.978658
us_000518375,1.000000, 0.980647
us_000461923,1.000000, 0.981909
us_000288071,1.000000, 0.984467
us_000556737,1.000000, 0.987289
us_000509502,1.000000, 0.989621
us_000546966,1.000000, 0.989774
us_000256829,1.000000, 0.989817
us_000546537,1.000000, 0.989863
us_000568127,1.000000, 0.990435
us_000475542,1.000000, 0.990828
us_000568123,1.000000, 0.990932
us_000056723,1.000000, 0.991966
us_000527829,1.000000, 0.992739
us_000573414,1.000000, 0.992837
us_000475673,1.000000, 0.994622
us_000497137,1.000000, 0.995997
us_000415259,1.000000, 0.996750
us_000365403,1.000000, 0.996858
us_000155435,1.000000, 0.996898
us_000468519,1.000000, 0.997188
us_000437599,1.000000, 0.997397
us_000540384,1.000000, 0.997863
us_000461933,1.000000, 0.998262
us_000556577,1.000000, 0.998845
us_000551407,1.000000, 0.998854
us_000469546,1.000000, 0.998860
us_000468456,1.000000, 0.998860
us_000470935,1.000000, 0.999036
us_000289825,1.000000, 0.999436
us_000461830,1.000000, 0.999436
us_000258084,1.000000, 0.999436
us_000557131,1.000000, 1.001831
us_000570077,1.000000, 1.002034
us_000590991,1.000000, 1.002122
us_000105964,1.000000, 1.002792
us_000386393,1.000000, 1.002911
us_000556464,1.000000, 1.003563
us_000470551,1.000000, 1.006946
us_000487290,1.000000, 1.006946
us_000368675,1.000000, 1.006946
us_000246363,1.000000, 1.007024
us_000512480,1.000000, 1.007602
us_000473728,1.000000, 1.007822
us_000486271,1.000000, 1.009699
us_000577809,1.000000, 1.009731
us_000490487,1.000000, 1.009770
us_000563889,1.000000, 1.009931
us_000467342,1.000000, 1.009967
