Product ID : 935 # of JPs covered : 1 : 110 : International Law, 
OID,Confidence at Map Node,Error at Map Node
us_000467071,0.029430, 0.018366
us_000476265,0.029430, 0.018366
us_000483815,0.029430, 0.018366
us_000584739,0.029430, 0.018366
us_000313702,0.029430, 0.018366
us_000480453,0.029430, 0.018366
us_000475462,0.029430, 0.018366
us_000467080,0.029430, 0.018366
us_000476792,0.029430, 0.018366
us_000469077,0.029430, 0.018366
us_000616389,0.029430, 0.018366
us_000484446,0.029430, 0.018366
us_000473847,0.029430, 0.018366
us_000461539,0.029430, 0.018366
us_000219005,0.029430, 0.018366
us_000491099,0.029430, 0.018366
us_000463696,0.029430, 0.018366
us_000488604,0.029430, 0.018366
us_000490858,0.029430, 0.018366
us_000475145,0.029430, 0.018366
us_000471324,0.029430, 0.019077
us_000595493,0.029430, 0.019566
pr_000660342,0.029430, 0.019707
us_000462919,0.029430, 0.020239
us_000488584,0.029430, 0.020616
pr_000410033,0.029430, 0.021096
pr_000410804,0.029430, 0.021096
us_000488931,0.029430, 0.021193
us_000459129,0.029430, 0.021876
us_000517944,0.029430, 0.023566
us_000494124,0.029430, 0.024712
us_000473803,0.029430, 0.030781
us_000563057,0.029430, 0.036712
us_000469132,0.029430, 0.040919
us_000478722,0.029430, 0.041264
us_000461985,0.029430, 0.041559
us_000481906,0.029430, 0.047641
us_000469001,0.029430, 0.049153
us_000474795,0.029430, 0.055759
us_000480995,0.029430, 0.057406
us_000483337,0.029430, 0.057822
us_000560119,0.029430, 0.070024
us_000526199,0.029430, 0.083778
us_000566992,0.029430, 0.098666
us_000465595,0.029430, 0.103189
us_000577212,0.029430, 0.146993
