Product ID : 935 # of JPs covered : 1 : 110 : International Law, 
OID,Confidence at Map Node,Error at Map Node
us_000468786,0.525547, 0.058096
us_000468610,0.525547, 0.060386
us_000468616,0.525547, 0.060386
us_000476695,0.525547, 0.062725
us_000003892,0.525547, 0.062725
us_000480513,0.525547, 0.066024
us_000167133,0.525547, 0.067067
us_000484327,0.525547, 0.067551
us_000479001,0.525547, 0.067551
us_000463883,0.525547, 0.070037
us_000265579,0.525547, 0.070037
us_000473850,0.525547, 0.070037
us_000535971,0.525547, 0.070037
us_000517775,0.525547, 0.070037
us_000008109,0.525547, 0.070037
us_000463062,0.525547, 0.070037
us_000473583,0.525547, 0.070037
us_000476054,0.525547, 0.072572
us_000489548,0.525547, 0.072572
us_000484260,0.525547, 0.072572
us_000462846,0.525547, 0.072572
us_000071338,0.525547, 0.072572
us_000472902,0.525547, 0.072572
us_000484371,0.525547, 0.074640
us_000464723,0.525547, 0.075156
us_000285771,0.525547, 0.075156
us_000483760,0.525547, 0.075156
us_000517359,0.525547, 0.075156
us_000482307,0.525547, 0.075156
us_000474671,0.525547, 0.075156
us_000587194,0.525547, 0.075156
us_000466259,0.525547, 0.075156
us_000468991,0.525547, 0.075156
us_000558351,0.525547, 0.075156
us_000464041,0.525547, 0.075156
us_000587090,0.525547, 0.075156
us_000469273,0.525547, 0.075156
us_000499331,0.525547, 0.075793
us_000467994,0.525547, 0.077029
us_000566097,0.525547, 0.077369
us_000505232,0.525547, 0.077369
us_000477262,0.525547, 0.077435
us_000462658,0.525547, 0.077789
us_000558347,0.525547, 0.079956
us_000480916,0.525547, 0.080658
us_000486651,0.525547, 0.082053
us_000212253,0.525547, 0.086698
us_000556110,0.525547, 0.088667
us_000557309,0.525547, 0.092871
us_000474498,0.525547, 0.107582
us_000480517,0.525547, 0.180222
us_000015826,0.525547, 0.389428
pr_000400706,0.413664, 0.000000
pr_001746557,0.413664, 0.000009
pr_001164007,0.413664, 0.000009
pr_002080704,0.413664, 0.000009
pr_001662301,0.413664, 0.000009
pr_000631368,0.413664, 0.000009
pr_001684189,0.413664, 0.000012
pr_001124099,0.413664, 0.000052
pr_000993771,0.413664, 0.000134
pr_000377007,0.413664, 0.000239
pr_001043346,0.413664, 0.000434
pr_000838557,0.413664, 0.000526
pr_000631268,0.413664, 0.001109
pr_000376426,0.413664, 0.001511
pr_000591805,0.365125, 0.000000
pr_001116956,0.365125, 0.000000
us_000167075,0.365125, 0.023138
us_000149140,0.365125, 0.084252
us_000174219,0.365125, 0.088655
us_000521068,0.365125, 0.134743
us_000173881,0.365125, 0.170230
us_000475279,0.365125, 0.222865
us_000475020,0.365125, 0.224239
us_000501118,0.365125, 0.242958
us_000475260,0.365125, 0.254628
us_000003501,0.365125, 0.266161
us_000478989,0.365125, 0.317244
us_000475101,0.365125, 0.389449
us_000476312,0.365125, 0.405677
us_000507545,0.365125, 0.479309
us_000468752,0.308467, 0.030110
us_000479251,0.308467, 0.030110
us_000385539,0.308467, 0.030110
us_000436579,0.308467, 0.031795
us_000487009,0.308467, 0.031795
us_000474213,0.308467, 0.033530
us_000476687,0.308467, 0.033530
us_000467033,0.308467, 0.033530
us_000471738,0.308467, 0.033530
us_000471491,0.308467, 0.033530
us_000470816,0.308467, 0.033530
us_000477479,0.308467, 0.033530
us_000468164,0.308467, 0.033530
us_000477045,0.308467, 0.035313
us_000479634,0.308467, 0.035313
us_000464330,0.308467, 0.035313
us_000466477,0.308467, 0.035313
us_000479561,0.308467, 0.035313
us_000471622,0.308467, 0.035313
us_000479600,0.308467, 0.035313
us_000463023,0.308467, 0.035313
us_000463008,0.308467, 0.035313
us_000469487,0.308467, 0.035313
us_000464950,0.308467, 0.035313
us_000471795,0.308467, 0.037145
us_000477329,0.308467, 0.037145
us_000484203,0.308467, 0.037145
us_000477380,0.308467, 0.037145
us_000499654,0.308467, 0.037145
us_000466397,0.308467, 0.037145
us_000479450,0.308467, 0.037145
us_000477021,0.308467, 0.037145
us_000464842,0.308467, 0.037145
us_000476409,0.308467, 0.037145
us_000466420,0.308467, 0.037145
us_000484308,0.308467, 0.037145
us_000499656,0.308467, 0.037145
us_000462672,0.308467, 0.037145
us_000084751,0.308467, 0.039027
us_000477813,0.308467, 0.039027
us_000462074,0.308467, 0.039027
us_000485505,0.308467, 0.039027
us_000481323,0.308467, 0.039027
us_000472399,0.308467, 0.039027
us_000485840,0.308467, 0.039027
us_000489428,0.308467, 0.039027
us_000471792,0.308467, 0.039027
us_000191791,0.308467, 0.039027
us_000224297,0.308467, 0.039027
us_000459258,0.308467, 0.039027
us_000481310,0.308467, 0.039027
us_000179007,0.308467, 0.039027
us_000462110,0.308467, 0.039027
us_000462683,0.308467, 0.039027
us_000485895,0.308467, 0.039027
us_000459173,0.308467, 0.039027
us_000480982,0.308467, 0.039027
us_000486879,0.308467, 0.039027
us_000467510,0.308467, 0.039027
us_000486869,0.308467, 0.039027
us_000418945,0.308467, 0.039027
us_000461622,0.308467, 0.039027
us_000395630,0.308467, 0.039027
us_000393348,0.308467, 0.039301
us_000491919,0.308467, 0.040957
us_000475046,0.308467, 0.040957
us_000346705,0.308467, 0.040957
us_000490849,0.308467, 0.040957
