Product ID : 7792 # of JPs covered : 1 : 216 : Accounting-Non-Profit, 
OID,Confidence at Map Node,Error at Map Node
pr_001112274,1.000000,0.515194
pr_000723873,1.000000,0.515194
pr_001127401,1.000000,0.515194
pr_001127280,1.000000,0.515194
pr_001142365,1.000000,0.515194
pr_000781599,1.000000,0.515194
pr_001128316,1.000000,0.515194
pr_001603816,1.000000,0.515194
pr_001127663,1.000000,0.515194
pr_002159529,1.000000,0.515194
pr_000718736,1.000000,0.517929
us_000586206,1.000000,0.518620
us_000387901,1.000000,0.519732
us_000617946,1.000000,0.520444
us_000555800,1.000000,0.520753
pr_000862635,1.000000,0.521785
us_000593467,1.000000,0.524422
pr_000910647,1.000000,0.526507
us_000617152,1.000000,0.528188
us_000617548,1.000000,0.528445
us_000587601,1.000000,0.529726
us_000593549,1.000000,0.529900
us_000593493,1.000000,0.529924
us_000614118,1.000000,0.531806
us_000550166,1.000000,0.532913
us_000472720,1.000000,0.535343
us_000495016,1.000000,0.536909
us_000549590,1.000000,0.537451
us_000549588,1.000000,0.537451
us_000549589,1.000000,0.537451
us_000479196,1.000000,0.537466
us_000234234,1.000000,0.537711
us_000523602,1.000000,0.538427
us_000579948,1.000000,0.538448
us_000512397,1.000000,0.538712
us_000559322,1.000000,0.538939
us_000496227,1.000000,0.538967
us_000496496,1.000000,0.538988
us_000479185,1.000000,0.539243
us_000462978,1.000000,0.539254
us_000530965,1.000000,0.539642
us_000518429,1.000000,0.539803
us_000517285,1.000000,0.539818
us_000502051,1.000000,0.539954
us_000498885,1.000000,0.539986
us_000497230,1.000000,0.539999
us_000497124,1.000000,0.540000
us_000476426,1.000000,0.540151
us_000476008,1.000000,0.540155
us_000476009,1.000000,0.540155
us_000190619,1.000000,0.546302
us_000477455,1.000000,0.548667
us_000483704,1.000000,0.561105
pr_000754134,1.000000,0.578157
pr_000634417,1.000000,0.587462
pr_000655702,1.000000,0.591932
pr_000695821,1.000000,0.621530
pr_000716522,1.000000,0.632609
pr_000971572,1.000000,0.714828
pr_000747981,1.000000,0.721830
us_000470775,1.000000,0.738397
us_000485423,1.000000,0.743825
us_000460736,1.000000,0.792442
us_000465101,1.000000,0.828867
us_000388584,1.000000,0.834756
us_000496071,1.000000,0.837462
pr_000723955,1.000000,0.866462
pr_001015775,1.000000,0.866462
pr_001014602,1.000000,0.866462
us_000466313,1.000000,0.882672
us_000463019,1.000000,0.968780
us_000464373,1.000000,0.974235
pr_000926140,1.000000,1.020482
pr_000723027,1.000000,1.116171
pr_001640748,1.000000,1.599426
us_000549240,0.999877,0.312121
us_000548143,0.999877,0.324777
us_000500927,0.999877,0.338526
pr_001129860,0.999877,0.380749
us_000530134,0.999877,0.399681
us_000501840,0.999877,0.419131
us_000517406,0.999877,0.422214
pr_000652915,0.999877,0.424604
us_000460722,0.999877,0.440754
us_000500360,0.999877,0.442909
us_000596300,0.999877,0.443962
us_000500384,0.999877,0.462292
us_000524832,0.999877,0.465656
pr_001130356,0.999877,0.466290
pr_001093143,0.999877,0.471011
pr_001101604,0.999877,0.471011
us_000484927,0.999877,0.486833
us_000555828,0.999877,0.486851
pr_001129811,0.999877,0.492646
us_000227260,0.999877,0.492871
us_000500866,0.999877,0.517667
us_000496121,0.999877,0.517803
us_000491846,0.999877,0.518827
pr_001130864,0.999877,0.519969
us_000520087,0.999877,0.522995
pr_000560644,0.999877,0.523521
us_000549587,0.999877,0.541337
us_000496004,0.999877,0.543168
pr_001640470,0.999877,0.545404
pr_001089262,0.999877,0.545404
pr_000698604,0.999877,0.545404
pr_001869625,0.999877,0.545404
pr_001008644,0.999877,0.545404
pr_000701931,0.999877,0.627422
us_000463411,0.999877,0.633425
pr_000883349,0.999877,0.761940
us_000492041,0.999877,0.811477
us_000485064,0.999877,0.814917
us_000531578,0.999877,0.999889
us_000463358,0.999877,1.611928
pr_001400541,0.999585,0.000005
pr_000486081,0.999585,0.000006
pr_000201270,0.999585,0.000006
