Product ID : 90 # of JPs covered : 1 : 215 : Accounting-Compilation & Review, 
OID,Confidence at Map Node,Error at Map Node
us_000461533,0.521280, 0.000001
pr_000371973,0.521280, 0.000001
pr_001149472,0.521280, 0.000056
pr_000507526,0.521280, 0.000244
pr_001148728,0.521280, 0.000291
pr_001034233,0.521280, 0.000346
pr_000817839,0.521280, 0.000382
pr_001033395,0.521280, 0.000393
pr_001684964,0.521280, 0.000435
pr_000617992,0.521280, 0.000463
pr_000825903,0.521280, 0.000472
pr_001025422,0.521280, 0.000541
pr_000626928,0.521280, 0.000583
pr_000911844,0.521280, 0.000713
pr_001146865,0.521280, 0.001168
us_000241174,0.521280, 0.005316
us_000482084,0.521280, 0.017914
us_000469407,0.521280, 0.018461
us_000482031,0.521280, 0.023791
us_000323666,0.521280, 0.031343
us_000387611,0.521280, 0.041674
us_000338315,0.521280, 0.049676
us_000485746,0.521280, 0.063536
us_000294561,0.521280, 0.080616
us_000468676,0.521280, 0.081928
us_000462184,0.521280, 0.097395
us_000463714,0.521280, 0.098750
us_000471699,0.521280, 0.111910
us_000286602,0.521280, 0.126112
us_000524567,0.521280, 0.156501
us_000605046,0.521280, 0.170748
us_000461824,0.521280, 0.171337
us_000471062,0.521280, 0.171337
us_000556567,0.521280, 0.172649
us_000497236,0.521280, 0.176686
us_000469223,0.521280, 0.178096
us_000538942,0.521280, 0.180191
us_000539839,0.521280, 0.184845
us_000523415,0.521280, 0.190336
us_000476593,0.521280, 0.190336
us_000469285,0.521280, 0.190336
us_000468001,0.521280, 0.190336
us_000469284,0.521280, 0.190336
us_000469142,0.521280, 0.190336
us_000469203,0.521280, 0.190336
us_000458509,0.521280, 0.190336
us_000503416,0.521280, 0.190336
us_000468798,0.521280, 0.190336
us_000469286,0.521280, 0.190336
pr_000631700,0.521280, 0.190962
us_000570305,0.521280, 0.222974
us_000027958,0.521280, 0.244226
us_000217766,0.521280, 0.369284
us_000481593,0.521280, 0.382784
us_000523247,0.521280, 1.140311
pr_001088075,0.479360, 0.000003
pr_000372592,0.479360, 0.000007
pr_000617535,0.479360, 0.000007
pr_000825685,0.479360, 0.000007
pr_001151222,0.479360, 0.000007
pr_000694877,0.479360, 0.000007
pr_001702760,0.479360, 0.000007
pr_001715289,0.479360, 0.000007
pr_001623360,0.479360, 0.000007
pr_000373147,0.479360, 0.000007
pr_001048171,0.479360, 0.000007
pr_001645656,0.479360, 0.000007
pr_000642289,0.479360, 0.000026
us_000477991,0.479360, 0.000555
us_000472762,0.479360, 0.012891
us_000473175,0.479360, 0.056173
us_000460361,0.479360, 0.108430
pr_000514026,0.479360, 0.152063
pr_001101589,0.479360, 0.221197
pr_001400294,0.407407, 0.000004
pr_000374404,0.407407, 0.000011
pr_000386608,0.407407, 0.000052
pr_001034705,0.407407, 0.000077
pr_000571215,0.407407, 0.000077
pr_000750747,0.407407, 0.000167
pr_000711218,0.407407, 0.000209
pr_000394951,0.407407, 0.001357
us_000508126,0.407407, 0.001809
us_000467127,0.407407, 0.003836
us_000538850,0.407407, 0.006174
us_000480516,0.407407, 0.006472
us_000392009,0.407407, 0.008591
us_000242239,0.407407, 0.010035
pr_000373997,0.407407, 0.010056
us_000458458,0.407407, 0.014053
us_000562354,0.407407, 0.046853
us_000508011,0.407407, 0.062352
us_000580904,0.407407, 0.103544
us_000411391,0.407407, 0.104504
us_000509034,0.407407, 0.120925
us_000534277,0.407407, 0.162936
pr_001089183,0.407407, 0.192224
us_000470784,0.407407, 0.203516
pr_000167107,0.391115, 0.000000
pr_001083811,0.391115, 0.000000
pr_001008632,0.391115, 0.000000
pr_000549542,0.391115, 0.000000
us_000470715,0.391115, 0.000000
us_000464796,0.391115, 0.000000
us_000482757,0.391115, 0.000000
us_000471054,0.391115, 0.000477
us_000472601,0.391115, 0.000534
us_000431593,0.391115, 0.000822
us_000233880,0.391115, 0.000936
pr_000994165,0.391115, 0.001446
us_000298823,0.391115, 0.004185
us_000468726,0.391115, 0.005126
us_000468457,0.391115, 0.006311
pr_000633360,0.391115, 0.019465
us_000548915,0.391115, 0.032031
us_000570917,0.391115, 0.035912
pr_000862072,0.391115, 0.054233
pr_001000536,0.391115, 0.054825
pr_001001590,0.391115, 0.055143
pr_000985551,0.391115, 0.060273
pr_001119090,0.391115, 0.060470
pr_000978017,0.391115, 0.060539
pr_001589203,0.391115, 0.060920
pr_001401597,0.391115, 0.060920
pr_001695398,0.391115, 0.061223
pr_001626996,0.391115, 0.061223
pr_001029975,0.391115, 0.061425
pr_001638869,0.391115, 0.061533
pr_001637344,0.391115, 0.061533
pr_001656476,0.391115, 0.061533
pr_001727825,0.391115, 0.061533
pr_001637343,0.391115, 0.061533
pr_000972636,0.391115, 0.061588
pr_001135907,0.391115, 0.061651
pr_001049264,0.391115, 0.061651
pr_001716469,0.391115, 0.061669
pr_001630149,0.391115, 0.061852
pr_001612147,0.391115, 0.061852
pr_001692686,0.391115, 0.061852
pr_001165487,0.391115, 0.061978
pr_001650207,0.391115, 0.061988
pr_001649675,0.391115, 0.061988
pr_001649672,0.391115, 0.062049
pr_001686030,0.391115, 0.062058
pr_001620517,0.391115, 0.062178
pr_001391415,0.391115, 0.062178
pr_001677657,0.391115, 0.062178
pr_001626117,0.391115, 0.062178
pr_001631560,0.391115, 0.062178
pr_001673364,0.391115, 0.062178
pr_001686150,0.391115, 0.062178
pr_001703551,0.391115, 0.062178
pr_001071298,0.391115, 0.062178
pr_001686039,0.391115, 0.062178
pr_001414171,0.391115, 0.062178
pr_001719118,0.391115, 0.062178
pr_001620518,0.391115, 0.062178
pr_001624492,0.391115, 0.062178
pr_001027507,0.391115, 0.062178
pr_001694229,0.391115, 0.062178
pr_001689148,0.391115, 0.062314
pr_001645327,0.391115, 0.062314
pr_001643583,0.391115, 0.062314
pr_001650836,0.391115, 0.062467
pr_001114678,0.391115, 0.062493
pr_001044669,0.391115, 0.064327
pr_000720333,0.391115, 0.065404
pr_000722967,0.391115, 0.068013
pr_001040985,0.391115, 0.068522
pr_001633774,0.391115, 0.068589
pr_001632897,0.391115, 0.072172
us_000591428,0.391115, 0.073469
pr_001698770,0.391115, 0.074273
pr_000921429,0.391115, 0.076611
pr_001743493,0.391115, 0.077754
pr_001823262,0.391115, 0.077822
pr_000914785,0.391115, 0.078243
pr_001589411,0.391115, 0.080078
pr_000752357,0.391115, 0.081377
pr_000741964,0.391115, 0.081959
pr_000951826,0.391115, 0.081959
pr_001616954,0.391115, 0.082463
pr_000982389,0.391115, 0.085394
pr_000874820,0.391115, 0.085505
pr_001396149,0.391115, 0.085543
pr_000723413,0.391115, 0.085569
