Product ID : 90 # of JPs covered : 1 : 215 : Accounting-Compilation & Review, 
OID,Confidence at Map Node,Error at Map Node
us_000017165,0.269636, 0.000037
us_000468843,0.269636, 0.000037
us_000460301,0.269636, 0.000037
us_000466321,0.269636, 0.000037
us_000460090,0.269636, 0.000037
pr_000646066,0.269636, 0.000065
pr_000551237,0.269636, 0.000088
us_000484440,0.269636, 0.000142
us_000462462,0.269636, 0.000142
us_000468278,0.269636, 0.000142
us_000468251,0.269636, 0.000142
us_000463686,0.269636, 0.000142
us_000471673,0.269636, 0.000142
us_000510864,0.269636, 0.000142
us_000482920,0.269636, 0.000142
us_000463608,0.269636, 0.000142
pr_000290547,0.269636, 0.000147
pr_000559436,0.269636, 0.000293
pr_000566675,0.269636, 0.000409
pr_000553574,0.269636, 0.000658
us_000460949,0.269636, 0.000863
us_000459208,0.269636, 0.000874
pr_001036158,0.269636, 0.000964
pr_000566401,0.269636, 0.001080
pr_000993383,0.269636, 0.001387
pr_000963282,0.269636, 0.001540
us_000463066,0.269636, 0.007502
pr_000395395,0.269636, 0.008309
pr_001401859,0.269636, 0.019271
us_000292694,0.079679, 0.000000
us_000465077,0.079679, 0.000000
us_000479371,0.079679, 0.000000
us_000490367,0.079679, 0.000000
pr_001042899,0.079679, 0.000002
pr_000250238,0.079679, 0.000004
us_000461252,0.079679, 0.000039
us_000458883,0.079679, 0.000054
pr_000724990,0.079679, 0.000630
us_000603581,0.079679, 0.000634
pr_000558828,0.079679, 0.000683
pr_000992598,0.079679, 0.000812
pr_000895562,0.079679, 0.000812
pr_000721205,0.079679, 0.001148
pr_001003870,0.079679, 0.001236
us_000603509,0.079679, 0.001300
pr_000750798,0.079679, 0.001333
pr_000718920,0.079679, 0.001333
pr_001002009,0.079679, 0.001506
pr_000719301,0.079679, 0.001860
pr_000724326,0.079679, 0.001873
pr_000519882,0.079679, 0.002058
pr_001395603,0.079679, 0.002058
pr_000752602,0.079679, 0.002058
pr_001015306,0.079679, 0.002058
pr_000651392,0.079679, 0.002058
pr_001014059,0.079679, 0.002058
pr_000713168,0.079679, 0.002058
pr_001398953,0.079679, 0.002058
pr_000525006,0.079679, 0.002058
pr_000749548,0.079679, 0.002058
pr_000754188,0.079679, 0.002058
pr_001044050,0.079679, 0.002058
pr_001041093,0.079679, 0.002058
pr_000748784,0.079679, 0.002058
pr_000753788,0.079679, 0.002058
pr_000751251,0.079679, 0.002058
pr_000748939,0.079679, 0.002108
pr_000848268,0.079679, 0.002299
pr_001015019,0.079679, 0.002395
pr_000748360,0.079679, 0.002404
pr_000720950,0.079679, 0.002481
pr_000543471,0.079679, 0.002757
pr_001089587,0.079679, 0.002757
pr_000954870,0.079679, 0.002772
pr_000712688,0.079679, 0.002806
pr_000873888,0.079679, 0.002875
pr_000993461,0.079679, 0.003006
pr_000723249,0.079679, 0.003027
pr_000519898,0.079679, 0.003045
pr_000942253,0.079679, 0.003077
pr_000869602,0.079679, 0.003080
pr_000723322,0.079679, 0.003117
pr_000748314,0.079679, 0.003184
pr_001041649,0.079679, 0.003217
pr_000815026,0.079679, 0.003287
pr_001138128,0.079679, 0.003294
pr_000748304,0.079679, 0.003674
pr_000651223,0.079679, 0.004269
pr_001029165,0.079679, 0.004287
pr_000613170,0.079679, 0.004669
pr_000724331,0.079679, 0.004801
pr_000897075,0.079679, 0.004850
pr_000720532,0.079679, 0.005001
pr_001732882,0.079679, 0.005004
pr_000555035,0.079679, 0.005178
pr_000712820,0.079679, 0.005217
pr_000890552,0.079679, 0.005487
pr_000517575,0.079679, 0.005672
pr_001089798,0.079679, 0.005908
us_000601977,0.079679, 0.006416
pr_000560969,0.079679, 0.006663
pr_000628066,0.079679, 0.006683
pr_000514028,0.079679, 0.007903
pr_000525245,0.079679, 0.008141
pr_000723424,0.079679, 0.008423
pr_001400688,0.079679, 0.008557
pr_001001600,0.079679, 0.009261
pr_000721301,0.079679, 0.009284
pr_000652903,0.079679, 0.009522
pr_001743375,0.079679, 0.009571
pr_000560921,0.079679, 0.010036
pr_001400290,0.079679, 0.012394
pr_000556860,0.079679, 0.012542
pr_001112607,0.079679, 0.014547
us_000602535,0.079679, 0.016183
pr_000570651,0.079679, 0.018614
pr_000752404,0.079679, 0.021415
pr_001082724,0.079679, 0.022106
pr_001649674,0.079679, 0.022855
us_000605714,0.079679, 0.023592
pr_000546293,0.079679, 0.027003
pr_001689788,0.079679, 0.028300
pr_001409653,0.079679, 0.028371
pr_001588370,0.079679, 0.029971
pr_001038502,0.079679, 0.030418
pr_001587252,0.079679, 0.030460
pr_001680024,0.079679, 0.030596
pr_001410462,0.079679, 0.030671
pr_001391418,0.079679, 0.030847
pr_001673363,0.079679, 0.030956
pr_001686124,0.079679, 0.031384
pr_001657333,0.079679, 0.031414
us_000542481,0.079679, 0.031432
pr_001593257,0.079679, 0.031927
pr_001058575,0.079679, 0.032300
pr_001625532,0.079679, 0.032487
pr_001392044,0.079679, 0.034513
pr_001676155,0.079679, 0.036166
pr_001702685,0.079679, 0.046100
pr_000698794,0.079679, 0.047868
pr_001042895,0.079679, 0.050885
pr_001653874,0.079679, 0.052161
pr_001059906,0.079679, 0.058648
