Product ID : 7875 # of JPs covered : 1 : 426 : Tax Prep-Foreign Individual, 
OID,Confidence at Map Node,Error at Map Node
us_000552554,1.000000,0.000000
pr_001607484,1.000000,0.000001
us_000549509,1.000000,0.000002
us_000608617,1.000000,0.000008
us_000604636,1.000000,0.000008
us_000610579,1.000000,0.000008
us_000608251,1.000000,0.000008
pr_001886159,1.000000,0.000008
pr_002000844,1.000000,0.000008
us_000507073,1.000000,0.000014
us_000528725,1.000000,0.000016
us_000517472,1.000000,0.000023
us_000615711,1.000000,0.000023
us_000529836,1.000000,0.000025
pr_001409297,1.000000,0.000030
us_000613579,1.000000,0.000031
us_000548095,1.000000,0.000032
pr_002120417,1.000000,0.000044
pr_001855753,1.000000,0.000044
us_000539538,1.000000,0.000058
us_000608785,1.000000,0.000063
us_000541001,1.000000,0.000071
pr_001040606,1.000000,0.000076
pr_001086198,1.000000,0.000076
pr_000956305,1.000000,0.000076
pr_001022404,1.000000,0.000076
pr_000929895,1.000000,0.000076
pr_001039836,1.000000,0.000076
us_000588221,1.000000,0.000107
us_000578640,1.000000,0.000144
us_000512143,1.000000,0.000154
us_000588332,1.000000,0.000230
us_000574733,1.000000,0.000253
pr_002122375,1.000000,0.000357
pr_001777017,1.000000,0.000357
pr_001800883,1.000000,0.000357
pr_001888327,1.000000,0.000357
pr_001146449,1.000000,0.000357
pr_001163445,1.000000,0.000357
pr_001795503,1.000000,0.000357
us_000496137,1.000000,0.000363
us_000569261,1.000000,0.000434
pr_001009185,1.000000,0.000583
pr_000396972,1.000000,0.000583
us_000483931,1.000000,0.000655
us_000509076,1.000000,0.000663
us_000471292,1.000000,0.000678
us_000605192,1.000000,0.000685
us_000507468,1.000000,0.000704
us_000226715,1.000000,0.000865
us_000491357,1.000000,0.001175
pr_001043329,1.000000,0.001233
pr_000888642,1.000000,0.001233
pr_000733215,1.000000,0.001390
us_000488194,1.000000,0.001502
pr_000927280,1.000000,0.001510
pr_001853789,1.000000,0.002147
us_000489361,1.000000,0.002357
pr_000518718,1.000000,0.002476
pr_002231479,1.000000,0.002569
pr_001789951,1.000000,0.002569
pr_000184762,1.000000,0.003493
pr_000695276,1.000000,0.003493
pr_000283579,1.000000,0.004817
pr_000720803,1.000000,0.010507
us_000542717,1.000000,0.018278
pr_000724742,1.000000,0.018705
us_000578448,1.000000,0.021051
pr_000637325,1.000000,0.044318
pr_000629409,0.975868,0.000001
pr_000695416,0.975868,0.000001
pr_000940753,0.975868,0.000001
pr_001126979,0.975868,0.000001
pr_000553891,0.975868,0.000001
pr_001126818,0.975868,0.000001
pr_000700469,0.975868,0.000001
pr_001126599,0.975868,0.000001
pr_000716177,0.975868,0.000001
pr_001096846,0.975868,0.000001
pr_001161839,0.975868,0.000001
pr_001130153,0.975868,0.000001
pr_000990911,0.975868,0.000001
pr_001794267,0.975868,0.000001
pr_001891077,0.975868,0.000001
pr_002119924,0.975868,0.000001
pr_001129272,0.975868,0.000001
pr_002002018,0.975868,0.000001
pr_002261876,0.975868,0.000001
pr_000653114,0.975868,0.000001
pr_001043858,0.975868,0.000001
pr_001128929,0.975868,0.000001
pr_001130029,0.975868,0.000001
pr_000951787,0.975868,0.000001
pr_001088290,0.975868,0.000001
pr_000562250,0.975868,0.000001
pr_000653396,0.975868,0.000001
pr_001014616,0.975868,0.000001
pr_001107190,0.975868,0.000001
pr_000993117,0.975868,0.000001
pr_002043234,0.975868,0.000001
pr_000553673,0.975868,0.000001
pr_001142057,0.975868,0.000001
pr_001622791,0.975868,0.000001
pr_000819310,0.975868,0.000001
pr_001128809,0.975868,0.000001
pr_002045816,0.975868,0.000001
pr_001130854,0.975868,0.000001
pr_001129449,0.975868,0.000001
pr_001996179,0.975868,0.000001
pr_001130490,0.975868,0.000001
pr_000559129,0.975868,0.000001
pr_001131209,0.975868,0.000001
pr_001938470,0.975868,0.000001
pr_001127235,0.975868,0.000001
pr_000821263,0.975868,0.000001
pr_001015838,0.975868,0.000001
pr_001129476,0.975868,0.000001
pr_000719591,0.975868,0.000001
pr_001130556,0.975868,0.000001
pr_001127021,0.975868,0.000001
pr_001854882,0.975868,0.000001
pr_001679663,0.975868,0.000001
pr_001130176,0.975868,0.000001
pr_001089697,0.975868,0.000001
pr_001130285,0.975868,0.000001
pr_002045287,0.975868,0.000001
pr_000827804,0.975868,0.000001
pr_000655621,0.975868,0.000001
pr_001129320,0.975868,0.000001
pr_001126539,0.975868,0.000001
pr_000655651,0.975868,0.000001
pr_001130767,0.975868,0.000001
pr_001090904,0.975868,0.000001
pr_001089010,0.975868,0.000001
pr_001128803,0.975868,0.000001
pr_000634654,0.975868,0.000001
pr_001128450,0.975868,0.000001
pr_001782723,0.975868,0.000001
pr_001808845,0.975868,0.000001
pr_000374011,0.975868,0.000001
pr_000655612,0.975868,0.000001
pr_001130848,0.975868,0.000001
pr_000837901,0.975868,0.000001
pr_001155157,0.975868,0.000001
pr_001127920,0.975868,0.000001
pr_001157663,0.975868,0.000001
pr_002001020,0.975868,0.000001
pr_001805049,0.975868,0.000001
pr_001044103,0.975868,0.000001
pr_000875620,0.975868,0.000001
pr_001127160,0.975868,0.000001
pr_000749185,0.975868,0.000001
pr_000922199,0.975868,0.000001
pr_000712495,0.975868,0.000001
pr_001126376,0.975868,0.000001
pr_001127091,0.975868,0.000001
pr_000725447,0.975868,0.000001
pr_001126542,0.975868,0.000001
pr_000750999,0.975868,0.000001
pr_000812204,0.975868,0.000001
pr_001874686,0.975868,0.000001
pr_000864472,0.975868,0.000001
pr_000853112,0.975868,0.000001
pr_001995598,0.975868,0.000001
pr_000992525,0.975868,0.000001
pr_000633580,0.975868,0.000001
pr_001131298,0.975868,0.000001
pr_001131343,0.975868,0.000001
pr_000720765,0.975868,0.000001
pr_000720329,0.975868,0.000001
pr_001127323,0.975868,0.000001
pr_001157133,0.975868,0.000001
pr_001090865,0.975868,0.000001
pr_000627987,0.975868,0.000001
pr_001131082,0.975868,0.000001
pr_001582803,0.975868,0.000001
pr_002044661,0.975868,0.000001
pr_000994877,0.975868,0.000001
pr_001777131,0.975868,0.000001
pr_000697431,0.975868,0.000001
pr_000723688,0.975868,0.000001
pr_001604984,0.975868,0.000001
pr_000713084,0.975868,0.000001
pr_001167074,0.975868,0.000001
pr_001128791,0.975868,0.000001
pr_002048084,0.975868,0.000001
pr_001127962,0.975868,0.000001
pr_000562131,0.975868,0.000001
pr_000715740,0.975868,0.000001
pr_001127089,0.975868,0.000001
pr_001127473,0.975868,0.000001
pr_000557218,0.975868,0.000001
pr_001089637,0.975868,0.000001
pr_000633878,0.975868,0.000001
pr_002001236,0.975868,0.000001
pr_001087678,0.975868,0.000001
pr_001892006,0.975868,0.000001
pr_001126086,0.975868,0.000001
pr_000823134,0.975868,0.000001
pr_001014839,0.975868,0.000001
pr_000735172,0.975868,0.000001
pr_001126551,0.975868,0.000001
pr_001874688,0.975868,0.000001
pr_002248457,0.975868,0.000001
pr_001787665,0.975868,0.000001
pr_000553534,0.975868,0.000001
pr_001129974,0.975868,0.000001
pr_001127769,0.975868,0.000001
pr_001893623,0.975868,0.000001
us_000461915,0.975868,0.000002
us_000487030,0.975868,0.000003
us_000491214,0.975868,0.000003
us_000496061,0.975868,0.000003
us_000500908,0.975868,0.000003
us_000522320,0.975868,0.000003
us_000531447,0.975868,0.000004
us_000364364,0.975868,0.000004
us_000478946,0.975868,0.000005
us_000486171,0.975868,0.000005
us_000558402,0.975868,0.000006
us_000523315,0.975868,0.000007
us_000581447,0.975868,0.000012
us_000550168,0.975868,0.000012
us_000518520,0.975868,0.000012
us_000564392,0.975868,0.000019
us_000578907,0.975868,0.000030
pr_000891371,0.975868,0.003087
pr_001887974,0.975868,0.004197
us_000589042,0.975868,0.004965
pr_002121739,0.975868,0.016179
us_000504323,0.955873,0.000000
us_000614975,0.955873,0.297862
us_000610902,0.955873,0.316312
us_000597636,0.955873,0.330190
us_000606021,0.955873,0.343912
us_000561978,0.955873,0.363748
us_000613194,0.955873,0.372709
us_000508079,0.955873,0.381834
us_000563840,0.943625,0.000007
us_000477712,0.943625,0.000007
pr_000024286,0.943625,0.000090
pr_001942120,0.943625,0.008291
pr_001845618,0.943625,0.020987
us_000590365,0.943625,0.087914
us_000514047,0.886423,0.569236
us_000600805,0.886423,0.772377
us_000536064,0.860644,0.000000
us_000579186,0.860644,0.000000
us_000578876,0.860644,0.000000
pr_000512922,0.836321,0.000000
pr_000514137,0.836321,0.000000
pr_000543809,0.836321,0.000000
pr_000082974,0.836321,0.000001
pr_000979404,0.836321,0.000213
pr_000713459,0.836321,0.001255
us_000460414,0.836321,0.320874
us_000459335,0.836321,0.437224
us_000597766,0.836321,0.453269
us_000513963,0.836321,0.905001
us_000580681,0.836321,1.135433
us_000597788,0.836321,1.458187
us_000485448,0.793602,0.000000
us_000613169,0.793602,0.000000
us_000612743,0.793602,0.000000
us_000609029,0.793602,0.000000
