Product ID : 896 # of JPs covered : 1 : 121 : Mergers Acquisitions & Divestitures, 
OID,Confidence at Map Node,Error at Map Node
us_000500082,1.000000, 0.000000
us_000542064,1.000000, 0.000000
us_000562339,1.000000, 0.001302
us_000516803,1.000000, 0.003123
us_000605910,0.579384, 0.000001
pr_001056265,0.579384, 0.000002
pr_001072681,0.579384, 0.000002
pr_000398869,0.579384, 0.000009
pr_000400938,0.579384, 0.000010
pr_000401248,0.579384, 0.000010
pr_000788178,0.579384, 0.000012
pr_001843350,0.579384, 0.000012
pr_001114228,0.579384, 0.000012
pr_001767994,0.579384, 0.000012
pr_000774816,0.579384, 0.000012
pr_000820288,0.579384, 0.000012
pr_000850666,0.579384, 0.000022
pr_000885433,0.579384, 0.000022
pr_000779861,0.579384, 0.000025
us_000469081,0.579384, 0.000038
pr_000397943,0.579384, 0.000089
pr_000268758,0.579384, 0.000089
pr_000268369,0.579384, 0.000089
pr_001766721,0.579384, 0.000115
pr_000399329,0.579384, 0.000202
us_000560387,0.579384, 0.000274
pr_000377555,0.579384, 0.000413
us_000503281,0.579384, 0.000519
pr_000244902,0.579384, 0.000703
pr_001835565,0.579384, 0.000736
us_000548622,0.579384, 0.001049
pr_000161918,0.579384, 0.001079
pr_000590346,0.579384, 0.001485
pr_000767638,0.579384, 0.001485
us_000470377,0.579384, 0.001688
pr_000969843,0.579384, 0.002138
us_000533204,0.579384, 0.002189
us_000559878,0.579384, 0.002240
pr_001082201,0.579384, 0.005282
pr_001143112,0.579384, 0.006874
pr_002097464,0.579384, 0.007420
us_000594820,0.579384, 0.015908
us_000506999,0.579384, 0.182204
us_000472338,0.300084, 0.000000
us_000471243,0.300084, 0.000000
us_000515758,0.300084, 0.000000
pr_000735974,0.300084, 0.000001
pr_002006777,0.300084, 0.000001
us_000525240,0.300084, 0.000001
us_000464409,0.300084, 0.000002
us_000539301,0.300084, 0.000002
us_000541449,0.300084, 0.000002
pr_000750203,0.300084, 0.000004
pr_001894874,0.300084, 0.000006
us_000537888,0.300084, 0.000009
pr_002066217,0.300084, 0.000014
us_000510426,0.300084, 0.000023
us_000518842,0.300084, 0.000030
pr_001963351,0.300084, 0.000036
pr_001930435,0.300084, 0.000036
us_000537897,0.300084, 0.000061
us_000537922,0.300084, 0.000061
pr_001884506,0.300084, 0.000087
us_000503686,0.300084, 0.000159
us_000519328,0.300084, 0.000248
us_000441576,0.300084, 0.000263
us_000508831,0.300084, 0.000349
us_000512067,0.300084, 0.000349
us_000508799,0.300084, 0.000349
pr_001021085,0.300084, 0.000371
us_000521577,0.300084, 0.000510
us_000550742,0.300084, 0.000547
pr_000791139,0.300084, 0.000562
pr_001089198,0.300084, 0.000562
pr_000822658,0.300084, 0.000562
pr_000744957,0.300084, 0.000610
us_000484930,0.300084, 0.000615
pr_000886452,0.300084, 0.000629
pr_000880013,0.300084, 0.000629
us_000463914,0.300084, 0.000642
pr_000274758,0.300084, 0.000660
us_000542656,0.300084, 0.000807
pr_000289167,0.300084, 0.000914
pr_001611410,0.300084, 0.000931
us_000466827,0.300084, 0.000948
us_000539375,0.300084, 0.000987
pr_000562899,0.300084, 0.001170
us_000467129,0.300084, 0.001461
us_000599052,0.300084, 0.002507
us_000509297,0.300084, 0.003076
us_000486085,0.300084, 0.003112
us_000520640,0.300084, 0.003294
us_000492918,0.300084, 0.003344
us_000543433,0.300084, 0.003416
pr_001018053,0.300084, 0.003455
us_000535835,0.300084, 0.003694
us_000537949,0.300084, 0.005143
us_000106058,0.300084, 0.005842
us_000580820,0.300084, 0.007428
us_000559191,0.300084, 0.007515
us_000515699,0.300084, 0.007522
us_000542328,0.300084, 0.007790
us_000598055,0.300084, 0.008061
us_000506858,0.300084, 0.008871
us_000568739,0.300084, 0.010266
us_000567553,0.300084, 0.010913
us_000568680,0.300084, 0.011957
us_000470418,0.300084, 0.012760
us_000533657,0.300084, 0.012852
us_000542961,0.300084, 0.014734
us_000487783,0.300084, 0.017237
us_000498982,0.300084, 0.017759
us_000557514,0.300084, 0.017989
us_000566715,0.300084, 0.019626
us_000575454,0.300084, 0.020177
us_000163426,0.300084, 0.023441
us_000480432,0.300084, 0.026936
us_000472790,0.300084, 0.035748
us_000589732,0.300084, 0.043366
us_000525393,0.300084, 0.044941
us_000568938,0.300084, 0.050226
us_000480335,0.300084, 0.050962
us_000495291,0.300084, 0.056536
us_000589275,0.300084, 0.073321
us_000579268,0.300084, 0.081077
us_000494628,0.300084, 0.103556
us_000495488,0.300084, 0.162111
us_000482659,0.300084, 0.169227
us_000553948,0.300084, 0.228592
us_000553041,0.287410, 0.000000
us_000552308,0.287410, 0.000000
pr_001644419,0.287410, 0.000000
us_000567686,0.287410, 0.000000
us_000534668,0.287410, 0.000000
us_000567680,0.287410, 0.000000
us_000571706,0.287410, 0.000000
us_000553099,0.287410, 0.000000
us_000552105,0.287410, 0.000000
us_000552103,0.287410, 0.000000
us_000534696,0.287410, 0.000000
us_000503598,0.287410, 0.000000
us_000498930,0.287410, 0.000000
us_000523009,0.287410, 0.000000
us_000528890,0.287410, 0.000000
us_000504446,0.287410, 0.000000
us_000555385,0.287410, 0.000000
us_000489506,0.287410, 0.000000
us_000498541,0.287410, 0.000000
us_000498444,0.287410, 0.000000
pr_000594926,0.287410, 0.000002
pr_000888948,0.287410, 0.000002
pr_001071050,0.287410, 0.000003
pr_000837717,0.287410, 0.000004
pr_001070843,0.287410, 0.000007
pr_001111011,0.287410, 0.000010
pr_001816886,0.287410, 0.000010
pr_000945480,0.287410, 0.000017
pr_000737528,0.287410, 0.000019
pr_001671998,0.287410, 0.000020
pr_000563130,0.287410, 0.000028
pr_001705915,0.287410, 0.000039
us_000606569,0.287410, 0.000044
us_000599477,0.287410, 0.000112
us_000460541,0.287410, 0.000675
us_000478077,0.287410, 0.000705
us_000536994,0.287410, 0.000879
us_000542906,0.287410, 0.000909
us_000503156,0.287410, 0.001068
us_000475086,0.287410, 0.001075
us_000514786,0.287410, 0.001088
us_000496794,0.287410, 0.001132
us_000594844,0.287410, 0.001325
us_000550677,0.287410, 0.001611
us_000498933,0.287410, 0.001893
us_000478617,0.287410, 0.001925
us_000577298,0.287410, 0.002137
us_000497079,0.287410, 0.002565
us_000516751,0.287410, 0.002677
us_000478183,0.287410, 0.003127
