Product ID : 2111 # of JPs covered : 1 : 190 : Accounting-Valuation Services, 
OID,Confidence at Map Node,Error at Map Node
us_000483129,1.000000, 0.734050
us_000540816,1.000000, 0.734050
us_000466285,1.000000, 0.734050
us_000523186,1.000000, 0.734050
us_000501294,1.000000, 0.734050
us_000483715,1.000000, 0.734050
us_000468214,1.000000, 0.734050
us_000466981,1.000000, 0.734050
us_000460621,1.000000, 0.734050
us_000482255,1.000000, 0.734050
us_000501223,1.000000, 0.734050
us_000460624,1.000000, 0.734050
us_000461972,1.000000, 0.734050
us_000466256,1.000000, 0.734050
us_000460615,1.000000, 0.734050
us_000468183,1.000000, 0.734050
us_000482049,1.000000, 0.734050
us_000482054,1.000000, 0.734050
us_000470383,1.000000, 0.734050
us_000483384,1.000000, 0.734050
us_000466980,1.000000, 0.734050
us_000459575,1.000000, 0.734050
us_000465931,1.000000, 0.734050
us_000608031,1.000000, 0.734050
us_000570378,1.000000, 0.734340
us_000056919,1.000000, 0.734893
us_000025129,1.000000, 0.736013
us_000471006,1.000000, 0.766985
us_000581337,0.796071, 0.000002
us_000580909,0.796071, 0.000002
us_000521827,0.796071, 0.000002
pr_000733435,0.796071, 0.000004
pr_001155407,0.796071, 0.000005
pr_000911058,0.796071, 0.000013
pr_001155587,0.796071, 0.000014
pr_001155932,0.796071, 0.000018
us_000599125,0.796071, 0.013292
pr_000375250,0.736493, 0.000000
pr_001684930,0.736493, 0.000001
pr_001597379,0.736493, 0.000001
pr_001612568,0.736493, 0.000009
pr_000363857,0.736493, 0.000011
pr_001037720,0.736493, 0.000017
us_000594725,0.736493, 0.006338
us_000598286,0.736493, 0.013499
us_000367335,0.736493, 0.139382
us_000458903,0.736493, 0.412413
us_000441989,0.736493, 0.460377
us_000458630,0.736493, 0.476613
us_000458754,0.736493, 0.492818
us_000463266,0.736493, 0.547495
us_000472147,0.736493, 0.547495
us_000411952,0.736493, 0.547495
us_000459241,0.736493, 0.547495
us_000458521,0.736493, 0.680820
us_000458775,0.736493, 0.682091
us_000461096,0.736493, 0.689110
us_000461470,0.651215, 0.000000
us_000472631,0.651215, 0.000000
pr_000374959,0.651215, 0.000005
us_000022883,0.651215, 0.000040
us_000467752,0.651215, 0.002967
us_000345263,0.651215, 0.056349
pr_000000592,0.516476, 0.000000
us_000466528,0.516476, 0.000000
pr_000365823,0.516476, 0.001225
pr_000605472,0.516476, 0.003401
pr_000789141,0.516476, 0.003578
pr_000403208,0.516476, 0.004528
pr_001631419,0.516476, 0.008324
pr_001096449,0.516476, 0.019333
pr_001073576,0.516476, 0.128729
pr_001202350,0.354199, 0.000000
pr_000763137,0.354199, 0.000000
us_000460237,0.354199, 0.000001
us_000549189,0.354199, 0.000001
us_000424004,0.354199, 0.000001
us_000535157,0.354199, 0.000001
us_000550482,0.354199, 0.000036
us_000550440,0.354199, 0.000036
us_000529827,0.354199, 0.000036
us_000490585,0.354199, 0.000120
us_000460847,0.354199, 0.000120
us_000596802,0.354199, 0.000120
us_000584648,0.354199, 0.000120
us_000581146,0.354199, 0.000120
us_000493278,0.354199, 0.000120
us_000548313,0.354199, 0.000120
us_000549661,0.354199, 0.000120
us_000553239,0.354199, 0.000120
us_000587299,0.354199, 0.000120
us_000464246,0.354199, 0.000302
us_000460979,0.354199, 0.000540
us_000507954,0.354199, 0.001736
us_000519228,0.354199, 0.002023
us_000569579,0.354199, 0.002453
pr_000509393,0.354199, 0.002811
us_000513529,0.354199, 0.002887
us_000553177,0.354199, 0.003005
us_000553227,0.354199, 0.003684
us_000521277,0.354199, 0.004312
us_000530138,0.354199, 0.004841
us_000520667,0.354199, 0.006654
us_000515377,0.354199, 0.006907
us_000507822,0.354199, 0.007641
us_000548138,0.354199, 0.007991
us_000524115,0.354199, 0.009427
us_000520870,0.354199, 0.011439
us_000552484,0.354199, 0.012131
us_000563948,0.354199, 0.014501
us_000524388,0.354199, 0.014719
us_000513263,0.354199, 0.017070
us_000507446,0.354199, 0.019859
us_000521843,0.354199, 0.021046
us_000592605,0.354199, 0.021386
us_000590230,0.354199, 0.022489
us_000589202,0.354199, 0.025512
us_000514284,0.354199, 0.029882
us_000552942,0.354199, 0.031320
us_000185834,0.354199, 0.031757
pr_001224858,0.354199, 0.033675
