Product ID : 2109 # of JPs covered : 1 : 292 : Healthcare Compliance, 
us_000504581,0.727647, 0.207816
us_000137738,0.727647, 0.208283
us_000510948,0.727647, 0.208513
us_000556759,0.727647, 0.210496
us_000480036,0.727647, 0.211136
us_000584788,0.727647, 0.212913
us_000481391,0.727647, 0.213066
us_000485386,0.727647, 0.213311
us_000193324,0.727647, 0.214196
us_000500680,0.727647, 0.217122
us_000238908,0.727647, 0.219176
us_000558497,0.727647, 0.219540
us_000515655,0.727647, 0.220008
us_000497694,0.727647, 0.221812
us_000555021,0.727647, 0.222268
us_000573160,0.727647, 0.222760
us_000522676,0.727647, 0.223881
us_000524595,0.727647, 0.224205
us_000585718,0.727647, 0.225471
us_000497454,0.727647, 0.226115
us_000137414,0.727647, 0.226534
us_000487721,0.727647, 0.226670
us_000487136,0.727647, 0.227038
us_000489357,0.727647, 0.227811
us_000509742,0.727647, 0.228094
us_000518081,0.727647, 0.228406
us_000495598,0.727647, 0.228471
us_000524317,0.727647, 0.228526
us_000471883,0.727647, 0.228588
us_000471873,0.727647, 0.228588
us_000542261,0.727647, 0.229292
us_000471441,0.727647, 0.229709
us_000481329,0.727647, 0.229881
us_000527375,0.727647, 0.230287
us_000538333,0.727647, 0.230565
us_000509744,0.727647, 0.231038
us_000532089,0.727647, 0.231038
us_000509705,0.727647, 0.231373
us_000484540,0.727647, 0.231448
us_000573510,0.727647, 0.231839
us_000515657,0.727647, 0.231840
pr_000187296,0.727647, 0.232222
us_000497660,0.727647, 0.232728
us_000499174,0.727647, 0.232728
us_000524589,0.727647, 0.233791
us_000472253,0.727647, 0.234667
us_000512299,0.727647, 0.236296
us_000053234,0.727647, 0.238561
us_000496176,0.727647, 0.238645
us_000482969,0.727647, 0.239504
us_000493128,0.727647, 0.240413
us_000528088,0.727647, 0.240966
us_000582210,0.727647, 0.241963
us_000537021,0.727647, 0.242208
us_000568064,0.727647, 0.242320
us_000511324,0.727647, 0.242504
us_000492667,0.727647, 0.243114
us_000052276,0.727647, 0.243766
us_000340357,0.727647, 0.244071
us_000468413,0.727647, 0.244707
us_000469500,0.727647, 0.245929
us_000550532,0.727647, 0.246394
us_000461428,0.727647, 0.246881
us_000531851,0.727647, 0.247550
us_000492897,0.727647, 0.247921
us_000573623,0.727647, 0.247997
us_000517215,0.727647, 0.248121
us_000485527,0.727647, 0.248220
us_000496876,0.727647, 0.248797
us_000555023,0.727647, 0.249168
us_000471330,0.727647, 0.249588
us_000510633,0.727647, 0.249911
us_000487113,0.727647, 0.250552
us_000484031,0.727647, 0.250919
us_000516079,0.727647, 0.251793
us_000535938,0.727647, 0.252372
us_000511690,0.727647, 0.252400
us_000509805,0.727647, 0.252508
us_000512069,0.727647, 0.252670
us_000503231,0.727647, 0.253125
us_000471454,0.727647, 0.253475
us_000551610,0.727647, 0.253679
us_000508828,0.727647, 0.255731
us_000488620,0.727647, 0.256052
us_000540693,0.727647, 0.256124
us_000508753,0.727647, 0.256709
us_000532999,0.727647, 0.256709
us_000533036,0.727647, 0.257035
us_000524725,0.727647, 0.257357
us_000550614,0.727647, 0.259321
us_000542024,0.727647, 0.259321
us_000482282,0.727647, 0.260288
us_000501625,0.727647, 0.260288
us_000513231,0.727647, 0.260290
us_000503222,0.727647, 0.260840
us_000515889,0.727647, 0.261399
us_000487696,0.727647, 0.261440
us_000508781,0.727647, 0.261967
us_000573520,0.727647, 0.262532
us_000515880,0.727647, 0.262899
us_000508659,0.727647, 0.265528
us_000557006,0.727647, 0.265528
us_000464855,0.727647, 0.267821
us_000387889,0.727647, 0.268626
us_000051292,0.727647, 0.272405
us_000514182,0.727647, 0.273531
us_000459742,0.727647, 0.274448
us_000481927,0.727647, 0.277285
us_000533034,0.727647, 0.277542
us_000573534,0.727647, 0.278935
us_000515896,0.727647, 0.289431
us_000535927,0.727647, 0.290329
us_000502507,0.727647, 0.346445
us_000492581,0.727647, 0.349800
us_000275796,0.727647, 0.353792
us_000556401,0.727647, 0.397290
us_000232242,0.727647, 0.441727
us_000469503,0.727647, 0.445219
us_000051593,0.727647, 0.603455
us_000541809,0.727647, 0.627269
us_000489443,0.727647, 0.652376
us_000464259,0.727647, 0.870478
us_000132962,0.361890, 0.336150
us_000496995,0.361890, 0.385051
us_000517969,0.361890, 0.394396
us_000534450,0.361890, 0.418296
us_000486276,0.361890, 0.418915
us_000122764,0.361890, 0.425008
us_000529364,0.361890, 0.429639
us_000486225,0.361890, 0.434381
us_000479034,0.361890, 0.434850
us_000353702,0.361890, 0.435599
us_000414852,0.361890, 0.436780
us_000509627,0.361890, 0.437755
us_000516875,0.361890, 0.441283
us_000535807,0.361890, 0.444006
us_000490405,0.361890, 0.450996
us_000490914,0.361890, 0.456321
us_000542783,0.361890, 0.460063
us_000505832,0.361890, 0.460611
us_000486205,0.361890, 0.461615
us_000481346,0.361890, 0.462831
us_000224125,0.361890, 0.463680
us_000474910,0.361890, 0.463771
us_000487263,0.361890, 0.465156
us_000487187,0.361890, 0.469244
us_000481060,0.361890, 0.472308
us_000504253,0.361890, 0.473341
us_000480886,0.361890, 0.474012
us_000481789,0.361890, 0.474959
us_000526061,0.361890, 0.476810
us_000474077,0.361890, 0.476850
us_000497760,0.361890, 0.479901
us_000539868,0.361890, 0.480124
us_000485047,0.361890, 0.480415
us_000589066,0.361890, 0.480625
us_000461193,0.361890, 0.481552
us_000483183,0.361890, 0.482054
us_000197187,0.361890, 0.482363
us_000497013,0.361890, 0.482987
us_000485004,0.361890, 0.483641
us_000496484,0.361890, 0.485734
us_000523694,0.361890, 0.488546
us_000515833,0.361890, 0.489396
us_000523998,0.361890, 0.489651
us_000494716,0.361890, 0.493883
us_000524011,0.361890, 0.494483
us_000505860,0.361890, 0.495718
us_000476710,0.361890, 0.496352
us_000484689,0.361890, 0.496836
us_000480578,0.361890, 0.499794
us_000484116,0.361890, 0.502692
us_000480839,0.361890, 0.503051
us_000518820,0.361890, 0.508804
us_000488619,0.361890, 0.518472
us_000480837,0.361890, 0.520229
us_000494978,0.361890, 0.521180
us_000487846,0.361890, 0.521242
us_000475189,0.361890, 0.535085
us_000560568,0.361890, 0.539181
us_000515781,0.361890, 0.548777
us_000477485,0.361890, 0.560383
us_000504619,0.361890, 0.577955
us_000582280,0.361890, 0.591708
us_000484451,0.361890, 0.614949
us_000551635,0.361890, 0.645367
us_000474738,0.361890, 0.736147
pr_001039266,0.352606, 0.000000
us_000476189,0.352606, 0.166124
us_000485506,0.352606, 0.173118
us_000477422,0.352606, 0.185129
us_000510698,0.352606, 0.192574
us_000472910,0.352606, 0.195555
us_000469716,0.352606, 0.198522
us_000479177,0.352606, 0.199241
us_000479170,0.352606, 0.199243
us_000504768,0.352606, 0.202666
us_000509473,0.352606, 0.211020
us_000527273,0.352606, 0.213975
us_000510097,0.352606, 0.214237
us_000509444,0.352606, 0.216057
us_000492634,0.352606, 0.216312
us_000490372,0.352606, 0.216409
us_000511233,0.352606, 0.219720
us_000483166,0.352606, 0.222457
us_000465423,0.352606, 0.222583
us_000555450,0.352606, 0.223709
us_000469191,0.352606, 0.223973
us_000487326,0.352606, 0.226061
us_000476669,0.352606, 0.226898
us_000487309,0.352606, 0.228674
us_000461052,0.352606, 0.230507
us_000482960,0.352606, 0.230750
us_000355208,0.352606, 0.232639
us_000495293,0.352606, 0.233773
us_000599181,0.352606, 0.234511
us_000516466,0.352606, 0.235211
us_000510344,0.352606, 0.237007
us_000488753,0.352606, 0.238050
us_000484007,0.352606, 0.238353
us_000277051,0.352606, 0.238426
us_000484465,0.352606, 0.242031
us_000281369,0.352606, 0.242898
us_000499161,0.352606, 0.243830
us_000531649,0.352606, 0.244375
us_000493154,0.352606, 0.245814
us_000531867,0.352606, 0.246101
us_000506062,0.352606, 0.248917
us_000531996,0.352606, 0.248946
us_000472904,0.352606, 0.249467
us_000480626,0.352606, 0.251328
pr_000983213,0.352606, 0.251903
us_000524777,0.352606, 0.252922
us_000513091,0.352606, 0.253917
us_000525511,0.352606, 0.254027
us_000485693,0.352606, 0.256235
us_000509117,0.352606, 0.256985
us_000054963,0.352606, 0.256985
us_000509435,0.352606, 0.257911
us_000531988,0.352606, 0.258905
us_000556749,0.352606, 0.261448
us_000513420,0.352606, 0.263059
us_000481540,0.352606, 0.263961
us_000491010,0.352606, 0.263982
us_000551819,0.352606, 0.264064
us_000484745,0.352606, 0.265145
us_000507893,0.352606, 0.265336
us_000484595,0.352606, 0.265347
us_000508292,0.352606, 0.279100
us_000485354,0.352606, 0.279436
us_000482735,0.352606, 0.280278
us_000492014,0.352606, 0.280922
us_000501488,0.352606, 0.281712
us_000484661,0.352606, 0.282842
us_000503786,0.352606, 0.285917
us_000551846,0.352606, 0.287244
us_000525480,0.352606, 0.287365
us_000480613,0.352606, 0.295024
us_000551619,0.352606, 0.297072
us_000495338,0.352606, 0.304059
us_000492275,0.352606, 0.306967
us_000480896,0.352606, 0.319196
us_000499197,0.352606, 0.320233
us_000353885,0.352606, 0.324366
us_000548660,0.352606, 0.330041
us_000541854,0.352606, 0.333579
us_000597196,0.352606, 0.367697
us_000485353,0.352606, 0.462131
us_000521504,0.352606, 0.702053
us_000610212,0.311199, 0.000001
us_000611258,0.311199, 0.000001
pr_000004057,0.311199, 0.000001
us_000542668,0.311199, 0.001748
us_000577624,0.311199, 0.007755
us_000498359,0.311199, 0.022276
us_000533275,0.311199, 0.071765
us_000555603,0.311199, 0.072318
us_000481923,0.311199, 0.073340
us_000543784,0.311199, 0.073594
us_000509820,0.311199, 0.075277
us_000517881,0.311199, 0.076325
pr_000263486,0.311199, 0.077765
us_000499729,0.311199, 0.077961
us_000520838,0.311199, 0.078061
us_000549553,0.311199, 0.078316
us_000495231,0.311199, 0.079085
us_000508144,0.311199, 0.079705
us_000488531,0.311199, 0.079705
us_000519806,0.311199, 0.079705
us_000481551,0.311199, 0.080195
us_000542977,0.311199, 0.080205
us_000552264,0.311199, 0.080491
us_000591584,0.311199, 0.080615
us_000534614,0.311199, 0.080796
us_000492190,0.311199, 0.080796
us_000516307,0.311199, 0.080796
us_000512735,0.311199, 0.080796
us_000496272,0.311199, 0.080796
us_000520863,0.311199, 0.080796
us_000535816,0.311199, 0.081043
us_000551501,0.311199, 0.081111
us_000530112,0.311199, 0.081111
us_000555753,0.311199, 0.081421
us_000501895,0.311199, 0.081986
us_000498326,0.311199, 0.082564
us_000544976,0.311199, 0.083374
us_000477790,0.311199, 0.083374
us_000496353,0.311199, 0.084371
us_000481793,0.311199, 0.084371
us_000546601,0.311199, 0.084780
us_000515651,0.311199, 0.084882
us_000509476,0.311199, 0.085685
us_000497814,0.311199, 0.085795
us_000552175,0.311199, 0.089148
us_000496196,0.311199, 0.089845
us_000527776,0.311199, 0.090532
us_000479411,0.311199, 0.090663
us_000480079,0.311199, 0.091133
us_000486972,0.311199, 0.091840
us_000511962,0.311199, 0.092375
us_000541670,0.311199, 0.092680
us_000551824,0.311199, 0.092992
us_000524628,0.311199, 0.092995
pr_001162705,0.311199, 0.093021
us_000497732,0.311199, 0.093202
us_000506635,0.311199, 0.093644
us_000542720,0.311199, 0.093644
us_000484950,0.311199, 0.093662
us_000527897,0.311199, 0.093890
us_000565420,0.311199, 0.093940
us_000539922,0.311199, 0.093940
us_000515185,0.311199, 0.094664
us_000527867,0.311199, 0.094940
us_000518610,0.311199, 0.094940
us_000488611,0.311199, 0.095951
us_000496249,0.311199, 0.101327
us_000556293,0.311199, 0.110937
us_000542539,0.311199, 0.114442
us_000500760,0.311199, 0.115656
us_000517384,0.311199, 0.148105
us_000504874,0.311199, 0.194812
us_000554146,0.311199, 0.216502
us_000525830,0.291072, 0.000005
us_000555499,0.291072, 0.005488
us_000581792,0.291072, 0.061019
us_000524454,0.291072, 0.063811
us_000516260,0.291072, 0.064530
us_000469405,0.291072, 0.065317
us_000546402,0.291072, 0.065571
us_000471290,0.291072, 0.065722
us_000162210,0.291072, 0.066751
us_000615674,0.291072, 0.066751
us_000517021,0.291072, 0.066961
us_000545465,0.291072, 0.066977
us_000482427,0.291072, 0.067811
us_000577248,0.291072, 0.067915
us_000561754,0.291072, 0.067949
us_000556592,0.291072, 0.068412
us_000496223,0.291072, 0.068641
us_000524928,0.291072, 0.069621
us_000504634,0.291072, 0.069904
us_000516306,0.291072, 0.070046
us_000472269,0.291072, 0.070170
us_000558074,0.291072, 0.070170
us_000550778,0.291072, 0.070170
us_000495251,0.291072, 0.070175
us_000471698,0.291072, 0.070258
us_000518047,0.291072, 0.070614
us_000551553,0.291072, 0.071184
us_000483161,0.291072, 0.071379
us_000472839,0.291072, 0.072144
us_000495893,0.291072, 0.072483
us_000471321,0.291072, 0.072517
us_000496262,0.291072, 0.072801
us_000566729,0.291072, 0.072942
us_000471753,0.291072, 0.072942
us_000483135,0.291072, 0.073081
us_000471356,0.291072, 0.073796
us_000476098,0.291072, 0.073868
us_000476094,0.291072, 0.074667
us_000326824,0.291072, 0.074793
us_000141668,0.291072, 0.074793
us_000113383,0.291072, 0.075132
us_000485925,0.291072, 0.075132
us_000501787,0.291072, 0.075992
us_000550475,0.291072, 0.075992
us_000482424,0.291072, 0.075992
us_000527514,0.291072, 0.075992
us_000471733,0.291072, 0.076144
us_000149380,0.291072, 0.076144
us_000473930,0.291072, 0.076936
us_000559066,0.291072, 0.078106
us_000533392,0.291072, 0.078777
us_000501810,0.291072, 0.079143
us_000509562,0.291072, 0.079622
us_000503874,0.291072, 0.079622
us_000567674,0.291072, 0.079622
us_000474074,0.291072, 0.079627
us_000484035,0.291072, 0.080681
us_000108254,0.291072, 0.080700
us_000517569,0.291072, 0.080867
us_000556761,0.291072, 0.080867
us_000556334,0.291072, 0.081659
us_000344607,0.291072, 0.081723
us_000504649,0.291072, 0.082130
us_000513887,0.291072, 0.082344
us_000535823,0.291072, 0.082474
us_000517364,0.291072, 0.082892
us_000486218,0.291072, 0.083411
us_000482782,0.291072, 0.083411
us_000480791,0.291072, 0.083513
us_000484809,0.291072, 0.083816
us_000516898,0.291072, 0.083851
us_000476561,0.291072, 0.083931
us_000515894,0.291072, 0.084037
us_000473633,0.291072, 0.084188
us_000465554,0.291072, 0.084610
us_000495215,0.291072, 0.084709
us_000510078,0.291072, 0.084709
us_000478138,0.291072, 0.084709
us_000495914,0.291072, 0.084709
us_000466964,0.291072, 0.085949
us_000486280,0.291072, 0.086024
us_000484667,0.291072, 0.086024
us_000529721,0.291072, 0.086024
us_000525365,0.291072, 0.086024
us_000576192,0.291072, 0.086024
us_000475358,0.291072, 0.086198
us_000516910,0.291072, 0.086198
us_000533509,0.291072, 0.086236
us_000520812,0.291072, 0.086403
us_000475373,0.291072, 0.086432
us_000559091,0.291072, 0.086864
us_000473093,0.291072, 0.087329
us_000556422,0.291072, 0.087358
us_000554976,0.291072, 0.087358
us_000542695,0.291072, 0.087358
us_000530981,0.291072, 0.087358
us_000512362,0.291072, 0.087358
us_000482724,0.291072, 0.087358
us_000567186,0.291072, 0.087725
us_000470507,0.291072, 0.087725
us_000486023,0.291072, 0.087924
us_000470558,0.291072, 0.088426
us_000515414,0.291072, 0.088510
us_000501730,0.291072, 0.088709
us_000529125,0.291072, 0.088709
us_000558138,0.291072, 0.088709
us_000481563,0.291072, 0.088709
us_000501809,0.291072, 0.088709
us_000528276,0.291072, 0.088709
us_000518655,0.291072, 0.088709
us_000492125,0.291072, 0.088709
us_000524553,0.291072, 0.088709
us_000569386,0.291072, 0.088709
us_000468316,0.291072, 0.089094
us_000556080,0.291072, 0.089433
us_000470603,0.291072, 0.089433
us_000470677,0.291072, 0.089953
us_000465106,0.291072, 0.090960
us_000274507,0.291072, 0.090960
us_000475377,0.291072, 0.090960
us_000505540,0.291072, 0.090960
us_000471431,0.291072, 0.091459
us_000473898,0.291072, 0.091766
us_000494335,0.291072, 0.092798
us_000512567,0.291072, 0.093060
us_000477458,0.291072, 0.093174
us_000480584,0.291072, 0.093582
us_000518617,0.291072, 0.096074
us_000470629,0.291072, 0.096551
us_000484967,0.291072, 0.096678
us_000556535,0.291072, 0.097853
us_000542513,0.291072, 0.098754
us_000481074,0.291072, 0.100968
us_000523274,0.291072, 0.104875
us_000469527,0.291072, 0.107088
us_000497428,0.291072, 0.107751
us_000345966,0.291072, 0.107968
us_000274286,0.291072, 0.108818
us_000546010,0.291072, 0.119048
us_000504959,0.291072, 0.119731
us_000501813,0.291072, 0.126065
us_000411703,0.291072, 0.131765
us_000470243,0.291072, 0.154600
us_000516526,0.291072, 0.162514
us_000569951,0.291072, 0.166353
us_000521790,0.291072, 0.175364
us_000518898,0.291072, 0.183925
us_000487892,0.291072, 0.193291
us_000476028,0.291072, 0.202176
us_000584416,0.291072, 0.212688
us_000536313,0.291072, 0.322030
us_000494050,0.291072, 0.331009
us_000476685,0.291072, 0.429621
us_000509361,0.258858, 0.000029
us_000549889,0.258858, 0.000029
us_000522650,0.258858, 1.397569
us_000592680,0.258858, 1.780992
us_000592673,0.258858, 1.858198
us_000594070,0.258858, 1.891714
us_000561669,0.258858, 2.027883
us_000537263,0.258858, 2.063172
us_000484081,0.258858, 2.128169
us_000485008,0.258858, 2.187827
us_000544020,0.258858, 2.227948
us_000527504,0.258858, 2.294690
us_000535789,0.258858, 2.325907
us_000595348,0.258858, 2.341877
us_000547759,0.258858, 2.390194
us_000483181,0.258858, 2.517861
us_000079129,0.244181, 0.841852
us_000572933,0.244181, 0.888299
us_000496191,0.244181, 1.134359
us_000527543,0.244181, 1.190568
us_000488466,0.244181, 1.250393
us_000585770,0.244181, 1.469508
us_000516596,0.244181, 1.704567
us_000538329,0.244181, 1.718774
us_000470007,0.167801, 0.302632
us_000387790,0.167801, 0.326326
us_000475316,0.167801, 0.336756
us_000477988,0.167801, 0.371814
us_000508474,0.167801, 0.395264
us_000475799,0.167801, 0.405083
us_000546086,0.167801, 0.409264
us_000335473,0.167801, 0.410384
us_000074707,0.167801, 0.413796
us_000493162,0.167801, 0.419042
us_000597165,0.167801, 0.427461
us_000445966,0.167801, 0.431958
us_000496284,0.167801, 0.432110
us_000553974,0.167801, 0.436511
us_000552418,0.167801, 0.448273
us_000513044,0.167801, 0.451697
us_000515115,0.167801, 0.471935
us_000559640,0.167801, 0.610835
pr_000968044,0.133173, 0.000000
us_000123236,0.133173, 0.000815
us_000497817,0.133173, 0.031767
us_000484271,0.133173, 0.034675
us_000516641,0.133173, 0.034750
us_000521620,0.133173, 0.034802
us_000532347,0.133173, 0.035779
us_000526819,0.133173, 0.036004
us_000559675,0.133173, 0.036827
us_000514640,0.133173, 0.036827
us_000495556,0.133173, 0.036949
us_000506630,0.133173, 0.037086
us_000518640,0.133173, 0.037248
us_000478809,0.133173, 0.037891
us_000509103,0.133173, 0.037891
us_000558011,0.133173, 0.037891
pr_000181978,0.133173, 0.037989
us_000535514,0.133173, 0.038049
us_000543109,0.133173, 0.038186
us_000492448,0.133173, 0.038291
us_000496711,0.133173, 0.038324
us_000554754,0.133173, 0.038324
us_000533411,0.133173, 0.038365
us_000526306,0.133173, 0.038365
us_000492438,0.133173, 0.038365
us_000507858,0.133173, 0.038469
us_000487076,0.133173, 0.038716
us_000524220,0.133173, 0.038974
us_000547807,0.133173, 0.038974
us_000483565,0.133173, 0.038974
us_000524718,0.133173, 0.038974
us_000524250,0.133173, 0.038974
us_000518054,0.133173, 0.039040
us_000484744,0.133173, 0.039167
us_000505919,0.133173, 0.039167
us_000494859,0.133173, 0.039167
us_000492189,0.133173, 0.039167
us_000481619,0.133173, 0.039304
us_000522141,0.133173, 0.039304
us_000515993,0.133173, 0.039304
us_000488585,0.133173, 0.039304
us_000501236,0.133173, 0.039304
us_000517067,0.133173, 0.039304
us_000514369,0.133173, 0.039304
us_000493799,0.133173, 0.040074
us_000542664,0.133173, 0.040074
us_000481077,0.133173, 0.040074
us_000554720,0.133173, 0.040074
us_000543107,0.133173, 0.040074
us_000521683,0.133173, 0.040074
us_000566230,0.133173, 0.040074
us_000543106,0.133173, 0.040074
us_000521694,0.133173, 0.040074
us_000532434,0.133173, 0.040074
us_000531359,0.133173, 0.040302
us_000526071,0.133173, 0.040835
us_000541679,0.133173, 0.041051
us_000521055,0.133173, 0.041191
us_000482654,0.133173, 0.041191
us_000550739,0.133173, 0.041191
us_000564477,0.133173, 0.041191
us_000487164,0.133173, 0.041191
us_000556384,0.133173, 0.041191
us_000556115,0.133173, 0.041191
us_000582071,0.133173, 0.041191
us_000501695,0.133173, 0.041191
us_000576636,0.133173, 0.041191
us_000501563,0.133173, 0.041191
us_000484776,0.133173, 0.041191
us_000029355,0.133173, 0.041191
us_000484233,0.133173, 0.041191
us_000503518,0.133173, 0.041976
us_000481572,0.133173, 0.042260
us_000495010,0.133173, 0.042327
us_000513569,0.133173, 0.042327
us_000560112,0.133173, 0.042403
us_000504871,0.133173, 0.042662
us_000479396,0.133173, 0.042938
us_000557963,0.133173, 0.042938
us_000521760,0.133173, 0.043351
us_000526788,0.133173, 0.043479
us_000526619,0.133173, 0.043479
us_000567682,0.133173, 0.044650
us_000567670,0.133173, 0.044650
us_000542735,0.133173, 0.044650
us_000519677,0.133173, 0.044892
pr_001162739,0.133173, 0.045019
us_000514570,0.133173, 0.045838
us_000496028,0.133173, 0.045838
us_000546698,0.133173, 0.045838
