Product ID : 935 JPs covered : 110 : International Law, 
OID,Confidence at Map Node,Error at Map Node
us_000542064,1.000000, 0.000000
us_000500082,1.000000, 0.000000
us_000562339,1.000000, 0.001302
us_000516803,1.000000, 0.003123
us_000512007,0.830007, 0.000000
us_000511039,0.830007, 0.000000
us_000475289,0.830007, 0.000000
us_000535825,0.830007, 0.000000
us_000566194,0.830007, 0.000000
pr_001060772,0.830007, 0.000000
pr_001015081,0.830007, 0.000000
pr_000978687,0.830007, 0.000000
pr_000484380,0.830007, 0.000000
pr_000962667,0.830007, 0.000000
pr_000747274,0.830007, 0.000000
pr_000208179,0.830007, 0.000000
pr_001153418,0.830007, 0.000000
pr_000212919,0.830007, 0.000000
pr_001825574,0.830007, 0.000000
pr_001122259,0.830007, 0.000000
pr_001819539,0.830007, 0.000000
pr_000496287,0.830007, 0.000004
pr_000111203,0.830007, 0.000021
pr_000488520,0.830007, 0.000022
us_000538638,0.830007, 0.000421
pr_000202619,0.830007, 0.000437
us_000586770,0.830007, 0.001990
us_000505777,0.830007, 0.004445
us_000555566,0.830007, 0.005034
us_000600555,0.830007, 0.035409
us_000532574,0.830007, 0.046087
us_000532486,0.830007, 0.046691
us_000499883,0.830007, 0.064650
us_000505487,0.623239, 0.000271
pr_000841836,0.537875, 0.000000
us_000477093,0.537875, 0.000000
pr_000265119,0.537875, 0.000006
us_000614908,0.537875, 0.000008
us_000605841,0.537875, 0.000044
pr_000871433,0.537875, 0.000175
us_000608925,0.537875, 0.000233
pr_001751683,0.537875, 0.001087
us_000568848,0.537875, 0.002253
us_000504673,0.537875, 0.870206
us_000496288,0.537875, 1.110889
pr_000031094,0.532957, 0.000000
pr_000092295,0.532957, 0.000000
pr_000017502,0.532957, 0.000000
pr_000767851,0.532957, 0.000000
pr_000272445,0.532957, 0.000000
pr_000427910,0.532957, 0.000000
pr_000230002,0.532957, 0.000000
pr_000765144,0.532957, 0.000000
pr_000020778,0.532957, 0.000000
pr_000440358,0.532957, 0.000000
pr_000317765,0.532957, 0.000000
pr_000267167,0.532957, 0.000000
pr_000472506,0.532957, 0.000000
pr_000009635,0.532957, 0.000000
pr_000601576,0.532957, 0.000000
pr_000732781,0.532957, 0.000000
pr_001981809,0.532957, 0.000000
pr_001670541,0.532957, 0.000000
pr_000005495,0.532957, 0.000000
pr_000416212,0.532957, 0.000000
pr_000004701,0.532957, 0.000000
pr_000895348,0.532957, 0.000000
pr_000157599,0.532957, 0.000000
pr_000116332,0.532957, 0.000000
pr_000124484,0.532957, 0.000000
pr_000788349,0.532957, 0.000002
pr_000419706,0.532957, 0.000002
pr_000412373,0.532957, 0.000009
pr_000414124,0.532957, 0.000019
pr_000319682,0.532957, 0.000035
us_000467935,0.532957, 0.031998
us_000148457,0.532957, 0.047264
us_000459195,0.532957, 0.050439
us_000459632,0.532957, 0.051351
us_000463628,0.532957, 0.053810
us_000480427,0.532957, 0.054448
us_000479018,0.532957, 0.067153
us_000468895,0.532957, 0.071406
us_000462712,0.532957, 0.085880
us_000437556,0.532957, 0.090380
us_000463526,0.532957, 0.092972
us_000459342,0.532957, 0.092972
us_000303313,0.532957, 0.094419
us_000030538,0.532957, 0.095613
us_000461990,0.532957, 0.095613
us_000459853,0.532957, 0.098304
us_000477741,0.532957, 0.118509
us_000112482,0.532957, 0.121591
us_000473035,0.532957, 0.121591
us_000459590,0.532957, 0.124722
us_000463214,0.532957, 0.127903
us_000481283,0.532957, 0.127903
us_000473791,0.532957, 0.133699
us_000225131,0.532957, 0.142259
us_000468098,0.532957, 0.146808
us_000482281,0.532957, 0.150715
us_000475380,0.480907, 0.000000
pr_000815802,0.480907, 0.000000
pr_000596406,0.480907, 0.000000
pr_001859044,0.480907, 0.000000
pr_002108728,0.480907, 0.000000
pr_002102202,0.480907, 0.000000
pr_001768273,0.480907, 0.000000
pr_001706090,0.480907, 0.000000
pr_001735099,0.480907, 0.000000
pr_002098222,0.480907, 0.000000
pr_002193424,0.480907, 0.000000
pr_000929213,0.480907, 0.000000
pr_001921467,0.480907, 0.000000
pr_001585974,0.480907, 0.000000
pr_000859360,0.480907, 0.000000
pr_001943711,0.480907, 0.000000
pr_001944625,0.480907, 0.000000
pr_001621061,0.480907, 0.000000
us_000500204,0.480907, 0.000000
us_000560830,0.480907, 0.000000
pr_001721104,0.480907, 0.000001
pr_001132866,0.480907, 0.000001
pr_001644414,0.480907, 0.000005
pr_000262568,0.480907, 0.000005
pr_000822582,0.480907, 0.000005
pr_000295004,0.480907, 0.000011
us_000547082,0.480907, 0.000019
pr_002068916,0.480907, 0.000020
pr_000010221,0.480907, 0.000026
pr_002078075,0.480907, 0.000050
pr_002084762,0.480907, 0.000050
pr_002089295,0.480907, 0.000050
pr_001964177,0.480907, 0.000065
pr_001901210,0.480907, 0.000085
pr_000351779,0.480907, 0.000103
pr_001759374,0.480907, 0.000188
pr_001880646,0.480907, 0.000228
pr_002074474,0.480907, 0.000360
pr_001732674,0.480907, 0.000604
us_000536796,0.480907, 0.002334
us_000262824,0.480907, 0.012292
us_000391789,0.480907, 0.124944
pr_000120738,0.449685, 0.000010
us_000468764,0.449685, 0.115253
us_000478841,0.449685, 0.121421
us_000062848,0.449685, 0.121933
us_000471285,0.449685, 0.122408
us_000363082,0.449685, 0.124579
us_000484283,0.449685, 0.127786
us_000269292,0.449685, 0.127786
us_000364420,0.449685, 0.127786
us_000462087,0.449685, 0.131042
us_000276809,0.449685, 0.131042
us_000281304,0.449685, 0.144572
us_000465029,0.449685, 0.156394
us_000467386,0.449685, 0.182913
us_000462957,0.051095, 0.000015
pr_000411268,0.051095, 0.000017
us_000467178,0.051095, 0.049425
us_000474384,0.051095, 0.049425
us_000478245,0.051095, 0.049425
us_000469950,0.051095, 0.049425
us_000474040,0.051095, 0.049425
us_000462534,0.051095, 0.049425
us_000463551,0.051095, 0.051520
us_000479342,0.051095, 0.051520
us_000469282,0.051095, 0.051520
us_000461394,0.051095, 0.051520
us_000475178,0.051095, 0.051520
us_000476501,0.051095, 0.051520
us_000480671,0.051095, 0.051520
us_000546568,0.051095, 0.051520
us_000474994,0.051095, 0.051520
us_000464717,0.051095, 0.051520
us_000410684,0.051095, 0.053243
us_000583369,0.051095, 0.053663
us_000472161,0.051095, 0.054501
us_000281910,0.051095, 0.055855
us_000468786,0.051095, 0.058096
us_000468616,0.051095, 0.060386
us_000468610,0.051095, 0.060386
us_000476695,0.051095, 0.062725
us_000003892,0.051095, 0.062725
us_000480513,0.051095, 0.066024
us_000167133,0.051095, 0.067067
us_000484327,0.051095, 0.067551
us_000479001,0.051095, 0.067551
us_000463062,0.051095, 0.070037
us_000473850,0.051095, 0.070037
us_000473583,0.051095, 0.070037
us_000535971,0.051095, 0.070037
us_000463883,0.051095, 0.070037
us_000008109,0.051095, 0.070037
us_000265579,0.051095, 0.070037
us_000517775,0.051095, 0.070037
us_000071338,0.051095, 0.072572
us_000489548,0.051095, 0.072572
us_000476054,0.051095, 0.072572
us_000484260,0.051095, 0.072572
us_000472902,0.051095, 0.072572
us_000462846,0.051095, 0.072572
us_000484371,0.051095, 0.074640
us_000558351,0.051095, 0.075156
us_000468991,0.051095, 0.075156
us_000517359,0.051095, 0.075156
us_000587194,0.051095, 0.075156
us_000285771,0.051095, 0.075156
us_000483760,0.051095, 0.075156
us_000474671,0.051095, 0.075156
us_000464041,0.051095, 0.075156
us_000469273,0.051095, 0.075156
us_000587090,0.051095, 0.075156
us_000466259,0.051095, 0.075156
us_000482307,0.051095, 0.075156
us_000464723,0.051095, 0.075156
us_000499331,0.051095, 0.075793
us_000467994,0.051095, 0.077029
us_000566097,0.051095, 0.077369
us_000505232,0.051095, 0.077369
us_000477262,0.051095, 0.077435
us_000462658,0.051095, 0.077789
us_000558347,0.051095, 0.079956
us_000480916,0.051095, 0.080658
us_000486651,0.051095, 0.082053
us_000212253,0.051095, 0.086698
us_000556110,0.051095, 0.088667
us_000557309,0.051095, 0.092871
us_000474498,0.051095, 0.107582
us_000480517,0.051095, 0.180222
us_000015826,0.051095, 0.389428
