Product ID : 2127 JPs covered : 361 : LoanDoc-Syndicated Loans, 
OID,Confidence at Map Node,Error at Map Node
pr_001128274,0.994281, 0.000000
pr_000979316,0.994281, 0.000000
pr_001130343,0.994281, 0.000000
pr_000979388,0.994281, 0.000000
pr_000553631,0.994281, 0.000000
us_000558652,0.994281, 0.000000
us_000542920,0.994281, 0.000000
us_000553651,0.994281, 0.000000
pr_001612512,0.994281, 0.000000
pr_000689893,0.994281, 0.000000
pr_001661875,0.994281, 0.000003
pr_000733337,0.994281, 0.000003
pr_000626543,0.994281, 0.000003
pr_001682170,0.994281, 0.000003
pr_001056907,0.994281, 0.000003
pr_001008637,0.994281, 0.000004
pr_002095344,0.994281, 0.000004
us_000537309,0.994281, 0.000006
pr_000526777,0.994281, 0.000007
pr_001013248,0.994281, 0.000007
pr_001033568,0.994281, 0.000012
pr_000847702,0.994281, 0.000015
pr_002062722,0.994281, 0.000019
pr_001999429,0.994281, 0.000020
pr_000633068,0.994281, 0.000026
us_000597549,0.994281, 0.000044
us_000551173,0.994281, 0.000098
us_000542916,0.994281, 0.000543
us_000476765,0.994281, 0.000860
us_000546502,0.994281, 0.001415
us_000594803,0.994281, 0.002058
us_000483853,0.994281, 0.003330
us_000478803,0.994281, 0.016506
us_000545942,0.994281, 0.032574
us_000537082,0.994281, 0.038749
us_000497706,0.994281, 0.065039
us_000531618,0.994281, 4.458370
us_000491042,0.994281, 4.718196
us_000614007,0.910337, 0.000000
us_000579584,0.910337, 0.000001
pr_000811684,0.910337, 0.000014
pr_001008642,0.910337, 0.000034
us_000591676,0.910337, 0.000070
pr_001393097,0.910337, 0.000075
pr_000587451,0.910337, 0.000075
pr_000816001,0.910337, 0.000075
pr_000990603,0.910337, 0.000075
pr_000976558,0.910337, 0.000075
pr_000812083,0.910337, 0.000075
pr_000292008,0.910337, 0.000075
pr_000948664,0.910337, 0.000075
pr_001050782,0.910337, 0.000075
pr_000694566,0.910337, 0.000075
pr_001581120,0.910337, 0.000075
pr_000846122,0.910337, 0.000075
pr_001078712,0.910337, 0.000075
pr_000836651,0.910337, 0.000101
pr_000291763,0.910337, 0.000129
pr_000900143,0.910337, 0.000147
pr_000335205,0.910337, 0.000163
us_000591679,0.910337, 0.000179
pr_000989145,0.910337, 0.000231
pr_000769560,0.910337, 0.000245
us_000604368,0.910337, 0.000261
pr_001583770,0.910337, 0.000265
pr_000985350,0.910337, 0.000336
pr_002056356,0.910337, 0.000664
pr_000958584,0.910337, 0.000664
pr_000648118,0.910337, 0.000664
pr_001013456,0.910337, 0.000664
pr_000944114,0.910337, 0.000664
pr_000343248,0.910337, 0.000664
pr_000952750,0.910337, 0.000664
pr_000960086,0.910337, 0.000664
pr_000953342,0.910337, 0.000664
pr_000817392,0.910337, 0.000673
pr_000759739,0.910337, 0.000679
pr_001611431,0.910337, 0.000753
pr_000943183,0.910337, 0.000753
pr_000730907,0.910337, 0.000753
pr_001686073,0.910337, 0.000817
pr_001651438,0.910337, 0.000834
pr_001954439,0.910337, 0.000879
pr_001012546,0.910337, 0.000934
pr_001003537,0.910337, 0.001022
pr_000628353,0.910337, 0.001070
pr_002139046,0.910337, 0.001153
pr_000756940,0.910337, 0.001234
pr_000092933,0.910337, 0.001312
us_000510323,0.910337, 0.001508
us_000542463,0.910337, 0.001508
us_000497147,0.910337, 0.001508
pr_001686026,0.910337, 0.001812
pr_000690384,0.910337, 0.001936
pr_000666471,0.910337, 0.001955
pr_000845920,0.910337, 0.002341
pr_000759221,0.910337, 0.002533
us_000490526,0.910337, 0.005416
us_000500303,0.910337, 0.005858
us_000598732,0.910337, 0.005946
us_000557539,0.910337, 0.006657
us_000536764,0.910337, 0.006935
us_000494504,0.910337, 0.007796
us_000611276,0.910337, 0.007807
us_000488330,0.910337, 0.010306
us_000523477,0.910337, 0.021918
us_000523609,0.910337, 0.025177
us_000549475,0.910337, 0.029777
us_000522323,0.910337, 0.037256
us_000490156,0.910337, 0.053228
us_000500308,0.910337, 0.056203
us_000379896,0.910337, 0.110415
us_000481771,0.910337, 0.110844
us_000502050,0.808612, 0.000000
us_000594046,0.808612, 0.000000
us_000521094,0.808612, 0.000000
us_000460332,0.808612, 0.000000
us_000509415,0.808612, 0.000000
us_000472648,0.808612, 0.000000
us_000594741,0.808612, 0.000000
us_000553035,0.808612, 0.000000
pr_001063722,0.808612, 0.000000
us_000523182,0.808612, 0.000000
us_000558905,0.808612, 0.000000
us_000525785,0.808612, 0.000000
us_000525321,0.808612, 0.000000
us_000485729,0.808612, 0.000000
us_000534734,0.808612, 0.000000
us_000511047,0.808612, 0.000000
us_000494375,0.808612, 0.000000
us_000494996,0.808612, 0.000000
us_000117377,0.808612, 0.000000
us_000595192,0.808612, 0.000000
pr_001051791,0.808612, 0.000001
pr_001093895,0.808612, 0.000001
pr_001041910,0.808612, 0.000001
us_000502723,0.808612, 0.000002
us_000502194,0.808612, 0.000002
pr_000725016,0.808612, 0.000006
pr_001085488,0.808612, 0.000006
pr_001039818,0.808612, 0.000006
pr_001045293,0.808612, 0.000008
pr_000945558,0.808612, 0.000008
pr_000870781,0.808612, 0.000016
pr_001658733,0.808612, 0.000018
pr_001049619,0.808612, 0.000020
pr_001881303,0.808612, 0.000020
pr_001397828,0.808612, 0.000020
pr_000851935,0.808612, 0.000020
pr_001728765,0.808612, 0.000020
pr_001410899,0.808612, 0.000020
pr_001708352,0.808612, 0.000020
pr_002185346,0.808612, 0.000020
pr_001622675,0.808612, 0.000020
pr_001024313,0.808612, 0.000020
pr_002155699,0.808612, 0.000020
pr_002115192,0.808612, 0.000020
pr_002149275,0.808612, 0.000020
pr_001905520,0.808612, 0.000020
pr_001956982,0.808612, 0.000020
pr_001836189,0.808612, 0.000020
pr_001966318,0.808612, 0.000020
pr_001963266,0.808612, 0.000020
pr_001904929,0.808612, 0.000020
pr_001732422,0.808612, 0.000020
pr_002194526,0.808612, 0.000020
us_000497679,0.808612, 0.000021
pr_000581799,0.808612, 0.000028
pr_000656326,0.808612, 0.000031
pr_001143647,0.808612, 0.000032
pr_001076156,0.808612, 0.000041
pr_001903707,0.808612, 0.000042
pr_001411457,0.808612, 0.000043
us_000516304,0.808612, 0.000048
pr_000188293,0.808612, 0.000048
us_000524387,0.808612, 0.000049
pr_001722513,0.808612, 0.000052
pr_001959955,0.808612, 0.000067
us_000512532,0.808612, 0.000075
pr_001403687,0.808612, 0.000076
us_000511857,0.808612, 0.000095
pr_001403560,0.808612, 0.000103
us_000590222,0.808612, 0.000118
pr_001085899,0.808612, 0.000133
us_000581499,0.808612, 0.000175
pr_001098621,0.808612, 0.000235
pr_000410075,0.808612, 0.000258
us_000588325,0.808612, 0.000515
us_000555876,0.808612, 0.000619
us_000606431,0.808612, 0.000705
us_000598747,0.808612, 0.000735
us_000558078,0.808612, 0.000908
us_000588931,0.808612, 0.001353
us_000591421,0.808612, 0.001739
us_000591062,0.808612, 0.002105
us_000595152,0.808612, 0.002994
us_000557251,0.808612, 0.004607
us_000582132,0.808612, 0.009002
us_000144573,0.808612, 0.010435
us_000542698,0.808612, 0.010629
us_000496250,0.808612, 6.419337
us_000532795,0.808612, 7.006156
us_000589358,0.808612, 8.812871
us_000536695,0.808612, 9.275600
us_000536478,0.808612, 9.304485
us_000514227,0.808612, 9.450528
us_000496340,0.808612, 9.840022
us_000536638,0.808612, 9.885546
us_000536392,0.808612, 10.219716
us_000417009,0.724250, 0.000007
us_000597473,0.724250, 0.000846
us_000470281,0.724250, 2.683752
us_000478240,0.724250, 2.851102
us_000459982,0.724250, 2.879175
us_000590121,0.724250, 2.888430
us_000496432,0.724250, 2.919299
us_000195579,0.724250, 2.924352
us_000485343,0.724250, 2.950472
us_000478459,0.724250, 2.967795
us_000529916,0.724250, 2.974814
us_000533011,0.724250, 2.996585
us_000469221,0.724250, 3.027794
us_000496225,0.724250, 3.033553
us_000188777,0.724250, 3.079918
us_000478552,0.724250, 3.110730
us_000474504,0.724250, 3.123411
us_000489038,0.724250, 3.129719
us_000474650,0.724250, 3.156879
us_000535792,0.724250, 3.158768
us_000577522,0.724250, 3.169867
us_000483957,0.724250, 3.179739
us_000330823,0.724250, 3.191705
us_000607538,0.724250, 3.201358
us_000495048,0.724250, 3.201529
us_000607266,0.724250, 3.205069
us_000545943,0.724250, 3.209516
us_000461943,0.724250, 3.212933
us_000533201,0.724250, 3.213027
us_000607267,0.724250, 3.215050
us_000596030,0.724250, 3.221983
us_000470217,0.724250, 3.225117
us_000590060,0.724250, 3.228559
us_000529736,0.724250, 3.238691
us_000491197,0.724250, 3.241606
us_000482956,0.724250, 3.244290
us_000538629,0.724250, 3.254387
us_000489391,0.724250, 3.257009
us_000602928,0.724250, 3.261242
us_000568640,0.724250, 3.272842
us_000103152,0.724250, 3.284905
us_000556727,0.724250, 3.290731
us_000600817,0.724250, 3.293796
us_000527432,0.724250, 3.299135
us_000535701,0.724250, 3.308897
us_000570893,0.724250, 3.324864
us_000557813,0.724250, 3.326590
us_000596031,0.724250, 3.328606
us_000511235,0.724250, 3.342959
us_000521516,0.724250, 3.351907
us_000545241,0.724250, 3.426271
us_000518872,0.722489, 0.000000
us_000587702,0.722489, 0.000000
us_000609869,0.722489, 0.000000
us_000564486,0.722489, 0.000000
us_000614230,0.722489, 0.000000
us_000514465,0.722489, 0.000000
us_000594589,0.722489, 0.000000
us_000571941,0.722489, 0.000000
us_000556005,0.722489, 0.000000
us_000520659,0.722489, 0.000000
us_000526673,0.722489, 0.000000
us_000615324,0.722489, 0.000000
us_000561867,0.722489, 0.000000
us_000608585,0.722489, 0.000000
us_000583571,0.722489, 0.000000
us_000557045,0.722489, 0.000000
us_000566511,0.722489, 0.000000
us_000483302,0.722489, 0.000000
us_000481478,0.722489, 0.000000
us_000480554,0.722489, 0.000000
us_000568936,0.722489, 0.000000
us_000510383,0.722489, 0.000000
us_000484897,0.722489, 0.000000
pr_001198356,0.722489, 0.000000
us_000561609,0.722489, 0.000000
us_000459965,0.722489, 0.000000
pr_000512936,0.722489, 0.000001
pr_000553708,0.722489, 0.000001
pr_000525022,0.722489, 0.000001
us_000488177,0.722489, 0.000005
us_000566717,0.722489, 0.000005
us_000555845,0.722489, 0.000005
pr_001159357,0.722489, 0.000006
pr_000547930,0.722489, 0.000006
us_000590277,0.722489, 0.000007
us_000566916,0.722489, 0.000008
us_000558506,0.722489, 0.000008
us_000589284,0.722489, 0.000015
us_000582837,0.722489, 0.000240
us_000596575,0.722489, 0.000686
us_000609144,0.722489, 0.000794
us_000584686,0.722489, 0.000828
us_000617081,0.722489, 0.000863
us_000579349,0.722489, 0.001431
us_000599987,0.722489, 0.001849
us_000599695,0.722489, 0.001849
us_000572177,0.722489, 0.002521
us_000549376,0.722489, 0.003183
