Prospect OID,Prospect BMU Dist,<these prospects have no product mappings among specified products>
us_000513130,0.224946,No Mappings With Chosen Products
pr_001356857,1.005676,No Mappings With Chosen Products
pr_000665023,0.006342,No Mappings With Chosen Products
pr_000178328,0.005793,No Mappings With Chosen Products
us_000541385,0.017327,No Mappings With Chosen Products
pr_001163748,0.007875,No Mappings With Chosen Products
pr_001304206,0.000467,No Mappings With Chosen Products
us_000575790,0.062865,No Mappings With Chosen Products
pr_001042882,0.007538,No Mappings With Chosen Products
pr_000962054,0.006646,No Mappings With Chosen Products
pr_001543995,0.005530,No Mappings With Chosen Products
us_000489899,0.406799,No Mappings With Chosen Products
pr_001233404,0.000467,No Mappings With Chosen Products
us_000558395,0.177256,No Mappings With Chosen Products
pr_001245163,0.000467,No Mappings With Chosen Products
pr_001259678,0.000467,No Mappings With Chosen Products
pr_001769168,0.012003,No Mappings With Chosen Products
pr_000761893,0.007087,No Mappings With Chosen Products
pr_001826775,0.010174,No Mappings With Chosen Products
us_000505665,0.007987,No Mappings With Chosen Products
pr_000405512,0.006580,No Mappings With Chosen Products
us_000482958,0.094773,No Mappings With Chosen Products
pr_001940451,0.006655,No Mappings With Chosen Products
pr_000751507,0.006580,No Mappings With Chosen Products
pr_002175294,0.113166,No Mappings With Chosen Products
pr_000964102,0.006462,No Mappings With Chosen Products
pr_001363241,0.000467,No Mappings With Chosen Products
pr_001264757,0.000467,No Mappings With Chosen Products
pr_000809959,0.006966,No Mappings With Chosen Products
pr_000311086,0.006779,No Mappings With Chosen Products
pr_000944519,0.006761,No Mappings With Chosen Products
pr_001124951,0.006580,No Mappings With Chosen Products
pr_000406845,0.020565,No Mappings With Chosen Products
pr_000993670,0.010774,No Mappings With Chosen Products
us_000506711,0.195998,No Mappings With Chosen Products
us_000600142,1.009343,No Mappings With Chosen Products
pr_001225266,0.000467,No Mappings With Chosen Products
us_000586637,0.063776,No Mappings With Chosen Products
us_000575040,0.410118,No Mappings With Chosen Products
pr_001002031,0.021217,No Mappings With Chosen Products
pr_000774485,0.008039,No Mappings With Chosen Products
us_000509612,0.057576,No Mappings With Chosen Products
us_000529613,0.279945,No Mappings With Chosen Products
pr_001551639,0.000467,No Mappings With Chosen Products
us_000463698,0.020772,No Mappings With Chosen Products
pr_002201395,0.006966,No Mappings With Chosen Products
pr_001350541,0.000467,No Mappings With Chosen Products
us_000531234,0.421243,No Mappings With Chosen Products
us_000563596,1.006553,No Mappings With Chosen Products
