Prospect OID,Prospect BMU Dist,Product OID, Product Confidence,...
us_000558194,0.164479,2067:0.120800,
us_000460070,0.232315,895:0.226665,2146:0.127437,2091:0.124835,
us_000502044,0.204577,949:0.456385,
us_000611031,0.110119,2067:0.046550,
pr_000223931,0.249451,1005:0.642199,
us_000583766,0.591283,933:0.376775,
us_000497350,0.594397,2064:0.985936,
us_000143088,2.763723,984:0.581298,2074:0.512615,966:0.315061,2104:0.243287,2124:0.209157,2060:0.168136,2149:0.110224,
us_000475677,0.830334,957:0.092677,
us_000242989,0.293667,972:0.890675,
pr_001168232,0.249780,1005:0.642199,
pr_000716547,0.082922,1027:0.351804,
us_000551082,0.246320,918:0.188585,966:0.115193,
us_000482136,2.160977,2143:1.000000,2132:0.777007,1005:0.232098,2085:0.120961,
pr_001148774,0.057417,895:0.144696,
pr_001125918,0.053216,2108:0.099223,
pr_000271476,0.021620,2103:0.110012,
pr_000845321,0.069522,972:0.173006,
pr_000717375,0.048038,933:0.249844,
pr_002121208,0.247257,2064:0.581005,
us_000459140,0.071678,983:0.234137,
us_000512009,0.071678,983:0.234137,
us_000589183,0.550100,932:0.923964,897:0.353993,
pr_001147666,0.047809,2091:0.058780,
us_000461721,2.123231,2116:0.989635,949:0.888893,2148:0.885937,2069:0.720924,1047:0.395088,
us_000578950,0.187108,2104:0.247946,
us_000498139,0.387882,957:0.826737,
us_000556443,0.780734,930:0.606742,2070:0.547270,
us_000460131,1.015645,932:1.000000,988:0.007542,
us_000563903,0.818859,957:0.092677,
pr_001830571,0.066222,918:0.196236,
pr_001086904,0.136044,932:0.522655,
us_000571527,0.514070,932:0.826390,
pr_001615436,0.082074,2080:0.498404,
pr_002112775,0.249780,1005:0.642199,
us_000513350,0.131878,2120:0.014879,
pr_000910105,0.249578,1005:0.642199,
us_000469095,0.040512,215:0.019098,
pr_000641643,0.050491,2091:0.058780,
us_000525907,0.261328,2090:0.299845,
us_000472619,0.015554,100:0.128841,
us_000578638,0.761491,1005:1.000000,2132:0.512341,
pr_000986457,0.052607,933:0.283718,
pr_001007092,0.047937,2093:0.193038,
us_000485691,0.604278,1027:1.000000,
us_000468106,1.380212,932:0.859914,2127:0.550495,1005:0.223290,2124:0.222400,2060:0.000613,
us_000529901,0.644083,930:0.506569,2070:0.479373,
us_000595899,0.040135,215:0.019098,
us_000468334,1.023284,932:1.000000,988:0.007542,
us_000474802,0.429447,972:0.890675,
us_000502485,0.921254,966:0.605065,2149:0.344214,
us_000567410,0.325079,2092:0.666139,
us_000529125,0.088709,2107:0.291072,
pr_001011489,0.169412,972:0.427147,
us_000533368,0.677646,988:0.586830,
us_000536852,0.303131,890:0.062506,
us_000546911,0.335772,2092:0.666139,
pr_000969609,0.250901,1005:0.642199,
us_000532712,0.400841,2129:0.310376,215:0.224965,
us_000465519,0.146547,949:0.456385,
