Prospect OID,Prospect BMU Dist,<these prospects have no product mappings among specified products>
pr_001259116,0.000467,No Mappings With Chosen Products
us_000553356,0.006350,No Mappings With Chosen Products
us_000556851,0.308045,No Mappings With Chosen Products
us_000467676,0.241589,No Mappings With Chosen Products
pr_001832245,0.006580,No Mappings With Chosen Products
pr_000493752,0.014121,No Mappings With Chosen Products
pr_000984813,0.005840,No Mappings With Chosen Products
pr_001441032,0.000467,No Mappings With Chosen Products
pr_001044435,0.025862,No Mappings With Chosen Products
pr_000160348,0.006848,No Mappings With Chosen Products
pr_001624757,0.043005,No Mappings With Chosen Products
us_000465200,1.082949,No Mappings With Chosen Products
pr_000880118,0.007065,No Mappings With Chosen Products
pr_000862917,0.020926,No Mappings With Chosen Products
us_000560346,0.114145,No Mappings With Chosen Products
pr_000325638,0.013025,No Mappings With Chosen Products
pr_001253717,0.000467,No Mappings With Chosen Products
pr_000981286,0.006941,No Mappings With Chosen Products
us_000469739,0.007366,No Mappings With Chosen Products
pr_001855074,0.006757,No Mappings With Chosen Products
pr_000128290,0.006342,No Mappings With Chosen Products
pr_001941425,0.112851,No Mappings With Chosen Products
us_000565933,0.005709,No Mappings With Chosen Products
pr_000349024,0.006580,No Mappings With Chosen Products
pr_001172624,0.000467,No Mappings With Chosen Products
pr_001387480,1.006267,No Mappings With Chosen Products
us_000528603,0.003650,No Mappings With Chosen Products
pr_001365852,1.005192,No Mappings With Chosen Products
pr_000621035,0.006580,No Mappings With Chosen Products
pr_001903763,0.006580,No Mappings With Chosen Products
us_000562289,0.208414,No Mappings With Chosen Products
pr_001073404,0.006580,No Mappings With Chosen Products
pr_001236314,0.000103,No Mappings With Chosen Products
pr_001812179,0.006580,No Mappings With Chosen Products
pr_001141289,0.024177,No Mappings With Chosen Products
pr_001293093,0.000467,No Mappings With Chosen Products
pr_001802184,0.113166,No Mappings With Chosen Products
pr_000940105,0.023088,No Mappings With Chosen Products
pr_001331758,0.002504,No Mappings With Chosen Products
pr_001333373,0.002504,No Mappings With Chosen Products
pr_000087027,0.006580,No Mappings With Chosen Products
pr_000653987,0.007946,No Mappings With Chosen Products
pr_000814255,0.206663,No Mappings With Chosen Products
us_000462468,0.103735,No Mappings With Chosen Products
pr_001609759,0.006580,No Mappings With Chosen Products
pr_000210599,0.005793,No Mappings With Chosen Products
us_000551558,0.006779,No Mappings With Chosen Products
pr_001829704,0.014856,No Mappings With Chosen Products
pr_001076566,0.005793,No Mappings With Chosen Products
pr_000731730,0.006580,No Mappings With Chosen Products
pr_000938553,0.005793,No Mappings With Chosen Products
pr_000700781,0.021673,No Mappings With Chosen Products
pr_000535220,0.013592,No Mappings With Chosen Products
pr_002200841,0.006731,No Mappings With Chosen Products
us_000509510,0.020491,No Mappings With Chosen Products
pr_001296285,0.000467,No Mappings With Chosen Products
us_000539424,0.007387,No Mappings With Chosen Products
pr_000191687,0.006197,No Mappings With Chosen Products
pr_000987466,0.006966,No Mappings With Chosen Products
pr_002113907,0.012344,No Mappings With Chosen Products
pr_000102925,0.006580,No Mappings With Chosen Products
us_000581368,0.093662,No Mappings With Chosen Products
pr_000567702,0.006580,No Mappings With Chosen Products
pr_000422977,0.006580,No Mappings With Chosen Products
pr_000587894,0.015383,No Mappings With Chosen Products
pr_000970959,0.012345,No Mappings With Chosen Products
pr_001189646,0.000467,No Mappings With Chosen Products
pr_000563489,0.006580,No Mappings With Chosen Products
pr_001282746,0.025845,No Mappings With Chosen Products
pr_001085077,0.020770,No Mappings With Chosen Products
us_000543100,0.276968,No Mappings With Chosen Products
pr_000020722,0.006731,No Mappings With Chosen Products
pr_001899106,0.006580,No Mappings With Chosen Products
us_000458839,0.005792,No Mappings With Chosen Products
pr_001236925,0.000467,No Mappings With Chosen Products
pr_001235090,0.002397,No Mappings With Chosen Products
pr_001879001,0.007126,No Mappings With Chosen Products
pr_001407483,0.006580,No Mappings With Chosen Products
us_000491563,0.371620,No Mappings With Chosen Products
pr_000015840,0.006580,No Mappings With Chosen Products
us_000566190,0.110498,No Mappings With Chosen Products
pr_001444487,0.076918,No Mappings With Chosen Products
pr_001225176,0.000467,No Mappings With Chosen Products
us_000504035,0.163654,No Mappings With Chosen Products
pr_000939919,0.011655,No Mappings With Chosen Products
pr_001225851,0.000467,No Mappings With Chosen Products
pr_001383332,0.025845,No Mappings With Chosen Products
pr_001405031,0.006580,No Mappings With Chosen Products
us_000523304,0.020443,No Mappings With Chosen Products
us_000514798,0.007238,No Mappings With Chosen Products
pr_000992416,0.006698,No Mappings With Chosen Products
pr_000887727,0.016004,No Mappings With Chosen Products
us_000576842,0.051110,No Mappings With Chosen Products
pr_001300585,1.006839,No Mappings With Chosen Products
us_000599676,0.002024,No Mappings With Chosen Products
us_000611400,0.006841,No Mappings With Chosen Products
pr_000911941,0.007250,No Mappings With Chosen Products
pr_000644442,0.008557,No Mappings With Chosen Products
us_000503332,0.127253,No Mappings With Chosen Products
pr_001181476,0.000467,No Mappings With Chosen Products
pr_000128443,0.010712,No Mappings With Chosen Products
us_000567740,0.005770,No Mappings With Chosen Products
pr_001817097,0.006580,No Mappings With Chosen Products
pr_000632456,0.019040,No Mappings With Chosen Products
pr_001200859,1.005236,No Mappings With Chosen Products
pr_002037295,0.007421,No Mappings With Chosen Products
us_000578730,0.009348,No Mappings With Chosen Products
pr_000877283,0.011908,No Mappings With Chosen Products
pr_001784431,0.109045,No Mappings With Chosen Products
us_000598326,0.051219,No Mappings With Chosen Products
pr_000857446,0.229318,No Mappings With Chosen Products
pr_001426049,0.001151,No Mappings With Chosen Products
pr_002068228,0.005983,No Mappings With Chosen Products
pr_001673343,0.007052,No Mappings With Chosen Products
us_000572213,0.050707,No Mappings With Chosen Products
pr_001141637,0.006580,No Mappings With Chosen Products
pr_001027948,0.018918,No Mappings With Chosen Products
us_000567384,0.007163,No Mappings With Chosen Products
pr_001223248,0.000467,No Mappings With Chosen Products
pr_001233795,1.005367,No Mappings With Chosen Products
pr_000275979,0.015719,No Mappings With Chosen Products
pr_001374652,0.000467,No Mappings With Chosen Products
pr_001323414,1.008954,No Mappings With Chosen Products
pr_000750770,0.006580,No Mappings With Chosen Products
us_000570319,0.111349,No Mappings With Chosen Products
pr_000894027,0.015337,No Mappings With Chosen Products
pr_001411260,0.006580,No Mappings With Chosen Products
pr_001738329,0.006659,No Mappings With Chosen Products
pr_000859939,0.006580,No Mappings With Chosen Products
