Prospect OID,Prospect BMU Dist,<these prospects have no product mappings among specified products>
us_000518000,0.041299,No Mappings With Chosen Products
pr_001560494,0.000078,No Mappings With Chosen Products
pr_001211349,0.025845,No Mappings With Chosen Products
pr_000171983,0.007451,No Mappings With Chosen Products
pr_001307856,0.000117,No Mappings With Chosen Products
pr_001252637,0.000467,No Mappings With Chosen Products
us_000567239,1.123315,No Mappings With Chosen Products
us_000510483,1.007456,No Mappings With Chosen Products
pr_001295534,0.000467,No Mappings With Chosen Products
pr_000949190,0.006993,No Mappings With Chosen Products
us_000500415,0.009145,No Mappings With Chosen Products
pr_001379119,1.005828,No Mappings With Chosen Products
pr_000777642,0.017679,No Mappings With Chosen Products
pr_001239149,0.000467,No Mappings With Chosen Products
pr_001322034,0.000467,No Mappings With Chosen Products
us_000529529,0.129398,No Mappings With Chosen Products
pr_001033291,0.000595,No Mappings With Chosen Products
us_000526598,0.002413,No Mappings With Chosen Products
pr_000445854,0.006580,No Mappings With Chosen Products
pr_002069191,0.007285,No Mappings With Chosen Products
pr_001940247,0.006888,No Mappings With Chosen Products
us_000559837,0.095385,No Mappings With Chosen Products
pr_002214895,0.006941,No Mappings With Chosen Products
pr_001200513,0.001151,No Mappings With Chosen Products
pr_001187945,0.005223,No Mappings With Chosen Products
pr_000583793,0.006580,No Mappings With Chosen Products
us_000472082,0.006819,No Mappings With Chosen Products
pr_001237213,1.005465,No Mappings With Chosen Products
pr_001479414,0.000467,No Mappings With Chosen Products
pr_000658151,0.012345,No Mappings With Chosen Products
pr_001188570,0.000467,No Mappings With Chosen Products
pr_000937800,0.008844,No Mappings With Chosen Products
us_000464769,0.038630,No Mappings With Chosen Products
pr_001515836,0.000467,No Mappings With Chosen Products
pr_001254022,1.005236,No Mappings With Chosen Products
pr_001377886,0.005218,No Mappings With Chosen Products
pr_001159843,0.006580,No Mappings With Chosen Products
pr_001200147,0.025845,No Mappings With Chosen Products
pr_000019202,0.006580,No Mappings With Chosen Products
us_000575098,1.007154,No Mappings With Chosen Products
pr_001196118,0.000467,No Mappings With Chosen Products
us_000535847,0.007106,No Mappings With Chosen Products
