Prospect OID,Prospect BMU Dist,Product OID, Product Confidence,...
us_000539734,0.215740,918:0.188585,966:0.115193,
pr_001161849,0.070157,2108:0.255483,
us_000213360,0.414656,972:0.851527,
us_000483295,0.445809,957:0.099901,2074:0.019580,
us_000564232,0.383587,2108:0.924673,
us_000465570,1.282916,1005:1.000000,2132:0.512341,
pr_000159130,0.251273,1005:0.642199,
pr_000724714,0.069522,972:0.173006,
us_000498604,0.435213,2123:1.000000,
us_000590648,0.383587,2108:0.924673,
us_000516899,0.052775,2126:0.442376,
us_000473315,0.175524,987:0.292975,
pr_001153724,0.020055,2126:0.067998,
us_000522237,0.108535,918:0.501720,
us_000505887,0.623629,2146:0.844947,972:0.641382,2091:0.307734,
us_000497686,0.040966,100:0.354373,
us_000535044,0.400847,893:0.914608,
pr_000945075,0.573534,2102:1.000000,
us_000577248,0.067915,2107:0.291072,
us_000599463,0.121034,2101:0.032735,
pr_000993550,0.084883,1027:0.351804,
pr_001011470,0.049855,215:0.019098,
us_000496041,0.029381,2126:0.182104,
us_000520270,0.090189,1037:0.507365,
us_000594638,0.140758,983:0.063598,
pr_000816061,0.048038,933:0.249844,
pr_000629533,0.051401,2091:0.058780,
us_000489802,0.118219,1037:0.705659,
us_000516453,0.315130,895:0.764121,
pr_000848312,0.241648,2064:0.581005,
us_000515925,0.310418,895:0.764121,
us_000468058,0.194184,933:0.807311,
us_000565851,0.387610,933:0.460929,2096:0.146068,
us_000470208,0.040052,215:0.019098,
pr_000637098,0.249944,1005:0.642199,
us_000485099,0.166742,2088:0.137370,966:0.132531,918:0.061439,
pr_001119616,0.622735,2083:1.000000,
pr_001588614,0.249780,1005:0.642199,
pr_001389390,0.034270,1037:0.202869,
us_000594866,0.375970,2096:0.148030,
us_000564819,0.862381,915:0.061165,
us_000560629,0.851777,215:0.394155,
us_000545698,0.108458,933:0.569031,
us_000585188,0.096985,215:0.224731,
us_000524593,0.399889,2096:0.148030,
us_000473357,1.673290,2085:0.501091,
us_000472868,0.072914,983:0.234137,
us_000458618,0.911425,2097:0.999009,972:0.699168,915:0.089972,
us_000561216,0.271497,918:0.188585,966:0.115193,
us_000548087,0.362068,2104:0.784474,
us_000487548,0.192780,2085:0.468999,
us_000504606,0.223508,2142:0.587825,
us_000591285,0.156269,2080:0.794953,
us_000464204,0.072914,983:0.234137,
us_000554996,1.970895,2116:0.989635,949:0.888893,2148:0.885937,2069:0.720924,1047:0.395088,
us_000481048,0.510992,2093:0.884422,
us_000604649,0.433174,972:0.890675,
us_000558897,0.016311,2135:0.071116,
pr_001027300,0.247257,2064:0.581005,
us_000525851,0.395631,1005:0.795767,
