Prospect OID,Prospect BMU Dist,<these prospects have no product mappings among specified products>
pr_001684080,0.006580,No Mappings With Chosen Products
pr_001804366,0.006580,No Mappings With Chosen Products
pr_001521711,1.005496,No Mappings With Chosen Products
us_000569437,0.150435,No Mappings With Chosen Products
pr_000583814,0.022212,No Mappings With Chosen Products
pr_000837386,0.006992,No Mappings With Chosen Products
pr_001993968,0.017228,No Mappings With Chosen Products
pr_001205517,0.005223,No Mappings With Chosen Products
pr_000707218,0.006580,No Mappings With Chosen Products
pr_000354005,0.021554,No Mappings With Chosen Products
pr_001182955,0.000467,No Mappings With Chosen Products
pr_000884273,0.006580,No Mappings With Chosen Products
pr_001065272,0.000467,No Mappings With Chosen Products
pr_001204615,0.000467,No Mappings With Chosen Products
us_000537582,0.000959,No Mappings With Chosen Products
pr_001466347,0.000467,No Mappings With Chosen Products
us_000539441,0.009073,No Mappings With Chosen Products
us_000522111,0.598759,No Mappings With Chosen Products
pr_001262933,0.002504,No Mappings With Chosen Products
pr_001634466,0.006580,No Mappings With Chosen Products
pr_001068643,0.006941,No Mappings With Chosen Products
pr_000343728,0.006552,No Mappings With Chosen Products
us_000556258,0.021615,No Mappings With Chosen Products
us_000529363,0.007998,No Mappings With Chosen Products
pr_000167298,0.006704,No Mappings With Chosen Products
us_000582339,0.014138,No Mappings With Chosen Products
pr_000162794,0.006580,No Mappings With Chosen Products
pr_000163273,0.006683,No Mappings With Chosen Products
pr_001078513,0.006580,No Mappings With Chosen Products
pr_001258826,0.008309,No Mappings With Chosen Products
pr_001990441,0.006646,No Mappings With Chosen Products
pr_001652126,0.006580,No Mappings With Chosen Products
pr_001202304,0.000467,No Mappings With Chosen Products
pr_000830256,0.014738,No Mappings With Chosen Products
pr_001581623,0.013998,No Mappings With Chosen Products
pr_001032931,0.006204,No Mappings With Chosen Products
pr_000597186,0.012345,No Mappings With Chosen Products
pr_000829470,0.006581,No Mappings With Chosen Products
pr_000561262,0.025582,No Mappings With Chosen Products
us_000611558,0.008723,No Mappings With Chosen Products
us_000563897,0.000467,No Mappings With Chosen Products
us_000565372,0.007171,No Mappings With Chosen Products
pr_000967363,0.007209,No Mappings With Chosen Products
pr_001687394,0.005793,No Mappings With Chosen Products
us_000501651,0.142534,No Mappings With Chosen Products
us_000497712,0.115904,No Mappings With Chosen Products
pr_001539739,0.000467,No Mappings With Chosen Products
pr_001094277,0.018900,No Mappings With Chosen Products
pr_000376291,0.019170,No Mappings With Chosen Products
pr_001243439,0.000467,No Mappings With Chosen Products
us_000545842,0.019466,No Mappings With Chosen Products
us_000599651,0.007998,No Mappings With Chosen Products
us_000586674,0.198057,No Mappings With Chosen Products
pr_001568106,1.006854,No Mappings With Chosen Products
us_000584069,1.009309,No Mappings With Chosen Products
pr_000733285,0.021276,No Mappings With Chosen Products
pr_000656642,0.006580,No Mappings With Chosen Products
pr_000576096,0.006683,No Mappings With Chosen Products
us_000501195,0.007569,No Mappings With Chosen Products
pr_001249604,0.000467,No Mappings With Chosen Products
us_000517283,0.007402,No Mappings With Chosen Products
pr_001525613,0.000467,No Mappings With Chosen Products
us_000570152,0.089595,No Mappings With Chosen Products
us_000507647,0.208649,No Mappings With Chosen Products
pr_001750529,0.006580,No Mappings With Chosen Products
pr_000830905,0.005756,No Mappings With Chosen Products
pr_000668780,0.006580,No Mappings With Chosen Products
pr_001901611,0.007224,No Mappings With Chosen Products
pr_000738178,0.201793,No Mappings With Chosen Products
pr_000308548,0.006809,No Mappings With Chosen Products
us_000506216,0.025526,No Mappings With Chosen Products
pr_000285630,0.006580,No Mappings With Chosen Products
us_000473670,0.387007,No Mappings With Chosen Products
pr_000119639,0.010318,No Mappings With Chosen Products
pr_001198943,0.025845,No Mappings With Chosen Products
pr_000583785,0.006580,No Mappings With Chosen Products
pr_000891738,0.009092,No Mappings With Chosen Products
pr_001126013,0.006580,No Mappings With Chosen Products
pr_000819188,0.006580,No Mappings With Chosen Products
pr_001735899,0.007013,No Mappings With Chosen Products
pr_001562966,0.000078,No Mappings With Chosen Products
pr_000711224,0.006364,No Mappings With Chosen Products
pr_001214368,0.000467,No Mappings With Chosen Products
pr_000902583,0.006353,No Mappings With Chosen Products
us_000482943,0.536808,No Mappings With Chosen Products
pr_001405905,0.007046,No Mappings With Chosen Products
us_000557526,0.185918,No Mappings With Chosen Products
us_000488326,0.032849,No Mappings With Chosen Products
us_000479221,0.006580,No Mappings With Chosen Products
pr_001228206,0.000467,No Mappings With Chosen Products
us_000469565,0.007167,No Mappings With Chosen Products
pr_000911373,0.006966,No Mappings With Chosen Products
us_000516269,0.154610,No Mappings With Chosen Products
pr_001222644,0.000467,No Mappings With Chosen Products
pr_001694388,0.012345,No Mappings With Chosen Products
pr_001054025,0.006659,No Mappings With Chosen Products
pr_001118529,0.006159,No Mappings With Chosen Products
pr_001843953,0.006580,No Mappings With Chosen Products
pr_000441312,0.124993,No Mappings With Chosen Products
pr_000972376,0.009651,No Mappings With Chosen Products
pr_000893782,0.006580,No Mappings With Chosen Products
pr_001351720,0.000467,No Mappings With Chosen Products
pr_000395608,0.059191,No Mappings With Chosen Products
pr_001283029,0.014953,No Mappings With Chosen Products
pr_000975910,0.005793,No Mappings With Chosen Products
pr_001441334,0.001151,No Mappings With Chosen Products
pr_001808274,0.019904,No Mappings With Chosen Products
us_000557741,0.007480,No Mappings With Chosen Products
pr_001663681,0.006580,No Mappings With Chosen Products
pr_001789279,0.006907,No Mappings With Chosen Products
pr_001339461,0.025845,No Mappings With Chosen Products
pr_000754233,0.005793,No Mappings With Chosen Products
pr_000421018,0.006793,No Mappings With Chosen Products
us_000600549,0.000467,No Mappings With Chosen Products
pr_000699908,0.012345,No Mappings With Chosen Products
pr_001889288,0.006944,No Mappings With Chosen Products
us_000501698,0.348789,No Mappings With Chosen Products
pr_000272574,0.006762,No Mappings With Chosen Products
pr_001363177,0.000467,No Mappings With Chosen Products
pr_001027265,0.006687,No Mappings With Chosen Products
pr_001316381,1.006276,No Mappings With Chosen Products
us_000593367,0.008342,No Mappings With Chosen Products
pr_001056405,0.006580,No Mappings With Chosen Products
pr_001030861,0.006584,No Mappings With Chosen Products
us_000479852,0.021238,No Mappings With Chosen Products
us_000585033,0.010654,No Mappings With Chosen Products
pr_001912737,0.007654,No Mappings With Chosen Products
us_000548484,0.007916,No Mappings With Chosen Products
pr_000983240,0.006580,No Mappings With Chosen Products
pr_000250409,0.006580,No Mappings With Chosen Products
pr_001658942,0.006580,No Mappings With Chosen Products
us_000576701,0.269750,No Mappings With Chosen Products
pr_001858212,0.112851,No Mappings With Chosen Products
pr_001902695,0.006580,No Mappings With Chosen Products
us_000480426,0.021202,No Mappings With Chosen Products
pr_001691954,0.012731,No Mappings With Chosen Products
pr_000966935,0.007189,No Mappings With Chosen Products
pr_000428827,0.006731,No Mappings With Chosen Products
pr_002095788,0.006580,No Mappings With Chosen Products
pr_001218827,0.002504,No Mappings With Chosen Products
pr_000704961,0.007005,No Mappings With Chosen Products
us_000479891,0.711695,No Mappings With Chosen Products
pr_001207332,1.013850,No Mappings With Chosen Products
us_000616415,0.014455,No Mappings With Chosen Products
pr_000662320,0.003148,No Mappings With Chosen Products
pr_001799716,0.006800,No Mappings With Chosen Products
us_000528065,0.434007,No Mappings With Chosen Products
