Product ID : 898 JPs covered : 97 : Healthcare, 
pr_001050969,0.238653, 0.000000
pr_001142013,0.238653, 0.000000
pr_001142033,0.238653, 0.000000
pr_001043664,0.238653, 0.000000
pr_001130384,0.238653, 0.000000
pr_001142258,0.238653, 0.000000
us_000522783,0.238653, 0.000000
us_000547320,0.238653, 0.000000
us_000542215,0.238653, 0.000000
us_000557485,0.238653, 0.000000
us_000544168,0.238653, 0.000000
us_000512033,0.238653, 0.000000
us_000501443,0.238653, 0.000000
us_000501714,0.238653, 0.000000
us_000504287,0.238653, 0.000000
us_000477017,0.238653, 0.000000
us_000516619,0.238653, 0.000010
us_000492140,0.238653, 0.000028
pr_000562971,0.238653, 0.000260
us_000565859,0.238653, 0.085089
us_000536155,0.238653, 0.243197
us_000542022,0.238653, 0.245949
us_000564912,0.238653, 0.270213
us_000576879,0.238653, 0.272325
us_000575820,0.238653, 0.288344
us_000570241,0.238653, 0.298946
us_000461421,0.238653, 0.306265
us_000594963,0.238653, 0.324337
us_000524959,0.238653, 0.325651
us_000468818,0.238653, 0.327323
us_000576889,0.238653, 0.329983
us_000537347,0.238653, 0.330400
us_000592996,0.238653, 0.330656
us_000601078,0.238653, 0.331220
us_000471831,0.238653, 0.332987
us_000574045,0.238653, 0.338320
us_000465885,0.238653, 0.343736
us_000486399,0.238653, 0.345479
us_000554633,0.238653, 0.346208
us_000550067,0.238653, 0.346366
us_000470205,0.238653, 0.348649
us_000475433,0.238653, 0.350837
us_000523590,0.238653, 0.351811
us_000508350,0.238653, 0.353527
us_000558384,0.238653, 0.356185
us_000469054,0.238653, 0.357831
us_000491115,0.238653, 0.358907
us_000513726,0.238653, 0.358950
us_000464920,0.238653, 0.359280
us_000580557,0.238653, 0.360778
us_000460545,0.238653, 0.365761
us_000481457,0.238653, 0.366514
us_000513687,0.238653, 0.367123
us_000538203,0.238653, 0.368376
us_000474405,0.238653, 0.369367
us_000599037,0.238653, 0.370414
us_000473983,0.238653, 0.370414
us_000461467,0.238653, 0.370980
us_000487242,0.238653, 0.372922
us_000475558,0.238653, 0.373741
us_000460960,0.238653, 0.374607
us_000553557,0.238653, 0.376380
us_000471973,0.238653, 0.377502
us_000562019,0.238653, 0.378066
us_000230885,0.238653, 0.378870
us_000471781,0.238653, 0.379043
us_000463173,0.238653, 0.379043
us_000265718,0.238653, 0.380661
us_000556341,0.238653, 0.382401
us_000550022,0.238653, 0.384362
us_000508599,0.238653, 0.387407
us_000542673,0.238653, 0.394890
us_000474754,0.238653, 0.402871
us_000483490,0.238653, 0.402953
us_000463980,0.238653, 0.403167
pr_000593322,0.238653, 0.404568
pr_001409427,0.238653, 0.405805
pr_000593388,0.238653, 0.406475
pr_000593725,0.238653, 0.407628
pr_000593356,0.238653, 0.407628
us_000465304,0.238653, 0.424720
us_000453530,0.238653, 0.432099
us_000555259,0.238653, 0.481491
us_000585223,0.238653, 0.543296
us_000463866,0.238653, 0.664917
us_000522436,0.238653, 0.761280
us_000581931,0.205712, 0.693885
us_000598249,0.205712, 0.696549
us_000567950,0.205712, 0.698947
us_000557110,0.205712, 0.719661
us_000575771,0.205712, 0.758566
us_000599231,0.205712, 0.789548
us_000571495,0.205712, 0.827392
us_000576103,0.205712, 0.884912
pr_001078942,0.075534, 0.000000
us_000193384,0.075534, 0.610326
us_000465797,0.075534, 0.708112
us_000500003,0.075534, 0.772235
us_000493064,0.075534, 0.805068
us_000472888,0.075534, 0.888778
us_000464729,0.075534, 0.895302
us_000459190,0.075534, 0.902215
us_000476288,0.075534, 0.926899
us_000189413,0.075534, 0.929924
us_000461346,0.075534, 0.933223
us_000572972,0.075534, 0.941307
us_000492537,0.075534, 0.952516
us_000461871,0.075534, 0.977649
us_000464819,0.075534, 0.995150
us_000477146,0.075534, 0.999052
us_000523524,0.075534, 1.018222
us_000484464,0.075534, 1.029445
us_000541806,0.075534, 1.039172
us_000504827,0.075534, 1.069418
us_000532718,0.075534, 1.082482
us_000472329,0.075534, 1.083835
us_000468283,0.075534, 1.093570
us_000482132,0.075534, 1.101347
us_000190568,0.075534, 1.103018
us_000338386,0.075534, 1.123557
us_000472341,0.075534, 1.127786
us_000480109,0.075534, 1.147320
us_000494129,0.075534, 1.163563
us_000504849,0.075534, 1.163684
us_000512322,0.075534, 1.167659
us_000462740,0.075534, 1.172765
us_000459144,0.075534, 1.174649
us_000518717,0.075534, 1.177071
us_000340053,0.075534, 1.177263
us_000552043,0.075534, 1.178638
us_000476157,0.075534, 1.185177
us_000471603,0.075534, 1.189428
us_000468305,0.075534, 1.191335
us_000119941,0.075534, 1.200858
us_000471427,0.075534, 1.209651
us_000532776,0.075534, 1.215853
us_000481613,0.075534, 1.222075
us_000498013,0.075534, 1.223376
us_000470026,0.075534, 1.225285
us_000533704,0.075534, 1.229175
us_000504735,0.075534, 1.230548
us_000459562,0.075534, 1.243109
us_000530012,0.075534, 1.271838
us_000486432,0.075534, 1.274984
us_000513010,0.075534, 1.292641
us_000501336,0.075534, 1.537526
us_000545456,0.075534, 2.352232
us_000572661,0.033458, 0.331147
us_000509436,0.033458, 0.406055
us_000575013,0.033458, 0.447002
us_000132394,0.033458, 0.509217
us_000518266,0.033458, 0.513199
us_000520311,0.033458, 0.513927
us_000543766,0.033458, 0.634793
us_000589115,0.033458, 0.669878
us_000599067,0.033458, 0.677639
us_000599069,0.033458, 0.687598
us_000481798,0.033458, 0.689798
us_000565359,0.033458, 0.690333
us_000565424,0.033458, 0.704837
us_000572485,0.033458, 0.707623
us_000582737,0.033458, 0.713403
us_000590069,0.033458, 0.714244
us_000591326,0.033458, 0.714244
us_000589560,0.033458, 0.714244
us_000554414,0.033458, 0.903902
us_000277360,0.033458, 0.912403
us_000487241,0.033458, 0.913296
us_000525064,0.033458, 0.917045
us_000536209,0.033458, 0.920739
us_000586005,0.033458, 0.922492
us_000575677,0.033458, 0.923872
us_000581475,0.033458, 0.927598
us_000585522,0.033458, 0.931898
us_000544178,0.033458, 0.932110
us_000586730,0.033458, 0.938893
us_000583776,0.033458, 0.941202
us_000613835,0.033458, 0.941600
us_000573001,0.033458, 0.943927
us_000555966,0.033458, 0.945248
us_000549643,0.033458, 0.945936
us_000587014,0.033458, 0.946526
us_000500293,0.033458, 0.946894
us_000599458,0.033458, 0.947630
us_000485452,0.033458, 0.948426
us_000480483,0.033458, 0.950700
us_000375427,0.033458, 0.951486
us_000592164,0.033458, 0.951619
us_000592163,0.033458, 0.952116
us_000539725,0.033458, 0.954319
us_000589079,0.033458, 0.954433
us_000502664,0.033458, 0.955192
us_000529044,0.033458, 0.955432
us_000578990,0.033458, 0.956603
us_000528467,0.033458, 0.959955
us_000574278,0.033458, 0.960396
us_000501005,0.033458, 0.960934
us_000583633,0.033458, 0.963174
us_000574754,0.033458, 0.963379
us_000501930,0.033458, 0.963750
us_000584495,0.033458, 0.964244
us_000514310,0.033458, 0.965151
us_000568664,0.033458, 0.965304
us_000571443,0.033458, 0.965405
us_000582971,0.033458, 0.966187
us_000592509,0.033458, 0.967647
us_000608283,0.033458, 0.969180
us_000585979,0.033458, 0.969325
us_000592906,0.033458, 0.969700
us_000591298,0.033458, 0.970284
us_000573804,0.033458, 0.970284
us_000598444,0.033458, 0.970284
us_000598037,0.033458, 0.971828
us_000593178,0.033458, 0.972925
us_000593180,0.033458, 0.972925
us_000574755,0.033458, 0.972925
us_000617465,0.033458, 0.974026
us_000593182,0.033458, 0.974026
us_000593185,0.033458, 0.974026
us_000585862,0.033458, 0.974026
us_000588604,0.033458, 0.974026
us_000617406,0.033458, 0.974026
us_000586664,0.033458, 0.975130
us_000585675,0.033458, 0.975130
us_000610557,0.033458, 0.975130
us_000590107,0.033458, 0.975130
us_000586727,0.033458, 0.975130
us_000610873,0.033458, 0.975130
us_000557039,0.033458, 0.978159
us_000572925,0.033458, 0.986571
us_000608191,0.033458, 0.998729
us_000611256,0.033458, 0.999123
us_000552272,0.033458, 1.002330
us_000512758,0.033458, 1.008961
us_000605632,0.033458, 1.011071
