Product ID : 990 JPs covered : 50 : Federal, 
OID,Confidence at Map Node,Error at Map Node
us_000483459,0.689894, 0.569948
us_000463807,0.689894, 0.574508
us_000183996,0.689894, 0.574982
us_000478207,0.689894, 0.575554
us_000576267,0.689894, 0.575628
us_000136652,0.689894, 0.576363
us_000432327,0.689894, 0.576389
us_000100442,0.689894, 0.577565
us_000467908,0.689894, 0.581068
us_000506276,0.689894, 0.581475
us_000483450,0.689894, 0.583843
us_000485785,0.689894, 0.585980
us_000466182,0.689894, 0.589138
us_000486086,0.689894, 0.593114
us_000539130,0.689894, 0.593456
us_000461452,0.689894, 0.594986
us_000386905,0.689894, 0.595508
us_000461656,0.689894, 0.596101
us_000505350,0.689894, 0.598779
us_000505172,0.689894, 0.599708
us_000308951,0.689894, 0.600259
us_000485754,0.689894, 0.601836
us_000534548,0.689894, 0.602192
us_000030550,0.689894, 0.606841
us_000466180,0.689894, 0.608192
us_000477650,0.689894, 0.617752
us_000469751,0.689894, 0.617918
us_000458664,0.689894, 0.618839
us_000505887,0.689894, 0.623629
us_000464568,0.689894, 0.624745
us_000500893,0.689894, 0.629229
us_000462059,0.689894, 0.630470
us_000476828,0.689894, 0.633970
us_000469021,0.689894, 0.634570
us_000491343,0.689894, 0.635887
us_000485788,0.689894, 0.646553
us_000458580,0.689894, 0.649572
us_000461480,0.689894, 0.649697
us_000587915,0.689894, 0.650495
us_000183385,0.689894, 0.650495
us_000108017,0.689894, 0.651806
us_000260600,0.689894, 0.651902
us_000539137,0.689894, 0.652259
us_000505539,0.689894, 0.653860
us_000114080,0.689894, 0.654204
us_000539197,0.689894, 0.654661
us_000458977,0.689894, 0.655450
us_000334219,0.689894, 0.656732
us_000505230,0.689894, 0.657755
us_000466749,0.689894, 0.665264
us_000458582,0.689894, 0.666079
us_000478315,0.689894, 0.666764
us_000473846,0.689894, 0.668007
us_000553914,0.689894, 0.669104
us_000464524,0.689894, 0.669728
us_000463959,0.689894, 0.670551
us_000482978,0.689894, 0.670876
us_000536010,0.689894, 0.670907
us_000576543,0.689894, 0.673838
us_000505470,0.689894, 0.677411
us_000135319,0.689894, 0.683136
us_000506126,0.689894, 0.683152
us_000505912,0.689894, 0.683674
us_000474084,0.689894, 0.683938
us_000506440,0.689894, 0.683947
us_000027687,0.689894, 0.687070
us_000466599,0.689894, 0.687160
us_000505522,0.689894, 0.687221
us_000576272,0.689894, 0.688394
us_000537240,0.689894, 0.688793
us_000463814,0.689894, 0.696183
us_000469990,0.689894, 0.699754
us_000461661,0.689894, 0.701240
us_000429425,0.689894, 0.702977
us_000460682,0.689894, 0.710457
us_000506067,0.689894, 0.713669
us_000497678,0.689894, 0.732845
us_000474530,0.689894, 0.749732
us_000580717,0.689894, 0.759552
us_000459261,0.689894, 0.789819
us_000539181,0.689894, 0.809532
us_000472013,0.689894, 0.857726
us_000462058,0.689894, 0.897044
us_000133814,0.689894, 0.916410
us_000477615,0.689894, 0.932965
us_000535988,0.378672, 0.000000
us_000547417,0.378672, 0.000000
us_000463701,0.378672, 1.120264
us_000519844,0.378672, 1.313205
us_000466027,0.378672, 1.364391
us_000554089,0.378672, 1.421492
us_000467262,0.378672, 1.485193
us_000469854,0.378672, 1.511663
us_000471554,0.378672, 1.512004
us_000480565,0.378672, 1.512677
us_000462817,0.378672, 1.535746
us_000468968,0.378672, 1.552098
us_000469248,0.378672, 1.591394
us_000471534,0.378672, 1.612614
us_000469491,0.378672, 1.629602
us_000234234,0.294373, 0.000000
us_000391735,0.294373, 0.278696
us_000220684,0.294373, 0.307968
us_000475307,0.294373, 0.323686
us_000408572,0.294373, 0.330150
us_000521631,0.294373, 0.334414
us_000464027,0.294373, 0.342583
us_000557255,0.294373, 0.350802
us_000583851,0.294373, 0.354599
us_000475088,0.294373, 0.355402
us_000221104,0.294373, 0.357930
us_000464652,0.294373, 0.358048
us_000470130,0.294373, 0.359993
us_000474499,0.294373, 0.361614
us_000583710,0.294373, 0.365670
us_000484151,0.294373, 0.376468
us_000475658,0.294373, 0.377160
us_000464831,0.294373, 0.380393
us_000465133,0.294373, 0.382518
us_000473172,0.294373, 0.382574
pr_001611456,0.294373, 0.382802
us_000364518,0.294373, 0.384500
us_000521985,0.294373, 0.385842
us_000231458,0.294373, 0.392843
us_000477725,0.294373, 0.394789
us_000469472,0.294373, 0.396158
us_000476212,0.294373, 0.400981
us_000261877,0.294373, 0.401144
us_000562762,0.294373, 0.406748
us_000497695,0.294373, 0.407151
us_000551292,0.294373, 0.407507
us_000293249,0.294373, 0.412257
us_000489616,0.294373, 0.412766
us_000462951,0.294373, 0.412859
us_000471538,0.294373, 0.415515
us_000513520,0.294373, 0.417617
us_000480780,0.294373, 0.420182
us_000548616,0.294373, 0.420954
us_000471556,0.294373, 0.422165
us_000501784,0.294373, 0.423063
us_000474534,0.294373, 0.423308
us_000459301,0.294373, 0.424801
us_000486053,0.294373, 0.426507
us_000365339,0.294373, 0.427694
us_000591590,0.294373, 0.427748
us_000549463,0.294373, 0.428080
us_000537784,0.294373, 0.429663
us_000554109,0.294373, 0.429819
us_000494672,0.294373, 0.429854
us_000521858,0.294373, 0.430041
us_000478329,0.294373, 0.430821
us_000563568,0.294373, 0.435356
us_000475115,0.294373, 0.437754
us_000487700,0.294373, 0.438010
us_000499159,0.294373, 0.438497
us_000486833,0.294373, 0.438892
us_000562513,0.294373, 0.439185
us_000477941,0.294373, 0.439249
us_000492425,0.294373, 0.439656
us_000262835,0.294373, 0.442477
us_000501519,0.294373, 0.443849
us_000295519,0.294373, 0.445579
us_000261428,0.294373, 0.446697
us_000463130,0.294373, 0.446858
us_000460694,0.294373, 0.449384
us_000472637,0.294373, 0.451939
us_000243134,0.294373, 0.451939
us_000502147,0.294373, 0.451939
us_000473579,0.294373, 0.452421
us_000461623,0.294373, 0.452653
us_000460858,0.294373, 0.453812
us_000463751,0.294373, 0.454523
us_000478188,0.294373, 0.454523
us_000292182,0.294373, 0.454523
us_000477899,0.294373, 0.454523
us_000583683,0.294373, 0.456338
us_000476917,0.294373, 0.456426
us_000553982,0.294373, 0.457135
us_000267035,0.294373, 0.457135
us_000084497,0.294373, 0.457135
us_000554214,0.294373, 0.457135
us_000484493,0.294373, 0.476346
us_000474776,0.294373, 0.482606
us_000268729,0.294373, 0.490420
us_000489533,0.294373, 0.491135
us_000263125,0.294373, 0.492575
us_000563525,0.294373, 0.524486
us_000537213,0.294373, 0.584509
us_000552423,0.294373, 0.765800
us_000537580,0.294373, 0.790434
us_000494702,0.294373, 1.423260
us_000605910,0.267899, 0.000001
pr_001056265,0.267899, 0.000002
pr_001072681,0.267899, 0.000002
