Product ID : 7792 # of JPs covered : 1 : 216 : Accounting-Non-Profit, 
OID,Confidence at Map Node,Error at Map Node
pr_000601530,1.000000,0.000004
pr_001060548,1.000000,0.000004
pr_001008970,1.000000,0.000004
pr_001044403,1.000000,0.000004
pr_000632097,1.000000,0.000004
pr_000526201,1.000000,0.000004
pr_000748183,1.000000,0.000004
pr_000559510,1.000000,0.000004
pr_000629395,1.000000,0.000004
pr_000897617,1.000000,0.000004
pr_001038969,1.000000,0.000004
pr_000568134,1.000000,0.000004
pr_000841359,1.000000,0.000004
pr_001044073,1.000000,0.000004
pr_001060574,1.000000,0.000004
pr_001004933,1.000000,0.000004
pr_001032987,1.000000,0.000004
pr_000849151,1.000000,0.000004
pr_001044179,1.000000,0.000016
pr_000519673,1.000000,0.000139
pr_000521581,1.000000,0.000654
us_000486655,1.000000,0.494886
us_000614555,1.000000,0.517978
pr_001044993,1.000000,0.533067
us_000610090,1.000000,0.533522
us_000549761,1.000000,0.546710
us_000489008,1.000000,0.552353
us_000610490,1.000000,0.557035
pr_001728896,1.000000,0.580598
us_000610057,1.000000,0.581074
us_000610898,1.000000,0.593292
us_000609884,1.000000,0.593292
us_000610595,1.000000,0.593292
us_000587601,1.000000,0.601155
us_000610009,1.000000,0.605641
us_000609722,1.000000,0.605641
us_000521231,1.000000,0.614870
us_000569351,1.000000,0.616540
us_000614185,1.000000,0.618294
us_000569426,1.000000,0.618890
us_000617846,1.000000,0.627969
us_000591263,1.000000,0.631124
us_000614118,1.000000,0.637218
us_000597433,1.000000,0.644280
us_000387901,1.000000,0.645360
us_000537204,1.000000,0.648864
pr_001127563,1.000000,0.655847
us_000569344,1.000000,0.659785
us_000593517,1.000000,0.661255
us_000617621,1.000000,0.662730
us_000469966,1.000000,0.665791
us_000546262,1.000000,0.665927
us_000546310,1.000000,0.666008
pr_000431145,1.000000,0.668849
us_000569354,1.000000,0.671048
us_000569349,1.000000,0.671498
us_000555819,1.000000,0.672175
us_000612028,1.000000,0.672765
pr_000695821,1.000000,0.988768
us_000526339,0.960569,0.000000
pr_001090852,0.960569,0.000000
pr_001089766,0.960569,0.000000
pr_001093340,0.960569,0.000000
pr_001101569,0.960569,0.000000
pr_001163443,0.960569,0.000000
pr_001044969,0.960569,0.000000
pr_001089654,0.960569,0.000000
us_000537656,0.960569,0.000005
us_000562622,0.960569,0.000015
us_000588417,0.960569,0.040497
us_000547353,0.960569,0.352725
us_000547382,0.960569,0.356198
us_000547268,0.960569,0.356206
us_000596300,0.960569,0.376098
us_000537900,0.960569,0.407986
us_000548143,0.960569,0.420413
us_000549240,0.960569,0.433359
us_000597539,0.960569,0.433936
us_000553272,0.960569,0.437351
us_000553273,0.960569,0.460625
us_000500927,0.960569,0.461768
us_000530134,0.960569,0.482984
pr_001129860,0.960569,0.487305
us_000460722,0.960569,0.487546
us_000500384,0.960569,0.489943
us_000463411,0.960569,0.849732
us_000215448,0.776750,0.159205
us_000551745,0.776750,0.190728
us_000501840,0.776750,0.196556
us_000534108,0.776750,0.198665
us_000517406,0.776750,0.201517
us_000602343,0.776750,0.204433
us_000500360,0.776750,0.205097
us_000524832,0.776750,0.205663
us_000484927,0.776750,0.209042
us_000539648,0.776750,0.210764
pr_000865846,0.776750,0.210901
pr_000652915,0.776750,0.212352
us_000227260,0.776750,0.215014
pr_001130356,0.776750,0.215224
us_000602342,0.776750,0.215653
us_000531021,0.776750,0.224388
us_000253881,0.776750,0.224531
us_000486084,0.776750,0.224604
pr_001093143,0.776750,0.224858
pr_001101604,0.776750,0.224858
us_000582626,0.776750,0.225204
pr_001129811,0.776750,0.226327
