Product ID : 2123 JPs covered : 422 : Litigation-Jurisdiction, 
OID,Confidence at Map Node,Error at Map Node
us_000565920,0.806011, 0.015294
us_000500084,0.806011, 0.016698
us_000576673,0.806011, 0.056938
us_000557743,0.806011, 0.083128
us_000497891,0.806011, 0.278648
us_000482475,0.806011, 0.280912
us_000499017,0.806011, 0.283396
us_000481487,0.806011, 0.286814
us_000043975,0.806011, 0.287040
us_000459227,0.806011, 0.288541
us_000474654,0.806011, 0.293979
us_000481343,0.806011, 0.294311
us_000509707,0.806011, 0.295821
us_000501455,0.806011, 0.296210
us_000514737,0.806011, 0.305123
us_000501293,0.806011, 0.344647
us_000448247,0.806011, 0.345325
us_000514643,0.806011, 0.493191
pr_001085096,0.132414, 0.000000
pr_001082627,0.132414, 0.000000
pr_001840236,0.132414, 0.000000
pr_001843240,0.132414, 0.000000
pr_001053399,0.132414, 0.000000
pr_000693542,0.132414, 0.000000
pr_001150853,0.132414, 0.000000
us_000492019,0.132414, 0.013213
us_000516063,0.132414, 0.075387
us_000499111,0.132414, 0.081864
us_000516455,0.132414, 0.086523
us_000499130,0.132414, 0.096915
us_000476562,0.132414, 0.098862
us_000474584,0.132414, 0.110373
us_000517583,0.132414, 0.120736
us_000499146,0.132414, 0.165751
us_000499233,0.132414, 0.165751
us_000499180,0.132414, 0.177540
us_000500955,0.132414, 0.179208
us_000528435,0.132414, 0.186385
us_000498241,0.132414, 0.188840
us_000521001,0.132414, 0.188840
us_000500104,0.132414, 0.190659
us_000494804,0.132414, 0.193692
us_000477241,0.132414, 0.194531
us_000499897,0.132414, 0.194710
us_000494725,0.132414, 0.198617
us_000499063,0.132414, 0.201221
us_000599466,0.132414, 0.202199
us_000615798,0.132414, 0.202855
us_000502415,0.132414, 0.204102
us_000512937,0.132414, 0.204431
us_000578595,0.132414, 0.205749
us_000498924,0.132414, 0.205982
us_000605557,0.132414, 0.205982
us_000495257,0.132414, 0.210254
us_000513102,0.132414, 0.217952
us_000498886,0.132414, 0.218800
us_000563444,0.132414, 0.222250
us_000498655,0.132414, 0.223581
us_000587910,0.132414, 0.224559
us_000486103,0.132414, 0.259180
us_000557723,0.132414, 0.260692
us_000501500,0.132414, 0.284014
us_000576632,0.132414, 0.303554
us_000507412,0.132414, 0.451495
us_000500050,0.132414, 0.526879
us_000498166,0.132414, 1.094483
us_000517197,0.099875, 0.000000
us_000484674,0.099875, 0.000000
us_000509099,0.099875, 0.000000
us_000529664,0.099875, 0.000000
us_000490185,0.099875, 0.000000
us_000495033,0.099875, 0.000000
us_000557999,0.099875, 0.000000
pr_000732802,0.099875, 0.000001
us_000523527,0.099875, 0.000111
us_000556057,0.099875, 0.000414
us_000494958,0.099875, 0.011658
us_000523213,0.099875, 0.015477
us_000543407,0.099875, 0.019765
us_000582352,0.099875, 0.019946
us_000569563,0.099875, 0.030195
us_000586699,0.099875, 0.032193
us_000528072,0.099875, 0.034527
us_000552250,0.099875, 0.040174
us_000520206,0.099875, 0.044217
us_000574119,0.099875, 0.069491
us_000522192,0.099875, 0.074672
us_000511158,0.099875, 0.081821
us_000489734,0.099875, 0.085353
us_000478612,0.099875, 0.092979
us_000490070,0.099875, 0.111891
us_000559865,0.099875, 0.128358
us_000567869,0.099875, 0.131500
us_000032710,0.099875, 0.134873
us_000464651,0.099875, 0.167195
