OID,Sq Dist to BMU, BMU Map Loc,Sq Dist to Nbr Map Node, Neighbor Node Map Loc,Sq Dist to Nbr Map Node, Neighbor Node Map Loc,Sq Dist to Nbr Map Node, Neighbor Node Map Loc,Sq Dist to Nbr Map Node, Neighbor Node Map Loc,Sq Dist to Nbr Map Node, Neighbor Node Map Loc,Sq Dist to Nbr Map Node, Neighbor Node Map Loc,Sq Dist to Nbr Map Node, Neighbor Node Map Loc,Sq Dist to Nbr Map Node, Neighbor Node Map Loc,
100,0.00001867,(39|3),0.00007911,(39|4),0.00007988,(40|3),0.00009924,(40|4),0.00469502,(38|4),0.41867974,(38|3),0.42419791,(39|2),0.82967496,(40|2),0.99353147,(38|2),
1000,0.00003412,(25|12),0.00007316,(25|13),0.00017261,(26|12),0.00039651,(25|11),0.00051629,(24|12),0.00619993,(26|11),0.01530622,(24|11),0.13505305,(26|13),0.23051453,(24|13),
1001,0.00049303,(29|22),0.02259300,(28|22),0.08367664,(29|23),0.08897725,(30|22),0.43983284,(29|21),0.87066615,(28|21),0.87593597,(30|21),0.97220987,(28|23),0.98015475,(30|23),
1002,0.00000028,(40|17),0.00001577,(40|18),0.00015712,(40|16),0.00059438,(39|17),0.00141211,(39|16),0.01129775,(39|18),0.01235037,(41|18),0.06257173,(41|17),0.81796223,(41|16),
1003,0.00000014,(35|8),0.00000034,(36|8),0.00000035,(34|9),0.00000504,(36|7),0.00004921,(35|9),0.00082885,(36|9),0.01387990,(34|8),0.44733784,(35|7),0.99626082,(34|7),
1004,0.00000015,(44|8),0.00000091,(44|7),0.00000204,(45|9),0.00000517,(45|8),0.00001219,(43|7),0.00003365,(44|9),0.00007451,(43|8),0.00021975,(45|7),0.00226161,(43|9),
1005,0.00001347,(17|25),0.00004203,(17|24),0.00046566,(17|26),0.00111599,(16|24),0.00297716,(16|25),0.00519207,(18|26),0.00618036,(18|25),0.01562272,(16|26),0.05147392,(18|24),
1006,0.00003294,(28|39),0.00005632,(29|40),0.00007667,(28|40),0.00011630,(29|39),0.00060114,(29|38),0.00140758,(28|38),0.00367237,(27|39),0.01457085,(27|40),0.13494815,(27|38),
1007,0.00001661,(33|16),0.00002273,(33|15),0.00110269,(32|15),0.02568050,(34|16),0.11534247,(32|16),0.42404398,(34|15),0.68795705,(33|17),0.99983704,(32|17),0.99998534,(34|17),
1008,0.00032557,(25|25),0.10862447,(26|25),0.17479455,(25|24),0.22235905,(26|26),0.22670920,(26|24),0.32495305,(25|26),0.56191635,(24|25),0.62702268,(24|24),0.93739432,(24|26),
1009,0.00003709,(12|27),0.00008016,(11|27),0.00033680,(13|27),0.00104138,(11|28),0.00212498,(12|26),0.00402233,(12|28),0.01001783,(13|28),0.01071764,(11|26),0.01732833,(13|26),
101,0.00000014,(35|8),0.00000034,(36|8),0.00000035,(34|9),0.00000504,(36|7),0.00004921,(35|9),0.00082885,(36|9),0.01387990,(34|8),0.44733784,(35|7),0.99626082,(34|7),
1010,0.00002972,(7|23),0.00015526,(6|23),0.00027397,(8|23),0.00106139,(7|24),0.00169879,(6|22),0.00301104,(8|24),0.00699772,(7|22),0.00938354,(6|24),0.01412869,(8|22),
1011,0.00000049,(33|22),0.00000298,(33|21),0.00031523,(34|21),0.20804411,(34|22),0.51977736,(32|22),0.57231361,(32|21),0.61663675,(33|23),0.99544686,(34|23),0.99679929,(32|23),
1013,0.00004044,(32|17),0.00034157,(33|17),0.01340113,(31|17),0.04950873,(32|18),0.06654823,(32|16),0.24883638,(33|18),0.87513721,(31|18),0.90223080,(33|16),0.99767023,(31|16),
1014,0.00003901,(17|21),0.00004476,(16|20),0.00099555,(16|21),0.00148034,(17|20),0.06058546,(17|22),0.14086628,(18|21),0.59736204,(18|20),0.85849118,(18|22),0.98720330,(16|22),
1015,0.00000733,(24|49),0.00001626,(24|0),0.00009736,(25|48),0.00012987,(25|49),0.00025378,(24|48),0.00114690,(23|0),0.00207814,(25|0),0.00488084,(23|49),0.05465630,(23|48),
1016,0.00001347,(17|25),0.00004203,(17|24),0.00046566,(17|26),0.00111599,(16|24),0.00297716,(16|25),0.00519207,(18|26),0.00618036,(18|25),0.01562272,(16|26),0.05147392,(18|24),
1017,0.17011836,(30|25),0.24695365,(30|24),0.41961145,(31|24),0.46398899,(31|25),0.67909271,(29|25),0.76115036,(30|26),0.78630883,(31|26),0.85184777,(29|24),0.90507382,(29|26),
1018,0.00023872,(34|7),0.07372826,(35|7),0.11850927,(33|7),0.19075514,(34|6),0.26592717,(33|8),0.28346324,(34|8),0.36611634,(33|6),0.87686145,(35|6),0.99845457,(35|8),
1019,0.00005160,(32|9),0.00021914,(32|8),0.00136782,(32|10),0.03491976,(33|9),0.18869577,(33|8),0.22585237,(31|9),0.42853475,(31|8),0.70270628,(31|10),0.98035049,(33|10),
102,0.00000240,(35|14),0.00000406,(36|14),0.00004784,(36|13),0.00007028,(35|15),0.00123785,(36|15),0.09846669,(35|13),0.69670486,(34|15),0.86348540,(34|14),1.00000000,(34|13),
1020,0.00009331,(29|24),0.08702360,(29|25),0.09617973,(28|24),0.29509875,(29|23),0.65653419,(30|24),0.93252707,(28|25),0.97003412,(28|23),0.97305024,(30|23),0.97548378,(30|25),
1021,0.00003709,(12|27),0.00008016,(11|27),0.00033680,(13|27),0.00104138,(11|28),0.00212498,(12|26),0.00402233,(12|28),0.01001783,(13|28),0.01071764,(11|26),0.01732833,(13|26),
1022,0.00000240,(35|14),0.00000406,(36|14),0.00004784,(36|13),0.00007028,(35|15),0.00123785,(36|15),0.09846669,(35|13),0.69670486,(34|15),0.86348540,(34|14),1.00000000,(34|13),
1023,0.00003901,(17|21),0.00004476,(16|20),0.00099555,(16|21),0.00148034,(17|20),0.06058546,(17|22),0.14086628,(18|21),0.59736204,(18|20),0.85849118,(18|22),0.98720330,(16|22),
1024,0.00003709,(12|27),0.00008016,(11|27),0.00033680,(13|27),0.00104138,(11|28),0.00212498,(12|26),0.00402233,(12|28),0.01001783,(13|28),0.01071764,(11|26),0.01732833,(13|26),
1025,0.00031686,(33|25),0.14993764,(33|26),0.28505421,(33|24),0.29038137,(34|24),0.40496466,(34|25),0.61311775,(32|25),0.73733360,(34|26),0.91895884,(32|24),1.00000000,(32|26),
1027,0.00013481,(41|12),0.00046348,(42|12),0.00643391,(41|13),0.01856842,(41|11),0.03522381,(42|11),0.04271857,(40|12),0.04571610,(40|13),0.05412513,(40|11),0.06106666,(42|13),
1028,0.00000049,(33|22),0.00000298,(33|21),0.00031523,(34|21),0.20804411,(34|22),0.51977736,(32|22),0.57231361,(32|21),0.61663675,(33|23),0.99544686,(34|23),0.99679929,(32|23),
1029,0.00049303,(29|22),0.02259300,(28|22),0.08367664,(29|23),0.08897725,(30|22),0.43983284,(29|21),0.87066615,(28|21),0.87593597,(30|21),0.97220987,(28|23),0.98015475,(30|23),
103,0.00000240,(35|14),0.00000406,(36|14),0.00004784,(36|13),0.00007028,(35|15),0.00123785,(36|15),0.09846669,(35|13),0.69670486,(34|15),0.86348540,(34|14),1.00000000,(34|13),
1030,0.00001661,(33|16),0.00002273,(33|15),0.00110269,(32|15),0.02568050,(34|16),0.11534247,(32|16),0.42404398,(34|15),0.68795705,(33|17),0.99983704,(32|17),0.99998534,(34|17),
1031,0.00001002,(28|48),0.00004013,(29|48),0.00005475,(27|47),0.00022150,(27|48),0.00033548,(28|47),0.00277157,(28|49),0.00776675,(29|47),0.01443186,(29|49),0.44067404,(27|49),
1032,0.00002972,(7|23),0.00015526,(6|23),0.00027397,(8|23),0.00106139,(7|24),0.00169879,(6|22),0.00301104,(8|24),0.00699772,(7|22),0.00938354,(6|24),0.01412869,(8|22),
1033,0.00004145,(27|21),0.00029951,(27|22),0.05930914,(28|21),0.11632395,(26|21),0.31941241,(26|22),0.38293490,(28|22),0.43750313,(26|20),0.46051034,(27|20),0.94675148,(28|20),
1034,0.00000091,(9|3),0.00002300,(9|4),0.00002384,(9|2),0.00004320,(8|2),0.00005997,(10|3),0.00019957,(10|4),0.00026939,(8|3),0.00101947,(10|2),0.00327525,(8|4),
1035,0.00000028,(40|17),0.00001577,(40|18),0.00015712,(40|16),0.00059438,(39|17),0.00141211,(39|16),0.01129775,(39|18),0.01235037,(41|18),0.06257173,(41|17),0.81796223,(41|16),
1036,0.00032557,(25|25),0.10862447,(26|25),0.17479455,(25|24),0.22235905,(26|26),0.22670920,(26|24),0.32495305,(25|26),0.56191635,(24|25),0.62702268,(24|24),0.93739432,(24|26),
1037,0.00000733,(24|49),0.00001626,(24|0),0.00009736,(25|48),0.00012987,(25|49),0.00025378,(24|48),0.00114690,(23|0),0.00207814,(25|0),0.00488084,(23|49),0.05465630,(23|48),
1038,0.00001113,(28|36),0.00002383,(29|36),0.00007916,(27|36),0.00289461,(28|37),0.00437357,(27|37),0.00585242,(29|35),0.01488852,(27|35),0.05117514,(29|37),0.09149984,(28|35),
1039,0.00000014,(35|8),0.00000034,(36|8),0.00000035,(34|9),0.00000504,(36|7),0.00004921,(35|9),0.00082885,(36|9),0.01387990,(34|8),0.44733784,(35|7),0.99626082,(34|7),
104,0.00000091,(9|3),0.00002300,(9|4),0.00002384,(9|2),0.00004320,(8|2),0.00005997,(10|3),0.00019957,(10|4),0.00026939,(8|3),0.00101947,(10|2),0.00327525,(8|4),
1040,0.00003412,(25|12),0.00007316,(25|13),0.00017261,(26|12),0.00039651,(25|11),0.00051629,(24|12),0.00619993,(26|11),0.01530622,(24|11),0.13505305,(26|13),0.23051453,(24|13),
1041,0.00000028,(35|18),0.00000036,(34|18),0.00000040,(35|17),0.00001603,(36|17),0.00002027,(34|17),0.09013478,(36|18),0.29310733,(34|19),0.91570938,(36|19),0.95238787,(35|19),
1042,0.00009331,(29|24),0.08702360,(29|25),0.09617973,(28|24),0.29509875,(29|23),0.65653419,(30|24),0.93252707,(28|25),0.97003412,(28|23),0.97305024,(30|23),0.97548378,(30|25),
1043,0.00008451,(18|18),0.00030094,(19|18),0.00264146,(18|19),0.00779050,(17|18),0.02043590,(17|17),0.03626524,(17|19),0.17622568,(18|17),0.47216505,(19|19),0.86221975,(19|17),
1044,0.00004044,(32|17),0.00034157,(33|17),0.01340113,(31|17),0.04950873,(32|18),0.06654823,(32|16),0.24883638,(33|18),0.87513721,(31|18),0.90223080,(33|16),0.99767023,(31|16),
1045,0.00004145,(27|21),0.00029951,(27|22),0.05930914,(28|21),0.11632395,(26|21),0.31941241,(26|22),0.38293490,(28|22),0.43750313,(26|20),0.46051034,(27|20),0.94675148,(28|20),
1046,0.00004751,(6|18),0.00006676,(5|18),0.00025423,(5|19),0.00106235,(5|17),0.00450706,(6|17),0.03252331,(6|19),0.80475640,(7|17),0.91810381,(7|18),1.00000000,(7|19),
1047,0.00012988,(29|5),0.00014266,(29|4),0.00069277,(30|5),0.00221387,(28|4),0.00412462,(30|4),0.06511039,(30|6),0.19620566,(29|6),0.29689816,(28|5),0.88143361,(28|6),
1048,0.00000018,(47|3),0.00000072,(47|2),0.00000245,(48|3),0.00000398,(48|4),0.00005474,(47|4),0.00017644,(48|2),0.00123532,(46|3),0.00165970,(46|2),0.00976845,(46|4),
1049,0.00036941,(25|33),0.00045786,(26|33),0.00129204,(25|34),0.00329255,(24|33),0.01076948,(26|34),0.28001764,(25|32),0.50832844,(26|32),0.67261153,(24|32),0.80679178,(24|34),
105,0.00001113,(28|36),0.00002383,(29|36),0.00007916,(27|36),0.00289461,(28|37),0.00437357,(27|37),0.00585242,(29|35),0.01488852,(27|35),0.05117514,(29|37),0.09149984,(28|35),
1050,0.00001661,(33|16),0.00002273,(33|15),0.00110269,(32|15),0.02568050,(34|16),0.11534247,(32|16),0.42404398,(34|15),0.68795705,(33|17),0.99983704,(32|17),0.99998534,(34|17),
1051,0.00001347,(17|25),0.00004203,(17|24),0.00046566,(17|26),0.00111599,(16|24),0.00297716,(16|25),0.00519207,(18|26),0.00618036,(18|25),0.01562272,(16|26),0.05147392,(18|24),
1052,0.00001002,(28|48),0.00004013,(29|48),0.00005475,(27|47),0.00022150,(27|48),0.00033548,(28|47),0.00277157,(28|49),0.00776675,(29|47),0.01443186,(29|49),0.44067404,(27|49),
1053,0.00000733,(24|49),0.00001626,(24|0),0.00009736,(25|48),0.00012987,(25|49),0.00025378,(24|48),0.00114690,(23|0),0.00207814,(25|0),0.00488084,(23|49),0.05465630,(23|48),
1054,0.00003709,(12|27),0.00008016,(11|27),0.00033680,(13|27),0.00104138,(11|28),0.00212498,(12|26),0.00402233,(12|28),0.01001783,(13|28),0.01071764,(11|26),0.01732833,(13|26),
1055,0.00049303,(29|22),0.02259300,(28|22),0.08367664,(29|23),0.08897725,(30|22),0.43983284,(29|21),0.87066615,(28|21),0.87593597,(30|21),0.97220987,(28|23),0.98015475,(30|23),
1056,0.00032557,(25|25),0.10862447,(26|25),0.17479455,(25|24),0.22235905,(26|26),0.22670920,(26|24),0.32495305,(25|26),0.56191635,(24|25),0.62702268,(24|24),0.93739432,(24|26),
1057,0.00000049,(33|22),0.00000298,(33|21),0.00031523,(34|21),0.20804411,(34|22),0.51977736,(32|22),0.57231361,(32|21),0.61663675,(33|23),0.99544686,(34|23),0.99679929,(32|23),
1058,0.00000240,(35|14),0.00000406,(36|14),0.00004784,(36|13),0.00007028,(35|15),0.00123785,(36|15),0.09846669,(35|13),0.69670486,(34|15),0.86348540,(34|14),1.00000000,(34|13),
1059,0.00000091,(9|3),0.00002300,(9|4),0.00002384,(9|2),0.00004320,(8|2),0.00005997,(10|3),0.00019957,(10|4),0.00026939,(8|3),0.00101947,(10|2),0.00327525,(8|4),
106,0.00001217,(31|22),0.00008682,(31|21),0.00080522,(30|21),0.00602622,(32|21),0.38882834,(30|22),0.39305386,(32|22),0.43142003,(31|23),0.98825169,(30|23),0.99767405,(32|23),
1060,0.00005160,(32|9),0.00021914,(32|8),0.00136782,(32|10),0.03491976,(33|9),0.18869577,(33|8),0.22585237,(31|9),0.42853475,(31|8),0.70270628,(31|10),0.98035049,(33|10),
1061,0.00000015,(44|8),0.00000091,(44|7),0.00000204,(45|9),0.00000517,(45|8),0.00001219,(43|7),0.00003365,(44|9),0.00007451,(43|8),0.00021975,(45|7),0.00226161,(43|9),
1062,0.00183238,(44|2),0.00914682,(44|1),0.01136095,(44|3),0.02186298,(43|3),0.03413667,(43|2),0.17058001,(45|2),0.20830910,(43|1),0.29833996,(45|1),0.40441123,(45|3),
1063,0.00002972,(7|23),0.00015526,(6|23),0.00027397,(8|23),0.00106139,(7|24),0.00169879,(6|22),0.00301104,(8|24),0.00699772,(7|22),0.00938354,(6|24),0.01412869,(8|22),
1064,0.00000733,(24|49),0.00001626,(24|0),0.00009736,(25|48),0.00012987,(25|49),0.00025378,(24|48),0.00114690,(23|0),0.00207814,(25|0),0.00488084,(23|49),0.05465630,(23|48),
1065,0.00031686,(33|25),0.14993764,(33|26),0.28505421,(33|24),0.29038137,(34|24),0.40496466,(34|25),0.61311775,(32|25),0.73733360,(34|26),0.91895884,(32|24),1.00000000,(32|26),
1066,0.00000028,(35|18),0.00000036,(34|18),0.00000040,(35|17),0.00001603,(36|17),0.00002027,(34|17),0.09013478,(36|18),0.29310733,(34|19),0.91570938,(36|19),0.95238787,(35|19),
1067,0.00000014,(35|8),0.00000034,(36|8),0.00000035,(34|9),0.00000504,(36|7),0.00004921,(35|9),0.00082885,(36|9),0.01387990,(34|8),0.44733784,(35|7),0.99626082,(34|7),
1068,0.00001347,(17|25),0.00004203,(17|24),0.00046566,(17|26),0.00111599,(16|24),0.00297716,(16|25),0.00519207,(18|26),0.00618036,(18|25),0.01562272,(16|26),0.05147392,(18|24),
1069,0.00003901,(17|21),0.00004476,(16|20),0.00099555,(16|21),0.00148034,(17|20),0.06058546,(17|22),0.14086628,(18|21),0.59736204,(18|20),0.85849118,(18|22),0.98720330,(16|22),
107,0.00000430,(14|3),0.00004263,(15|2),0.00007521,(14|2),0.00012045,(14|4),0.00023386,(15|3),0.00070294,(13|3),0.00151744,(13|4),0.00238924,(15|4),0.03420509,(13|2),
1070,0.00009331,(29|24),0.08702360,(29|25),0.09617973,(28|24),0.29509875,(29|23),0.65653419,(30|24),0.93252707,(28|25),0.97003412,(28|23),0.97305024,(30|23),0.97548378,(30|25),
1071,0.00003294,(28|39),0.00005632,(29|40),0.00007667,(28|40),0.00011630,(29|39),0.00060114,(29|38),0.00140758,(28|38),0.00367237,(27|39),0.01457085,(27|40),0.13494815,(27|38),
1072,0.00023872,(34|7),0.07372826,(35|7),0.11850927,(33|7),0.19075514,(34|6),0.26592717,(33|8),0.28346324,(34|8),0.36611634,(33|6),0.87686145,(35|6),0.99845457,(35|8),
1073,0.00003709,(12|27),0.00008016,(11|27),0.00033680,(13|27),0.00104138,(11|28),0.00212498,(12|26),0.00402233,(12|28),0.01001783,(13|28),0.01071764,(11|26),0.01732833,(13|26),
1075,0.00032557,(25|25),0.10862447,(26|25),0.17479455,(25|24),0.22235905,(26|26),0.22670920,(26|24),0.32495305,(25|26),0.56191635,(24|25),0.62702268,(24|24),0.93739432,(24|26),
1076,0.00000015,(44|8),0.00000091,(44|7),0.00000204,(45|9),0.00000517,(45|8),0.00001219,(43|7),0.00003365,(44|9),0.00007451,(43|8),0.00021975,(45|7),0.00226161,(43|9),
1077,0.00000049,(33|22),0.00000298,(33|21),0.00031523,(34|21),0.20804411,(34|22),0.51977736,(32|22),0.57231361,(32|21),0.61663675,(33|23),0.99544686,(34|23),0.99679929,(32|23),
1078,0.00004044,(32|17),0.00034157,(33|17),0.01340113,(31|17),0.04950873,(32|18),0.06654823,(32|16),0.24883638,(33|18),0.87513721,(31|18),0.90223080,(33|16),0.99767023,(31|16),
1079,0.00004145,(27|21),0.00029951,(27|22),0.05930914,(28|21),0.11632395,(26|21),0.31941241,(26|22),0.38293490,(28|22),0.43750313,(26|20),0.46051034,(27|20),0.94675148,(28|20),
