Product ID : 2102 # of JPs covered : 1 : 63 : Law Firm Management, 
OID,Confidence at Map Node,Error at Map Node
pr_000934501,1.000000, 0.573534
pr_000959147,1.000000, 0.573534
pr_000837467,1.000000, 0.573534
pr_000933866,1.000000, 0.573534
pr_000818127,1.000000, 0.573534
pr_000783086,1.000000, 0.573534
pr_000781313,1.000000, 0.573534
pr_000925556,1.000000, 0.573534
pr_000956878,1.000000, 0.573534
pr_000749764,1.000000, 0.573534
pr_000824983,1.000000, 0.573534
pr_001145754,1.000000, 0.573534
pr_000946134,1.000000, 0.573534
pr_000952221,1.000000, 0.573534
pr_000890632,1.000000, 0.573534
pr_000958661,1.000000, 0.573534
pr_000939550,1.000000, 0.573534
pr_000657334,1.000000, 0.573534
pr_000791378,1.000000, 0.573534
pr_000938061,1.000000, 0.573534
pr_000965083,1.000000, 0.573534
pr_001842408,1.000000, 0.573534
pr_000777758,1.000000, 0.573534
pr_000965515,1.000000, 0.573534
pr_001053608,1.000000, 0.573534
pr_001055234,1.000000, 0.573534
pr_001007347,1.000000, 0.573534
pr_000950369,1.000000, 0.573534
pr_000941629,1.000000, 0.573534
pr_000956343,1.000000, 0.573534
pr_000833963,1.000000, 0.573534
pr_000817051,1.000000, 0.573534
pr_000948737,1.000000, 0.573534
pr_000955442,1.000000, 0.573534
pr_000951205,1.000000, 0.573534
pr_000784938,1.000000, 0.573534
pr_000943539,1.000000, 0.573534
pr_000825408,1.000000, 0.573534
pr_000848452,1.000000, 0.573534
pr_000955987,1.000000, 0.573534
pr_000928723,1.000000, 0.573534
pr_000925224,1.000000, 0.573534
pr_000773900,1.000000, 0.573534
pr_000964097,1.000000, 0.573534
pr_000921883,1.000000, 0.573534
pr_000946342,1.000000, 0.573534
pr_000703132,1.000000, 0.573534
pr_000962494,1.000000, 0.573534
pr_000842987,1.000000, 0.573534
pr_000927115,1.000000, 0.573534
pr_000955602,1.000000, 0.573534
pr_000692887,1.000000, 0.573534
pr_000810817,1.000000, 0.573534
pr_000958215,1.000000, 0.573534
pr_001054120,1.000000, 0.573534
pr_000939983,1.000000, 0.573534
pr_000945970,1.000000, 0.573534
pr_000789707,1.000000, 0.573534
pr_000956596,1.000000, 0.573534
pr_000956603,1.000000, 0.573534
pr_000931009,1.000000, 0.573534
pr_000884182,1.000000, 0.573534
pr_000945075,1.000000, 0.573534
pr_000725758,1.000000, 0.573534
pr_000947382,1.000000, 0.573534
