Product ID : 2082 JPs covered : 371 : Construction Insurance Risk Mitigation, 
pr_001074235,0.274109, 0.000001
us_000578718,0.274109, 0.000001
us_000588796,0.274109, 0.000001
pr_002050329,0.274109, 0.000002
pr_001941778,0.274109, 0.000003
us_000614295,0.274109, 0.000009
pr_001995580,0.274109, 0.000013
us_000540413,0.274109, 0.000020
pr_001588650,0.274109, 0.000021
pr_002037213,0.274109, 0.000023
pr_000596975,0.274109, 0.000023
pr_000852338,0.274109, 0.000024
pr_001883748,0.274109, 0.000027
pr_001775807,0.274109, 0.000027
pr_001787761,0.274109, 0.000047
pr_001802094,0.274109, 0.000117
pr_002121984,0.274109, 0.000238
pr_001781591,0.274109, 0.000286
pr_000875226,0.274109, 0.000385
us_000578304,0.274109, 0.000403
pr_002234532,0.274109, 0.000473
pr_002144504,0.274109, 0.000508
us_000602337,0.274109, 0.000820
us_000329327,0.274109, 0.001315
us_000588311,0.274109, 0.003156
us_000525227,0.274109, 0.005128
us_000475785,0.274109, 0.005432
us_000614006,0.274109, 0.009097
us_000512851,0.274109, 0.023228
us_000479443,0.274109, 1.084473
us_000496453,0.274109, 1.117491
us_000485379,0.274109, 1.323360
pr_000912272,0.221452, 0.000002
pr_000711509,0.221452, 0.000007
pr_000440559,0.221452, 0.000012
pr_000945378,0.221452, 0.000075
pr_001607486,0.221452, 0.000078
pr_000654239,0.221452, 0.000107
pr_000166903,0.221452, 0.000143
pr_000760696,0.221452, 0.000172
pr_000593138,0.221452, 0.000185
pr_001008688,0.221452, 0.000403
pr_000881373,0.221452, 0.000657
pr_000342940,0.221452, 0.000968
pr_000832708,0.221452, 0.001015
us_000539566,0.221452, 0.064580
us_000460600,0.221452, 0.138544
us_000134522,0.221452, 1.490238
us_000507485,0.221452, 1.528897
us_000502162,0.221452, 1.550932
us_000482927,0.221452, 1.559324
us_000499239,0.221452, 1.572751
us_000524923,0.221452, 1.578474
us_000467090,0.221452, 1.601409
us_000478339,0.221452, 1.630360
us_000479299,0.221452, 1.641977
us_000577530,0.221452, 1.670956
us_000533858,0.221452, 1.672335
us_000502721,0.221452, 1.672340
us_000502739,0.221452, 1.688129
us_000567432,0.221452, 1.702528
us_000078055,0.221452, 1.705939
us_000550560,0.221452, 1.712140
us_000533890,0.221452, 1.714172
us_000502751,0.221452, 1.717929
us_000479241,0.221452, 1.725140
us_000470442,0.221452, 1.728571
us_000539572,0.221452, 1.730913
us_000513094,0.221452, 1.731189
us_000479310,0.221452, 1.733218
us_000557363,0.221452, 1.736023
us_000497464,0.221452, 1.737771
us_000470397,0.221452, 1.750297
us_000540714,0.221452, 1.752908
us_000540719,0.221452, 1.760050
us_000567251,0.221452, 1.760951
us_000465616,0.221452, 1.763820
us_000467810,0.221452, 1.767071
us_000500425,0.221452, 1.768265
us_000543344,0.221452, 1.768740
us_000543381,0.221452, 1.773966
us_000559087,0.221452, 1.774633
us_000559107,0.221452, 1.782304
us_000481785,0.221452, 1.785395
us_000533790,0.221452, 1.788451
us_000502748,0.221452, 1.792059
us_000567433,0.221452, 1.801706
us_000481816,0.221452, 1.806408
us_000479290,0.221452, 1.820306
us_000481768,0.221452, 1.821709
us_000524131,0.221452, 1.833839
us_000545232,0.221452, 1.835868
us_000544221,0.221452, 1.835868
us_000543148,0.221452, 1.835868
us_000543203,0.221452, 1.837075
us_000496256,0.221452, 1.841502
us_000462053,0.221452, 1.842888
us_000540656,0.221452, 1.843415
us_000484106,0.221452, 1.852209
us_000518090,0.221452, 1.853470
us_000534651,0.221452, 1.853470
us_000535665,0.221452, 1.864635
us_000540521,0.221452, 1.870611
us_000497653,0.221452, 1.884521
us_000579263,0.221452, 1.890392
us_000502766,0.221452, 1.893194
us_000478900,0.221452, 1.985958
us_000501659,0.221452, 2.129650
us_000603156,0.168027, 0.000000
us_000565566,0.168027, 0.000000
us_000542255,0.168027, 0.000000
us_000562671,0.168027, 0.000000
us_000529708,0.168027, 0.000000
us_000562670,0.168027, 0.000000
us_000569767,0.168027, 0.000000
us_000463080,0.168027, 0.000004
pr_002054777,0.168027, 0.000020
pr_001600235,0.168027, 0.000022
pr_000758954,0.168027, 0.000035
pr_001017725,0.168027, 0.000035
pr_000745644,0.168027, 0.000035
pr_000898352,0.168027, 0.000035
pr_000879860,0.168027, 0.000103
pr_000909790,0.168027, 0.000129
pr_001814048,0.168027, 0.000159
pr_001016663,0.168027, 0.000421
pr_001120228,0.168027, 0.000466
us_000583818,0.168027, 0.000595
pr_001740691,0.168027, 0.001424
us_000567550,0.168027, 0.073960
