Product ID : 2084 JPs covered : 292 : Healthcare Compliance, 
OID,Confidence at Map Node,Error at Map Node
us_000473389,0.455295, 0.160124
us_000548014,0.455295, 0.162762
us_000486940,0.455295, 0.163654
us_000489730,0.455295, 0.164118
us_000492596,0.455295, 0.164592
us_000548007,0.455295, 0.173474
us_000498750,0.455295, 0.175733
us_000485922,0.455295, 0.176657
us_000540058,0.455295, 0.179826
us_000479156,0.455295, 0.182862
us_000476104,0.455295, 0.185260
us_000522368,0.455295, 0.188679
us_000493455,0.455295, 0.190296
us_000510847,0.455295, 0.191146
us_000573665,0.455295, 0.191182
us_000476934,0.455295, 0.192429
us_000476976,0.455295, 0.192739
us_000476137,0.455295, 0.193670
us_000495197,0.455295, 0.194289
us_000480494,0.455295, 0.194327
us_000510627,0.455295, 0.197166
us_000497630,0.455295, 0.197870
us_000480507,0.455295, 0.198848
us_000475167,0.455295, 0.199324
us_000473763,0.455295, 0.202113
us_000128360,0.455295, 0.203595
us_000584786,0.455295, 0.204678
us_000522393,0.455295, 0.204834
us_000504581,0.455295, 0.207816
us_000137738,0.455295, 0.208283
us_000510948,0.455295, 0.208513
us_000556759,0.455295, 0.210496
us_000480036,0.455295, 0.211136
us_000584788,0.455295, 0.212913
us_000481391,0.455295, 0.213066
us_000485386,0.455295, 0.213311
us_000193324,0.455295, 0.214196
us_000500680,0.455295, 0.217122
us_000238908,0.455295, 0.219176
us_000558497,0.455295, 0.219540
us_000515655,0.455295, 0.220008
us_000497694,0.455295, 0.221812
us_000555021,0.455295, 0.222268
us_000573160,0.455295, 0.222760
us_000522676,0.455295, 0.223881
us_000524595,0.455295, 0.224205
us_000585718,0.455295, 0.225471
us_000497454,0.455295, 0.226115
us_000137414,0.455295, 0.226534
us_000487721,0.455295, 0.226670
us_000487136,0.455295, 0.227038
us_000489357,0.455295, 0.227811
us_000509742,0.455295, 0.228094
us_000518081,0.455295, 0.228406
us_000495598,0.455295, 0.228471
us_000524317,0.455295, 0.228526
us_000471873,0.455295, 0.228588
us_000471883,0.455295, 0.228588
us_000542261,0.455295, 0.229292
us_000471441,0.455295, 0.229709
us_000481329,0.455295, 0.229881
us_000527375,0.455295, 0.230287
us_000538333,0.455295, 0.230565
us_000532089,0.455295, 0.231038
us_000509744,0.455295, 0.231038
us_000509705,0.455295, 0.231373
