Product ID : 215 # of JPs covered : 1 : 97 : Healthcare, 
OID,Confidence at Map Node,Error at Map Node
pr_001043013,0.619327, 0.000000
pr_001043664,0.619327, 0.000000
pr_001050969,0.619327, 0.000000
pr_001142033,0.619327, 0.000000
pr_001130384,0.619327, 0.000000
pr_001142258,0.619327, 0.000000
us_000477017,0.619327, 0.000000
us_000542215,0.619327, 0.000000
us_000557485,0.619327, 0.000000
us_000547320,0.619327, 0.000000
us_000512033,0.619327, 0.000000
us_000501714,0.619327, 0.000000
us_000504287,0.619327, 0.000000
us_000522783,0.619327, 0.000000
us_000501443,0.619327, 0.000000
us_000544168,0.619327, 0.000000
us_000516619,0.619327, 0.000010
us_000492140,0.619327, 0.000028
pr_000562971,0.619327, 0.000260
us_000565859,0.619327, 0.085089
us_000536155,0.619327, 0.243197
us_000542022,0.619327, 0.245949
us_000564912,0.619327, 0.270213
us_000576879,0.619327, 0.272325
us_000575820,0.619327, 0.288344
us_000570241,0.619327, 0.298946
us_000461421,0.619327, 0.306265
us_000594963,0.619327, 0.324337
us_000524959,0.619327, 0.325651
us_000468818,0.619327, 0.327323
us_000576889,0.619327, 0.329983
us_000537347,0.619327, 0.330400
us_000592996,0.619327, 0.330656
us_000601078,0.619327, 0.331220
us_000471831,0.619327, 0.332987
us_000574045,0.619327, 0.338320
us_000465885,0.619327, 0.343736
us_000486399,0.619327, 0.345479
us_000554633,0.619327, 0.346208
us_000550067,0.619327, 0.346366
us_000470205,0.619327, 0.348649
us_000475433,0.619327, 0.350837
us_000523590,0.619327, 0.351811
us_000508350,0.619327, 0.353527
us_000558384,0.619327, 0.356185
us_000469054,0.619327, 0.357831
us_000491115,0.619327, 0.358907
us_000513726,0.619327, 0.358950
us_000464920,0.619327, 0.359280
us_000580557,0.619327, 0.360778
us_000460545,0.619327, 0.365761
us_000481457,0.619327, 0.366514
us_000513687,0.619327, 0.367123
us_000538203,0.619327, 0.368376
us_000474405,0.619327, 0.369367
us_000473983,0.619327, 0.370414
us_000599037,0.619327, 0.370414
us_000461467,0.619327, 0.370980
us_000487242,0.619327, 0.372922
us_000475558,0.619327, 0.373741
us_000460960,0.619327, 0.374607
us_000553557,0.619327, 0.376380
us_000471973,0.619327, 0.377502
us_000562019,0.619327, 0.378066
us_000230885,0.619327, 0.378870
us_000471781,0.619327, 0.379043
us_000463173,0.619327, 0.379043
us_000265718,0.619327, 0.380661
us_000556341,0.619327, 0.382401
us_000550022,0.619327, 0.384362
us_000508599,0.619327, 0.387407
us_000542673,0.619327, 0.394890
us_000474754,0.619327, 0.402871
us_000483490,0.619327, 0.402953
us_000463980,0.619327, 0.403167
pr_000593322,0.619327, 0.404568
pr_001409427,0.619327, 0.405805
pr_000593388,0.619327, 0.406475
pr_000593725,0.619327, 0.407628
pr_000593356,0.619327, 0.407628
us_000465304,0.619327, 0.424720
us_000453530,0.619327, 0.432099
us_000555259,0.619327, 0.481491
us_000585223,0.619327, 0.543296
us_000463866,0.619327, 0.664917
us_000522436,0.619327, 0.761280
us_000581931,0.602856, 0.693885
us_000598249,0.602856, 0.696549
us_000567950,0.602856, 0.698947
us_000557110,0.602856, 0.719661
us_000575771,0.602856, 0.758566
us_000599231,0.602856, 0.789548
us_000571495,0.602856, 0.827392
us_000576103,0.602856, 0.884912
pr_001078942,0.537767, 0.000000
us_000193384,0.537767, 0.610326
us_000465797,0.537767, 0.708112
us_000500003,0.537767, 0.772235
us_000493064,0.537767, 0.805068
us_000472888,0.537767, 0.888778
us_000464729,0.537767, 0.895302
us_000459190,0.537767, 0.902215
us_000476288,0.537767, 0.926899
us_000189413,0.537767, 0.929924
us_000461346,0.537767, 0.933223
us_000572972,0.537767, 0.941307
us_000492537,0.537767, 0.952516
us_000461871,0.537767, 0.977649
us_000464819,0.537767, 0.995150
us_000477146,0.537767, 0.999052
us_000523524,0.537767, 1.018222
us_000484464,0.537767, 1.029445
us_000541806,0.537767, 1.039172
us_000504827,0.537767, 1.069418
us_000532718,0.537767, 1.082482
us_000472329,0.537767, 1.083835
us_000468283,0.537767, 1.093570
us_000482132,0.537767, 1.101347
us_000190568,0.537767, 1.103018
us_000338386,0.537767, 1.123557
us_000472341,0.537767, 1.127786
us_000480109,0.537767, 1.147320
us_000494129,0.537767, 1.163563
us_000504849,0.537767, 1.163684
us_000512322,0.537767, 1.167659
us_000462740,0.537767, 1.172765
us_000459144,0.537767, 1.174649
us_000518717,0.537767, 1.177071
us_000340053,0.537767, 1.177263
us_000552043,0.537767, 1.178638
us_000476157,0.537767, 1.185177
us_000471603,0.537767, 1.189428
us_000468305,0.537767, 1.191335
us_000119941,0.537767, 1.200858
us_000471427,0.537767, 1.209651
us_000532776,0.537767, 1.215853
us_000481613,0.537767, 1.222075
us_000498013,0.537767, 1.223376
us_000470026,0.537767, 1.225285
us_000533704,0.537767, 1.229175
us_000504735,0.537767, 1.230548
us_000459562,0.537767, 1.243109
us_000530012,0.537767, 1.271838
us_000486432,0.537767, 1.274984
us_000513010,0.537767, 1.292641
us_000501336,0.537767, 1.537526
us_000545456,0.537767, 2.352232
us_000572661,0.516729, 0.331147
us_000509436,0.516729, 0.406055
us_000575013,0.516729, 0.447002
us_000132394,0.516729, 0.509217
us_000518266,0.516729, 0.513199
us_000520311,0.516729, 0.513927
us_000543766,0.516729, 0.634793
us_000589115,0.516729, 0.669878
us_000599067,0.516729, 0.677639
us_000599069,0.516729, 0.687598
us_000481798,0.516729, 0.689798
us_000565359,0.516729, 0.690333
us_000565424,0.516729, 0.704837
us_000572485,0.516729, 0.707623
us_000582737,0.516729, 0.713403
us_000589560,0.516729, 0.714244
us_000590069,0.516729, 0.714244
us_000591326,0.516729, 0.714244
us_000554414,0.516729, 0.903902
us_000277360,0.516729, 0.912403
us_000487241,0.516729, 0.913296
us_000525064,0.516729, 0.917045
us_000536209,0.516729, 0.920739
us_000586005,0.516729, 0.922492
us_000575677,0.516729, 0.923872
us_000581475,0.516729, 0.927598
us_000585522,0.516729, 0.931898
us_000544178,0.516729, 0.932110
us_000586730,0.516729, 0.938893
