Feature Weight Segment using Normalized (across all features per example) examples for ftr idx : 138 corresponding to JP :374
ftrVal,count,BMU Map Loc
0.9605005,1.0,(20|23)
0.7486405,1.0,(20|22)
0.6412760,1.0,(19|23)
0.5416935,1.0,(15|39)
0.3751596,1.0,(10|39)
0.3612677,1.0,(14|39)
0.3158105,1.0,(15|40)
0.2478059,1.0,(10|21)
0.2192429,1.0,(9|39)
0.2107760,1.0,(10|17)
0.2092620,1.0,(10|40)
0.2056256,1.0,(10|20)
0.1877626,1.0,(11|39)
0.1712822,1.0,(9|38)
0.1512867,1.0,(20|24)
0.1314167,1.0,(2|8)
0.1254059,1.0,(11|17)
0.1226977,1.0,(9|34)
0.1213773,1.0,(10|28)
0.1211567,1.0,(16|39)
0.1195846,1.0,(3|35)
0.1156028,1.0,(16|37)
0.1147415,1.0,(10|16)
0.1140444,1.0,(21|23)
0.1112591,1.0,(15|38)
0.09632096,1.0,(8|38)
0.09551664,1.0,(5|44)
0.09550998,1.0,(5|43)
0.09102538,1.0,(22|1)
0.08924962,1.0,(16|42)
0.08787975,1.0,(20|6)
0.08742411,1.0,(9|21)
0.08707542,1.0,(8|18)
0.08331387,1.0,(6|38)
0.08177616,1.0,(11|40)
0.08166334,1.0,(2|34)
0.08160760,1.0,(2|9)
0.08157969,1.0,(7|18)
0.07990842,1.0,(14|40)
0.07682434,1.0,(10|38)
0.07420157,1.0,(2|35)
0.07263351,1.0,(10|43)
0.07244850,1.0,(4|43)
0.06955747,1.0,(1|34)
0.06915284,1.0,(6|43)
0.06868666,1.0,(9|17)
0.06841829,1.0,(13|32)
0.06838869,1.0,(9|20)
0.06763547,1.0,(17|4)
0.06736863,1.0,(16|36)
0.06734528,1.0,(5|42)
0.06661878,1.0,(11|21)
0.06395546,1.0,(19|2)
0.06360191,1.0,(44|26)
0.06260335,1.0,(6|39)
0.06182879,1.0,(14|35)
0.06092359,1.0,(17|37)
0.06053855,1.0,(9|44)
0.06001255,1.0,(8|19)
0.05964781,1.0,(17|42)
0.05864185,1.0,(9|37)
0.05471876,1.0,(10|22)
0.05354485,1.0,(9|25)
0.05265141,1.0,(13|33)
0.05194175,1.0,(7|38)
0.05194123,1.0,(10|18)
0.05142944,1.0,(18|27)
0.05118638,1.0,(9|43)
0.04797192,1.0,(8|17)
0.04659177,1.0,(11|38)
0.04636268,1.0,(9|33)
0.04520687,1.0,(5|38)
0.04519106,1.0,(17|29)
0.04501257,1.0,(7|19)
0.04441315,1.0,(9|19)
0.04411454,1.0,(9|28)
0.04319327,1.0,(17|41)
0.04218553,1.0,(12|33)
0.04130953,1.0,(6|41)
0.04122060,1.0,(12|37)
0.04075337,1.0,(6|42)
0.04072056,1.0,(14|14)
0.04025356,1.0,(4|11)
0.04007628,1.0,(8|39)
0.03992154,1.0,(21|6)
0.03956551,1.0,(9|35)
0.03954803,1.0,(4|41)
0.03922017,1.0,(12|17)
0.03913582,1.0,(3|36)
0.03876772,1.0,(8|44)
0.03872878,1.0,(8|43)
0.03843420,1.0,(12|16)
0.03825697,1.0,(16|41)
0.03767796,1.0,(6|33)
0.03760784,1.0,(9|42)
0.03742613,1.0,(18|37)
0.03712729,1.0,(5|11)
0.03710191,1.0,(10|34)
0.03697897,1.0,(13|28)
0.03657821,1.0,(10|42)
0.03568894,1.0,(9|40)
0.03541043,1.0,(3|34)
