Product ID : 7842 # of JPs covered : 1 : 435 : Tax Prep-Pass-Through-Planning, 
OID,Confidence at Map Node,Error at Map Node
us_000591381,0.936166,0.000105
us_000551888,0.936166,0.000315
us_000613800,0.936166,0.000842
us_000561505,0.936166,0.373713
us_000530913,0.936166,0.400895
us_000561504,0.936166,0.401079
us_000615195,0.936166,0.405343
us_000614470,0.936166,0.405399
us_000568377,0.936166,0.408280
us_000559545,0.936166,0.412276
us_000614307,0.936166,0.424626
us_000571630,0.931470,0.000000
pr_000013187,0.931470,0.000000
us_000579046,0.931470,0.000001
us_000496137,0.931470,0.000002
us_000492792,0.931470,0.014417
us_000503455,0.931470,0.100997
us_000612097,0.931470,0.167946
us_000621318,0.931470,0.173935
us_000585603,0.931470,0.189931
us_000612346,0.931470,0.209697
us_000594805,0.931470,0.244985
us_000594954,0.931470,0.254622
us_000561960,0.931470,0.301870
us_000579942,0.931470,0.318014
us_000579840,0.931470,0.351050
us_000561829,0.931470,0.353528
us_000580616,0.931470,0.375140
pr_001122537,0.931470,0.386186
us_000571551,0.931470,0.388518
us_000532035,0.931470,0.395344
us_000509652,0.931470,0.400167
us_000556923,0.931470,0.402029
us_000562658,0.931470,0.416803
us_000548784,0.931470,0.457170
us_000532606,0.931470,0.534890
us_000558701,0.925028,0.000000
us_000536483,0.925028,0.000000
us_000613501,0.925028,0.319351
us_000563372,0.925028,0.331754
us_000587649,0.925028,0.334804
us_000530837,0.925028,0.355421
us_000521477,0.925028,0.371134
us_000587579,0.925028,0.398547
us_000603754,0.925028,0.399214
us_000571600,0.925028,0.404884
us_000601466,0.925028,0.411860
us_000604749,0.925028,0.416984
us_000580645,0.925028,0.423032
us_000600266,0.925028,0.424498
us_000606083,0.925028,0.428463
us_000603506,0.925028,0.429255
us_000603919,0.925028,0.429321
us_000600946,0.925028,0.435401
us_000601687,0.925028,0.440273
us_000597302,0.925028,0.441403
us_000583543,0.925028,0.444256
us_000583754,0.925028,0.445686
us_000604157,0.925028,0.447027
us_000604630,0.925028,0.450439
us_000603627,0.925028,0.450852
us_000461461,0.925028,0.459148
us_000603573,0.925028,0.460468
us_000465617,0.925028,0.462753
us_000602036,0.925028,0.468961
us_000604921,0.925028,0.469129
us_000537766,0.925028,0.489202
us_000617233,0.925028,0.495219
us_000525266,0.925028,0.496895
us_000557246,0.925028,0.498675
us_000571531,0.925028,0.501305
us_000604935,0.925028,0.501499
us_000611748,0.925028,0.536416
us_000513999,0.925028,0.568843
us_000600396,0.925028,0.587141
us_000596882,0.925028,0.644211
us_000494177,0.925028,0.766447
us_000604626,0.925028,1.073992
us_000597981,0.925028,1.230062
us_000561948,0.884397,0.218748
us_000581416,0.884397,0.246393
us_000580238,0.884397,0.253117
us_000508552,0.884397,0.261840
us_000580151,0.884397,0.265612
us_000573711,0.884397,0.266047
us_000613715,0.884397,0.266073
us_000622579,0.884397,0.266524
us_000621549,0.884397,0.270235
us_000561344,0.884397,0.272863
us_000612864,0.884397,0.273562
us_000612966,0.884397,0.278759
us_000539121,0.884397,0.281308
us_000621375,0.884397,0.282170
us_000621956,0.884397,0.282790
us_000622087,0.884397,0.283019
us_000610922,0.884397,0.283134
us_000573399,0.884397,0.288909
us_000613746,0.884397,0.292243
us_000573551,0.884397,0.292723
us_000617561,0.884397,0.301056
us_000593720,0.884397,0.301369
us_000573293,0.884397,0.303312
us_000589859,0.884397,0.305850
us_000614465,0.884397,0.306288
us_000542787,0.884397,0.307135
us_000476592,0.884397,0.308020
us_000542786,0.884397,0.312277
us_000573648,0.884397,0.316023
us_000589854,0.884397,0.318623
us_000571589,0.884397,0.321514
us_000588411,0.884397,0.322789
us_000593086,0.884397,0.323929
us_000619304,0.884397,0.331132
us_000614361,0.884397,0.331799
us_000619078,0.884397,0.332216
us_000595317,0.884397,0.332401
us_000615186,0.884397,0.333163
us_000619002,0.884397,0.333964
us_000471217,0.884397,0.334926
us_000618677,0.884397,0.335850
us_000538291,0.884397,0.336938
us_000587662,0.884397,0.337456
us_000530888,0.884397,0.340539
us_000577788,0.884397,0.341031
us_000554723,0.884397,0.341551
us_000476625,0.884397,0.347407
us_000529817,0.884397,0.351578
us_000537751,0.884397,0.358570
us_000586302,0.884397,0.417552
us_000618620,0.884397,0.510729
us_000613934,0.884397,0.582800
us_000604104,0.884397,0.732421
us_000566810,0.884397,0.810489
us_000567738,0.884397,0.914931
us_000507435,0.879216,0.000015
pr_001277843,0.879216,0.000093
us_000506210,0.879216,0.000853
pr_001312329,0.879216,0.004250
pr_001204146,0.879216,0.009792
pr_001374843,0.879216,0.009792
pr_001308445,0.879216,0.012196
pr_001198974,0.879216,0.013255
pr_001210265,0.879216,0.014846
us_000574652,0.879216,0.021156
pr_001213061,0.879216,0.021371
pr_001207638,0.879216,0.023634
pr_001313472,0.879216,0.024253
pr_001321167,0.879216,0.024467
pr_001210423,0.879216,0.035158
us_000555827,0.879216,0.038882
us_000553215,0.879216,0.045586
us_000515415,0.879216,0.066779
us_000513189,0.879216,0.240513
us_000581652,0.879216,0.242109
us_000614543,0.879216,0.261954
us_000614789,0.879216,0.266169
us_000539120,0.879216,0.266805
us_000621448,0.879216,0.268828
us_000621439,0.879216,0.268839
us_000614643,0.879216,0.274690
us_000621399,0.879216,0.283875
us_000589862,0.879216,0.285456
us_000573494,0.879216,0.288030
us_000614545,0.879216,0.290286
us_000588802,0.879216,0.290969
us_000573631,0.879216,0.291709
us_000560420,0.879216,0.292070
us_000618836,0.879216,0.297664
us_000615400,0.879216,0.300994
us_000619252,0.879216,0.302225
us_000571552,0.879216,0.309961
us_000622697,0.879216,0.311151
us_000606893,0.879216,0.312651
us_000483043,0.879216,0.323060
us_000604135,0.879216,0.327612
us_000598264,0.879216,0.330503
us_000604612,0.879216,0.345938
us_000617282,0.879216,0.547032
us_000514081,0.879216,0.768950
us_000622457,0.879216,0.870361
us_000613901,0.879216,0.922187
us_000574217,0.875995,0.000000
us_000529820,0.875995,0.000000
us_000529917,0.875995,0.000000
pr_001287428,0.875995,0.000000
us_000546019,0.875995,0.000002
pr_001271216,0.875995,0.000003
pr_001342910,0.875995,0.000003
pr_001209935,0.875995,0.000003
pr_001260272,0.875995,0.000003
pr_001199690,0.875995,0.000003
pr_001363382,0.875995,0.000003
pr_001318315,0.875995,0.000003
pr_001326654,0.875995,0.000003
us_000585423,0.875995,0.000006
us_000529352,0.875995,0.000023
us_000592492,0.875995,0.000026
us_000528416,0.875995,0.000088
us_000528385,0.875995,0.000089
us_000592051,0.875995,0.000118
pr_001269633,0.875995,0.000827
us_000505970,0.875995,0.001279
pr_001255787,0.875995,0.001519
us_000510014,0.875995,0.003408
pr_001234551,0.875995,0.003504
us_000531624,0.875995,0.003733
us_000511459,0.875995,0.004009
us_000574031,0.875995,0.004409
us_000510000,0.875995,0.017579
us_000514532,0.875995,0.017961
us_000562415,0.875995,0.018765
pr_001342061,0.875995,0.019387
us_000570531,0.875995,0.022923
us_000573282,0.875995,0.321830
us_000621328,0.875995,0.336143
us_000612932,0.875995,0.361991
us_000617185,0.875995,0.389263
