Product ID : 2093 JPs covered : 122 : Municipal Law/Eminent Domain, 
OID,Confidence at Map Node,Error at Map Node
us_000513203,0.913895, 1.710556
us_000514026,0.913895, 1.710556
us_000492305,0.913895, 1.712411
us_000587694,0.913895, 1.717875
us_000471325,0.913895, 1.720641
us_000496238,0.913895, 1.730238
us_000603040,0.913895, 1.730571
us_000582747,0.913895, 1.745340
us_000597143,0.913895, 1.768119
us_000581019,0.913895, 1.773733
us_000593775,0.913895, 1.779618
us_000592313,0.913895, 1.783228
us_000592332,0.913895, 1.786999
us_000560929,0.913895, 1.787004
us_000595140,0.913895, 1.796588
us_000584590,0.913895, 1.796588
us_000592316,0.913895, 1.796588
us_000602077,0.913895, 1.796588
us_000503296,0.913895, 1.806277
us_000581911,0.913895, 1.810092
us_000483140,0.913895, 1.810092
us_000564695,0.913895, 1.810092
us_000604679,0.913895, 1.810119
us_000485035,0.913895, 1.815012
us_000577890,0.913895, 1.818788
us_000596730,0.913895, 1.818788
us_000568923,0.913895, 1.818788
us_000567493,0.913895, 1.818788
us_000597108,0.913895, 1.818788
us_000552758,0.913895, 1.818788
us_000596281,0.913895, 1.818788
us_000568876,0.913895, 1.818788
us_000508930,0.913895, 1.831706
us_000581701,0.913895, 1.841697
us_000528131,0.913895, 1.845183
us_000584499,0.913895, 1.855327
us_000615120,0.913895, 1.856372
us_000588333,0.913895, 1.856372
us_000582815,0.913895, 1.869274
us_000592331,0.913895, 1.869274
us_000584921,0.913895, 1.871609
us_000582704,0.913895, 1.871609
us_000581452,0.913895, 1.871609
us_000584851,0.913895, 1.871609
us_000582706,0.913895, 1.871609
us_000589482,0.913895, 1.871609
us_000582672,0.913895, 1.871609
us_000582674,0.913895, 1.871609
us_000581255,0.913895, 1.871609
us_000589296,0.913895, 1.871609
us_000599032,0.913895, 1.875054
us_000598434,0.913895, 1.875054
us_000610846,0.913895, 1.875054
us_000599024,0.913895, 1.875054
us_000611039,0.913895, 1.875054
us_000582669,0.913895, 1.878665
us_000582114,0.913895, 1.881099
us_000610597,0.913895, 1.882441
us_000583565,0.913895, 1.882441
us_000598474,0.913895, 1.884544
us_000615995,0.913895, 1.884544
us_000615010,0.913895, 1.884544
us_000616426,0.913895, 1.884544
us_000578062,0.913895, 1.884544
us_000579285,0.913895, 1.885856
us_000507798,0.913895, 1.887655
us_000614829,0.913895, 1.888155
us_000585341,0.913895, 1.888155
us_000585342,0.913895, 1.888155
us_000592330,0.913895, 1.891931
us_000582255,0.913895, 1.891931
us_000592327,0.913895, 1.891931
us_000592326,0.913895, 1.891931
us_000592333,0.913895, 1.891931
us_000511033,0.913895, 1.894133
us_000486312,0.913895, 1.895204
us_000587325,0.913895, 1.897096
us_000598578,0.913895, 1.897744
us_000598577,0.913895, 1.897744
us_000580981,0.913895, 1.897744
us_000615309,0.913895, 1.897744
us_000610027,0.913895, 1.897744
us_000604385,0.913895, 1.897744
us_000591589,0.913895, 1.897744
us_000492048,0.913895, 1.897744
us_000580992,0.913895, 1.897744
