Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 123 | Patents (jp:123,idx:39)
Class Probability,Ex Count at BMU,BMU Map Loc
0.05468750,7.0,(23|7)
0.05243446,14.0,(27|4)
0.05217391,6.0,(27|49)
0.05167173,17.0,(23|12)
0.05084746,3.0,(3|6)
0.05084746,3.0,(4|6)
0.04878049,2.0,(13|34)
0.04790419,8.0,(23|9)
0.04761905,5.0,(28|44)
0.04651163,18.0,(26|4)
0.04651163,2.0,(27|46)
0.04545455,3.0,(16|7)
0.04545455,8.0,(25|5)
0.04517454,22.0,(28|6)
0.04494382,8.0,(31|10)
0.04347826,1.0,(15|41)
0.04285714,24.0,(0|26)
0.04142012,7.0,(2|2)
0.04066736,39.0,(29|42)
0.04022989,7.0,(26|5)
0.03983657,39.0,(29|37)
0.03964758,9.0,(15|34)
0.03835616,14.0,(27|36)
0.03783784,7.0,(26|45)
0.03752759,17.0,(0|35)
0.03750000,3.0,(0|28)
0.03720930,16.0,(19|5)
0.03703704,3.0,(4|37)
0.03703704,2.0,(5|5)
0.03703704,2.0,(6|6)
0.03703704,3.0,(22|5)
0.03658536,3.0,(28|39)
0.03655352,14.0,(24|6)
0.03636364,2.0,(0|29)
0.03587444,8.0,(22|10)
0.03587444,8.0,(24|9)
0.03571429,3.0,(21|11)
0.03550296,6.0,(9|41)
0.03478261,4.0,(10|32)
0.03448276,3.0,(20|14)
0.03418804,4.0,(0|14)
0.03389831,4.0,(24|1)
0.03389831,2.0,(27|5)
0.03317536,7.0,(23|8)
0.03278688,12.0,(23|6)
0.03252032,4.0,(1|16)
0.03206997,11.0,(14|36)
0.03200000,4.0,(27|7)
0.03174603,2.0,(3|13)
0.03125000,2.0,(12|34)
0.03125000,8.0,(26|37)
0.03125000,1.0,(32|47)
0.03125000,1.0,(49|34)
0.03097345,7.0,(15|35)
0.03030303,1.0,(5|48)
0.03030303,2.0,(30|9)
0.02962963,20.0,(29|39)
0.02941176,4.0,(21|7)
0.02912621,6.0,(1|10)
0.02912621,6.0,(2|10)
0.02816901,2.0,(3|44)
0.02727273,3.0,(5|17)
0.02702703,2.0,(49|25)
0.02678571,6.0,(22|12)
0.02649007,4.0,(23|48)
0.02631579,1.0,(2|1)
0.02631579,13.0,(10|34)
0.02631579,2.0,(14|17)
0.02631579,2.0,(33|41)
0.02617801,5.0,(4|13)
0.02586207,3.0,(30|42)
0.02487562,5.0,(17|22)
0.02439024,1.0,(19|33)
0.02439024,1.0,(35|33)
0.02415459,5.0,(18|3)
0.02409638,2.0,(3|5)
0.02409638,4.0,(26|47)
0.02380952,1.0,(29|44)
0.02366864,4.0,(15|5)
0.02362205,3.0,(26|6)
0.02320675,11.0,(32|41)
0.02272727,4.0,(28|3)
0.02249489,11.0,(22|8)
0.02247191,2.0,(29|8)
0.02222222,1.0,(13|12)
0.02183406,5.0,(25|8)
0.02127660,5.0,(3|11)
0.02127660,2.0,(49|26)
0.02105263,2.0,(1|17)
0.02105263,2.0,(2|16)
0.02068966,3.0,(14|33)
0.01986755,3.0,(49|8)
0.01960784,4.0,(22|11)
0.01951220,4.0,(9|9)
0.01937984,5.0,(16|40)
0.01935484,3.0,(13|5)
0.01931034,14.0,(27|0)
0.01886792,1.0,(17|39)
0.01886792,2.0,(24|48)
0.01886792,2.0,(25|48)
0.01851852,4.0,(26|7)
0.01829268,3.0,(22|9)
0.01818182,2.0,(0|34)
0.01796407,3.0,(24|7)
0.01785714,2.0,(4|47)
0.01785714,2.0,(4|48)
0.01777778,4.0,(15|36)
0.01754386,1.0,(13|13)
0.01754386,1.0,(15|17)
0.01754386,2.0,(31|41)
0.01754386,1.0,(32|4)
0.01754386,1.0,(33|3)
0.01666667,2.0,(3|34)
0.01639344,1.0,(16|22)
0.01639344,1.0,(18|14)
0.01626016,8.0,(27|37)
0.01612903,2.0,(1|15)
0.01587302,1.0,(1|12)
0.01587302,1.0,(2|11)
0.01587302,1.0,(2|13)
0.01587302,1.0,(3|12)
0.01582278,5.0,(20|47)
0.01562500,1.0,(8|25)
0.01562500,2.0,(27|48)
0.01526718,2.0,(15|20)
0.01515152,3.0,(19|11)
0.01515152,3.0,(20|11)
0.01500000,3.0,(17|24)
0.01470588,2.0,(22|44)
0.01423488,12.0,(28|38)
0.01375516,10.0,(26|41)
0.01369863,1.0,(16|39)
0.01351351,4.0,(19|22)
0.01351351,1.0,(32|49)
0.01339286,3.0,(6|30)
0.01333333,3.0,(21|5)
0.01333333,3.0,(22|6)
0.01329787,5.0,(31|2)
0.01315789,1.0,(22|4)
0.01315789,4.0,(27|24)
0.01307190,2.0,(18|23)
0.01282051,3.0,(43|3)
0.01277955,4.0,(48|6)
0.01273885,2.0,(24|38)
0.01219512,1.0,(0|36)
0.01162791,1.0,(4|11)
0.01162791,1.0,(4|12)
0.01149425,5.0,(25|37)
0.01142857,2.0,(3|18)
0.01104972,2.0,(10|27)
0.01098901,1.0,(9|28)
0.01086957,2.0,(5|6)
0.01075269,1.0,(10|5)
0.01075269,1.0,(22|36)
