Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 250 | Energy-Finance (jp:250,idx:99)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5543860,158.0,(17|21)
0.5000000,1.0,(17|23)
0.4465517,259.0,(18|22)
0.2222222,12.0,(18|21)
0.1393035,28.0,(17|22)
0.1147541,7.0,(16|22)
0.1102362,14.0,(19|21)
0.07142857,1.0,(47|27)
0.02364865,7.0,(19|22)
0.01574803,2.0,(48|26)
0.007692308,2.0,(2|28)
0.006211180,2.0,(25|0)
0.004796163,2.0,(21|16)
0.002816901,1.0,(0|30)
0.002205072,2.0,(29|47)
0.002202643,1.0,(18|15)
0.001785714,1.0,(0|26)
0.001545595,1.0,(15|19)
0.001379310,1.0,(27|0)
0.0009242144,1.0,(15|40)
