Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 216 | Accounting-Non-Profit (jp:216,idx:65)
Class Probability,Ex Count at BMU,BMU Map Loc
0.03015075,6.0,(39|2)
0.02997275,11.0,(37|23)
0.02962963,4.0,(41|10)
0.02941176,1.0,(18|33)
0.02941176,2.0,(33|19)
0.02906977,5.0,(42|35)
0.02904564,7.0,(42|14)
0.02875399,9.0,(42|29)
0.02848101,9.0,(42|16)
0.02834008,14.0,(42|32)
0.02816901,2.0,(29|30)
0.02816901,2.0,(42|42)
0.02768166,8.0,(39|23)
0.02768166,8.0,(43|36)
0.02752294,6.0,(38|18)
0.02739726,4.0,(39|10)
0.02666667,2.0,(45|19)
0.02666667,6.0,(46|25)
0.02661597,7.0,(40|16)
0.02631579,2.0,(43|27)
0.02622951,8.0,(34|23)
0.02580645,4.0,(47|0)
0.02551020,5.0,(34|20)
0.02521008,6.0,(48|20)
0.02500000,4.0,(34|22)
0.02500000,4.0,(35|1)
0.02500000,6.0,(38|12)
0.02487562,5.0,(44|7)
0.02429150,6.0,(41|22)
0.02409638,8.0,(40|6)
0.02403846,5.0,(43|8)
0.02400000,3.0,(38|27)
0.02392345,5.0,(46|13)
0.02380952,2.0,(41|40)
0.02380952,3.0,(44|11)
0.02358491,5.0,(41|13)
0.02356902,7.0,(36|12)
0.02352941,2.0,(49|14)
0.02339181,4.0,(47|26)
0.02325581,3.0,(41|16)
0.02325581,1.0,(41|33)
0.02325581,3.0,(42|9)
0.02325581,1.0,(42|33)
0.02325581,1.0,(43|32)
0.02310231,7.0,(48|24)
0.02304148,5.0,(32|24)
0.02290076,6.0,(45|23)
0.02285714,4.0,(41|20)
0.02247191,4.0,(46|1)
0.02205882,3.0,(45|32)
0.02197802,2.0,(45|22)
0.02185792,4.0,(44|16)
0.02173913,1.0,(12|3)
0.02173913,6.0,(42|8)
0.02164502,5.0,(38|2)
0.02162162,4.0,(36|5)
0.02158273,3.0,(41|31)
0.02158273,3.0,(43|39)
0.02155172,5.0,(35|49)
0.02118644,5.0,(39|19)
0.02105263,2.0,(43|44)
0.02061856,2.0,(33|17)
