Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 477 | Patent-Prosecution-International (jp:477,idx:305)
Class Probability,Ex Count at BMU,BMU Map Loc
0.2186589,75.0,(31|16)
0.2178571,61.0,(29|16)
0.1626984,41.0,(30|16)
0.08421053,16.0,(29|14)
0.07653061,15.0,(29|15)
0.05813954,10.0,(28|16)
0.05479452,12.0,(30|15)
0.05054152,14.0,(28|14)
0.04166667,4.0,(28|13)
0.03333334,2.0,(27|11)
0.03097345,7.0,(28|15)
0.02884615,3.0,(31|15)
0.02247191,6.0,(28|12)
0.02020202,2.0,(25|9)
0.02000000,1.0,(21|12)
0.01219512,1.0,(26|11)
0.01149425,2.0,(29|49)
0.01145038,3.0,(27|12)
0.01092896,2.0,(29|12)
0.009615385,1.0,(24|49)
0.009433962,1.0,(20|9)
0.008620690,1.0,(27|14)
0.008547009,2.0,(30|14)
0.007905139,4.0,(25|12)
0.007407407,1.0,(2|43)
0.007407407,1.0,(2|44)
0.007352941,1.0,(2|8)
0.006849315,1.0,(29|48)
0.006578947,2.0,(27|24)
0.006329114,1.0,(33|10)
0.006172840,1.0,(25|13)
0.005917160,1.0,(9|41)
0.005681818,1.0,(31|12)
0.005540166,2.0,(1|11)
0.005405406,1.0,(24|8)
0.005305040,2.0,(24|11)
0.005235602,1.0,(4|13)
0.005208333,1.0,(28|10)
0.004889976,2.0,(26|12)
0.004545454,1.0,(26|10)
0.004484305,1.0,(22|10)
0.004484305,1.0,(24|9)
0.004424779,1.0,(29|13)
0.003649635,1.0,(24|16)
0.003436426,1.0,(14|34)
0.003194888,1.0,(48|6)
0.003115265,1.0,(23|13)
0.002949852,1.0,(27|15)
0.002808989,1.0,(25|10)
0.002717391,1.0,(2|12)
0.002631579,1.0,(1|13)
0.002604167,1.0,(24|15)
0.002105263,1.0,(11|37)
0.002044990,1.0,(22|8)
0.002020202,1.0,(5|45)
0.001788909,1.0,(14|35)
