Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 328 | Banking Lit-Instruments (jp:328,idx:175)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5955056,212.0,(22|32)
0.3333333,2.0,(48|29)
0.1860465,8.0,(46|6)
0.1538462,2.0,(23|32)
0.03125000,2.0,(11|16)
0.02439024,1.0,(9|15)
0.01923077,1.0,(13|45)
0.01470588,1.0,(17|14)
0.01162791,1.0,(21|10)
0.009852217,4.0,(19|12)
0.009852217,4.0,(20|12)
0.008928572,2.0,(16|15)
0.004264392,2.0,(22|13)
0.004149378,2.0,(21|33)
0.002906977,1.0,(22|0)
0.002702703,1.0,(21|3)
0.002652520,1.0,(22|3)
0.002304147,1.0,(22|27)
0.002087683,1.0,(5|43)
0.001945525,1.0,(0|42)
0.001792115,1.0,(11|20)
0.001075269,1.0,(14|5)
