Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 190 | Accounting-Valuation Services (jp:190,idx:52)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5399610,277.0,(41|48)
0.4032258,75.0,(41|49)
0.3732877,109.0,(40|48)
0.2222222,2.0,(41|47)
0.1294118,11.0,(41|0)
0.1282051,25.0,(42|49)
0.08333334,8.0,(42|48)
0.05263158,3.0,(43|4)
0.05084746,6.0,(43|49)
0.03954802,7.0,(40|49)
0.03358209,9.0,(42|5)
0.03167421,7.0,(45|7)
0.02325581,1.0,(42|0)
0.02105263,2.0,(43|44)
0.01694915,2.0,(40|47)
0.01574803,2.0,(44|5)
0.01538462,2.0,(47|2)
0.01307190,2.0,(36|4)
0.01234568,1.0,(39|48)
0.01005025,2.0,(39|2)
0.009615385,1.0,(45|2)
0.008547009,2.0,(43|3)
0.007812500,1.0,(27|48)
0.007299270,1.0,(38|11)
0.006711409,1.0,(45|13)
0.006211180,1.0,(30|20)
0.005747126,1.0,(26|5)
0.005128205,1.0,(28|18)
0.005128205,1.0,(29|17)
0.004975124,1.0,(47|1)
0.004149378,1.0,(15|22)
0.003472222,1.0,(42|3)
0.003021148,1.0,(34|17)
0.002873563,1.0,(32|18)
