Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 329 | Bankruptcy-Asset-Sales (jp:329,idx:176)
Class Probability,Ex Count at BMU,BMU Map Loc
0.7584270,135.0,(13|15)
0.3333333,32.0,(12|15)
0.2121212,7.0,(13|16)
0.1707317,14.0,(12|16)
0.1423077,37.0,(13|14)
0.06250000,4.0,(11|16)
0.06250000,1.0,(12|17)
0.05673759,8.0,(11|15)
0.03773585,2.0,(11|14)
0.03389831,2.0,(13|17)
0.02912621,3.0,(6|15)
0.02857143,2.0,(12|14)
0.02777778,1.0,(14|14)
0.02631579,1.0,(0|11)
0.02439024,1.0,(9|15)
0.01960784,5.0,(6|13)
0.01250000,1.0,(11|13)
0.009090909,1.0,(4|36)
0.008474576,1.0,(47|6)
0.005555556,2.0,(8|23)
0.005128205,1.0,(12|20)
0.005037783,2.0,(13|22)
0.004926108,1.0,(6|4)
0.004926108,1.0,(48|7)
0.004385965,1.0,(1|26)
0.003875969,1.0,(12|25)
0.003436426,1.0,(5|27)
0.003412969,1.0,(44|44)
