Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 335 | Tax Prep-Pass-Through (jp:335,idx:182)
Class Probability,Ex Count at BMU,BMU Map Loc
0.8620102,506.0,(38|32)
0.3653136,99.0,(39|32)
0.3234201,87.0,(37|32)
0.1038961,8.0,(38|31)
0.07246377,5.0,(40|31)
0.07228915,6.0,(40|32)
0.07142857,1.0,(38|33)
0.04347826,2.0,(39|31)
0.02010050,4.0,(39|2)
0.01970443,4.0,(40|30)
0.01587302,2.0,(46|21)
0.01470588,2.0,(31|21)
0.01470588,1.0,(33|19)
0.01342282,2.0,(45|13)
0.01320132,4.0,(48|24)
0.01224490,3.0,(45|24)
0.01209677,3.0,(43|15)
0.01162791,2.0,(35|3)
0.01052632,2.0,(38|3)
0.01052632,2.0,(41|6)
0.01048218,5.0,(48|44)
0.009036144,3.0,(40|6)
0.009009009,2.0,(48|13)
0.008658009,2.0,(38|2)
0.008620690,1.0,(41|41)
0.007936508,1.0,(45|25)
0.007936508,1.0,(49|23)
0.007874016,1.0,(44|5)
0.007518797,1.0,(37|31)
0.007462686,2.0,(42|5)
0.007434944,2.0,(37|20)
0.006896552,1.0,(45|26)
0.004651163,1.0,(42|17)
0.004524887,1.0,(14|31)
0.004149378,1.0,(42|14)
0.004132231,1.0,(35|9)
0.003898636,2.0,(41|48)
0.003891051,2.0,(0|42)
0.003773585,1.0,(40|23)
0.003773585,1.0,(40|41)
0.003759399,1.0,(43|24)
0.003745318,1.0,(45|16)
0.003472222,1.0,(42|3)
0.003401360,1.0,(41|46)
0.003257329,1.0,(39|18)
0.003058104,1.0,(38|8)
0.002994012,1.0,(34|11)
0.002994012,1.0,(35|11)
0.002873563,1.0,(39|17)
0.002702703,1.0,(42|30)
0.002141328,1.0,(12|28)
0.001593626,2.0,(40|5)
