Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 401 | RP Finance-Tax (jp:401,idx:236)
Class Probability,Ex Count at BMU,BMU Map Loc
0.04761905,3.0,(4|23)
0.04705882,4.0,(8|18)
0.04666667,7.0,(45|18)
0.04629629,5.0,(4|25)
0.04545455,1.0,(7|29)
0.04545455,6.0,(22|23)
0.04545455,6.0,(23|23)
0.04545455,2.0,(43|43)
0.04545455,12.0,(47|14)
0.04477612,12.0,(3|15)
0.04411765,9.0,(10|17)
0.04385965,10.0,(1|26)
0.04379562,6.0,(27|20)
0.04347826,1.0,(44|0)
0.04301075,4.0,(48|34)
0.04285714,6.0,(5|26)
0.04255319,2.0,(1|31)
0.04255319,4.0,(47|9)
0.04225352,9.0,(19|24)
0.04166667,1.0,(18|28)
0.04166667,2.0,(46|43)
0.04142012,7.0,(41|9)
0.04106280,17.0,(9|18)
0.04065040,5.0,(1|16)
0.04059041,11.0,(2|19)
0.04000000,1.0,(3|27)
0.04000000,5.0,(8|14)
0.04000000,1.0,(26|27)
0.03917051,17.0,(22|27)
0.03896104,3.0,(14|12)
0.03896104,3.0,(21|25)
0.03846154,5.0,(1|18)
0.03846154,8.0,(47|34)
0.03827751,8.0,(1|19)
0.03821656,6.0,(5|23)
0.03773585,2.0,(10|20)
0.03773585,2.0,(42|39)
0.03750000,3.0,(43|38)
0.03726708,6.0,(19|23)
0.03703704,3.0,(9|12)
0.03703704,5.0,(12|32)
0.03703704,5.0,(36|37)
0.03693182,13.0,(49|16)
0.03636364,2.0,(30|17)
0.03636364,2.0,(31|17)
0.03600000,9.0,(3|16)
0.03571429,3.0,(1|24)
0.03571429,5.0,(2|17)
0.03571429,12.0,(7|19)
0.03571429,1.0,(10|31)
0.03571429,1.0,(18|24)
0.03553300,7.0,(6|27)
0.03508772,2.0,(13|13)
0.03508772,4.0,(22|24)
0.03496503,5.0,(0|43)
0.03478261,4.0,(10|32)
0.03448276,4.0,(20|24)
0.03448276,3.0,(29|23)
0.03448276,1.0,(33|1)
0.03431373,7.0,(16|31)
0.03424658,5.0,(14|10)
0.03389831,2.0,(3|6)
0.03389831,2.0,(4|6)
0.03370786,3.0,(48|11)
0.03370786,3.0,(49|13)
0.03333334,3.0,(11|30)
0.03333334,3.0,(24|24)
0.03314917,6.0,(10|27)
0.03313253,11.0,(40|6)
0.03305785,4.0,(4|26)
0.03305785,12.0,(21|28)
0.03296703,3.0,(13|11)
0.03296703,3.0,(49|41)
0.03252032,4.0,(43|33)
0.03246753,20.0,(49|11)
0.03225806,4.0,(16|17)
0.03225806,5.0,(40|43)
0.03174603,2.0,(23|24)
0.03157895,6.0,(46|14)
0.03144654,5.0,(3|23)
0.03144654,5.0,(18|25)
0.03125000,2.0,(12|48)
0.03125000,4.0,(27|48)
0.03125000,4.0,(38|7)
0.03125000,4.0,(39|20)
0.03100775,4.0,(6|8)
0.03092784,6.0,(39|40)
0.03076923,4.0,(1|42)
0.03076923,8.0,(2|28)
0.03076923,8.0,(22|25)
0.03071672,9.0,(44|44)
0.03067485,5.0,(4|16)
0.03030303,2.0,(2|25)
0.03030303,2.0,(6|26)
0.03000000,6.0,(17|24)
