Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 421 | Litigation-Damages (jp:421,idx:254)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5625000,126.0,(21|45)
0.4182306,156.0,(21|46)
0.2368421,9.0,(22|46)
0.2142857,3.0,(20|45)
0.1576355,32.0,(48|7)
0.1276596,6.0,(22|14)
0.1250000,4.0,(22|45)
0.1041667,5.0,(21|44)
0.02439024,2.0,(19|2)
0.02325581,2.0,(16|9)
0.01986755,3.0,(23|48)
0.01639344,1.0,(18|14)
0.01612903,2.0,(1|15)
0.01492537,3.0,(0|5)
0.01428571,1.0,(12|14)
0.01408451,1.0,(20|3)
0.009803922,1.0,(19|10)
0.009803922,1.0,(20|10)
0.009569378,2.0,(6|10)
0.009345794,1.0,(3|49)
0.009174312,1.0,(22|19)
0.009009009,1.0,(9|32)
0.008928572,1.0,(22|1)
0.008849557,1.0,(8|48)
0.008620690,1.0,(8|47)
0.008474576,1.0,(7|45)
0.008474576,1.0,(24|1)
0.008474576,2.0,(30|13)
0.008264462,1.0,(0|3)
0.007936508,1.0,(11|18)
0.007905139,4.0,(25|12)
0.007812500,1.0,(1|6)
0.007352941,1.0,(21|7)
0.007142857,1.0,(22|48)
0.006993007,1.0,(1|7)
0.006993007,1.0,(49|7)
0.006802721,1.0,(48|28)
0.006666667,3.0,(20|0)
0.006622517,1.0,(18|45)
0.006578947,1.0,(14|19)
0.006410256,1.0,(8|1)
0.005319149,1.0,(32|10)
0.005102041,1.0,(16|26)
0.005050505,1.0,(19|11)
0.005050505,1.0,(20|11)
0.004975124,1.0,(17|22)
0.004694836,1.0,(25|47)
0.004672897,1.0,(23|25)
0.004566210,1.0,(2|4)
0.004273504,1.0,(21|13)
0.003236246,1.0,(26|22)
0.002932551,1.0,(14|42)
0.002770083,1.0,(1|11)
0.002298851,1.0,(25|37)
0.002004008,1.0,(14|32)
0.001785714,1.0,(0|26)
