Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 285 | Bankruptcy Consumer (jp:285,idx:134)
Class Probability,Ex Count at BMU,BMU Map Loc
0.6240310,161.0,(12|25)
0.3043478,14.0,(12|26)
0.01041667,1.0,(12|15)
0.008474576,1.0,(47|6)
0.007407407,1.0,(21|2)
0.007380074,2.0,(11|32)
0.007092198,1.0,(11|15)
0.005714286,1.0,(11|22)
0.005649718,1.0,(47|42)
0.005025126,1.0,(7|10)
0.004975124,1.0,(0|5)
0.003846154,1.0,(13|14)
0.003724395,2.0,(46|38)
0.003571429,1.0,(28|48)
0.003496503,1.0,(15|6)
0.002702703,1.0,(21|3)
0.002652520,1.0,(22|3)
0.002096436,1.0,(48|44)
