Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 400 | RP Fin-Restructuring (jp:400,idx:235)
Class Probability,Ex Count at BMU,BMU Map Loc
0.4671053,71.0,(8|22)
0.4250000,153.0,(8|23)
0.3043478,7.0,(9|24)
0.1935484,6.0,(9|23)
0.1346154,7.0,(7|23)
0.07142857,8.0,(8|24)
0.04000000,1.0,(9|22)
0.03846154,1.0,(13|10)
0.02777778,1.0,(14|14)
0.02439024,1.0,(9|15)
0.01801802,2.0,(9|14)
0.01639344,2.0,(9|16)
0.01612903,2.0,(1|15)
0.01339286,3.0,(16|15)
0.01298701,1.0,(14|12)
0.01250000,1.0,(11|13)
0.01111111,2.0,(4|20)
0.009389671,2.0,(19|24)
0.007722008,2.0,(14|49)
0.007692308,2.0,(22|25)
0.006993007,1.0,(1|7)
0.006993007,1.0,(49|7)
0.005747126,1.0,(3|3)
0.005434783,1.0,(5|6)
0.005376344,1.0,(23|31)
0.003584229,2.0,(11|20)
0.003424658,1.0,(15|26)
0.002881844,1.0,(11|8)
0.002808989,1.0,(22|32)
0.002074689,1.0,(21|33)
0.002024292,1.0,(10|34)
