Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 130 | Securities (jp:130,idx:42)
Class Probability,Ex Count at BMU,BMU Map Loc
0.009756098,2.0,(15|7)
0.009708738,3.0,(26|22)
0.009584664,3.0,(48|6)
0.009259259,1.0,(11|47)
0.009174312,1.0,(21|27)
0.009090909,1.0,(0|7)
0.009090909,1.0,(4|36)
0.009090909,1.0,(5|17)
0.009090909,2.0,(6|18)
0.009049774,2.0,(7|9)
0.008928572,2.0,(16|15)
0.008928572,2.0,(24|37)
0.008849557,2.0,(7|17)
0.008658009,2.0,(1|9)
0.008658009,2.0,(2|9)
0.008571428,3.0,(39|41)
0.008474576,1.0,(24|1)
0.008474576,1.0,(47|6)
0.008403362,1.0,(8|16)
0.008403362,1.0,(15|32)
0.008097166,4.0,(10|34)
0.008032128,2.0,(5|18)
0.007936508,1.0,(2|45)
0.007936508,1.0,(11|18)
0.007751938,1.0,(6|8)
0.007751938,2.0,(16|40)
0.007633588,1.0,(15|20)
0.007575758,1.0,(4|33)
0.007518797,5.0,(35|44)
0.007462686,3.0,(15|37)
0.007407407,4.0,(17|32)
0.007380074,2.0,(11|32)
0.007326007,2.0,(13|38)
0.007299270,1.0,(38|11)
0.007246377,1.0,(14|23)
0.007220217,4.0,(29|34)
0.007142857,2.0,(29|16)
0.007132668,5.0,(21|30)
0.007092198,2.0,(17|25)
0.007042253,1.0,(8|5)
0.007017544,2.0,(12|11)
0.006976744,3.0,(19|5)
0.006896552,5.0,(27|0)
0.006896552,2.0,(31|46)
0.006849315,3.0,(13|31)
0.006849315,1.0,(14|10)
0.006849315,1.0,(23|26)
0.006849315,1.0,(29|48)
0.006802721,1.0,(15|21)
0.006666667,1.0,(16|13)
0.006578947,1.0,(14|19)
0.006493506,1.0,(47|32)
0.006451613,1.0,(8|12)
0.006396588,3.0,(22|13)
0.006269592,2.0,(1|35)
0.006250000,1.0,(35|10)
0.006240250,4.0,(20|35)
0.006211180,1.0,(19|23)
0.006172840,1.0,(8|10)
0.005964215,3.0,(21|34)
0.005952381,2.0,(7|19)
0.005917160,1.0,(9|41)
0.005847953,1.0,(8|29)
0.005797102,2.0,(48|18)
0.005780347,1.0,(44|37)
0.005681818,1.0,(0|0)
0.005565863,3.0,(38|41)
0.005524862,1.0,(6|20)
0.005524862,1.0,(49|27)
0.005509642,2.0,(21|28)
0.005479452,2.0,(9|42)
0.005434783,1.0,(5|6)
0.005420054,2.0,(40|44)
0.005405406,1.0,(3|46)
0.005405406,1.0,(26|45)
0.005376344,1.0,(6|34)
0.005235602,1.0,(4|13)
0.005208333,1.0,(28|10)
0.005128205,1.0,(9|8)
0.005076142,1.0,(6|27)
0.005076142,2.0,(16|35)
0.005025126,1.0,(7|10)
0.005000000,1.0,(17|24)
0.004975124,1.0,(0|5)
0.004921260,5.0,(17|19)
0.004878049,1.0,(9|9)
0.004807692,1.0,(47|34)
0.004784689,1.0,(37|34)
0.004784689,2.0,(43|42)
0.004746835,3.0,(28|5)
0.004739337,2.0,(35|34)
0.004716981,1.0,(11|9)
0.004716981,2.0,(16|38)
0.004683841,2.0,(28|2)
0.004636785,3.0,(15|19)
0.004621072,5.0,(15|40)
0.004587156,1.0,(49|37)
0.004566210,1.0,(27|10)
0.004538578,3.0,(29|28)
0.004424779,1.0,(8|19)
0.004405286,1.0,(15|34)
0.004357298,2.0,(37|44)
0.004333694,4.0,(31|47)
0.004291845,1.0,(5|24)
0.004282655,2.0,(12|28)
0.004282655,2.0,(15|44)
0.004273504,1.0,(37|49)
0.004255319,1.0,(22|26)
0.004184100,1.0,(34|44)
0.004149378,2.0,(21|33)
0.004016064,1.0,(17|31)
0.003976143,2.0,(25|32)
0.003952569,2.0,(25|12)
0.003921569,1.0,(1|21)
0.003921569,1.0,(8|8)
0.003913894,2.0,(32|44)
0.003891051,1.0,(31|49)
0.003846154,1.0,(7|36)
0.003846154,1.0,(15|13)
0.003676471,1.0,(18|39)
0.003649635,1.0,(17|17)
0.003649635,1.0,(32|15)
0.003627569,3.0,(24|35)
0.003546099,1.0,(11|23)
0.003496503,1.0,(48|5)
0.003484321,1.0,(25|16)
0.003472222,1.0,(11|24)
0.003430532,2.0,(30|5)
0.003424658,1.0,(40|48)
0.003378378,1.0,(49|18)
0.003355705,1.0,(49|15)
0.003333333,1.0,(29|46)
0.003267974,1.0,(4|9)
0.003257329,1.0,(39|44)
0.003236246,1.0,(22|18)
0.003089598,3.0,(19|31)
0.003048780,1.0,(40|40)
0.003039514,1.0,(26|8)
0.003030303,1.0,(17|27)
0.002998501,2.0,(20|27)
0.002915452,1.0,(14|36)
0.002898551,1.0,(48|47)
0.002890173,1.0,(8|33)
0.002890173,1.0,(33|7)
0.002881844,1.0,(11|8)
0.002777778,1.0,(8|23)
0.002775208,3.0,(26|35)
0.002747253,1.0,(11|7)
0.002739726,2.0,(33|36)
0.002732240,1.0,(32|42)
0.002717391,2.0,(14|24)
0.002710027,1.0,(2|24)
0.002688172,1.0,(18|34)
0.002298851,1.0,(17|38)
0.002272727,1.0,(29|24)
0.002227172,1.0,(42|41)
0.002217295,1.0,(9|33)
0.002132196,1.0,(25|18)
0.002087683,1.0,(5|43)
0.002032520,1.0,(27|37)
0.002020202,1.0,(39|45)
0.001964637,1.0,(10|21)
0.001879699,1.0,(9|7)
0.001801802,1.0,(16|2)
0.001792115,1.0,(11|20)
0.001785714,1.0,(0|26)
0.001782531,1.0,(46|28)
0.001733102,1.0,(12|4)
0.001697793,1.0,(17|40)
0.001623377,1.0,(49|11)
0.001545595,1.0,(8|28)
0.001481481,1.0,(29|39)
0.001473839,2.0,(19|36)
0.001410437,1.0,(8|20)
0.001367989,1.0,(19|29)
0.001340483,1.0,(3|22)
0.001317523,1.0,(36|36)
0.001290323,1.0,(17|36)
0.001282051,1.0,(24|33)
0.001278772,1.0,(47|31)
0.001160093,1.0,(19|32)
0.001102536,1.0,(29|47)
0.0009823183,1.0,(21|31)
0.0009551098,1.0,(19|34)
0.0007183908,1.0,(28|35)
0.0005564830,1.0,(20|29)
