Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 261 | Bankruptcy-Real Property (jp:261,idx:110)
Class Probability,Ex Count at BMU,BMU Map Loc
0.7545455,166.0,(11|17)
0.6875000,11.0,(12|17)
0.3582090,24.0,(10|18)
0.1904762,4.0,(10|16)
0.1859903,77.0,(9|18)
0.1562500,10.0,(11|16)
0.1274510,26.0,(10|17)
0.08730159,11.0,(11|18)
0.03773585,2.0,(11|14)
0.03658536,3.0,(12|16)
0.02459016,3.0,(9|16)
0.02105263,2.0,(9|17)
0.01562500,1.0,(10|25)
0.01418440,2.0,(11|15)
0.01315789,1.0,(14|17)
0.01176471,1.0,(8|18)
0.01149425,1.0,(20|14)
0.009433962,1.0,(24|48)
0.009433962,1.0,(25|48)
0.009259259,1.0,(8|13)
0.009009009,1.0,(9|14)
0.008403362,1.0,(8|16)
0.007874016,1.0,(44|5)
0.007575758,1.0,(2|18)
0.006802721,1.0,(48|28)
0.005347594,1.0,(7|15)
0.005291005,1.0,(6|17)
0.005128205,1.0,(12|20)
0.004926108,1.0,(6|4)
0.004385965,1.0,(1|26)
0.004385965,1.0,(9|26)
0.004264392,2.0,(22|13)
0.002777778,1.0,(8|23)
0.002518892,1.0,(13|22)
0.002074689,1.0,(21|33)
